   	       	                         fitness                         	              size              
   	       	---------------------------------------------------------	--------------------------------
gen	time   	avg     	max     	min     	std      	avg    	max	min	std     
0  	2.41638	0.413329	0.822222	0       	0.353527 	2.25349	5  	1  	1.13974 
1  	3.79198	0.598731	0.844444	0       	0.278529 	2.96215	10 	1  	1.43399 
2  	4.49022	0.676408	0.851852	0       	0.216244 	3.44135	10 	1  	1.62487 
3  	4.83458	0.701514	0.851852	0       	0.213402 	3.66071	10 	1  	1.71882 
4  	5.32338	0.730209	0.866667	0       	0.198078 	4.0396 	12 	1  	1.82459 
5  	6.44643	0.758396	0.866667	0       	0.174489 	4.61265	17 	1  	1.97918 
6  	7.60621	0.762101	0.896296	0       	0.175361 	5.27811	19 	1  	2.18105 
7  	8.78854	0.779229	0.896296	0       	0.155579 	5.87205	17 	1  	2.21958 
8  	10.701 	0.789398	0.896296	0       	0.152376 	6.58153	14 	1  	2.40328 
9  	11.8703	0.797509	0.896296	0       	0.135552 	7.04314	16 	1  	2.82671 
10 	13.9204	0.81741 	0.896296	0       	0.0826706	7.74951	19 	2  	3.04691 
11 	15.8209	0.826526	0.896296	0       	0.0640647	8.19727	20 	1  	3.10024 
12 	16.5056	0.826099	0.896296	0       	0.0897545	8.30604	19 	2  	3.24051 
13 	18.8986	0.832058	0.896296	0       	0.0669152	9.02529	19 	2  	3.34718 
14 	21.2448	0.828069	0.896296	0       	0.0857531	9.43883	19 	1  	3.59364 
15 	22.0649	0.83891 	0.896296	0       	0.053808 	9.62209	19 	2  	3.48566 
16 	23.6687	0.830804	0.896296	0       	0.105466 	9.99033	20 	1  	3.66302 
17 	25.6734	0.841213	0.896296	0       	0.0839356	10.5792	20 	1  	3.68034 
18 	26.3529	0.835838	0.896296	0       	0.106977 	10.8651	20 	1  	3.82582 
19 	27.8123	0.846339	0.896296	0       	0.068279 	11.2385	20 	1  	3.82714 
20 	28.783 	0.849158	0.896296	0       	0.0575872	11.547 	20 	2  	3.84615 
21 	29.1303	0.843373	0.896296	0       	0.0946341	11.4291	20 	1  	4.03336 
22 	28.9874	0.842079	0.896296	0       	0.0883444	11.5411	20 	2  	4.01476 
23 	29.4883	0.848834	0.896296	0       	0.0777591	11.6508	20 	1  	4.05193 
24 	29.0642	0.84831 	0.896296	0       	0.0648355	11.4895	20 	1  	4.01691 
25 	27.6127	0.844205	0.896296	0       	0.0887982	11.2053	20 	1  	3.90423 
26 	28.3494	0.847698	0.896296	0       	0.0942135	11.2657	20 	1  	3.81369 
27 	28.5803	0.849306	0.896296	0       	0.0722836	11.2576	20 	1  	3.75907 
28 	29.4938	0.848617	0.896296	0       	0.101476 	11.5388	20 	1  	3.55924 
29 	29.0855	0.854675	0.896296	0       	0.0609728	11.1943	20 	1  	3.6126  
30 	28.241 	0.853979	0.896296	0       	0.0696517	11.209 	20 	1  	3.49274 
31 	28.3046	0.858591	0.896296	0.67037 	0.0473083	11.0789	20 	1  	3.48269 
32 	29.8056	0.856897	0.9     	0       	0.0604722	11.5741	20 	1  	3.35636 
33 	29.32  	0.858399	0.9     	0       	0.0588742	11.5337	20 	1  	3.40711 
34 	29.2863	0.859792	0.9     	0       	0.0768937	11.5888	20 	1  	3.30605 
35 	30.2043	0.851555	0.9     	0       	0.0958022	11.6978	20 	1  	3.32646 
36 	29.5187	0.85988 	0.9     	0       	0.0691532	11.6276	20 	1  	3.17096 
37 	29.3665	0.854289	0.9     	0       	0.0865471	11.6431	20 	1  	3.38307 
38 	30.5965	0.857425	0.9     	0       	0.0619655	11.8942	20 	2  	3.15375 
39 	30.9288	0.856324	0.9     	0       	0.0797329	11.9093	20 	1  	3.50041 
40 	31.7285	0.857062	0.9     	0       	0.0719083	12.0499	20 	1  	3.26513 
41 	32.3927	0.859006	0.9     	0       	0.0789175	12.2897	20 	1  	3.25925 
42 	32.5955	0.854416	0.9     	0       	0.0883947	12.3149	20 	1  	3.27307 
