   	       	                                            fitness                                            	               size              
   	       	-----------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                    	max                    	min                    	std                    	avg    	max	min	std      
0  	7.09011	[0.24086657 0.03812178]	[0.54744526 0.28143713]	[0. 0.]                	[0.11524772 0.05474982]	2.9802 	9  	1  	2.18446  
1  	8.27031	[0.30084356 0.0767876 ]	[0.58823529 0.32335329]	[0. 0.]                	[0.12616012 0.08465194]	4.02941	9  	1  	2.44731  
2  	12.0713	[0.35591487 0.11644672]	[0.75       0.39820359]	[0. 0.]                	[0.15128941 0.0996474 ]	6.05825	10 	1  	2.50369  
3  	15.7261	[0.43313961 0.16752073]	[0.75       0.43712575]	[0.11111111 0.00598802]	[0.12400388 0.09785338]	7.39423	10 	3  	1.76732  
4  	17.6605	[0.47988628 0.17778728]	[0.75       0.42814371]	[0.14285714 0.00598802]	[0.1238427  0.09181827]	7.87619	10 	3  	1.44549  
5  	18.7385	[0.5195025  0.19277483]	[0.75       0.43413174]	[0.21052632 0.00299401]	[0.10594866 0.0973882 ]	8.10377	10 	3  	1.57773  
6  	18.0017	[0.54906938 0.19777268]	[0.75       0.43712575]	[0.17647059 0.00598802]	[0.11623575 0.10936991]	8.37383	10 	4  	1.69399  
7  	18.2326	[0.5589952  0.17437348]	[0.8        0.43712575]	[0. 0.]                	[0.16298033 0.12135558]	8.73148	10 	3  	1.83387  
8  	21.3689	[0.56887636 0.17590507]	[0.88888889 0.43413174]	[0. 0.]                	[0.16729853 0.12012604]	9.3578 	10 	4  	1.33769  
9  	22.2027	[0.61485168 0.18356015]	[0.88888889 0.4251497 ]	[0.14285714 0.00299401]	[0.15695163 0.11581606]	9.42727	10 	5  	0.976628 
10 	21.1362	[0.65097134 0.11525597]	[0.88888889 0.44610778]	[0. 0.]                	[0.18217927 0.1139922 ]	9.54054	10 	3  	0.947104 
11 	21.6081	[0.69765158 0.07174936]	[0.88888889 0.39820359]	[0.06666667 0.00299401]	[0.15786221 0.09851922]	9.58929	10 	6  	0.921505 
12 	24.5884	[0.70830257 0.06019819]	[0.88888889 0.39221557]	[0.08333333 0.00299401]	[0.18568473 0.0909389 ]	9.72566	10 	6  	0.77856  
13 	24.6278	[0.74435746 0.05113457]	[0.91666667 0.39221557]	[0.19480519 0.00598802]	[0.18510893 0.07775956]	9.78947	10 	3  	0.842653 
14 	25.0484	[0.74615372 0.04576933]	[0.91666667 0.39221557]	[0. 0.]                	[0.1999048  0.07083559]	9.85217	10 	6  	0.621967 
15 	25.4053	[0.76531716 0.04627813]	[0.91666667 0.35628743]	[0.18181818 0.00598802]	[0.18836246 0.07053248]	9.88793	10 	6  	0.5689   
16 	27.0443	[0.77609774 0.05734684]	[0.91666667 0.39221557]	[0.10344828 0.00598802]	[0.18106658 0.0887983 ]	9.86325	10 	5  	0.639257 
17 	28.61  	[0.81277133 0.034558  ]	[1.         0.38922156]	[0.05555556 0.00299401]	[0.1581203  0.04867448]	9.90678	10 	4  	0.637624 
18 	30.6509	[0.78074633 0.05248327]	[1.         0.32934132]	[0.25       0.00598802]	[0.18941084 0.07272204]	9.94958	10 	7  	0.339271 
19 	32.2123	[0.82313136 0.05706088]	[1.         0.39221557]	[0.33333333 0.00299401]	[0.15262839 0.0773604 ]	9.95833	10 	7  	0.326492 
20 	33.7797	[0.8104348  0.04698867]	[1.         0.31437126]	[0.18518519 0.01197605]	[0.17063183 0.06116773]	9.90909	10 	7  	0.49793  
21 	36.0843	[0.7921664  0.05779425]	[1.         0.31736527]	[0.22580645 0.00898204]	[0.19353231 0.07613108]	9.94262	10 	6  	0.4109   
22 	37.0535	[0.85375219 0.03996884]	[1.        0.2754491]  	[0.28571429 0.00598802]	[0.14923155 0.04667434]	9.97561	10 	7  	0.269399 
23 	37.9639	[0.84088751 0.04874928]	[1.         0.32934132]	[0.23076923 0.00598802]	[0.16996204 0.06353712]	10     	10 	10 	0        
24 	38.5085	[0.87880294 0.03504192]	[1.         0.31437126]	[0.22222222 0.00598802]	[0.16343187 0.04143613]	9.976  	10 	7  	0.267253 
25 	39.8669	[0.85570215 0.04486266]	[1.        0.2994012]  	[0.14285714 0.00598802]	[0.20184096 0.05820656]	9.96032	10 	5  	0.443664 
26 	40.1374	[0.88541833 0.04160969]	[1.         0.31437126]	[0.15151515 0.00898204]	[0.1780933  0.05261696]	9.97638	10 	7  	0.265157 
27 	40.3648	[0.87484381 0.04135479]	[1.         0.29041916]	[0.08333333 0.00299401]	[0.18525726 0.05009346]	9.97656	10 	7  	0.264127 
28 	39.1333	[0.86177473 0.05347445]	[1.         0.30838323]	[0.23529412 0.00898204]	[0.18895763 0.06992498]	10     	10 	10 	0        
29 	39.5472	[0.86418379 0.04571626]	[1.         0.32035928]	[0.09090909 0.00299401]	[0.19910989 0.05471478]	10     	10 	10 	0        
30 	39.2814	[0.83166832 0.05240664]	[1.        0.2994012]  	[0.20833333 0.00598802]	[0.21966133 0.06223748]	9.9542 	10 	4  	0.522218 
31 	40.1122	[0.86806463 0.03894484]	[1.         0.27844311]	[0.14814815 0.00598802]	[0.18960166 0.04234573]	10     	10 	10 	0        
32 	40.7053	[0.87551567 0.04085813]	[1.         0.30838323]	[0.14285714 0.00299401]	[0.19490645 0.04976085]	9.99248	10 	9  	0.0863844
33 	40.4914	[0.8802979 0.0483734]  	[1.         0.30838323]	[0.34328358 0.00898204]	[0.17088128 0.06052457]	10     	10 	10 	0        
34 	40.4809	[0.85074244 0.04227101]	[1.         0.30838323]	[0.17647059 0.00598802]	[0.21763742 0.04978703]	9.94074	10 	6  	0.483245 
