   	       	                                            fitness                                            	              size              
   	       	-----------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                    	max                    	min                    	std                    	avg    	max	min	std     
0  	7.12204	[0.23631423 0.02955864]	[0.5        0.23323615]	[0. 0.]                	[0.12936809 0.05107548]	2.73267	10 	1  	2.14749 
1  	9.20589	[0.30147081 0.04773338]	[0.5915493  0.28862974]	[0. 0.]                	[0.13138939 0.07000647]	3.37255	10 	1  	2.58549 
2  	10.2756	[0.32851175 0.06071499]	[0.81818182 0.27988338]	[0. 0.]                	[0.17168407 0.07978445]	4.20388	10 	1  	2.81935 
3  	10.821 	[0.38328883 0.08101592]	[0.81818182 0.27405248]	[0. 0.]                	[0.17000039 0.08795711]	4.68269	10 	1  	2.80886 
4  	14.5034	[0.45528594 0.10337359]	[0.81818182 0.36151603]	[0. 0.]                	[0.16151112 0.09521063]	6.32381	10 	1  	2.50141 
5  	16.3409	[0.4754658  0.12217394]	[0.81818182 0.40816327]	[0. 0.]                	[0.17454193 0.10273746]	7.18868	10 	1  	2.34365 
6  	18.1178	[0.5092584  0.14280265]	[0.81818182 0.40233236]	[0. 0.]                	[0.1720306  0.10005779]	8      	10 	2  	1.45332 
7  	20.772 	[0.52663962 0.14712234]	[0.81818182 0.37609329]	[0.07692308 0.00291545]	[0.1514352  0.10330287]	8.09259	10 	2  	1.66965 
8  	22.2891	[0.55143473 0.15382352]	[0.81818182 0.39650146]	[0. 0.]                	[0.16240703 0.10726088]	8.20183	10 	2  	1.5312  
9  	24.2747	[0.55375305 0.14624967]	[0.81818182 0.36151603]	[0. 0.]                	[0.18882683 0.1193948 ]	8.55455	10 	2  	1.62137 
10 	29.1999	[0.57771606 0.1298558 ]	[0.81818182 0.40816327]	[0. 0.]                	[0.17406778 0.12251887]	9.09009	10 	1  	1.45534 
11 	33.8813	[0.56200764 0.11406706]	[0.86666667 0.40816327]	[0. 0.]                	[0.1931327  0.12032587]	9.29464	10 	2  	1.13104 
12 	35.5578	[0.60138346 0.11847571]	[0.9375     0.40816327]	[0.125      0.00291545]	[0.162864   0.12660842]	9.41593	10 	2  	1.02815 
13 	38.0306	[0.59510024 0.0959286 ]	[0.9375     0.36151603]	[0. 0.]                	[0.18493631 0.11267367]	9.50877	10 	6  	0.703944
14 	38.583 	[0.57274571 0.09717328]	[0.9375     0.36151603]	[0. 0.]                	[0.21297633 0.11047298]	9.3913 	10 	1  	1.20647 
15 	39.7973	[0.59661971 0.10555947]	[0.9375     0.36151603]	[0.07142857 0.00291545]	[0.18583723 0.11466299]	9.34483	10 	4  	0.965825
16 	40.3269	[0.62290595 0.10921731]	[0.9375     0.41690962]	[0.08333333 0.00291545]	[0.16280652 0.11495066]	9.35043	10 	5  	0.798677
17 	42.5987	[0.61452516 0.10152196]	[0.94117647 0.36734694]	[0.05882353 0.00291545]	[0.17649307 0.10441932]	9.4322 	10 	6  	0.603364
18 	42.5235	[0.6049072  0.08342112]	[0.94117647 0.36151603]	[0. 0.]                	[0.22458542 0.09080604]	9.18487	10 	3  	1.07661 
19 	43.1062	[0.59944037 0.07257046]	[1.         0.33819242]	[0. 0.]                	[0.22043392 0.07884289]	9.1    	10 	2  	1.05198 
20 	45.038 	[0.58287965 0.07134424]	[1.         0.33819242]	[0. 0.]                	[0.23287615 0.07775609]	9.12397	10 	2  	1.13232 
21 	42.5779	[0.57481348 0.07111791]	[1.         0.35568513]	[0. 0.]                	[0.22191724 0.07376572]	9      	10 	1  	1.36706 
