   	       	                                                                           fitness                                                                           	              size              
   	       	-------------------------------------------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                                  	max                                  	min                                  	std                                  	avg    	max	min	std     
0  	7.09565	[ 0.27285776  0.01885767  0.83748625]	[ 1.          0.2283237   0.84351852]	[ 0.          0.          0.82638889]	[ 0.20961925  0.04427582  0.00311994]	2.9703 	10 	1  	2.20016 
1  	7.33801	[ 0.33279833  0.02827836  0.83749092]	[ 1.          0.29190751  0.86064815]	[ 0.          0.          0.82592593]	[ 0.19193082  0.06161978  0.00444105]	3.19608	10 	1  	2.20978 
2  	8.36485	[ 0.3461017   0.02121331  0.83028587]	[ 1.          0.29190751  0.86064815]	[ 0.  0.  0.]                        	[ 0.25418586  0.05058554  0.08232493]	3.91262	10 	1  	2.62958 
3  	8.47649	[ 0.40476213  0.03054135  0.83922721]	[ 1.          0.29190751  0.86064815]	[ 0.          0.          0.82407407]	[ 0.27229406  0.06894228  0.00506997]	4.05769	10 	1  	2.63054 
4  	10.7845	[ 0.39331051  0.0432425   0.83978395]	[ 1.          0.29190751  0.86064815]	[ 0.          0.          0.82037037]	[ 0.28139866  0.08424808  0.00724053]	5.24762	10 	1  	3.05125 
5  	12.8936	[ 0.46434439  0.05245937  0.8414876 ]	[ 1.          0.4132948   0.86203704]	[ 0.          0.          0.81527778]	[ 0.28794436  0.09554313  0.00822798]	6.19811	10 	1  	2.9442  
6  	11.3699	[ 0.50351233  0.04983523  0.84129889]	[ 1.          0.29190751  0.86064815]	[ 0.          0.          0.82037037]	[ 0.28788594  0.09066795  0.00786967]	6.70093	10 	1  	2.69376 
7  	10.9048	[ 0.55249835  0.05266538  0.84161523]	[ 1.          0.31213873  0.86064815]	[ 0.          0.          0.81898148]	[ 0.30215164  0.09286056  0.00795473]	6.85185	10 	1  	3.02708 
8  	9.26267	[ 0.56075285  0.02723127  0.84091488]	[ 1.          0.29190751  0.86064815]	[ 0.          0.          0.82592593]	[ 0.31796925  0.0649672   0.00550213]	6.22936	10 	1  	2.88505 
9  	9.45301	[ 0.56011228  0.02480294  0.84031987]	[ 1.          0.29190751  0.86064815]	[ 0.          0.          0.82453704]	[ 0.32885817  0.05521446  0.00474048]	6.74545	10 	1  	2.82018 
