   	       	                                                                         fitness                                                                          	              size              
   	       	----------------------------------------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                               	max                               	min                               	std                               	avg    	max	min	std     
0  	14.3861	[0.21626975 0.06685081 0.81988587]	[0.58415842 0.28488372 0.85046296]	[0.         0.         0.79351852]	[0.09417257 0.06821108 0.00849922]	1.75083	5  	1  	0.867103
1  	14.3794	[0.25808089 0.10005005 0.81855071]	[0.82352941 0.27906977 0.8537037 ]	[0.         0.         0.79351852]	[0.11195938 0.08573263 0.01068619]	1.98675	5  	1  	0.941935
2  	14.8288	[0.29369327 0.12555645 0.81922289]	[0.82352941 0.30813953 0.85833333]	[0.         0.         0.79351852]	[0.12448656 0.09321328 0.01247453]	2.0462 	7  	1  	1.04889 
3  	15.3634	[0.31575581 0.14193505 0.82085313]	[0.82352941 0.2877907  0.85833333]	[0.         0.         0.79351852]	[0.1419206  0.09624611 0.0135109 ]	1.95066	7  	1  	1.06416 
4  	15.5443	[0.32431789 0.14394777 0.82263965]	[0.82352941 0.31686047 0.8587963 ]	[0.         0.         0.79351852]	[0.14568584 0.09991509 0.01357066]	2.12459	7  	1  	1.25354 
5  	15.2221	[0.35632904 0.14627033 0.82619826]	[0.82352941 0.37790698 0.8587963 ]	[0.         0.         0.79027778]	[0.16227689 0.09763546 0.01511266]	2.18954	7  	1  	1.30735 
6  	15.867 	[0.39382843 0.15363419 0.83119194]	[0.82352941 0.37790698 0.8587963 ]	[0.         0.         0.79212963]	[0.17597011 0.09818576 0.01555962]	2.12052	6  	1  	1.26406 
7  	15.625 	[0.40318606 0.14619828 0.83286135]	[0.82352941 0.37790698 0.85833333]	[0.         0.         0.79074074]	[0.18244226 0.09787758 0.01598618]	2.06494	8  	1  	1.32985 
8  	16.5608	[0.40330617 0.14437044 0.83595529]	[0.82352941 0.37790698 0.85833333]	[0.         0.         0.79305556]	[0.21018973 0.09750128 0.01647038]	1.95146	7  	1  	1.33931 
9  	16.5901	[0.40243238 0.14417667 0.8360902 ]	[0.82352941 0.37790698 0.86157407]	[0.         0.         0.79305556]	[0.2099049  0.09793015 0.01673695]	1.98387	8  	1  	1.24553 
10 	17.8099	[0.40446018 0.13533799 0.83834852]	[0.82352941 0.37790698 0.85833333]	[0.         0.         0.79722222]	[0.2326961  0.09537114 0.01574467]	1.94212	8  	1  	1.37614 
