   	       	                                                                           fitness                                                                           	               size              
   	       	-------------------------------------------------------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                                  	max                                  	min                                  	std                                  	avg    	max	min	std      
0  	6.42017	[ 0.22038896  0.04298195  0.82984507]	[ 0.45138889  0.23823529  0.84259259]	[ 0.          0.          0.80740741]	[ 0.08819374  0.04820952  0.00690155]	2.76238	9  	1  	2.09737  
1  	8.50801	[ 0.26229097  0.06626298  0.82905773]	[ 0.60846561  0.33823529  0.86157407]	[ 0.04        0.00294118  0.80555556]	[ 0.1060896   0.06343743  0.00867583]	3.95098	9  	1  	2.59478  
2  	12.6544	[ 0.31601971  0.09954312  0.82254585]	[ 0.60846561  0.33823529  0.86157407]	[ 0.  0.  0.]                        	[ 0.1216061   0.08177241  0.08200413]	5.5534 	10 	1  	2.7261   
3  	13.9967	[ 0.35904203  0.13076923  0.83284366]	[ 0.60846561  0.48235294  0.86157407]	[ 0.0625      0.00588235  0.80740741]	[ 0.13889092  0.0963785   0.01100616]	6.31731	10 	1  	2.61749  
4  	17.2205	[ 0.4278513   0.17635854  0.83788801]	[ 0.60846561  0.48235294  0.86157407]	[ 0.08333333  0.00588235  0.81157407]	[ 0.1341742   0.09992576  0.01197142]	7.52381	10 	1  	2.18259  
5  	19.942 	[ 0.51996262  0.22200333  0.84715671]	[ 0.64356436  0.42352941  0.86296296]	[ 0.04878049  0.00588235  0.81666667]	[ 0.10654455  0.09178241  0.01085548]	8.28302	10 	1  	1.73071  
6  	22.245 	[ 0.53414315  0.2282298   0.84990048]	[ 0.64356436  0.38823529  0.86296296]	[ 0.0212766   0.00294118  0.81574074]	[ 0.11664335  0.09705662  0.01074003]	8.62617	10 	4  	1.20376  
7  	23.439 	[ 0.5802393   0.26342593  0.85545267]	[ 0.64356436  0.38823529  0.86435185]	[ 0.          0.          0.81435185]	[ 0.08777247  0.0916385   0.00850688]	8.82407	10 	7  	0.890575 
8  	23.4773	[ 0.57390926  0.25307609  0.85430683]	[ 0.68421053  0.38235294  0.86435185]	[ 0.15789474  0.00882353  0.81435185]	[ 0.1008478   0.08997333  0.01069219]	8.89908	10 	5  	1.00407  
9  	22.9776	[ 0.57805089  0.23815508  0.85534512]	[ 0.68421053  0.38529412  0.86481481]	[ 0.0952381   0.00882353  0.81342593]	[ 0.12877159  0.09413975  0.00957269]	9.07273	10 	6  	0.978952 
10 	21.9153	[ 0.60209107  0.20429253  0.85402903]	[ 0.7032967   0.34411765  0.86481481]	[ 0.12121212  0.01176471  0.82546296]	[ 0.09606848  0.06682676  0.0086319 ]	8.95495	10 	2  	1.18083  
11 	21.6041	[ 0.61367976  0.18290441  0.85388145]	[ 0.70707071  0.33823529  0.86481481]	[ 0.19230769  0.01764706  0.82314815]	[ 0.1094237   0.05762906  0.00865754]	9.01786	10 	3  	1.08547  
12 	20.2016	[ 0.64537865  0.17863092  0.85551049]	[ 0.70707071  0.28235294  0.86296296]	[ 0.14583333  0.02058824  0.80833333]	[ 0.10022499  0.04022287  0.0081845 ]	8.92035	10 	1  	1.19098  
13 	19.8499	[ 0.63233086  0.17652219  0.85452404]	[ 0.72340426  0.28235294  0.86296296]	[ 0.17073171  0.02058824  0.8162037 ]	[ 0.12169378  0.04567592  0.00982553]	8.99123	10 	3  	1.08009  
14 	19.2235	[ 0.61819387  0.17071611  0.85370773]	[ 0.7244898   0.24411765  0.86296296]	[ 0.10526316  0.01176471  0.81851852]	[ 0.14243653  0.05292042  0.01077482]	8.86087	10 	1  	1.56531  
15 	22.8666	[ 0.63700259  0.17839757  0.854909  ]	[ 0.73626374  0.28823529  0.8625    ]	[ 0.10638298  0.01176471  0.8212963 ]	[ 0.13354936  0.04902264  0.01035696]	9.38793	10 	3  	1.31156  
16 	24.1867	[ 0.6495633   0.18496732  0.85625198]	[ 0.72463768  0.30294118  0.8712963 ]	[ 0.14285714  0.01470588  0.79861111]	[ 0.1265658   0.04588754  0.01011672]	9.69231	10 	1  	1.0333   
17 	25.0841	[ 0.63632469  0.18035892  0.85510829]	[ 0.76744186  0.30294118  0.8712963 ]	[ 0.09090909  0.00294118  0.81435185]	[ 0.15402837  0.05313866  0.01200045]	9.61017	10 	1  	1.42635  
18 	25.4455	[ 0.64751832  0.17540781  0.85658652]	[ 0.76744186  0.30294118  0.8712963 ]	[ 0.07142857  0.00588235  0.81296296]	[ 0.16881196  0.05667188  0.01085685]	9.66387	10 	2  	1.41586  
19 	27.1913	[ 0.65513569  0.17186275  0.85685185]	[ 0.76744186  0.30588235  0.8712963 ]	[ 0.09090909  0.00882353  0.82453704]	[ 0.17473114  0.0565501   0.0107268 ]	9.81667	10 	2  	1.07225  
20 	28.5476	[ 0.68281732  0.17695673  0.85841751]	[ 0.76744186  0.24411765  0.86388889]	[ 0.09090909  0.00882353  0.82453704]	[ 0.15593605  0.04775157  0.01000038]	9.8843 	10 	2  	0.815045 
21 	29.2811	[ 0.6911152   0.17239634  0.85888737]	[ 0.76744186  0.21764706  0.86388889]	[ 0.09090909  0.00882353  0.82175926]	[ 0.16032782  0.05160156  0.00983963]	10     	10 	10 	0        
22 	30.4914	[ 0.70631248  0.17867049  0.85988407]	[ 0.775       0.21764706  0.86388889]	[ 0.09090909  0.00882353  0.82453704]	[ 0.14167098  0.04354174  0.00884302]	9.97561	10 	7  	0.269399 
23 	30.5989	[ 0.71032543  0.17972011  0.86027106]	[ 0.775       0.24411765  0.86388889]	[ 0.11538462  0.00588235  0.82083333]	[ 0.13785399  0.04502982  0.00865293]	9.95161	10 	4  	0.536639 
24 	30.7565	[ 0.69051742  0.17771765  0.85875556]	[ 0.80769231  0.34705882  0.86481481]	[ 0.09375     0.00588235  0.80740741]	[ 0.16121455  0.05183186  0.01096368]	9.856  	10 	1  	0.977376 
25 	31.0965	[ 0.69940154  0.1772409   0.85924824]	[ 0.80769231  0.26176471  0.86481481]	[ 0.08108108  0.00882353  0.82453704]	[ 0.15022825  0.04723964  0.00976246]	9.92857	10 	7  	0.457366 
26 	32.5841	[ 0.71411883  0.18061603  0.8601305 ]	[ 0.80769231  0.27941176  0.86481481]	[ 0.09090909  0.00882353  0.81064815]	[ 0.1518724   0.0448296   0.01002714]	10     	10 	10 	0        
27 	33.3798	[ 0.70375187  0.17290901  0.85930266]	[ 0.81818182  0.22941176  0.86481481]	[ 0.09090909  0.00882353  0.82453704]	[ 0.16925157  0.04908144  0.01028864]	9.82031	10 	2  	1.16212  
28 	37.1802	[ 0.70384047  0.16937984  0.85894703]	[ 0.80769231  0.30882353  0.86898148]	[ 0.09090909  0.00882353  0.82685185]	[ 0.16379826  0.05196652  0.01047267]	9.97674	10 	7  	0.263109 
29 	39.6699	[ 0.70279593  0.16959276  0.85862892]	[ 0.80769231  0.33823529  0.86759259]	[ 0.10526316  0.00588235  0.82268519]	[ 0.17218271  0.05416208  0.01082718]	10     	10 	10 	0        
30 	40.9943	[ 0.72905485  0.1734396   0.86028414]	[ 0.81333333  0.33235294  0.86666667]	[ 0.03225806  0.00294118  0.82916667]	[ 0.14863641  0.04889078  0.00924777]	9.9313 	10 	1  	0.783327 
31 	42.6757	[ 0.73023618  0.16898396  0.86005191]	[ 0.81333333  0.25        0.86481481]	[ 0.07142857  0.00882353  0.825     ]	[ 0.17041334  0.04579314  0.01032099]	9.90152	10 	2  	0.815195 
32 	43.7829	[ 0.72259563  0.17505529  0.85990671]	[ 0.81333333  0.36764706  0.86574074]	[ 0.09090909  0.00882353  0.82592593]	[ 0.16976544  0.0525114   0.01006597]	9.93233	10 	1  	0.77746  
33 	44.9869	[ 0.74417971  0.18037752  0.86135641]	[ 0.81333333  0.35882353  0.86666667]	[ 0.05555556  0.00294118  0.82453704]	[ 0.14879616  0.04660916  0.00803802]	9.94776	10 	3  	0.602447 
34 	44.9258	[ 0.71942985  0.16732026  0.85920096]	[ 0.81333333  0.31764706  0.8662037 ]	[ 0.17948718  0.01176471  0.81898148]	[ 0.17247619  0.0483479   0.01079503]	10     	10 	10 	0        
35 	46.3229	[ 0.74548737  0.17352941  0.86075368]	[ 0.81333333  0.27058824  0.86527778]	[ 0.17073171  0.02058824  0.82546296]	[ 0.12758661  0.03797154  0.00813853]	9.97794	10 	7  	0.2563   
36 	46.1521	[ 0.74007387  0.16914985  0.86012436]	[ 0.81333333  0.25588235  0.86527778]	[ 0.09090909  0.01176471  0.81898148]	[ 0.15410086  0.04055085  0.00981054]	9.91971	10 	1  	0.783576 
37 	46.4835	[ 0.75178428  0.17282609  0.86126208]	[ 0.81333333  0.31764706  0.86805556]	[ 0.11764706  0.00588235  0.82546296]	[ 0.14207352  0.04350463  0.00828776]	9.89855	10 	1  	0.836572 
38 	46.3022	[ 0.73680971  0.17056708  0.85991873]	[ 0.81333333  0.30588235  0.86898148]	[ 0.15789474  0.01764706  0.81898148]	[ 0.1519891   0.04472567  0.00984131]	9.90647	10 	1  	0.803697 
39 	45.6604	[ 0.74055818  0.16787815  0.86035053]	[ 0.81333333  0.27058824  0.86666667]	[ 0.11764706  0.00588235  0.82685185]	[ 0.15957219  0.04273761  0.00943193]	9.87143	10 	1  	1.06799  
40 	46.2265	[ 0.74780055  0.1738423   0.86072695]	[ 0.82666667  0.35882353  0.86527778]	[ 0.22857143  0.02352941  0.82962963]	[ 0.13898746  0.04286814  0.00829676]	10     	10 	10 	0        
41 	45.7735	[ 0.73640296  0.16360812  0.85981677]	[ 0.82666667  0.25294118  0.86805556]	[ 0.11111111  0.01176471  0.82731481]	[ 0.16212005  0.04399542  0.00989252]	9.8169 	10 	1  	1.24821  
42 	45.9022	[ 0.71463649  0.16797614  0.85899702]	[ 0.82666667  0.37058824  0.86898148]	[ 0.125       0.00882353  0.82546296]	[ 0.17548982  0.05519573  0.01046042]	9.88112	10 	2  	0.864931 
