   	       	                                                                         fitness                                                                          	               size              
   	       	----------------------------------------------------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                               	max                               	min                               	std                               	avg    	max	min	std      
0  	3.84811	[0.49184327 0.51008877 0.50730668]	[0.52827141 0.5637931  0.54008439]	[0.         0.         0.47510549]	[0.05097409 0.05530316 0.01355253]	2.94059	8  	1  	2.22862  
1  	4.38186	[0.49809168 0.51605815 0.50857119]	[0.52827141 0.5637931  0.54008439]	[0.46229508 0.46724138 0.47172996]	[0.01566034 0.02243976 0.01590675]	3.52941	10 	1  	2.43627  
2  	4.12899	[0.48814156 0.5058922  0.49843104]	[0.52827141 0.56896552 0.54008439]	[0. 0. 0.]                        	[0.07082063 0.0747134  0.07230219]	3.28155	10 	1  	2.38286  
3  	3.79316	[0.49909638 0.51807029 0.50965596]	[0.52827141 0.56896552 0.54008439]	[0.4647651  0.45689655 0.47510549]	[0.01709433 0.02405844 0.0173781 ]	3.16346	10 	1  	2.13087  
4  	4.49359	[0.48951536 0.50625616 0.5046735 ]	[0.52827141 0.5637931  0.54008439]	[0. 0. 0.]                        	[0.07020762 0.07380985 0.05229616]	3.6381 	10 	1  	2.42261  
5  	4.92696	[0.49323015 0.51434613 0.513319  ]	[0.52827141 0.56896552 0.54008439]	[0.         0.         0.46666667]	[0.07060194 0.07530349 0.01782274]	4.29245	10 	1  	2.63133  
6  	4.72816	[0.50549438 0.52702224 0.51626641]	[0.52827141 0.56896552 0.54008439]	[0.4645799  0.45689655 0.4742616 ]	[0.01545547 0.02340133 0.01579825]	4.4486 	10 	1  	2.53659  
7  	4.83823	[0.49666343 0.51728927 0.51193937]	[0.52827141 0.5637931  0.54008439]	[0.         0.         0.47510549]	[0.05108907 0.05545578 0.01781663]	4.65741	10 	1  	2.49504  
8  	4.90569	[0.49695341 0.51648213 0.5122208 ]	[0.52827141 0.5637931  0.54008439]	[0.        0.        0.4649789]   	[0.05066165 0.05523586 0.01703982]	4.63303	10 	1  	2.56533  
9  	5.52867	[0.49915286 0.51830721 0.50977369]	[0.52827141 0.5637931  0.54008439]	[0.45945946 0.44137931 0.47004219]	[0.01765784 0.02514576 0.0179423 ]	5.17273	10 	1  	2.79239  
10 	5.30737	[0.49823845 0.51898105 0.51340708]	[0.52827141 0.5637931  0.54008439]	[0.         0.         0.46329114]	[0.04984406 0.05440721 0.01545623]	5.48649	10 	1  	2.63334  
11 	5.68074	[0.50443585 0.52338362 0.5151522 ]	[0.52827141 0.56724138 0.54008439]	[0.46192893 0.47068966 0.47257384]	[0.01515542 0.02354883 0.01547514]	6.38393	10 	1  	2.59892  
12 	5.42927	[0.50510688 0.52790662 0.51582092]	[0.52827141 0.5637931  0.54008439]	[0.46003263 0.4637931  0.46751055]	[0.01796359 0.02376178 0.01842827]	6.60177	10 	2  	2.64923  
13 	5.36238	[0.50880566 0.53206292 0.51966097]	[0.52827141 0.5637931  0.54008439]	[0.4610052  0.45862069 0.47257384]	[0.01478682 0.02091618 0.01501165]	6.77193	10 	2  	2.62924  
14 	5.75173	[0.50811542 0.53224888 0.51897267]	[0.52827141 0.5637931  0.54008439]	[0.45187602 0.46034483 0.46075949]	[0.01509663 0.02252822 0.01538793]	6.95652	10 	1  	2.67481  
15 	6.88293	[0.50532098 0.52939952 0.5161356 ]	[0.52827141 0.5637931  0.54008439]	[0.45789474 0.45       0.46835443]	[0.01620342 0.02460255 0.01662131]	7.55172	10 	1  	2.50979  
16 	6.8768 	[0.50572983 0.52883879 0.51656389]	[0.52827141 0.5637931  0.54008439]	[0.46967071 0.44655172 0.47932489]	[0.01589844 0.02540126 0.01627042]	7.2735 	10 	1  	2.60382  
17 	6.41172	[0.5035244  0.52798071 0.51876564]	[0.52827141 0.5637931  0.54008439]	[0.         0.         0.45316456]	[0.04967589 0.05685333 0.01766197]	7.77119	10 	2  	2.27518  
18 	6.51875	[0.50793823 0.53388873 0.51894479]	[0.52827141 0.5637931  0.54008439]	[0.46539792 0.4637931  0.47510549]	[0.01555833 0.02753766 0.01599951]	7.86555	10 	1  	2.34404  
19 	6.454  	[0.50662848 0.53206897 0.51759494]	[0.52827141 0.57241379 0.54008439]	[0.45469256 0.46724138 0.46329114]	[0.01663667 0.02829495 0.01709934]	7.875  	10 	1  	2.20818  
20 	6.93337	[0.50677414 0.53357082 0.51774593]	[0.52827141 0.5637931  0.54008439]	[0.45469256 0.45862069 0.46329114]	[0.01664256 0.02837214 0.01716637]	8.22314	10 	2  	1.97709  
21 	7.21906	[0.50818803 0.53555681 0.51924327]	[0.52827141 0.5637931  0.54008439]	[0.46422339 0.45344828 0.47594937]	[0.01635715 0.02985832 0.01679891]	8.28689	10 	2  	1.78095  
22 	7.2236 	[0.5080969  0.53397813 0.51908339]	[0.53156146 0.5637931  0.54261603]	[0.46471601 0.46551724 0.47594937]	[0.01613898 0.02872082 0.01658042]	8.60976	10 	1  	1.84185  
23 	8.4316 	[0.50522157 0.52886541 0.51619709]	[0.53156146 0.57068966 0.54261603]	[0.42982456 0.42241379 0.44303797]	[0.02013471 0.03257138 0.02037196]	8.79839	10 	1  	1.96329  
24 	8.59775	[0.50590048 0.53208276 0.52087089]	[0.53156146 0.57068966 0.54261603]	[0.         0.         0.47594937]	[0.04806278 0.05376697 0.01612186]	8.624  	10 	2  	1.76029  
25 	9.79451	[0.50501882 0.5270936  0.51987141]	[0.53833049 0.5637931  0.54852321]	[0.         0.         0.47257384]	[0.04843339 0.05408316 0.01778038]	8.53175	10 	3  	1.74432  
26 	10.2442	[0.50914475 0.53141461 0.51995747]	[0.53833049 0.5637931  0.54852321]	[0.46546053 0.45689655 0.47510549]	[0.0181991  0.02479415 0.01854881]	8.51969	10 	1  	1.88174  
27 	11.0461	[0.5078954  0.52716864 0.51867089]	[0.53833049 0.5637931  0.54852321]	[0.46231156 0.44310345 0.47257384]	[0.0187225  0.02663251 0.01898851]	8.41406	10 	2  	1.92649  
28 	10.678 	[0.50737673 0.52802727 0.5220227 ]	[0.53833049 0.56724138 0.54852321]	[0.         0.         0.47932489]	[0.04821601 0.05208963 0.01793949]	8.43411	10 	3  	1.83778  
29 	11.5162	[0.51099209 0.52644562 0.5217332 ]	[0.53833049 0.55862069 0.54852321]	[0.45439469 0.42241379 0.46329114]	[0.02035611 0.02814467 0.0203746 ]	8.75385	10 	4  	1.80197  
30 	11.3305	[0.50996635 0.52878389 0.52053338]	[0.53833049 0.56551724 0.54852321]	[0.4624     0.48103448 0.47088608]	[0.02191568 0.02420449 0.02217877]	8.72519	10 	2  	1.96556  
31 	11.648 	[0.51366346 0.53022466 0.52437029]	[0.53833049 0.56551724 0.54852321]	[0.45904437 0.45689655 0.47004219]	[0.01979327 0.02611806 0.01983994]	8.91667	10 	1  	1.91897  
32 	11.8769	[0.51178589 0.52577132 0.52235652]	[0.53833049 0.56206897 0.54852321]	[0.44615385 0.45       0.45738397]	[0.02307249 0.02672722 0.02309292]	9.12782	10 	3  	1.60082  
33 	11.5386	[0.512891   0.5251158  0.52332011]	[0.53833049 0.56206897 0.54852321]	[0.4637931  0.46034483 0.47257384]	[0.02280603 0.02462602 0.02284137]	8.85075	10 	1  	2.21766  
34 	12.3688	[0.51386485 0.52380587 0.52428192]	[0.53833049 0.56034483 0.54852321]	[0.46622735 0.47413793 0.47594937]	[0.02173782 0.02270951 0.02171945]	9.33333	10 	2  	1.69531  
35 	12.992 	[0.51563156 0.52543103 0.52596178]	[0.53833049 0.56034483 0.54852321]	[0.45805369 0.4637931  0.46835443]	[0.02289448 0.02262321 0.02289788]	9.51471	10 	2  	1.46521  
36 	12.8315	[0.51507468 0.52008558 0.52538729]	[0.53936348 0.56034483 0.55021097]	[0.45685279 0.46551724 0.46751055]	[0.0229742  0.02435859 0.02285341]	9.63504	10 	2  	1.21352  
37 	13.0121	[0.51779823 0.52501249 0.5281722 ]	[0.53936348 0.56034483 0.55021097]	[0.46919431 0.45517241 0.47763713]	[0.02162737 0.02361945 0.02148727]	9.55072	10 	1  	1.45499  
38 	12.5067	[0.51358082 0.52255024 0.52395957]	[0.54377104 0.5637931  0.55443038]	[0.46179966 0.45689655 0.47257384]	[0.02510322 0.02559489 0.02503802]	9.15108	10 	1  	2.16218  
39 	15.0993	[0.51304453 0.52009852 0.52705847]	[0.54377104 0.5637931  0.55443038]	[0.         0.         0.47848101]	[0.0492638  0.05107963 0.02297516]	9.51429	10 	2  	1.59233  
40 	17.2465	[0.52311921 0.5323551  0.53351288]	[0.54377104 0.57241379 0.55443038]	[0.45531197 0.45517241 0.46582278]	[0.02171878 0.02263295 0.02162743]	9.68794	10 	2  	1.24988  
41 	19.6727	[0.52357938 0.53444633 0.53405836]	[0.54377104 0.57241379 0.55443038]	[0.45685279 0.4637931  0.46751055]	[0.02242241 0.02389778 0.02241704]	9.73944	10 	3  	1.18488  
42 	22.8812	[0.52792724 0.53984808 0.53850875]	[0.54377104 0.57586207 0.55443038]	[0.46864686 0.47241379 0.47848101]	[0.01885539 0.02178125 0.01889225]	9.88811	10 	5  	0.604238 
43 	24.7844	[0.52665262 0.53875718 0.53725973]	[0.54377104 0.57586207 0.55443038]	[0.47342193 0.47586207 0.4835443 ]	[0.01907167 0.02240179 0.01913298]	9.91667	10 	4  	0.650854 
44 	24.0473	[0.52957122 0.54161712 0.54012513]	[0.54377104 0.57586207 0.55443038]	[0.46357616 0.48275862 0.47341772]	[0.01791928 0.02009717 0.01804526]	10     	10 	10 	0        
45 	23.5867	[0.52763287 0.53944261 0.53822322]	[0.54377104 0.57586207 0.55443038]	[0.47377327 0.47413793 0.48438819]	[0.019343   0.02284111 0.01938084]	9.86986	10 	2  	0.846133 
46 	24.2513	[0.52892257 0.54046446 0.5395218 ]	[0.54377104 0.57586207 0.55443038]	[0.47572816 0.47413793 0.48523207]	[0.01896274 0.02246769 0.01898555]	9.93878	10 	5  	0.484094 
47 	23.9721	[0.52534599 0.53936393 0.53604174]	[0.54377104 0.57586207 0.55443038]	[0.44518272 0.46206897 0.45485232]	[0.02139329 0.02443597 0.02142346]	9.83108	10 	4  	0.80864  
48 	24.8408	[0.5248514  0.53743346 0.53538923]	[0.54377104 0.57586207 0.55443038]	[0. 0. 0.]                        	[0.04696848 0.0490984  0.04780083]	9.83221	10 	1  	0.972112 
49 	24.1896	[0.53083577 0.54454023 0.54150774]	[0.54530744 0.58103448 0.55780591]	[0.4770017  0.47413793 0.48776371]	[0.01802112 0.0198971  0.01805569]	9.86667	10 	3  	0.891939 
50 	22.8291	[0.52932988 0.54254396 0.53998379]	[0.54530744 0.58275862 0.55780591]	[0.4754386  0.46724138 0.48691983]	[0.02024534 0.02266799 0.02034469]	9.84768	10 	2  	0.926064 
51 	23.1522	[0.53095936 0.54387477 0.54176105]	[0.54983389 0.58275862 0.56118143]	[0.47340426 0.46034483 0.48523207]	[0.01922975 0.02636963 0.01935876]	9.98684	10 	9  	0.113951 
52 	23.7702	[0.52980856 0.54488393 0.54064146]	[0.55115512 0.58275862 0.5628692 ]	[0.48086522 0.48275862 0.49113924]	[0.01815055 0.02388663 0.01842754]	9.88235	10 	2  	0.83971  
53 	25.9651	[0.52749539 0.54487237 0.53852266]	[0.55115512 0.58275862 0.5628692 ]	[0.45742905 0.47241379 0.46751055]	[0.02096405 0.02896183 0.02135949]	9.87013	10 	7  	0.588872 
54 	28.6944	[0.53069304 0.55153504 0.54195726]	[0.56726094 0.60344828 0.58059072]	[0.47819063 0.48275862 0.48776371]	[0.01883969 0.02764563 0.01941562]	9.92903	10 	7  	0.378617 
55 	32.244 	[0.53366793 0.55982538 0.54532619]	[0.56726094 0.60344828 0.58059072]	[0.47797716 0.47413793 0.48776371]	[0.01775848 0.02700638 0.01845541]	9.87821	10 	1  	0.834688 
56 	34.4563	[0.53688849 0.56404568 0.54867908]	[0.56726094 0.60344828 0.58059072]	[0.48364888 0.48448276 0.49451477]	[0.01498145 0.02486573 0.01568723]	9.96815	10 	8  	0.208738 
57 	33.6709	[0.53833886 0.56657573 0.55020029]	[0.56726094 0.60344828 0.58059072]	[0.47841105 0.47758621 0.48945148]	[0.01664915 0.02472529 0.01741468]	9.87975	10 	8  	0.344166 
58 	31.0759	[0.53937021 0.56654739 0.55124592]	[0.56726094 0.60344828 0.58059072]	[0.48537005 0.48103448 0.49620253]	[0.01832721 0.02731248 0.01912836]	9.66038	10 	1  	1.14831  
59 	28.2602	[0.53565189 0.56145474 0.54745781]	[0.56726094 0.60344828 0.58059072]	[0.46843854 0.46724138 0.47848101]	[0.02536657 0.03496396 0.02630075]	9.55625	10 	1  	0.960123 
60 	26.8981	[0.53550093 0.56001285 0.54721807]	[0.56726094 0.60344828 0.58059072]	[0.47039474 0.47068966 0.48016878]	[0.02580121 0.03554714 0.02678135]	9.62112	10 	7  	0.545383 
61 	24.8561	[0.53912201 0.56519796 0.55103922]	[0.56726094 0.60344828 0.58059072]	[0.47069272 0.45689655 0.48270042]	[0.02725578 0.03732842 0.02835609]	9.49383	10 	7  	0.600894 
62 	23.4528	[0.53701814 0.56341231 0.54883384]	[0.56726094 0.60344828 0.58059072]	[0.46655518 0.47413793 0.47679325]	[0.02939354 0.03749632 0.03054181]	9.43558	10 	5  	0.692083 
63 	21.7774	[0.53727195 0.56275231 0.54916126]	[0.56726094 0.60344828 0.58059072]	[0.47516556 0.47413793 0.48523207]	[0.030846   0.04099362 0.03197464]	9.41463	10 	5  	0.670843 
64 	21.1349	[0.53610047 0.56172414 0.54797596]	[0.56726094 0.60344828 0.58059072]	[0.46945899 0.4637931  0.48101266]	[0.03287335 0.04260345 0.03406872]	9.27879	10 	1  	1.02448  
65 	21.2854	[0.5369865  0.56187162 0.54878247]	[0.56726094 0.60344828 0.58059072]	[0.46357616 0.47413793 0.47341772]	[0.0309163  0.04056965 0.03207161]	9.38554	10 	3  	0.847837 
66 	21.1372	[0.53728441 0.563535   0.54910432]	[0.56726094 0.60344828 0.58059072]	[0.47272727 0.44827586 0.48523207]	[0.03025618 0.03892446 0.03143561]	9.40719	10 	1  	0.95501  
67 	20.5432	[0.53422309 0.55917488 0.54594635]	[0.56726094 0.60344828 0.58059072]	[0.47395833 0.47068966 0.48523207]	[0.03238833 0.04153992 0.03356919]	9.2619 	10 	1  	1.24994  
68 	21.5023	[0.53411336 0.55579474 0.54568197]	[0.56726094 0.60344828 0.58059072]	[0.47088186 0.47413793 0.48101266]	[0.0292717  0.03959258 0.03031096]	9.48521	10 	3  	0.77005  
69 	20.8789	[0.52957387 0.55093306 0.54103251]	[0.56726094 0.60344828 0.58059072]	[0.46488294 0.47413793 0.47510549]	[0.03148896 0.04127273 0.03247719]	9.35294	10 	1  	1.09765  
70 	21.1545	[0.52579695 0.54845735 0.53720236]	[0.56726094 0.60344828 0.58059072]	[0.46127367 0.46206897 0.47257384]	[0.03211361 0.04064091 0.03318626]	9.37427	10 	4  	0.955277 
71 	21.0983	[0.52815495 0.54943865 0.53961338]	[0.56726094 0.60344828 0.58059072]	[0.4665493  0.45689655 0.47848101]	[0.0297421  0.03968083 0.03073571]	9.35465	10 	1  	1.279    
