balance,DEEP MAX,classifier,P1,P2,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,AUC,Deep,Training Time
0,10,knn,5,-,1,0.4482758620689655,0.9590865842055185,0.23214285714285715,0.984375,0.3058823529411765,0.971566265060241,112,2048,2016,32,86,26,0.9453703703703704,0.6082589285714286,10,14669.370908021927
0,10,dt,5,-,6,0.3418803418803419,0.9657366617719041,0.36363636363636365,0.9624390243902439,0.3524229074889868,0.9640850232103592,110,2050,1973,77,70,40,0.9319444444444445,0.6630376940133038,10,16625.95364332199
0,10,knn,5,-,6,0.55,0.9608490566037736,0.20952380952380953,0.9912408759124087,0.30344827586206896,0.9758083832335329,105,2055,2037,18,83,22,0.9532407407407407,0.6003823427181091,9,18645.71169114113
0,10,dt,5,-,1,0.2847222222222222,0.9692460317460317,0.39805825242718446,0.9499270782693242,0.3319838056680162,0.959489319911613,103,2057,1954,103,62,41,0.9236111111111112,0.6739926653482543,10,27069.372945547104
0,10,knn,5,-,7,0.5434782608695652,0.9593188268684958,0.22522522522522523,0.9897510980966325,0.3184713375796178,0.9742973816958925,111,2049,2028,21,86,25,0.950462962962963,0.6074881616609289,10,17427.744151115417
0,10,knn,5,-,2,0.5918367346938775,0.9616295594504974,0.2636363636363636,0.9902439024390244,0.36477987421383645,0.9757269887046384,110,2050,2030,20,81,29,0.9532407407407407,0.626940133037694,10,25502.88396668434
0,10,dt,5,-,2,0.31297709923664124,0.9640216855593888,0.35964912280701755,0.9560117302052786,0.3346938775510205,0.9600000000000001,114,2046,1956,90,73,41,0.924537037037037,0.6578304265061481,10,20587.875781297684
0,10,dt,5,-,7,0.3983739837398374,0.9695630829651448,0.44144144144144143,0.9638848218643241,0.41880341880341876,0.9667156142927069,111,2049,1975,74,62,49,0.937037037037037,0.7026631316528827,10,35490.62118983269
0,10,knn,5,-,3,0.5365853658536586,0.9613025011798018,0.21153846153846154,0.9907587548638133,0.30344827586206896,0.9758083832335329,104,2056,2037,19,82,22,0.9532407407407407,0.6011486082011375,10,20540.611249685287
0,10,knn,5,-,8,0.47540983606557374,0.9623630300142926,0.26851851851851855,0.9844054580896686,0.3431952662721894,0.9732594555528787,108,2052,2020,32,79,29,0.9486111111111111,0.6264619883040936,10,30115.46434378624
