   	       	                           fitness                           	              size              
   	       	-------------------------------------------------------------	--------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std     
0  	1.21687	[ 0.5238572] 	[ 0.59132028]	[ 0.43869617]	[ 0.03187409]	2.90099	9  	1  	2.12251 
1  	1.49559	[ 0.53129478]	[ 0.61505682]	[ 0.42733254]	[ 0.03609714]	3.75248	10 	1  	2.6566  
2  	1.68627	[ 0.53770163]	[ 0.61505682]	[ 0.45245215]	[ 0.03598898]	4.52475	10 	1  	2.76325 
3  	2.04655	[ 0.55171409]	[ 0.62593451]	[ 0.44650867]	[ 0.03525464]	5.80198	10 	1  	2.76477 
4  	2.85883	[ 0.55941519]	[ 0.62593451]	[ 0.46639504]	[ 0.03415392]	7.30693	10 	1  	2.00861 
5  	3.33558	[ 0.5635596] 	[ 0.62914922]	[ 0.42131429]	[ 0.03592858]	8.33663	10 	3  	1.4575  
6  	3.75523	[ 0.57495877]	[ 0.63273774]	[ 0.46022727]	[ 0.02955189]	8.76238	10 	2  	1.24398 
7  	3.81751	[ 0.57927935]	[ 0.6543436] 	[ 0.48721591]	[ 0.03440484]	8.84158	10 	1  	1.48746 
8  	3.8274 	[ 0.57592474]	[ 0.65494169]	[ 0.]        	[ 0.06816277]	9.28713	10 	2  	1.26128 
9  	3.87784	[ 0.58490528]	[ 0.6543436] 	[ 0.4590311] 	[ 0.03808069]	9.37624	10 	1  	1.43404 
10 	4.061  	[ 0.58925621]	[ 0.6543436] 	[ 0.46587171]	[ 0.04130274]	9.60396	10 	2  	1.09977 
11 	4.05669	[ 0.59361676]	[ 0.6543436] 	[ 0.50067285]	[ 0.03297335]	9.73267	10 	5  	0.807037
12 	3.99473	[ 0.60061097]	[ 0.6543436] 	[ 0.48452452]	[ 0.03759771]	9.72277	10 	7  	0.784993
13 	3.85932	[ 0.59441137]	[ 0.65811902]	[ 0.4643765] 	[ 0.0441506] 	9.57426	10 	4  	1.09315 
14 	3.9079 	[ 0.59655094]	[ 0.65983852]	[ 0.47476824]	[ 0.03912724]	9.74257	10 	6  	0.766288
15 	3.74878	[ 0.59182139]	[ 0.66230562]	[ 0.]        	[ 0.07175781]	9.44554	10 	2  	1.51216 
16 	3.91977	[ 0.60015722]	[ 0.66230562]	[ 0.4880009] 	[ 0.0341846] 	9.75248	10 	6  	0.723111
17 	3.88855	[ 0.59773416]	[ 0.66230562]	[ 0.48003888]	[ 0.04123113]	9.52475	10 	2  	1.47986 
18 	3.61544	[ 0.60186895]	[ 0.66230562]	[ 0.46994617]	[ 0.04114867]	9.43564	10 	2  	1.67341 
19 	3.78574	[ 0.60842458]	[ 0.68189294]	[ 0.50108403]	[ 0.04164365]	9.81188	10 	4  	0.74079 
20 	3.63257	[ 0.60724728]	[ 0.68189294]	[ 0.48063696]	[ 0.04183999]	9.66337	10 	2  	1.36634 
21 	3.68298	[ 0.61930745]	[ 0.68189294]	[ 0.50545754]	[ 0.03650597]	9.82178	10 	6  	0.569802
22 	3.48094	[ 0.61373703]	[ 0.68189294]	[ 0.49106609]	[ 0.04245621]	9.44554	10 	1  	1.66189 
23 	3.62472	[ 0.60773989]	[ 0.68189294]	[ 0.48366477]	[ 0.05002076]	9.64356	10 	1  	1.45958 
24 	3.70184	[ 0.61279179]	[ 0.68189294]	[ 0.49342105]	[ 0.04009336]	9.75248	10 	2  	1.0187  
25 	3.56734	[ 0.6093428] 	[ 0.68189294]	[ 0.4277811] 	[ 0.04423955]	9.60396	10 	1  	1.44934 
26 	3.58981	[ 0.6040507] 	[ 0.68189294]	[ 0.]        	[ 0.07588976]	9.68317	10 	1  	1.16832 
27 	3.7062 	[ 0.60956782]	[ 0.68189294]	[ 0.45974133]	[ 0.04732283]	9.67327	10 	2  	1.10004 
28 	3.57655	[ 0.61885074]	[ 0.68189294]	[ 0.47420754]	[ 0.04008042]	9.63366	10 	3  	1.23258 
29 	3.55748	[ 0.60597153]	[ 0.68189294]	[ 0.4590311] 	[ 0.04780616]	9.64356	10 	3  	0.939603
30 	3.62683	[ 0.61486362]	[ 0.68189294]	[ 0.4611244] 	[ 0.04222915]	9.58416	10 	7  	0.8818  
31 	3.55927	[ 0.61446317]	[ 0.68189294]	[ 0.50108403]	[ 0.04079435]	9.34653	10 	3  	1.28538 
32 	3.68767	[ 0.61843771]	[ 0.68320126]	[ 0.47368421]	[ 0.04156727]	9.59406	10 	1  	1.20377 
33 	3.44866	[ 0.61312007]	[ 0.68320126]	[ 0.39170903]	[ 0.05259978]	9.31683	10 	2  	1.46193 
34 	3.55434	[ 0.61448501]	[ 0.68320126]	[ 0.47357207]	[ 0.0438963] 	9.62376	10 	6  	0.842574
35 	3.47584	[ 0.6083154] 	[ 0.68320126]	[ 0.4590311] 	[ 0.0519546] 	9.25743	10 	1  	1.73863 
36 	3.54235	[ 0.6193737] 	[ 0.68933164]	[ 0.44972339]	[ 0.04840986]	9.41584	10 	2  	1.36626 
37 	3.36131	[ 0.6141286] 	[ 0.68933164]	[ 0.48747757]	[ 0.04628892]	9.38614	10 	3  	1.34952 
38 	3.5134 	[ 0.61968828]	[ 0.69295754]	[ 0.43634121]	[ 0.05229319]	9.73267	10 	2  	0.983941
39 	3.33104	[ 0.61537289]	[ 0.69830293]	[ 0.47600179]	[ 0.05319354]	9.55446	10 	1  	1.63183 
40 	3.45733	[ 0.62133117]	[ 0.70133074]	[ 0.]        	[ 0.07405884]	9.84158	10 	1  	0.951629
