   	       	                           fitness                           	              size              
   	       	-------------------------------------------------------------	--------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std     
0  	7.9145 	[ 0.50831226]	[ 0.53959261]	[ 0.4891407] 	[ 0.01087686]	3.11881	10 	1  	2.39755 
1  	9.26249	[ 0.51091974]	[ 0.53982868]	[ 0.48630784]	[ 0.01316853]	3.9604 	10 	1  	2.78227 
2  	11.8536	[ 0.50925321]	[ 0.53982868]	[ 0.]        	[ 0.05274425]	4.72277	10 	1  	2.94208 
3  	11.5304	[ 0.51798553]	[ 0.54053689]	[ 0.48796034]	[ 0.01558622]	5.61386	10 	1  	2.95166 
4  	15.0371	[ 0.51621282]	[ 0.56599892]	[ 0.48654391]	[ 0.0164175] 	7.29703	10 	1  	2.64592 
5  	15.2312	[ 0.52153696]	[ 0.56599892]	[ 0.4891407] 	[ 0.01574017]	7.62376	10 	1  	2.54018 
6  	15.667 	[ 0.52195134]	[ 0.56599892]	[ 0.48819641]	[ 0.01697403]	7.73267	10 	2  	2.52861 
7  	17.0711	[ 0.52255704]	[ 0.56599892]	[ 0.48819641]	[ 0.01646721]	8.09901	10 	2  	2.48363 
8  	17.7197	[ 0.52414877]	[ 0.56599892]	[ 0.48984891]	[ 0.0169525] 	8.42574	10 	1  	2.29224 
9  	17.9565	[ 0.52267625]	[ 0.56623499]	[ 0.48701605]	[ 0.01926579]	8.27723	10 	2  	2.18509 
10 	17.8427	[ 0.52695726]	[ 0.56623499]	[ 0.48984891]	[ 0.02173827]	8.25743	10 	2  	2.13251 
11 	17.4297	[ 0.52994973]	[ 0.56623499]	[ 0.48890463]	[ 0.02300781]	8.27723	10 	3  	2.01538 
12 	17.9249	[ 0.53268843]	[ 0.57459868]	[ 0.48984891]	[ 0.02526597]	8.17822	10 	3  	2.29677 
13 	17.5547	[ 0.53194081]	[ 0.57459868]	[ 0.48843248]	[ 0.02801619]	8.21782	10 	3  	2.17822 
14 	16.8624	[ 0.53925503]	[ 0.57459868]	[ 0.48890463]	[ 0.02599322]	8.15842	10 	2  	2.16513 
15 	15.9033	[ 0.5416064] 	[ 0.57459868]	[ 0.48890463]	[ 0.02916159]	8.24752	10 	3  	1.91609 
16 	16.5248	[ 0.54166617]	[ 0.57459868]	[ 0.48772427]	[ 0.02930239]	8.43564	10 	3  	1.70854 
17 	13.7023	[ 0.54186918]	[ 0.57389046]	[ 0.48984891]	[ 0.02974502]	8.39604	10 	3  	1.73536 
18 	13.5502	[ 0.54364723]	[ 0.56623499]	[ 0.48984891]	[ 0.02882275]	8.19802	10 	2  	1.67107 
19 	12.3773	[ 0.54203981]	[ 0.56647106]	[ 0.48984891]	[ 0.02910881]	8.23762	10 	3  	1.49685 
20 	12.3457	[ 0.5445795] 	[ 0.56647106]	[ 0.48984891]	[ 0.0275291] 	8.13861	10 	2  	1.93984 
21 	12.1468	[ 0.54420385]	[ 0.56647106]	[ 0.48890463]	[ 0.03016265]	8.35644	10 	2  	1.854   
22 	11.8819	[ 0.54776229]	[ 0.56647106]	[ 0.48984891]	[ 0.02783991]	8.35644	10 	4  	1.63855 
23 	12.3277	[ 0.55077546]	[ 0.56647106]	[ 0.48961284]	[ 0.02596116]	8.76238	10 	5  	1.35082 
24 	11.2791	[ 0.55167534]	[ 0.56647106]	[ 0.48819641]	[ 0.02682733]	8.49505	10 	3  	1.5519  
25 	12.9047	[ 0.54801873]	[ 0.56647106]	[ 0.48253069]	[ 0.02831904]	8.74257	10 	1  	1.45325 
26 	12.3297	[ 0.54863412]	[ 0.56647106]	[ 0.48984891]	[ 0.02686843]	8.60396	10 	5  	1.31314 
27 	12.0874	[ 0.5459779] 	[ 0.56647106]	[ 0.48866856]	[ 0.02892546]	8.61386	10 	2  	1.53488 
28 	12.1253	[ 0.54882679]	[ 0.56647106]	[ 0.48961284]	[ 0.02844217]	8.66337	10 	4  	1.56874 
29 	12.4494	[ 0.54815196]	[ 0.56647106]	[ 0.4891407] 	[ 0.02838627]	8.55446	10 	3  	1.53813 
30 	12.4699	[ 0.54861309]	[ 0.56647106]	[ 0.48984891]	[ 0.02771204]	8.59406	10 	5  	1.36562 
31 	12.6076	[ 0.55279359]	[ 0.56647106]	[ 0.48489141]	[ 0.0257867] 	8.53465	10 	1  	1.79969 
32 	12.7168	[ 0.55123926]	[ 0.56647106]	[ 0.48984891]	[ 0.02697313]	8.51485	10 	3  	1.59587 
33 	13.1289	[ 0.54622499]	[ 0.56647106]	[ 0.4891407] 	[ 0.02787929]	8.10891	10 	3  	1.55367 
34 	12.6107	[ 0.55041985]	[ 0.56647106]	[ 0.48654391]	[ 0.0272277] 	7.82178	10 	3  	1.64345 
35 	12.6742	[ 0.54714023]	[ 0.56647106]	[ 0.48984891]	[ 0.02797832]	7.9901 	10 	3  	1.7032  
36 	12.8917	[ 0.54753123]	[ 0.56647106]	[ 0.48984891]	[ 0.02675478]	8.10891	10 	4  	1.48191 
37 	12.2774	[ 0.54794795]	[ 0.56647106]	[ 0.48937677]	[ 0.02834709]	8.10891	10 	3  	1.47521 
38 	12.6243	[ 0.5508329] 	[ 0.56647106]	[ 0.4891407] 	[ 0.02595986]	8.25743	10 	3  	1.41179 
39 	12.5132	[ 0.55003786]	[ 0.56647106]	[ 0.48677998]	[ 0.02599683]	8.24752	10 	3  	1.65551 
40 	13.0599	[ 0.5493006] 	[ 0.56647106]	[ 0.48984891]	[ 0.02656345]	8.30693	10 	3  	1.74482 
41 	12.3572	[ 0.54310363]	[ 0.56647106]	[ 0.]        	[ 0.06095301]	8.51485	10 	3  	1.66866 
42 	10.9894	[ 0.54647041]	[ 0.56647106]	[ 0.48984891]	[ 0.02828529]	8.49505	10 	1  	1.74415 
43 	11.006 	[ 0.55118917]	[ 0.56647106]	[ 0.48843248]	[ 0.02565727]	8.65347	10 	3  	1.57603 
44 	11.3756	[ 0.55166165]	[ 0.56647106]	[ 0.48937677]	[ 0.02593932]	8.54455	10 	3  	1.5703  
45 	10.9928	[ 0.54903481]	[ 0.56647106]	[ 0.48984891]	[ 0.02662213]	8.30693	10 	1  	2.03797 
46 	11.4842	[ 0.54993402]	[ 0.56647106]	[ 0.47898961]	[ 0.02722654]	8.57426	10 	4  	1.55013 
47 	11.3579	[ 0.55487817]	[ 0.56647106]	[ 0.48984891]	[ 0.02273384]	8.61386	10 	4  	1.50228 
48 	10.2078	[ 0.55193111]	[ 0.56647106]	[ 0.48984891]	[ 0.02604669]	8.56436	10 	2  	1.61929 
49 	10.316 	[ 0.55237688]	[ 0.56647106]	[ 0.48984891]	[ 0.02562775]	8.44554	10 	2  	1.58255 
50 	10.6753	[ 0.55118417]	[ 0.56647106]	[ 0.4891407] 	[ 0.02674593]	8.41584	10 	2  	1.71347 
51 	10.3202	[ 0.55347643]	[ 0.56647106]	[ 0.48984891]	[ 0.02441614]	8.60396	10 	2  	1.48976 
52 	10.9661	[ 0.54986891]	[ 0.56647106]	[ 0.48937677]	[ 0.02769504]	8.54455	10 	3  	1.48607 
53 	11.2216	[ 0.55204097]	[ 0.56647106]	[ 0.48866856]	[ 0.02638585]	8.57426	10 	3  	1.49154 
54 	11.6371	[ 0.55287807]	[ 0.56647106]	[ 0.48984891]	[ 0.02414642]	8.75248	10 	1  	1.56955 
55 	11.725 	[ 0.54908022]	[ 0.56647106]	[ 0.48890463]	[ 0.02868413]	8.76238	10 	4  	1.27542 
56 	11.9756	[ 0.55731402]	[ 0.56647106]	[ 0.48984891]	[ 0.02138689]	9.12871	10 	3  	0.981647
57 	11.865 	[ 0.55428549]	[ 0.56647106]	[ 0.48984891]	[ 0.02437864]	9.25743	10 	5  	0.753256
58 	11.8162	[ 0.55037678]	[ 0.56647106]	[ 0.48843248]	[ 0.02868336]	9.08911	10 	3  	1.13538 
59 	12.7969	[ 0.54824779]	[ 0.56647106]	[ 0.48984891]	[ 0.02959018]	9.16832	10 	1  	1.15243 
60 	12.0266	[ 0.55207736]	[ 0.56647106]	[ 0.48984891]	[ 0.02699156]	9.16832	10 	4  	0.923503
61 	11.7475	[ 0.55330614]	[ 0.56647106]	[ 0.48937677]	[ 0.0253561] 	9.16832	10 	4  	0.955125
62 	11.2579	[ 0.55639778]	[ 0.56647106]	[ 0.48984891]	[ 0.02209446]	9.12871	10 	1  	1.14029 
63 	10.8695	[ 0.55383939]	[ 0.56647106]	[ 0.48984891]	[ 0.02517905]	9.15842	10 	5  	0.941167
64 	11.6244	[ 0.55191275]	[ 0.56647106]	[ 0.48984891]	[ 0.02685515]	9.07921	10 	3  	1.14911 
65 	11.0274	[ 0.55054707]	[ 0.56647106]	[ 0.48937677]	[ 0.02749909]	9.16832	10 	3  	1.04426 
66 	11.5274	[ 0.55386042]	[ 0.56647106]	[ 0.48984891]	[ 0.02395695]	9.21782	10 	6  	0.896682
67 	11.0211	[ 0.55583515]	[ 0.56647106]	[ 0.48984891]	[ 0.02262099]	9.08911	10 	4  	1.12663 
68 	10.8212	[ 0.55579207]	[ 0.56647106]	[ 0.48866856]	[ 0.02395801]	9.12871	10 	5  	0.940438
69 	11.6195	[ 0.55171775]	[ 0.56647106]	[ 0.48984891]	[ 0.02707638]	9.30693	10 	7  	0.767439
70 	10.6329	[ 0.55812875]	[ 0.56647106]	[ 0.48984891]	[ 0.01950293]	9      	10 	1  	1.62286 
71 	11.4012	[ 0.55791872]	[ 0.56647106]	[ 0.48984891]	[ 0.02091741]	9.07921	10 	1  	1.25614 
72 	12.4197	[ 0.55817984]	[ 0.56647106]	[ 0.48559962]	[ 0.0216272] 	9.14851	10 	6  	0.926893
73 	11.7542	[ 0.55717979]	[ 0.56647106]	[ 0.48984891]	[ 0.02230128]	8.87129	10 	1  	1.30242 
74 	12.3358	[ 0.55847301]	[ 0.56647106]	[ 0.48961284]	[ 0.01946603]	8.9703 	10 	3  	1.07589 
75 	12.8065	[ 0.54868788]	[ 0.56647106]	[ 0.48016997]	[ 0.02949185]	8.9604 	10 	2  	1.2814  
76 	12.6287	[ 0.55233147]	[ 0.56647106]	[ 0.48984891]	[ 0.02585328]	8.75248	10 	2  	1.41005 
77 	12.2726	[ 0.55716343]	[ 0.56647106]	[ 0.4891407] 	[ 0.02271214]	8.81188	10 	6  	1.05973 
78 	12.5146	[ 0.55778316]	[ 0.56647106]	[ 0.48654391]	[ 0.02068305]	8.82178	10 	4  	1.20556 
79 	12.5653	[ 0.55562078]	[ 0.56647106]	[ 0.48984891]	[ 0.02289401]	8.69307	10 	2  	1.42636 
80 	12.5115	[ 0.55425143]	[ 0.56647106]	[ 0.48984891]	[ 0.02435195]	8.74257	10 	1  	1.68072 
81 	12.6229	[ 0.55416061]	[ 0.56647106]	[ 0.48984891]	[ 0.02444368]	8.66337	10 	1  	1.52392 
82 	12.8773	[ 0.55432155]	[ 0.56647106]	[ 0.48984891]	[ 0.02497241]	8.78218	10 	1  	1.37592 
83 	12.9142	[ 0.5526794] 	[ 0.56647106]	[ 0.48961284]	[ 0.02633559]	8.91089	10 	4  	1.13538 
84 	12.7885	[ 0.55242496]	[ 0.56647106]	[ 0.48984891]	[ 0.02762137]	8.77228	10 	2  	1.4616  
85 	13.6924	[ 0.5526223] 	[ 0.56647106]	[ 0.48843248]	[ 0.02603541]	8.83168	10 	5  	0.965435
86 	12.7487	[ 0.54887587]	[ 0.56647106]	[ 0.48984891]	[ 0.02884628]	8.51485	10 	2  	1.35423 
87 	12.1714	[ 0.55378596]	[ 0.56647106]	[ 0.48984891]	[ 0.02466052]	8.62376	10 	1  	1.38487 
88 	12.6139	[ 0.55123459]	[ 0.56647106]	[ 0.48961284]	[ 0.02813515]	8.89109	10 	3  	0.953378
89 	11.8457	[ 0.55028095]	[ 0.56647106]	[ 0.48984891]	[ 0.02716812]	8.72277	10 	1  	1.65379 
90 	12.7691	[ 0.55457599]	[ 0.56647106]	[ 0.48984891]	[ 0.02484942]	8.90099	10 	5  	1.1647  
91 	13.1855	[ 0.54278275]	[ 0.56647106]	[ 0.]        	[ 0.06139084]	8.68317	10 	1  	1.49541 
92 	14.189 	[ 0.55189639]	[ 0.56647106]	[ 0.48866856]	[ 0.0266176] 	8.84158	10 	3  	1.50729 
93 	14.6888	[ 0.55224632]	[ 0.56647106]	[ 0.48961284]	[ 0.02603378]	8.75248	10 	1  	1.53123 
94 	13.9148	[ 0.55277156]	[ 0.56647106]	[ 0.48984891]	[ 0.02476802]	8.60396	10 	2  	1.60494 
95 	14.0505	[ 0.55218221]	[ 0.56647106]	[ 0.4874882] 	[ 0.02630379]	8.73267	10 	3  	1.38515 
96 	14.6791	[ 0.54879072]	[ 0.56647106]	[ 0.48961284]	[ 0.0277091] 	8.70297	10 	2  	1.74937 
97 	14.6831	[ 0.55369481]	[ 0.56647106]	[ 0.48984891]	[ 0.0244993] 	8.9802 	10 	3  	1.39291 
98 	13.7288	[ 0.55587889]	[ 0.56647106]	[ 0.48984891]	[ 0.02195332]	8.83168	10 	1  	1.62328 
99 	14.5638	[ 0.55894682]	[ 0.56647106]	[ 0.48984891]	[ 0.01864047]	9.07921	10 	5  	1.07798 
100	14.295 	[ 0.55457365]	[ 0.56647106]	[ 0.48819641]	[ 0.02524423]	8.49505	10 	1  	1.77788 
101	15.6022	[ 0.55133977]	[ 0.56647106]	[ 0.48796034]	[ 0.02675559]	8.93069	10 	6  	1.29169 
102	15.7975	[ 0.55223731]	[ 0.56647106]	[ 0.49055713]	[ 0.02595875]	9.08911	10 	2  	1.30573 
103	15.0516	[ 0.55401102]	[ 0.56647106]	[ 0.48984891]	[ 0.02378292]	8.69307	10 	5  	1.34048 
104	14.7883	[ 0.55214982]	[ 0.56647106]	[ 0.48984891]	[ 0.02653075]	8.82178	10 	4  	1.24595 
105	15.2876	[ 0.55444176]	[ 0.56647106]	[ 0.4891407] 	[ 0.02320768]	9.13861	10 	7  	1.07196 
106	14.2822	[ 0.55203296]	[ 0.56647106]	[ 0.48984891]	[ 0.0252503] 	8.80198	10 	1  	1.65918 
107	15.2157	[ 0.55585251]	[ 0.56647106]	[ 0.48984891]	[ 0.02211002]	8.87129	10 	1  	1.73869 
108	15.3459	[ 0.5572626] 	[ 0.56647106]	[ 0.49113045]	[ 0.02101408]	8.9505 	10 	1  	1.72562 
109	16.4095	[ 0.55217219]	[ 0.56647106]	[ 0.]        	[ 0.05875343]	9.29703	10 	4  	1.11288 
110	15.9224	[ 0.56041634]	[ 0.56647106]	[ 0.48890463]	[ 0.01700073]	9.18812	10 	1  	1.29518 
111	15.751 	[ 0.55086161]	[ 0.56647106]	[ 0.]        	[ 0.05951564]	8.9901 	10 	5  	1.26252 
112	16.05  	[ 0.55612364]	[ 0.56647106]	[ 0.48866856]	[ 0.02314264]	9.09901	10 	2  	1.31635 
113	15.798 	[ 0.55991648]	[ 0.56647106]	[ 0.48984891]	[ 0.01679549]	8.87129	10 	2  	1.41185 
114	16.281 	[ 0.55320363]	[ 0.56647106]	[ 0.4891407] 	[ 0.02494307]	8.9703 	10 	2  	1.48561 
115	15.6564	[ 0.55406377]	[ 0.56647106]	[ 0.48984891]	[ 0.0244891] 	9.05941	10 	3  	1.39888 
