   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	6.34825	[ 0.50959706]	[ 0.62860887]	[ 0.49669187]	[ 0.0197527] 	3.09901	10 	1  	2.22722  
1  	10.0061	[ 0.52380134]	[ 0.63286218]	[ 0.49716446]	[ 0.02947134]	4.87129	10 	1  	2.76707  
2  	14.7246	[ 0.54710457]	[ 0.66349459]	[ 0.49621928]	[ 0.04241055]	6.38614	10 	1  	2.42091  
3  	20.0739	[ 0.57079999]	[ 0.66349459]	[ 0.481569]  	[ 0.04717296]	7.64356	10 	1  	1.96798  
4  	25.3071	[ 0.61072213]	[ 0.6774145] 	[ 0.5]       	[ 0.03544981]	8.50495	10 	4  	1.24776  
5  	25.922 	[ 0.62223465]	[ 0.68858481]	[ 0.50262073]	[ 0.03487883]	8.61386	10 	7  	1.16015  
6  	26.2001	[ 0.62829005]	[ 0.68884258]	[ 0.5]       	[ 0.04318655]	8.9703 	10 	7  	0.989604 
7  	26.5611	[ 0.63843329]	[ 0.694127]  	[ 0.49692817]	[ 0.04468297]	9.16832	10 	4  	0.985733 
8  	27.3534	[ 0.65110304]	[ 0.694127]  	[ 0.5]       	[ 0.0457027] 	9.29703	10 	2  	1.11288  
9  	28.1911	[ 0.64968612]	[ 0.70162399]	[ 0.4956178] 	[ 0.0575479] 	9.45545	10 	3  	0.980248 
10 	27.2436	[ 0.66150235]	[ 0.70162399]	[ 0.49810964]	[ 0.05197416]	9.60396	10 	7  	0.614659 
11 	26.9635	[ 0.6535602] 	[ 0.70589878]	[ 0.49222375]	[ 0.06156486]	9.54455	10 	2  	1.20662  
12 	26.9868	[ 0.65756765]	[ 0.70364324]	[ 0.5]       	[ 0.06205477]	9.55446	10 	3  	0.927845 
13 	26.8959	[ 0.67141653]	[ 0.70907802]	[ 0.50214814]	[ 0.05028322]	9.65347	10 	7  	0.587589 
14 	26.7644	[ 0.66682973]	[ 0.70907802]	[ 0.49881853]	[ 0.05790659]	9.76238	10 	8  	0.469854 
15 	26.3785	[ 0.66727403]	[ 0.70907802]	[ 0.49123561]	[ 0.06193139]	9.63366	10 	6  	0.592407 
