   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	9.32614	[0.51040762]	[0.55750487]	[0.48586745]	[0.0127529] 	2.74257	10 	1  	2.27188  
1  	12.0034	[0.51419287]	[0.57797271]	[0.47782651]	[0.01580577]	3.78218	10 	1  	2.9336   
2  	12.8319	[0.5214618] 	[0.57894737]	[0.48269981]	[0.01895712]	5.0198 	10 	1  	3.09896  
3  	17.1832	[0.53029163]	[0.59868421]	[0.48148148]	[0.02494616]	6.60396	10 	1  	2.84963  
4  	22.8759	[0.54615154]	[0.59868421]	[0.48659844]	[0.02302753]	7.83168	10 	1  	1.78591  
5  	24.7606	[0.55308031]	[0.60964912]	[0.49147173]	[0.02666258]	7.66337	10 	3  	1.66071  
6  	31.5847	[0.56160375]	[0.60916179]	[0.49244639]	[0.02679089]	8.22772	10 	1  	1.79041  
7  	35.0856	[0.57059763]	[0.60721248]	[0.49756335]	[0.02440725]	8.61386	10 	6  	1.44859  
8  	36.0055	[0.57262897]	[0.60721248]	[0.49244639]	[0.02612395]	8.73267	10 	3  	1.47515  
9  	37.4046	[0.57321522]	[0.62134503]	[0.50365497]	[0.02392291]	8.75248	10 	5  	1.33057  
10 	37.2953	[0.57347094]	[0.62134503]	[0.50901559]	[0.02574465]	8.53465	10 	2  	1.46622  
11 	39.4457	[0.57452522]	[0.62134503]	[0.50194932]	[0.02613988]	8.83168	10 	6  	1.09064  
12 	41.0217	[0.57584728]	[0.62207602]	[0.49902534]	[0.02631043]	8.9802 	10 	6  	0.933218 
13 	42.6031	[0.5820354] 	[0.62207602]	[0.52119883]	[0.02089407]	9.08911	10 	6  	0.75909  
14 	43.7732	[0.58155772]	[0.62402534]	[0.49147173]	[0.02569342]	9.07921	10 	4  	0.981847 
15 	47.4306	[0.5874105] 	[0.63474659]	[0.50048733]	[0.0241772] 	9.19802	10 	6  	0.771007 
16 	49.1193	[0.58552632]	[0.63499025]	[0.50438596]	[0.02525443]	9.29703	10 	5  	0.725007 
17 	50.2887	[0.59021143]	[0.63547758]	[0.49269006]	[0.02646798]	9.48515	10 	7  	0.607117 
18 	51.0913	[0.59519329]	[0.65521442]	[0.49122807]	[0.0289736] 	9.37624	10 	7  	0.687246 
19 	51.7416	[0.59945139]	[0.65521442]	[0.52192982]	[0.02633315]	9.36634	10 	6  	0.829204 
20 	54.7244	[0.60664795]	[0.65521442]	[0.51169591]	[0.02828962]	9.47525	10 	8  	0.537579 
21 	56.2575	[0.60861898]	[0.65521442]	[0.52777778]	[0.02662335]	9.46535	10 	7  	0.668445 
22 	58.3955	[0.61288431]	[0.65521442]	[0.55019493]	[0.0266638] 	9.64356	10 	8  	0.518646 
23 	60.6003	[0.61256104]	[0.65984405]	[0.50389864]	[0.03233069]	9.64356	10 	6  	0.683384 
24 	62.4106	[0.61354535]	[0.66349903]	[0.50706628]	[0.03307842]	9.82178	10 	7  	0.475041 
25 	61.975 	[0.61169253]	[0.66349903]	[0.50268031]	[0.03465734]	9.76238	10 	5  	0.615775 
26 	64.0413	[0.61256586]	[0.66349903]	[0.52729045]	[0.03293246]	9.84158	10 	7  	0.461008 
27 	64.4856	[0.61666715]	[0.66349903]	[0.49317739]	[0.03373593]	9.83168	10 	4  	0.704572 
