   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	19.3263	[ 0.50071339]	[ 0.51255448]	[ 0.49828851]	[ 0.00257813]	2.52475	9  	1  	2.11358  
1  	27.628 	[ 0.50174201]	[ 0.52217498]	[ 0.49755501]	[ 0.00418775]	3.90099	10 	1  	2.70132  
2  	36.468 	[ 0.5030185] 	[ 0.52217498]	[ 0.49511002]	[ 0.00582609]	5.15842	10 	1  	2.84495  
3  	37.6609	[ 0.50362843]	[ 0.52964813]	[ 0.49657702]	[ 0.00610446]	5.53465	10 	1  	2.69787  
4  	52.5126	[ 0.50433509]	[ 0.52964813]	[ 0.49554587]	[ 0.00671058]	6.69307	10 	1  	2.51625  
5  	62.1999	[ 0.50584124]	[ 0.53350696]	[ 0.49608802]	[ 0.0087337] 	7.17822	10 	1  	2.26202  
6  	69.6598	[ 0.51127378]	[ 0.53858829]	[ 0.49706601]	[ 0.01104473]	7.77228	10 	3  	1.76815  
7  	72.688 	[ 0.51616639]	[ 0.53858829]	[ 0.49706601]	[ 0.01238747]	8.28713	10 	4  	1.45109  
8  	66.9508	[ 0.5198625] 	[ 0.53858829]	[ 0.49608802]	[ 0.01217016]	8.36634	10 	5  	1.32548  
9  	63.861 	[ 0.52319244]	[ 0.54728394]	[ 0.49608802]	[ 0.01095182]	8.63366	10 	7  	1.23258  
10 	64.9289	[ 0.52239916]	[ 0.54728394]	[ 0.49608802]	[ 0.01329542]	8.56436	10 	7  	1.23012  
11 	64.0154	[ 0.52360366]	[ 0.54728394]	[ 0.49847986]	[ 0.01428312]	8.70297	10 	5  	1.30152  
12 	65.3843	[ 0.52347483]	[ 0.54728394]	[ 0.49633252]	[ 0.0150051] 	8.89109	10 	2  	1.35633  
13 	67.324 	[ 0.52607306]	[ 0.54728394]	[ 0.49853301]	[ 0.01373193]	9.06931	10 	6  	1.12802  
14 	64.1729	[ 0.52328317]	[ 0.54728394]	[ 0.49657702]	[ 0.0151595] 	9.0198 	10 	3  	1.24264  
15 	68.1884	[ 0.52368975]	[ 0.54728394]	[ 0.49853301]	[ 0.0159271] 	9.37624	10 	5  	0.973424 
16 	72.174 	[ 0.52785791]	[ 0.54752844]	[ 0.49877751]	[ 0.01419778]	9.52475	10 	7  	0.827666 
17 	64.9   	[ 0.52544208]	[ 0.54752844]	[ 0.49413203]	[ 0.01517341]	9.32673	10 	5  	1.0158   
18 	68.4937	[ 0.52783023]	[ 0.54752844]	[ 0.49608802]	[ 0.01469556]	9.52475	10 	7  	0.76552  
19 	66.4069	[ 0.52919134]	[ 0.54752844]	[ 0.49828851]	[ 0.01323437]	9.58416	10 	7  	0.81164  
20 	66.042 	[ 0.52725925]	[ 0.54752844]	[ 0.49608802]	[ 0.01581612]	9.43564	10 	4  	1.04754  
21 	68.3382	[ 0.52567269]	[ 0.54752844]	[ 0.49706601]	[ 0.01511671]	9.74257	10 	7  	0.669764 
22 	66.6339	[ 0.5248793] 	[ 0.54752844]	[ 0.49559902]	[ 0.01546466]	9.73267	10 	7  	0.658397 
23 	68.0945	[ 0.52665226]	[ 0.54752844]	[ 0.49608802]	[ 0.0153771] 	9.62376	10 	6  	0.818735 
24 	66.0307	[ 0.52748038]	[ 0.54752844]	[ 0.49779951]	[ 0.01681611]	9.72277	10 	7  	0.746196 
25 	63.4363	[ 0.52848984]	[ 0.54777294]	[ 0.49706601]	[ 0.01805175]	9.72277	10 	5  	0.772277 
26 	66.4125	[ 0.53173948]	[ 0.54777294]	[ 0.49853301]	[ 0.01697455]	9.93069	10 	7  	0.379093 
27 	63.6515	[ 0.52793864]	[ 0.54777294]	[ 0.49853301]	[ 0.01673627]	9.83168	10 	7  	0.527826 
28 	66.4608	[ 0.52898474]	[ 0.54777294]	[ 0.499022]  	[ 0.01613478]	9.85149	10 	4  	0.70901  
29 	63.1279	[ 0.52973076]	[ 0.54850643]	[ 0.49804401]	[ 0.01673485]	9.9505 	10 	8  	0.294378 
30 	66.6119	[ 0.52960025]	[ 0.54850643]	[ 0.49682152]	[ 0.01663442]	9.82178	10 	7  	0.569802 
31 	66.0961	[ 0.53027101]	[ 0.54850643]	[ 0.499022]  	[ 0.01582742]	9.83168	10 	6  	0.645921 
32 	68.2179	[ 0.53018565]	[ 0.54850643]	[ 0.49657702]	[ 0.016821]  	9.81188	10 	7  	0.60873  
33 	67.6113	[ 0.52929512]	[ 0.54850643]	[ 0.49804401]	[ 0.01550295]	9.94059	10 	7  	0.367539 
34 	64.5393	[ 0.53110797]	[ 0.54850643]	[ 0.49731051]	[ 0.01569651]	9.83168	10 	7  	0.598171 
35 	66.9209	[ 0.53031459]	[ 0.55187626]	[ 0.49853301]	[ 0.01513535]	9.88119	10 	7  	0.531896 
36 	71.7227	[ 0.52938006]	[ 0.55187626]	[ 0.49511002]	[ 0.0172475] 	9.79208	10 	6  	0.708042 
37 	68.2187	[ 0.52796117]	[ 0.55187626]	[ 0.49853301]	[ 0.01606275]	9.89109	10 	7  	0.464609 
38 	74.1162	[ 0.52966476]	[ 0.55187626]	[ 0.49779951]	[ 0.01681363]	9.84158	10 	7  	0.592572 
39 	69.2669	[ 0.52964361]	[ 0.55187626]	[ 0.49828851]	[ 0.01571638]	9.92079	10 	7  	0.437888 
40 	70.6745	[ 0.53074622]	[ 0.55187626]	[ 0.49633252]	[ 0.01592284]	9.94059	10 	9  	0.236383 
41 	74.6434	[ 0.53200555]	[ 0.55187626]	[ 0.49633252]	[ 0.01704046]	9.89109	10 	7  	0.464609 
42 	69.6142	[ 0.5319122] 	[ 0.55187626]	[ 0.49853301]	[ 0.01798966]	9.87129	10 	7  	0.459517 
43 	65.3598	[ 0.53093746]	[ 0.55187626]	[ 0.49486553]	[ 0.01795543]	9.84158	10 	4  	0.699826 
44 	73.3084	[ 0.53070633]	[ 0.55187626]	[ 0.49706601]	[ 0.01849173]	9.92079	10 	7  	0.414661 
45 	67.3201	[ 0.53140288]	[ 0.55187626]	[ 0.49706601]	[ 0.01757621]	9.90099	10 	7  	0.410384 
46 	68.9314	[ 0.52946542]	[ 0.55187626]	[ 0.49731051]	[ 0.017868]  	9.93069	10 	7  	0.352008 
47 	67.4251	[ 0.53445738]	[ 0.55187626]	[ 0.49755501]	[ 0.01794676]	9.93069	10 	8  	0.352008 
48 	66.4027	[ 0.5286112] 	[ 0.55500159]	[ 0.49559902]	[ 0.01951425]	9.85149	10 	4  	0.775697 
49 	53.6955	[ 0.5316879] 	[ 0.55500159]	[ 0.48899756]	[ 0.01830083]	9.91089	10 	7  	0.447192 
50 	58.5849	[ 0.52648249]	[ 0.55500159]	[ 0.]        	[ 0.05595935]	9.92079	10 	7  	0.437888 
51 	56.2701	[ 0.53238277]	[ 0.55500159]	[ 0.49877751]	[ 0.01806305]	9.9505 	10 	8  	0.294378 
52 	56.8224	[ 0.52913914]	[ 0.55500159]	[ 0.49584352]	[ 0.01830205]	9.90099	10 	7  	0.410384 
53 	56.9462	[ 0.53377599]	[ 0.55500159]	[ 0.49706601]	[ 0.01755115]	9.9505 	10 	7  	0.326282 
54 	56.3614	[ 0.53349265]	[ 0.55500159]	[ 0.49682152]	[ 0.01892748]	9.90099	10 	6  	0.497617 
55 	64.2093	[ 0.53198513]	[ 0.55500159]	[ 0.49877751]	[ 0.0195789] 	9.9604 	10 	7  	0.312156 
56 	59.8515	[ 0.53485565]	[ 0.55500159]	[ 0.49682152]	[ 0.01911114]	9.9505 	10 	7  	0.326282 
57 	64.8395	[ 0.53678491]	[ 0.55500159]	[ 0.49657702]	[ 0.0181805] 	10     	10 	10 	0        
58 	62.8325	[ 0.53735306]	[ 0.55500159]	[ 0.49682152]	[ 0.0190736] 	9.9901 	10 	9  	0.0990099
59 	62.7005	[ 0.53599942]	[ 0.55500159]	[ 0.49633252]	[ 0.02008402]	10     	10 	10 	0        
60 	60.0737	[ 0.53597711]	[ 0.55500159]	[ 0.49608802]	[ 0.02037997]	9.91089	10 	4  	0.661517 
61 	59.6301	[ 0.53318279]	[ 0.55500159]	[ 0.49853301]	[ 0.01963589]	9.93069	10 	4  	0.601276 
62 	59.9576	[ 0.5318141] 	[ 0.55500159]	[ 0.49877751]	[ 0.01902994]	9.94059	10 	7  	0.339533 
63 	66.5802	[ 0.53279988]	[ 0.55500159]	[ 0.49779951]	[ 0.01887758]	9.94059	10 	8  	0.275098 
64 	62.9232	[ 0.52993673]	[ 0.55500159]	[ 0.49731051]	[ 0.01830959]	9.9604 	10 	7  	0.312156 
65 	63.9576	[ 0.53131647]	[ 0.55500159]	[ 0.499511]  	[ 0.01763301]	9.9901 	10 	9  	0.0990099
66 	63.3579	[ 0.5316858] 	[ 0.55500159]	[ 0.49657702]	[ 0.01868306]	10     	10 	10 	0        
67 	65.4641	[ 0.53017102]	[ 0.55500159]	[ 0.49725736]	[ 0.0195645] 	9.9802 	10 	9  	0.139319 
68 	60.3372	[ 0.52973907]	[ 0.55500159]	[ 0.49804401]	[ 0.01954958]	9.93069	10 	9  	0.253975 
69 	62.7654	[ 0.52931596]	[ 0.55500159]	[ 0.49804401]	[ 0.01700498]	9.9604 	10 	9  	0.195027 
70 	59.4918	[ 0.53285177]	[ 0.55500159]	[ 0.49339853]	[ 0.01790077]	9.93069	10 	8  	0.322657 
71 	59.8129	[ 0.53290587]	[ 0.55500159]	[ 0.49657702]	[ 0.0191973] 	9.94059	10 	8  	0.275098 
72 	63.5705	[ 0.531283]  	[ 0.55500159]	[ 0.49779951]	[ 0.01900482]	9.9703 	10 	9  	0.169767 
73 	62.998 	[ 0.53207081]	[ 0.55934942]	[ 0.49853301]	[ 0.01770241]	9.93069	10 	9  	0.253975 
74 	63.0831	[ 0.53250981]	[ 0.55934942]	[ 0.49755501]	[ 0.01950592]	9.93069	10 	4  	0.601276 
75 	61.5102	[ 0.53317226]	[ 0.55934942]	[ 0.49755501]	[ 0.0183918] 	9.9703 	10 	9  	0.169767 
76 	59.6448	[ 0.53427593]	[ 0.55934942]	[ 0.49144254]	[ 0.01991564]	9.91089	10 	7  	0.40047  
77 	63.6637	[ 0.53462105]	[ 0.55934942]	[ 0.49633252]	[ 0.01923179]	9.87129	10 	7  	0.520155 
78 	64.7712	[ 0.53472335]	[ 0.55934942]	[ 0.49779951]	[ 0.01966315]	9.9703 	10 	7  	0.29703  
79 	64.8886	[ 0.53239056]	[ 0.55934942]	[ 0.49657702]	[ 0.02006955]	9.92079	10 	7  	0.414661 
80 	64.3429	[ 0.53358274]	[ 0.55934942]	[ 0.49657702]	[ 0.02002368]	9.9802 	10 	8  	0.19802  
81 	64.3736	[ 0.53396775]	[ 0.55934942]	[ 0.49779951]	[ 0.01941004]	9.9703 	10 	7  	0.29703  
82 	62.3753	[ 0.53822285]	[ 0.55934942]	[ 0.49731051]	[ 0.01766377]	10     	10 	10 	0        
83 	61.1678	[ 0.53852471]	[ 0.55934942]	[ 0.49755501]	[ 0.01878547]	9.9802 	10 	9  	0.139319 
84 	67.4148	[ 0.53934694]	[ 0.55934942]	[ 0.49731051]	[ 0.01792128]	9.9505 	10 	8  	0.258566 
85 	63.2282	[ 0.53426288]	[ 0.55934942]	[ 0.49779951]	[ 0.01959067]	9.9505 	10 	6  	0.407267 
86 	64.7667	[ 0.53331698]	[ 0.55934942]	[ 0.49657702]	[ 0.01887764]	9.9703 	10 	7  	0.29703  
87 	65.729 	[ 0.53598626]	[ 0.55934942]	[ 0.49853301]	[ 0.01858547]	9.93069	10 	6  	0.450685 
88 	61.4657	[ 0.53282567]	[ 0.55934942]	[ 0.49657702]	[ 0.02036467]	9.93069	10 	6  	0.450685 
89 	66.4007	[ 0.53601373]	[ 0.55934942]	[ 0.49682152]	[ 0.02002302]	9.9505 	10 	5  	0.49505  
90 	61.4109	[ 0.53510647]	[ 0.55934942]	[ 0.49731051]	[ 0.0200051] 	9.84158	10 	2  	0.961977 
91 	65.0972	[ 0.53310743]	[ 0.55934942]	[ 0.49608802]	[ 0.02034514]	9.94059	10 	4  	0.594059 
92 	64.3673	[ 0.5320926] 	[ 0.55934942]	[ 0.49731051]	[ 0.0205315] 	9.9604 	10 	6  	0.39604  
93 	64.2498	[ 0.53069086]	[ 0.55934942]	[ 0.49511002]	[ 0.02111482]	9.86139	10 	4  	0.771134 
94 	63.2803	[ 0.53252149]	[ 0.55934942]	[ 0.49779951]	[ 0.01947036]	9.9604 	10 	7  	0.312156 
95 	61.5065	[ 0.53564841]	[ 0.55934942]	[ 0.49877751]	[ 0.01975393]	9.9802 	10 	8  	0.19802  
96 	66.0607	[ 0.53816886]	[ 0.55934942]	[ 0.49657702]	[ 0.02048698]	9.9604 	10 	6  	0.39604  
97 	60.9026	[ 0.53619803]	[ 0.55934942]	[ 0.49657702]	[ 0.02128967]	9.93069	10 	8  	0.290354 
98 	66.9768	[ 0.53542454]	[ 0.55934942]	[ 0.49828851]	[ 0.02055352]	9.9802 	10 	9  	0.139319 
99 	66.233 	[ 0.5319944] 	[ 0.55934942]	[ 0.49731051]	[ 0.02014477]	9.90099	10 	5  	0.605338 
100	61.9483	[ 0.5341952] 	[ 0.55934942]	[ 0.49804401]	[ 0.02001244]	9.9901 	10 	9  	0.0990099
101	66.076 	[ 0.53420973]	[ 0.55934942]	[ 0.49657702]	[ 0.02070074]	9.9505 	10 	5  	0.49505  
102	66.6527	[ 0.53701194]	[ 0.55934942]	[ 0.499511]  	[ 0.0191119] 	9.9505 	10 	5  	0.49505  
