   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	7.26194	[0.50719264]	[0.66959729]	[0.5]       	[0.02463704]	2.68317	9  	1  	1.97474  
1  	12.1437	[0.52086193]	[0.66959729]	[0.49439298]	[0.04024913]	4.48515	10 	1  	2.79538  
2  	16.9858	[0.54624329]	[0.67325404]	[0.49756216]	[0.05560004]	6.0099 	10 	1  	2.99668  
3  	21.7467	[0.58604314]	[0.70656292]	[0.49685542]	[0.06558377]	7.85149	10 	1  	2.27942  
4  	23.316 	[0.61789244]	[0.70656292]	[0.49804973]	[0.06048946]	8.36634	10 	1  	2.0716   
5  	22.0676	[0.63413337]	[0.74264288]	[0.5]       	[0.06450406]	8.81188	10 	1  	1.68695  
6  	21.3683	[0.65539792]	[0.7551161] 	[0.47944838]	[0.06393045]	9.0297 	10 	2  	1.4313   
7  	23.26  	[0.66168027]	[0.76008123]	[0.49149218]	[0.0711041] 	8.91089	10 	2  	1.59888  
8  	26.3329	[0.66735711]	[0.76021542]	[0.5]       	[0.07787689]	9.19802	10 	2  	1.46253  
9  	29.2127	[0.69948485]	[0.76174299]	[0.5]       	[0.0690335] 	9.49505	10 	3  	1.17418  
10 	30.537 	[0.69942309]	[0.77067351]	[0.5]       	[0.08221774]	9.59406	10 	2  	1.03578  
11 	32.5298	[0.71047953]	[0.76704136]	[0.5]       	[0.06798981]	9.55446	10 	3  	1.17292  
12 	32.3645	[0.71042929]	[0.77417594]	[0.49975622]	[0.07165481]	9.56436	10 	3  	1.01879  
13 	31.7723	[0.71988126]	[0.77417594]	[0.5]       	[0.06479315]	9.59406	10 	5  	0.677477 
14 	33.2612	[0.7346758] 	[0.77417594]	[0.49975622]	[0.05492421]	9.58416	10 	2  	0.903977 
15 	32.1408	[0.72310176]	[0.77417594]	[0.4921788] 	[0.0719589] 	9.47525	10 	6  	0.7392   
16 	31.5881	[0.72665534]	[0.77577284]	[0.5]       	[0.07343554]	9.55446	10 	1  	1.0481   
17 	32.194 	[0.72293718]	[0.77889729]	[0.49951243]	[0.0723185] 	9.62376	10 	2  	0.993558 
18 	32.0809	[0.734025]  	[0.77889729]	[0.5]       	[0.06767781]	9.67327	10 	2  	1.03512  
19 	31.7212	[0.72646061]	[0.77909635]	[0.49975622]	[0.07592763]	9.60396	10 	2  	1.18638  
20 	33.0038	[0.70517325]	[0.77909635]	[0.49366163]	[0.09312201]	9.62376	10 	1  	1.28087  
21 	32.3238	[0.72345637]	[0.77909635]	[0.49926865]	[0.07382262]	9.80198	10 	1  	0.944183 
22 	33.1069	[0.73670337]	[0.77909635]	[0.49975622]	[0.05874499]	9.92079	10 	8  	0.304526 
23 	32.8863	[0.72415448]	[0.77909635]	[0.49951243]	[0.07640172]	9.83168	10 	1  	0.985733 
24 	33.6961	[0.72554951]	[0.77909635]	[0.52264727]	[0.06796002]	9.94059	10 	8  	0.275098 
25 	33.8698	[0.72951429]	[0.77962864]	[0.5]       	[0.06108459]	9.90099	10 	9  	0.298675 
26 	32.7372	[0.72512211]	[0.77962864]	[0.49971149]	[0.074374]  	9.89109	10 	9  	0.311527 
27 	32.6862	[0.72473751]	[0.77962864]	[0.5]       	[0.07922272]	9.74257	10 	1  	1.03075  
28 	32.3403	[0.71996796]	[0.7836589] 	[0.49951243]	[0.08537758]	9.74257	10 	2  	1.14021  
29 	32.1134	[0.72194551]	[0.7836589] 	[0.49926865]	[0.08375216]	9.74257	10 	1  	1.01136  
30 	33.2527	[0.72300758]	[0.7836589] 	[0.49975622]	[0.07645865]	9.80198	10 	2  	0.879016 
31 	33.8489	[0.72688951]	[0.7836589] 	[0.49975622]	[0.07530423]	9.86139	10 	2  	0.820887 
32 	34.2033	[0.72397516]	[0.7836589] 	[0.47070572]	[0.08368918]	9.67327	10 	1  	1.14415  
33 	34.7342	[0.71997733]	[0.7836589] 	[0.49658703]	[0.08138467]	9.90099	10 	9  	0.298675 
34 	36.2423	[0.72642465]	[0.78374836]	[0.49975622]	[0.07522859]	9.67327	10 	1  	1.34318  
35 	38.1936	[0.73139339]	[0.78374836]	[0.5]       	[0.06825576]	9.82178	10 	1  	1.07534  
36 	38.0636	[0.74321001]	[0.78538999]	[0.5]       	[0.0670414] 	9.64356	10 	1  	1.51288  
37 	41.2539	[0.74037961]	[0.78538999]	[0.49951243]	[0.0635156] 	9.92079	10 	6  	0.480988 
38 	40.4563	[0.74361186]	[0.78538999]	[0.51105972]	[0.05729641]	9.91089	10 	5  	0.630873 
39 	39.3658	[0.74191131]	[0.78538999]	[0.5]       	[0.06062445]	9.92079	10 	6  	0.501151 
40 	39.9239	[0.74615774]	[0.78538999]	[0.5]       	[0.06107352]	9.87129	10 	2  	0.886235 
41 	40.4874	[0.73405773]	[0.78538999]	[0.5]       	[0.07647503]	9.68317	10 	1  	1.39965  
42 	41.5588	[0.75357131]	[0.78538999]	[0.5]       	[0.05194022]	9.9505 	10 	7  	0.355334 
43 	42.527 	[0.74606816]	[0.78636512]	[0.5]       	[0.05972541]	9.91089	10 	1  	0.891089 
44 	42.3528	[0.74761756]	[0.78685269]	[0.5]       	[0.05909459]	9.88119	10 	2  	0.882022 
45 	43.0766	[0.74968829]	[0.78685269]	[0.49439298]	[0.05884123]	9.9703 	10 	7  	0.29703  
46 	43.216 	[0.74855429]	[0.78685269]	[0.5]       	[0.06215943]	9.88119	10 	3  	0.799593 
47 	43.7164	[0.75488715]	[0.78685269]	[0.5]       	[0.05926267]	9.89109	10 	1  	0.899956 
48 	42.9526	[0.75145434]	[0.78685269]	[0.5]       	[0.05815399]	9.84158	10 	2  	1.11455  
49 	43.8398	[0.74705463]	[0.78685269]	[0.5]       	[0.06709423]	9.85149	10 	5  	0.749734 
50 	42.9951	[0.74997545]	[0.78685269]	[0.5]       	[0.06319831]	9.80198	10 	1  	1.21883  
51 	44.0481	[0.74789042]	[0.78685269]	[0.5093085] 	[0.05833151]	9.9901 	10 	9  	0.0990099
52 	44.3917	[0.75431537]	[0.78685269]	[0.5]       	[0.05707001]	9.86139	10 	1  	1.01503  
53 	44.3989	[0.7576122] 	[0.78685269]	[0.52515667]	[0.04909906]	10     	10 	10 	0        
54 	43.588 	[0.75177173]	[0.78880296]	[0.4889045] 	[0.0616545] 	9.91089	10 	5  	0.630873 
55 	44.5979	[0.75454963]	[0.79099701]	[0.5]       	[0.06379622]	9.9901 	10 	9  	0.0990099
56 	43.6193	[0.75086334]	[0.79099701]	[0.5]       	[0.06767631]	9.86139	10 	4  	0.820887 
57 	42.7196	[0.73848707]	[0.79099701]	[0.5]       	[0.07344919]	9.73267	10 	3  	1.10705  
58 	43.7277	[0.75351484]	[0.79099701]	[0.5]       	[0.05675431]	9.90099	10 	1  	0.895588 
59 	43.8237	[0.74845241]	[0.79099701]	[0.49975622]	[0.06951889]	9.85149	10 	3  	0.894274 
60 	42.3849	[0.74549454]	[0.79099701]	[0.5]       	[0.06715456]	9.77228	10 	1  	1.31165  
61 	43.9863	[0.75550997]	[0.79099701]	[0.5]       	[0.06514239]	9.85149	10 	4  	0.825175 
62 	43.2495	[0.74904385]	[0.79099701]	[0.5]       	[0.07218285]	9.77228	10 	1  	1.2177   
63 	43.379 	[0.74573946]	[0.79099701]	[0.5]       	[0.06817186]	9.87129	10 	4  	0.766416 
64 	43.5135	[0.75960522]	[0.79099701]	[0.5354336] 	[0.05056717]	9.9505 	10 	7  	0.355334 
65 	44.3719	[0.74666754]	[0.79099701]	[0.5]       	[0.06514426]	9.89109	10 	1  	0.899956 
66 	42.7938	[0.74307194]	[0.79099701]	[0.5]       	[0.06543753]	9.89109	10 	4  	0.716164 
67 	43.3304	[0.75219772]	[0.79099701]	[0.5]       	[0.06011411]	9.86139	10 	2  	0.901371 
68 	43.6004	[0.75642313]	[0.79099701]	[0.5]       	[0.06284521]	9.91089	10 	2  	0.79726  
69 	43.7325	[0.7529598] 	[0.79099701]	[0.5]       	[0.05933609]	9.87129	10 	5  	0.740128 
70 	44.1094	[0.75824492]	[0.79099701]	[0.50414879]	[0.05392833]	9.9802 	10 	8  	0.19802  
71 	44.1695	[0.74813238]	[0.79099701]	[0.5]       	[0.06134551]	9.9505 	10 	7  	0.355334 
72 	41.8243	[0.74256474]	[0.79099701]	[0.5]       	[0.07722867]	9.73267	10 	4  	1.20141  
73 	43.471 	[0.74210959]	[0.79099701]	[0.4994677] 	[0.07546804]	9.73267	10 	1  	1.39228  
