   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	1.82563	[0.54021389]	[0.67146382]	[0.45252691]	[0.04255345]	2.60396	10 	1  	2.02009  
1  	2.45925	[0.55344284]	[0.67146382]	[0.43933164]	[0.04697156]	4.20792	10 	1  	2.70795  
2  	3.24156	[0.57047609]	[0.69374252]	[0.45192883]	[0.05024408]	5      	10 	1  	2.66996  
3  	4.19991	[0.58831504]	[0.72039474]	[0.41230562]	[0.05538944]	6.57426	10 	1  	2.77666  
4  	4.72777	[0.60498854]	[0.72039474]	[0.4885616] 	[0.05675856]	7.64356	10 	1  	2.12754  
5  	5.66823	[0.62756222]	[0.72039474]	[0.47775867]	[0.05441991]	8.33663	10 	2  	1.59378  
6  	6.37896	[0.652821]  	[0.72517943]	[0.42254785]	[0.04717648]	8.92079	10 	2  	1.65118  
7  	7.18002	[0.66960257]	[0.73957087]	[0.51226077]	[0.04485962]	9.16832	10 	2  	1.49633  
8  	7.37477	[0.68306136]	[0.73957087]	[0.55255682]	[0.03429315]	9.57426	10 	5  	1.17184  
9  	7.26731	[0.69275842]	[0.73957087]	[0.58907745]	[0.03238289]	9.59406	10 	5  	1.26003  
10 	7.38924	[0.69584175]	[0.73957087]	[0.50067285]	[0.03604148]	9.49505	10 	5  	1.42554  
11 	6.92638	[0.69642318]	[0.74315939]	[0.5644064] 	[0.03381905]	9.25743	10 	5  	1.70992  
12 	7.05659	[0.69319477]	[0.74375748]	[0.49947667]	[0.04370262]	9.76238	10 	5  	0.955946 
13 	7.08893	[0.70150432]	[0.74383224]	[0.57464862]	[0.02836999]	9.91089	10 	5  	0.581889 
14 	7.19913	[0.70004908]	[0.74375748]	[0.55842554]	[0.0340057] 	9.83168	10 	5  	0.80922  
15 	7.27529	[0.69633028]	[0.74558911]	[0.49043062]	[0.03907684]	9.88119	10 	6  	0.567906 
16 	7.30234	[0.70523681]	[0.76170006]	[0.50713965]	[0.03528932]	9.89109	10 	5  	0.658546 
17 	7.39374	[0.70106723]	[0.76170006]	[0.52168062]	[0.04088196]	9.83168	10 	5  	0.868244 
18 	7.59146	[0.70848446]	[0.76170006]	[0.50949462]	[0.04173383]	9.89109	10 	5  	0.702203 
19 	7.32064	[0.70876981]	[0.76170006]	[0.56788278]	[0.03722549]	9.85149	10 	5  	0.848833 
20 	6.95134	[0.70356875]	[0.76170006]	[0.45488188]	[0.0552075] 	9.68317	10 	5  	1.16832  
21 	7.34258	[0.71824185]	[0.76170006]	[0.5663128] 	[0.03515986]	9.91089	10 	5  	0.630873 
22 	6.53976	[0.71658157]	[0.76170006]	[0.58219946]	[0.0366789] 	9.83168	10 	5  	0.845129 
23 	6.78757	[0.71936437]	[0.76170006]	[0.50003738]	[0.04634423]	9.79208	10 	5  	0.9154   
24 	7.32938	[0.71771556]	[0.76173744]	[0.54500598]	[0.04443328]	9.84158	10 	5  	0.817297 
25 	7.74077	[0.72358243]	[0.76536334]	[0.52097039]	[0.03989349]	9.89109	10 	5  	0.643336 
