   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	3.4784 	[ 0.5626225] 	[ 0.74603768]	[ 0.44852721]	[ 0.05345387]	2.43564	9  	1  	1.78783  
1  	4.72816	[ 0.58437419]	[ 0.74603768]	[ 0.45738636]	[ 0.06177335]	3.30693	9  	1  	2.23271  
2  	5.54474	[ 0.60773952]	[ 0.74603768]	[ 0.45035885]	[ 0.06153578]	3.24752	9  	1  	2.23565  
3  	7.72323	[ 0.60817661]	[ 0.74603768]	[ 0.38329844]	[ 0.06619364]	4.0495 	9  	1  	2.36884  
4  	8.06518	[ 0.62684459]	[ 0.74603768]	[ 0.44292016]	[ 0.05993757]	4.36634	10 	1  	2.48051  
5  	8.81824	[ 0.62456661]	[ 0.74603768]	[ 0.46258224]	[ 0.06883561]	4.84158	10 	1  	2.69114  
6  	8.59091	[ 0.63116036]	[ 0.74603768]	[ 0.44923744]	[ 0.07273676]	5.67327	10 	1  	2.38439  
7  	11.2913	[ 0.65251048]	[ 0.74603768]	[ 0.44441537]	[ 0.06488577]	6.62376	10 	1  	2.45293  
8  	10.3356	[ 0.66576497]	[ 0.74603768]	[ 0.44957386]	[ 0.07049845]	7.31683	10 	1  	2.38365  
9  	11.4118	[ 0.67741618]	[ 0.74798146]	[ 0.49880383]	[ 0.06837988]	7.16832	10 	1  	2.35918  
10 	10.7369	[ 0.69008517]	[ 0.77631579]	[ 0.49573864]	[ 0.06456535]	7.59406	10 	2  	2.03523  
11 	11.7158	[ 0.68469203]	[ 0.77631579]	[ 0.48493571]	[ 0.07052921]	7.36634	10 	1  	2.23262  
12 	12.2296	[ 0.69501087]	[ 0.77631579]	[ 0.5]       	[ 0.0618991] 	7.63366	10 	3  	1.93827  
13 	11.2618	[ 0.68622426]	[ 0.77631579]	[ 0.4761887] 	[ 0.07831862]	7.20792	10 	1  	2.1678   
14 	11.2365	[ 0.68878278]	[ 0.78427781]	[ 0.45215311]	[ 0.07306975]	7.48515	10 	1  	1.99809  
15 	14.4934	[ 0.68642485]	[ 0.78427781]	[ 0.48344049]	[ 0.08643151]	7.72277	10 	1  	1.71261  
16 	14.4124	[ 0.70494665]	[ 0.79029605]	[ 0.48751495]	[ 0.07527135]	7.88119	10 	1  	1.71935  
17 	15.1181	[ 0.71644574]	[ 0.79029605]	[ 0.44852721]	[ 0.07797151]	7.91089	10 	2  	1.80263  
18 	15.9627	[ 0.73283093]	[ 0.79403409]	[ 0.51401764]	[ 0.06180401]	8.27723	10 	3  	1.21963  
19 	14.7803	[ 0.73550529]	[ 0.80109898]	[ 0.49940191]	[ 0.06599451]	8.56436	10 	3  	1.08469  
20 	16.8934	[ 0.72931643]	[ 0.79403409]	[ 0.48927183]	[ 0.08134229]	8.53465	10 	3  	1.33916  
21 	16.4694	[ 0.72866579]	[ 0.80707984]	[ 0.45682566]	[ 0.08062099]	8.70297	10 	1  	1.38981  
22 	19.2958	[ 0.73605823]	[ 0.80707984]	[ 0.46486244]	[ 0.07619537]	8.91089	10 	5  	1.05398  
23 	17.4564	[ 0.74405134]	[ 0.80707984]	[ 0.49940191]	[ 0.06889815]	8.84158	10 	3  	1.52037  
24 	18.7137	[ 0.74977942]	[ 0.80707984]	[ 0.5]       	[ 0.07306146]	9.0198 	10 	1  	1.41407  
25 	16.1134	[ 0.74954292]	[ 0.80707984]	[ 0.51528858]	[ 0.06631675]	8.94059	10 	1  	1.76221  
26 	19.1121	[ 0.75116619]	[ 0.80767793]	[ 0.49286035]	[ 0.08018937]	9.24752	10 	2  	1.51171  
27 	18.0375	[ 0.7566093] 	[ 0.81066836]	[ 0.5]       	[ 0.07980161]	9.43564	10 	4  	1.11174  
28 	19.3679	[ 0.75809637]	[ 0.81545305]	[ 0.45970395]	[ 0.07846495]	9.63366	10 	5  	0.829204 
29 	18.5846	[ 0.77123687]	[ 0.81545305]	[ 0.47689892]	[ 0.06432552]	9.55446	10 	3  	1.33108  
30 	20.0823	[ 0.76982382]	[ 0.81545305]	[ 0.49719647]	[ 0.06328234]	9.72277	10 	4  	0.955638 
31 	23.9837	[ 0.77594495]	[ 0.81545305]	[ 0.49820574]	[ 0.06866902]	9.82178	10 	7  	0.475041 
32 	22.3774	[ 0.77466032]	[ 0.81545305]	[ 0.48755233]	[ 0.07159094]	9.83168	10 	4  	0.661072 
33 	24.0254	[ 0.76640185]	[ 0.81545305]	[ 0.48149671]	[ 0.07896226]	9.86139	10 	3  	0.731602 
34 	25.2728	[ 0.7870558] 	[ 0.81545305]	[ 0.5]       	[ 0.04988504]	9.83168	10 	3  	0.923503 
35 	22.8723	[ 0.75550972]	[ 0.81545305]	[ 0.49540221]	[ 0.0900186] 	9.67327	10 	3  	1.16983  
36 	21.9906	[ 0.76772089]	[ 0.81545305]	[ 0.49820574]	[ 0.07289016]	9.75248	10 	3  	0.883355 
37 	22.5797	[ 0.77966818]	[ 0.81545305]	[ 0.49338367]	[ 0.06069913]	9.85149	10 	3  	0.73641  
38 	22.2324	[ 0.78249206]	[ 0.81552781]	[ 0.50287829]	[ 0.05279759]	9.83168	10 	4  	0.661072 
39 	23.7042	[ 0.77080496]	[ 0.81552781]	[ 0.47117972]	[ 0.07662131]	9.72277	10 	3  	0.868808 
40 	22.1283	[ 0.77257516]	[ 0.81552781]	[ 0.5]       	[ 0.0648634] 	9.68317	10 	3  	1.10741  
41 	23.3825	[ 0.7721055] 	[ 0.81552781]	[ 0.496561]  	[ 0.06807944]	9.77228	10 	4  	0.806916 
42 	24.6864	[ 0.77707598]	[ 0.81552781]	[ 0.5]       	[ 0.06399282]	9.92079	10 	7  	0.363786 
43 	28.2582	[ 0.77112288]	[ 0.81552781]	[ 0.48994468]	[ 0.08009836]	9.9703 	10 	9  	0.169767 
44 	26.8392	[ 0.77307332]	[ 0.81552781]	[ 0.48807566]	[ 0.07174155]	9.79208	10 	3  	0.998185 
45 	27.7697	[ 0.7771933] 	[ 0.81552781]	[ 0.45402213]	[ 0.07325416]	9.84158	10 	3  	0.741055 
46 	27.3061	[ 0.77667479]	[ 0.81552781]	[ 0.49880383]	[ 0.07200736]	9.93069	10 	9  	0.253975 
47 	28.1028	[ 0.7721662] 	[ 0.81552781]	[ 0.49880383]	[ 0.07847753]	9.88119	10 	4  	0.633818 
