   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	69.6303	[ 0.50013787]	[ 0.51636364]	[ 0.49756098]	[ 0.00164045]	2.59406	10 	1  	1.97097  
1  	77.2433	[ 0.50004566]	[ 0.51636364]	[ 0.47549889]	[ 0.00310839]	3.77228	10 	1  	2.76069  
2  	72.0332	[ 0.50051195]	[ 0.51636364]	[ 0.4997561] 	[ 0.00218112]	4.67327	10 	1  	2.6555   
3  	79.8545	[ 0.5006687] 	[ 0.51636364]	[ 0.48906874]	[ 0.00313514]	5.65347	10 	1  	2.69372  
4  	87.3986	[ 0.50073895]	[ 0.51636364]	[ 0.49]      	[ 0.00311013]	7.05941	10 	1  	2.54785  
5  	90.9435	[ 0.5010845] 	[ 0.51742794]	[ 0.47906874]	[ 0.00428045]	7.85149	10 	1  	2.03137  
6  	99.4125	[ 0.50178745]	[ 0.51742794]	[ 0.47022173]	[ 0.00505773]	8.41584	10 	3  	1.43     
7  	99.3492	[ 0.49195144]	[ 0.51742794]	[ 0.]        	[ 0.07005123]	8.89109	10 	2  	1.37805  
8  	103.993	[ 0.50186253]	[ 0.51742794]	[ 0.49011086]	[ 0.00499687]	9.0198 	10 	2  	1.38578  
9  	98.5617	[ 0.50290751]	[ 0.52889135]	[ 0.4902439] 	[ 0.00601876]	9.21782	10 	2  	1.13978  
10 	99.6528	[ 0.50219951]	[ 0.52889135]	[ 0.47769401]	[ 0.00676218]	9.46535	10 	7  	0.752084 
11 	100.88 	[ 0.50181072]	[ 0.52889135]	[ 0.485898]  	[ 0.00527841]	9.36634	10 	8  	0.779982 
12 	99.9306	[ 0.50208557]	[ 0.52889135]	[ 0.48026608]	[ 0.00551806]	9.45545	10 	8  	0.652865 
13 	95.9727	[ 0.50144278]	[ 0.52889135]	[ 0.47184035]	[ 0.00630701]	9.54455	10 	8  	0.652865 
14 	96.1429	[ 0.50245154]	[ 0.52889135]	[ 0.49268293]	[ 0.00537506]	9.26733	10 	4  	1.1509   
15 	97.7962	[ 0.50157516]	[ 0.52889135]	[ 0.47831486]	[ 0.005875]  	9.13861	10 	1  	1.53526  
16 	100.85 	[ 0.50215122]	[ 0.52889135]	[ 0.48494457]	[ 0.00530111]	9.06931	10 	1  	1.56229  
17 	101.568	[ 0.50291146]	[ 0.52909091]	[ 0.48694013]	[ 0.00610571]	9.21782	10 	5  	1.01087  
18 	98.2638	[ 0.50104784]	[ 0.52909091]	[ 0.48634146]	[ 0.00559539]	8.9901 	10 	2  	1.29351  
19 	98.7363	[ 0.5020814] 	[ 0.52909091]	[ 0.49268293]	[ 0.00485203]	8.90099	10 	2  	1.44541  
20 	100.303	[ 0.50147395]	[ 0.5386031] 	[ 0.47166297]	[ 0.00754793]	8.9802 	10 	4  	1.0715   
21 	100.46 	[ 0.50134816]	[ 0.52909091]	[ 0.44161863]	[ 0.0081696] 	9.06931	10 	7  	0.84733  
22 	100.213	[ 0.50203245]	[ 0.52909091]	[ 0.49323725]	[ 0.00498604]	9.0495 	10 	1  	1.56936  
23 	95.5848	[ 0.50203245]	[ 0.52915743]	[ 0.48638581]	[ 0.00621316]	8.83168	10 	1  	1.79697  
24 	100.625	[ 0.50271564]	[ 0.54818182]	[ 0.45660754]	[ 0.00853563]	9.0099 	10 	1  	1.39657  
25 	93.9784	[ 0.50174486]	[ 0.54818182]	[ 0.45181818]	[ 0.00874742]	8.9703 	10 	1  	1.4104   
26 	94.9579	[ 0.5016959] 	[ 0.54818182]	[ 0.47988914]	[ 0.00768931]	9.26733	10 	1  	1.19314  
27 	99.9212	[ 0.5011857] 	[ 0.54818182]	[ 0.3802439] 	[ 0.01432304]	9.24752	10 	6  	0.860646 
28 	96.216 	[ 0.49692037]	[ 0.54818182]	[ 0.]        	[ 0.05013917]	9.08911	10 	3  	1.06333  
29 	90.5112	[ 0.50253233]	[ 0.54818182]	[ 0.46771619]	[ 0.0088493] 	9.19802	10 	3  	1.09923  
30 	87.2765	[ 0.50347588]	[ 0.54818182]	[ 0.48481153]	[ 0.00912049]	9.13861	10 	4  	0.965029 
31 	87.8867	[ 0.50341463]	[ 0.54818182]	[ 0.475898]  	[ 0.0099543] 	9.41584	10 	6  	0.678778 
32 	91.0069	[ 0.50296459]	[ 0.54818182]	[ 0.48423503]	[ 0.00871582]	9.43564	10 	1  	1.32318  
33 	89.836 	[ 0.49861123]	[ 0.54818182]	[ 0.]        	[ 0.05105327]	9.39604	10 	1  	1.2274   
34 	89.3153	[ 0.50421132]	[ 0.55886918]	[ 0.47124169]	[ 0.0132325] 	9.42574	10 	1  	1.1288   
35 	89.4423	[ 0.50283924]	[ 0.55886918]	[ 0.47290466]	[ 0.01066815]	9.18812	10 	2  	1.17493  
36 	87.5237	[ 0.5034311] 	[ 0.55886918]	[ 0.46272727]	[ 0.01146705]	9.15842	10 	2  	1.28766  
37 	85.9274	[ 0.50272859]	[ 0.55886918]	[ 0.46694013]	[ 0.01228706]	9.26733	10 	2  	0.973827 
38 	89.792 	[ 0.50275362]	[ 0.55886918]	[ 0.46452328]	[ 0.01148168]	9.30693	10 	2  	1.11464  
