   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	1.53603	[ 0.56774843]	[ 0.66383822]	[ 0.44000449]	[ 0.04720611]	2.41584	8  	1  	1.96639  
1  	1.65399	[ 0.59708389]	[ 0.72562799]	[ 0.49024372]	[ 0.04843547]	2.77228	9  	1  	2.19757  
2  	2.00555	[ 0.60749562]	[ 0.72562799]	[ 0.47054426]	[ 0.06043615]	3.55446	10 	1  	2.78424  
3  	3.38744	[ 0.62835054]	[ 0.74768242]	[ 0.46048894]	[ 0.07206482]	5.19802	10 	1  	3.23355  
4  	4.2745 	[ 0.65503088]	[ 0.74768242]	[ 0.49080443]	[ 0.07142345]	6.47525	10 	1  	3.0656   
5  	6.2684 	[ 0.69052448]	[ 0.74768242]	[ 0.48770185]	[ 0.06312108]	8.24752	10 	2  	2.0653   
6  	7.12117	[ 0.71688135]	[ 0.76996112]	[ 0.54579097]	[ 0.03747855]	8.71287	10 	4  	1.6188   
7  	7.06023	[ 0.7179639] 	[ 0.78857656]	[ 0.53999701]	[ 0.04299713]	8.42574	10 	4  	1.69066  
8  	7.12131	[ 0.73275728]	[ 0.78857656]	[ 0.56152811]	[ 0.03570979]	8.52475	10 	6  	1.65065  
9  	7.68905	[ 0.74401618]	[ 0.78857656]	[ 0.61991627]	[ 0.02531727]	9.20792	10 	6  	1.30738  
10 	7.62306	[ 0.74357983]	[ 0.78857656]	[ 0.57838666]	[ 0.03718673]	9.43564	10 	5  	1.17242  
11 	8.14585	[ 0.74836415]	[ 0.78917464]	[ 0.4982805] 	[ 0.03984077]	9.55446	10 	6  	0.884131 
12 	7.80734	[ 0.74416607]	[ 0.78917464]	[ 0.5179052] 	[ 0.04826689]	9.45545	10 	4  	1.14775  
13 	7.93466	[ 0.75447565]	[ 0.78917464]	[ 0.50052333]	[ 0.04506391]	9.61386	10 	5  	0.82017  
14 	7.81893	[ 0.74612169]	[ 0.79575359]	[ 0.49297249]	[ 0.06471066]	9.66337	10 	4  	0.835798 
15 	7.86653	[ 0.75431577]	[ 0.79575359]	[ 0.48116029]	[ 0.06061148]	9.72277	10 	5  	0.924033 
16 	8.04937	[ 0.76652879]	[ 0.79575359]	[ 0.5171576] 	[ 0.0438999] 	9.90099	10 	8  	0.330165 
17 	7.84002	[ 0.76479856]	[ 0.79575359]	[ 0.60100179]	[ 0.04835727]	9.80198	10 	4  	0.912182 
18 	7.96277	[ 0.7697361] 	[ 0.79575359]	[ 0.58276017]	[ 0.04219691]	9.90099	10 	4  	0.621479 
19 	7.78596	[ 0.77663001]	[ 0.79575359]	[ 0.68391148]	[ 0.02713223]	9.9901 	10 	9  	0.0990099
20 	7.5407 	[ 0.77675584]	[ 0.79575359]	[ 0.67254785]	[ 0.03363704]	9.9802 	10 	9  	0.139319 
21 	7.41925	[ 0.771]     	[ 0.79575359]	[ 0.58844199]	[ 0.04415947]	9.72277	10 	4  	1.10909  
22 	7.60924	[ 0.7616934] 	[ 0.79635167]	[ 0.5916567] 	[ 0.04779472]	9.90099	10 	4  	0.667565 
23 	7.5044 	[ 0.76841928]	[ 0.79635167]	[ 0.60459031]	[ 0.04308319]	10     	10 	10 	0        
24 	7.21002	[ 0.765823]  	[ 0.79635167]	[ 0.58844199]	[ 0.05373482]	9.57426	10 	4  	1.52437  
25 	7.4049 	[ 0.76683561]	[ 0.79635167]	[ 0.4998131] 	[ 0.04528256]	9.81188	10 	4  	0.804848 
26 	7.32583	[ 0.76185328]	[ 0.79635167]	[ 0.60459031]	[ 0.05389363]	9.64356	10 	4  	1.28652  
27 	7.58154	[ 0.76920982]	[ 0.79635167]	[ 0.60459031]	[ 0.0401183] 	9.90099	10 	4  	0.621479 
28 	7.60063	[ 0.76237846]	[ 0.79635167]	[ 0.49996262]	[ 0.04909651]	9.88119	10 	5  	0.550196 
29 	7.37787	[ 0.77144524]	[ 0.79635167]	[ 0.60459031]	[ 0.04042715]	9.87129	10 	4  	0.639668 
30 	7.57499	[ 0.77092302]	[ 0.79694976]	[ 0.58788128]	[ 0.03929577]	9.93069	10 	5  	0.51237  
31 	7.26548	[ 0.7616401] 	[ 0.79694976]	[ 0.60459031]	[ 0.0484802] 	9.76238	10 	4  	0.97644  
32 	7.42128	[ 0.77111473]	[ 0.79694976]	[ 0.60036633]	[ 0.03852538]	9.88119	10 	4  	0.649251 
33 	7.62122	[ 0.77017763]	[ 0.79694976]	[ 0.54519288]	[ 0.04472012]	9.9505 	10 	8  	0.258566 
34 	7.334  	[ 0.76854252]	[ 0.79694976]	[ 0.50646681]	[ 0.04993288]	9.85149	10 	4  	0.73641  
35 	7.57726	[ 0.76184144]	[ 0.79694976]	[ 0.53756728]	[ 0.05324299]	9.87129	10 	4  	0.654964 
36 	7.5504 	[ 0.7623]    	[ 0.79814593]	[ 0.54844498]	[ 0.05116035]	9.80198	10 	4  	0.844549 
37 	7.48991	[ 0.76677787]	[ 0.79754785]	[ 0.60036633]	[ 0.04027956]	9.87129	10 	4  	0.68453  
38 	7.48408	[ 0.76354539]	[ 0.79754785]	[ 0.59266597]	[ 0.04529833]	9.91089	10 	5  	0.528383 
39 	7.39231	[ 0.75290346]	[ 0.79754785]	[ 0.52291417]	[ 0.05886639]	9.72277	10 	4  	1.13555  
40 	7.30571	[ 0.75948092]	[ 0.79754785]	[ 0.48549641]	[ 0.05588244]	9.70297	10 	4  	1.13926  
41 	7.3381 	[ 0.76154684]	[ 0.79754785]	[ 0.56971441]	[ 0.04513073]	9.77228	10 	4  	0.910676 
42 	7.55095	[ 0.76454023]	[ 0.79754785]	[ 0.55139803]	[ 0.04896522]	9.85149	10 	4  	0.650759 
43 	7.18052	[ 0.76262976]	[ 0.79754785]	[ 0.58126495]	[ 0.05212358]	9.68317	10 	3  	1.14261  
44 	7.49973	[ 0.76280556]	[ 0.79754785]	[ 0.52265251]	[ 0.05083682]	9.78218	10 	4  	0.939812 
45 	7.30523	[ 0.7600779] 	[ 0.79754785]	[ 0.60036633]	[ 0.04952521]	9.73267	10 	4  	1.01368  
46 	7.63044	[ 0.77026424]	[ 0.79754785]	[ 0.48672996]	[ 0.04290049]	9.93069	10 	8  	0.290354 
47 	7.33119	[ 0.76447916]	[ 0.79754785]	[ 0.51435407]	[ 0.0530619] 	9.71287	10 	4  	1.05621  
48 	7.51558	[ 0.76902513]	[ 0.79754785]	[ 0.55319228]	[ 0.04274699]	9.9604 	10 	8  	0.240494 
49 	7.57602	[ 0.76983899]	[ 0.79754785]	[ 0.64140999]	[ 0.03715351]	9.91089	10 	7  	0.374933 
50 	7.45563	[ 0.75890245]	[ 0.79934211]	[ 0.50699013]	[ 0.05004354]	9.83168	10 	4  	0.856765 
51 	7.34538	[ 0.76334221]	[ 0.79934211]	[ 0.5973759] 	[ 0.04318433]	9.77228	10 	4  	0.932167 
52 	7.3733 	[ 0.75925479]	[ 0.79934211]	[ 0.52620365]	[ 0.05277429]	9.83168	10 	4  	0.856765 
53 	7.43572	[ 0.76735967]	[ 0.79934211]	[ 0.48871112]	[ 0.0482764] 	9.92079	10 	7  	0.363786 
54 	7.56335	[ 0.75854604]	[ 0.79934211]	[ 0.50295305]	[ 0.06348164]	9.71287	10 	4  	0.936992 
55 	7.52273	[ 0.76271229]	[ 0.79934211]	[ 0.57580742]	[ 0.04793789]	9.86139	10 	4  	0.660478 
