   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	3.49383	[0.52894019]	[0.74226226]	[0.41626794]	[0.05354906]	2.68317	9  	1  	2.03402  
1  	4.22522	[0.55458017]	[0.74226226]	[0.45996561]	[0.06018736]	4.22772	10 	1  	2.73185  
2  	4.2893 	[0.57379443]	[0.74226226]	[0.44445275]	[0.06492009]	4.30693	10 	1  	2.66158  
3  	4.19664	[0.58595045]	[0.74226226]	[0.47574013]	[0.06889525]	4.9901 	10 	1  	2.45553  
4  	4.39924	[0.63047012]	[0.75246711]	[0.45390999]	[0.07162261]	5.9703 	10 	1  	2.23144  
5  	4.60904	[0.66685271]	[0.75246711]	[0.48504785]	[0.0729913] 	7.09901	10 	1  	1.88535  
6  	4.65691	[0.69006777]	[0.75246711]	[0.49547697]	[0.07346412]	7.52475	10 	1  	1.78882  
7  	4.89769	[0.71407153]	[0.76749402]	[0.5]       	[0.06002119]	8.06931	10 	1  	1.75904  
8  	4.91776	[0.72416793]	[0.77411035]	[0.52209181]	[0.05336965]	8.63366	10 	5  	1.34033  
9  	5.01886	[0.72699589]	[0.77530652]	[0.53046501]	[0.05990608]	9.17822	10 	6  	1.3305   
10 	5.20708	[0.73522698]	[0.77530652]	[0.52022279]	[0.05563745]	9.57426	10 	5  	1.09315  
11 	5.39841	[0.74718685]	[0.77530652]	[0.55270634]	[0.04881902]	9.70297	10 	6  	0.928584 
12 	5.17895	[0.74992117]	[0.77908194]	[0.50041118]	[0.05072761]	9.84158	10 	6  	0.741055 
13 	5.56072	[0.74902922]	[0.77908194]	[0.55270634]	[0.05594686]	9.82178	10 	6  	0.762955 
14 	5.54332	[0.75375617]	[0.78741776]	[0.55326705]	[0.05071836]	9.86139	10 	6  	0.689808 
15 	5.72075	[0.75252743]	[0.79283792]	[0.50119617]	[0.05706766]	9.85149	10 	4  	0.749734 
16 	5.71906	[0.75348156]	[0.79283792]	[0.46389055]	[0.05458853]	9.88119	10 	5  	0.617999 
17 	5.88361	[0.7583943] 	[0.79283792]	[0.50059809]	[0.0532653] 	9.86139	10 	7  	0.597515 
18 	6.17393	[0.76489331]	[0.79881878]	[0.5]       	[0.0510832] 	9.89109	10 	5  	0.611782 
19 	6.57902	[0.77130756]	[0.79881878]	[0.60997309]	[0.03582905]	9.85149	10 	7  	0.650759 
20 	6.77658	[0.77356371]	[0.79941687]	[0.50276615]	[0.04302213]	9.89109	10 	7  	0.524659 
21 	6.74223	[0.77534279]	[0.80001495]	[0.5]       	[0.04093889]	9.86139	10 	7  	0.597515 
22 	6.75426	[0.78086842]	[0.80001495]	[0.55749103]	[0.03360128]	9.91089	10 	7  	0.46881  
23 	6.77292	[0.77267657]	[0.80121112]	[0.55980861]	[0.04193622]	9.91089	10 	7  	0.46881  
24 	6.84518	[0.77619847]	[0.8024073] 	[0.58354516]	[0.04496177]	9.90099	10 	7  	0.497617 
25 	6.83987	[0.78125111]	[0.8024073] 	[0.67901465]	[0.03492779]	9.91089	10 	7  	0.46881  
26 	6.97722	[0.78092505]	[0.8024073] 	[0.51577452]	[0.04046525]	9.87129	10 	5  	0.66991  
