   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	8.71648	[ 0.500166]  	[ 0.51724138]	[ 0.49952426]	[ 0.00170819]	2.57426	10 	1  	1.96679  
1  	10.4839	[ 0.50032257]	[ 0.51724138]	[ 0.49952426]	[ 0.00233901]	3.89109	10 	1  	2.68439  
2  	11.3807	[ 0.50033199]	[ 0.51724138]	[ 0.5]       	[ 0.00233674]	4.31683	10 	1  	2.68819  
3  	12.1342	[ 0.50046502]	[ 0.51724138]	[ 0.49904853]	[ 0.00282914]	4.92079	10 	1  	2.66508  
4  	14.5541	[ 0.50062159]	[ 0.51724138]	[ 0.4961941] 	[ 0.00339854]	5.77228	10 	1  	2.78568  
5  	14.8743	[ 0.50046502]	[ 0.51724138]	[ 0.49762131]	[ 0.00294857]	6.09901	10 	1  	2.81617  
6  	15.8145	[ 0.50149397]	[ 0.51724138]	[ 0.49952426]	[ 0.0048202] 	6.42574	10 	1  	2.66011  
7  	13.5561	[ 0.50165054]	[ 0.51724138]	[ 0.49666984]	[ 0.00517966]	6.19802	10 	1  	2.8285   
8  	13.1265	[ 0.50164112]	[ 0.51724138]	[ 0.49857279]	[ 0.00517703]	6.25743	10 	1  	2.78487  
9  	13.6224	[ 0.50149397]	[ 0.51724138]	[ 0.49762131]	[ 0.00493174]	6.45545	10 	1  	2.78797  
10 	14.4633	[ 0.5018448] 	[ 0.51724138]	[ 0.49904853]	[ 0.00538486]	6.60396	10 	1  	2.46993  
11 	14.6249	[ 0.5020108] 	[ 0.51724138]	[ 0.49904853]	[ 0.00559444]	6.83168	10 	2  	2.15751  
12 	14.1251	[ 0.50202022]	[ 0.51724138]	[ 0.49952426]	[ 0.00554689]	7.11881	10 	1  	2.13081  
13 	13.5994	[ 0.50182125]	[ 0.51724138]	[ 0.49904853]	[ 0.00534814]	7.20792	10 	2  	2.01635  
14 	13.8257	[ 0.50235692]	[ 0.51724138]	[ 0.49904853]	[ 0.00593189]	7.32673	10 	1  	2.00054  
15 	14.7706	[ 0.50316806]	[ 0.51724138]	[ 0.49904853]	[ 0.0067055] 	7.0396 	10 	1  	2.26432  
16 	15.8899	[ 0.50432062]	[ 0.51724138]	[ 0.49666984]	[ 0.00753128]	7.53465	10 	1  	2.20514  
17 	15.8064	[ 0.50504113]	[ 0.51724138]	[ 0.49904853]	[ 0.00787208]	7.70297	10 	2  	2.14127  
18 	17.2427	[ 0.50571453]	[ 0.51724138]	[ 0.49904853]	[ 0.00813533]	8.24752	10 	2  	1.93665  
19 	16.6456	[ 0.50763941]	[ 0.51724138]	[ 0.49904853]	[ 0.00859948]	8.59406	10 	4  	1.62394  
20 	17.2967	[ 0.49752061]	[ 0.51724138]	[ 0.]        	[ 0.07122631]	8.74257	10 	4  	1.70992  
21 	17.6598	[ 0.50761115]	[ 0.51724138]	[ 0.49809705]	[ 0.00862762]	8.50495	10 	4  	1.83812  
22 	17.9906	[ 0.50297852]	[ 0.51724138]	[ 0.]        	[ 0.05103734]	8.42574	10 	4  	1.85273  
