   	       	                             fitness                              	               size              
   	       	------------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std               	avg    	max	min	std      
0  	8.80677	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	2.57426	10 	1  	1.96679  
1  	11.3649	[ 0.49996228]	[ 0.5]       	[ 0.49714286]	[ 0.00028964]     	3.56436	10 	1  	2.64544  
2  	9.56791	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	3.93069	10 	1  	2.40156  
3  	10.8676	[ 0.49997643]	[ 0.5]       	[ 0.49904762]	[ 0.00014018]     	4.86139	10 	1  	2.60247  
4  	12.3299	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	5.77228	10 	1  	2.56743  
5  	12.3701	[ 0.49998586]	[ 0.5]       	[ 0.49904762]	[ 0.000105]       	6.30693	10 	1  	2.62412  
6  	12.9405	[ 0.49999529]	[ 0.5]       	[ 0.49952381]	[  4.71475719e-05]	6.23762	10 	1  	2.64069  
7  	13.6507	[ 0.49999529]	[ 0.5]       	[ 0.49952381]	[  4.71475719e-05]	6.59406	10 	1  	2.56472  
8  	12.8502	[ 0.49999529]	[ 0.5]       	[ 0.49952381]	[  4.71475719e-05]	6.32673	10 	1  	2.58751  
9  	14.1152	[ 0.49996228]	[ 0.5]       	[ 0.49809524]	[ 0.00023864]     	6.66337	10 	1  	2.42625  
10 	13.5297	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	6.78218	10 	1  	2.60466  
11 	13.5421	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	7.0297 	10 	1  	2.66051  
12 	13.0346	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	7.0297 	10 	1  	2.65679  
13 	13.8924	[ 0.5]       	[ 0.5]       	[ 0.5]       	[ 0.]             	6.83168	10 	1  	2.77923  
14 	17.7262	[ 0.49997171]	[ 0.5]       	[ 0.49857143]	[ 0.00019903]     	7.24752	10 	1  	2.57715  
15 	19.4106	[ 0.50014616]	[ 0.51619048]	[ 0.49857143]	[ 0.00161065]     	7.39604	10 	1  	2.67026  
16 	19.7197	[ 0.50015559]	[ 0.51619048]	[ 0.49952381]	[ 0.00160418]     	7.38614	10 	1  	2.46549  
17 	18.8253	[ 0.50048091]	[ 0.51619048]	[ 0.5]       	[ 0.0027486]      	6.9901 	10 	1  	2.59663  
18 	19.5794	[ 0.50077793]	[ 0.53047619]	[ 0.49952381]	[ 0.00404712]     	6.86139	10 	1  	2.59867  
19 	19.7881	[ 0.50135785]	[ 0.53047619]	[ 0.49952381]	[ 0.006127]       	7.17822	10 	1  	2.58861  
20 	22.0134	[ 0.50177275]	[ 0.53047619]	[ 0.49666667]	[ 0.00691857]     	7.80198	10 	1  	2.44957  
21 	24.9464	[ 0.50322018]	[ 0.53047619]	[ 0.49761905]	[ 0.00898878]     	8.20792	10 	1  	2.11696  
22 	26.6135	[ 0.5050165] 	[ 0.53047619]	[ 0.49761905]	[ 0.01067544]     	8.12871	10 	2  	1.96838  
23 	33.7435	[ 0.50938237]	[ 0.53047619]	[ 0.49714286]	[ 0.01288732]     	8.59406	10 	2  	1.44317  
24 	41.1114	[ 0.51580387]	[ 0.53095238]	[ 0.49714286]	[ 0.01388689]     	9      	10 	4  	0.855963 
25 	45.0004	[ 0.51743517]	[ 0.53142857]	[ 0.4952381] 	[ 0.01394582]     	9.05941	10 	2  	0.920845 
26 	45.9893	[ 0.52079679]	[ 0.53142857]	[ 0.49904762]	[ 0.01317855]     	9.39604	10 	8  	0.508915 
27 	46.5242	[ 0.52069778]	[ 0.53142857]	[ 0.49761905]	[ 0.01331658]     	9.41584	10 	9  	0.492866 
28 	45.4085	[ 0.51841584]	[ 0.53142857]	[ 0.49761905]	[ 0.01409938]     	9.43564	10 	1  	1.07552  
29 	45.4284	[ 0.51994342]	[ 0.53142857]	[ 0.49714286]	[ 0.01362009]     	9.68317	10 	5  	0.643793 
30 	45.3437	[ 0.52106554]	[ 0.53142857]	[ 0.49666667]	[ 0.01370879]     	9.75248	10 	5  	0.709287 
31 	45.9748	[ 0.52224894]	[ 0.53142857]	[ 0.49571429]	[ 0.01374689]     	9.85149	10 	1  	0.916149 
32 	45.627 	[ 0.52037718]	[ 0.53142857]	[ 0.49666667]	[ 0.0139433]      	9.94059	10 	7  	0.339533 
33 	46.2798	[ 0.51883074]	[ 0.53142857]	[ 0.49809524]	[ 0.01436838]     	9.9604 	10 	9  	0.195027 
34 	45.2543	[ 0.52120226]	[ 0.53142857]	[ 0.49761905]	[ 0.01389091]     	9.9703 	10 	9  	0.169767 
35 	43.8701	[ 0.52083451]	[ 0.53142857]	[ 0.49857143]	[ 0.01403895]     	9.91089	10 	9  	0.284901 
36 	45.4877	[ 0.51993871]	[ 0.53190476]	[ 0.49714286]	[ 0.01457766]     	9.92079	10 	9  	0.270063 
37 	44.7717	[ 0.52128241]	[ 0.53190476]	[ 0.49761905]	[ 0.01392274]     	9.86139	10 	5  	0.717941 
38 	45.4481	[ 0.52059877]	[ 0.53190476]	[ 0.49666667]	[ 0.01331407]     	9.91089	10 	4  	0.614978 
