   	       	                                                         fitness                                                         	              size             
   	       	-------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                        	max                        	min                      	std                      	avg    	max	min	std    
0  	9.75577	[ 0.10943931 26.25742574]  	[ 0.26010545 74.        ]  	[0.02850356 6.        ]  	[ 0.04682883 13.70817019]	2.64356	10 	1  	2.09943
1  	14.3521	[ 0.13630298 33.94059406]  	[ 0.33793103 98.        ]  	[0.03827751 8.        ]  	[ 0.06001026 17.95584341]	3.85149	12 	1  	3.09066
2  	19.5662	[ 0.16042649 41.02970297]  	[ 0.34196891 99.        ]  	[0. 0.]                  	[ 0.0750563  22.21294576]	4.65347	16 	1  	3.37855
3  	21.5851	[ 0.1712417  44.46534653]  	[ 0.35168739 99.        ]  	[0.04285714 9.        ]  	[ 0.08041376 24.34633132]	5.56436	15 	1  	3.71887
4  	26.3363	[ 0.21539723 57.91089109]  	[  0.39145907 110.        ]	[ 0.04807692 10.        ]	[ 0.08236383 25.19865587]	6.80198	15 	1  	3.8461 
5  	33.7446	[ 0.24498726 66.0990099 ]  	[  0.39145907 110.        ]	[ 0.05990783 13.        ]	[ 0.08474811 25.45954078]	8.67327	19 	1  	4.02002
6  	41.1623	[ 0.26970998 73.85148515]  	[  0.39145907 110.        ]	[0.04205607 9.        ]  	[ 0.08644788 26.27591079]	10.7129	21 	1  	3.39871
7  	50.0292	[ 0.29746126 82.3960396 ]  	[  0.39145907 122.        ]	[ 0.0501139 11.       ]  	[ 0.07791791 24.63358378]	11.6238	21 	2  	3.04049
8  	52.1534	[ 0.31049295 86.40594059]  	[  0.42124542 129.        ]	[ 0.06956522 16.        ]	[ 0.08047253 25.47146655]	12.1485	21 	4  	3.5247 
9  	50.2619	[ 0.33763352 95.99009901]  	[  0.43760684 137.        ]	[ 0.06363636 14.        ]	[ 0.0761069  24.53830913]	11.9109	21 	6  	3.17509
10 	50.7739	[ 0.32864461 94.22772277]  	[  0.44259567 137.        ]	[ 0.0678733 15.       ]  	[ 0.09295959 31.34284424]	11.7129	24 	3  	4.01319
11 	58.8539	[  0.35366439 103.96039604]	[  0.46405229 142.        ]	[ 0.06741573 15.        ]	[ 0.09537041 32.41834244]	12.9208	24 	3  	3.64157
12 	68.9208	[  0.39708204 119.23762376]	[  0.46405229 144.        ]	[ 0.08200456 18.        ]	[ 0.06785802 23.81868329]	14.1287	22 	4  	3.17996
13 	82.6897	[  0.38831414 115.44554455]	[  0.46753247 144.        ]	[ 0.0794702 17.       ]  	[ 0.09158135 31.15736972]	15.4653	26 	7  	3.36424
14 	93.8829	[  0.39593283 118.2970297 ]	[  0.47603306 148.        ]	[ 0.06756757 15.        ]	[ 0.09478469 32.1424874 ]	16.604 	27 	6  	3.33621
15 	101.724	[  0.40776537 122.1980198 ]	[  0.48881789 153.        ]	[ 0.07356322 16.        ]	[ 0.09407966 31.98205555]	17.4752	27 	1  	3.87578
16 	113.667	[  0.41885217 126.78217822]	[  0.49584027 153.        ]	[ 0.07142857 16.        ]	[ 0.09415811 31.69770706]	18.9802	32 	1  	4.30284
17 	113.906	[  0.42225216 127.45544554]	[  0.50081833 153.        ]	[ 0.07657658 17.        ]	[ 0.09609353 32.48778133]	19.901 	31 	5  	4.5348 
18 	124.599	[  0.43766397 131.2970297 ]	[  0.50662252 155.        ]	[ 0.09053498 22.        ]	[ 0.07509122 25.79644022]	22.4851	39 	14 	4.71907
19 	122.474	[  0.44967036 135.84158416]	[  0.50662252 155.        ]	[ 0.09111617 20.        ]	[ 0.06874232 23.30883174]	22.6337	35 	14 	4.40909
20 	120.307	[  0.44090002 132.12871287]	[  0.50662252 156.        ]	[ 0.06956522 16.        ]	[ 0.09079739 30.03320386]	23.0891	35 	3  	3.99281
21 	118.053	[  0.45256393 135.72277228]	[  0.50662252 156.        ]	[ 0.06103286 13.        ]	[ 0.07321054 24.65127828]	22.9406	31 	14 	2.70248
22 	112.578	[  0.45561727 136.15841584]	[  0.50662252 156.        ]	[ 0.05405405 12.        ]	[ 0.08317632 27.48131054]	23.099 	33 	14 	2.96683
23 	102.915	[  0.45318721 135.03960396]	[  0.50662252 156.        ]	[ 0.08108108 18.        ]	[ 0.08701181 28.82652821]	22.4455	35 	14 	2.88895
24 	102.321	[  0.46834361 140.26732673]	[  0.50885668 158.        ]	[ 0.07048458 16.        ]	[ 0.06681501 22.72125149]	22.5644	36 	14 	3.09396
25 	106.241	[  0.46286743 138.81188119]	[  0.51815182 158.        ]	[0. 0.]                  	[ 0.10082833 32.65017486]	23.3663	36 	14 	3.58689
26 	106.485	[  0.46386957 139.07920792]	[  0.51948052 160.        ]	[ 0.04640371 10.        ]	[ 0.09566547 31.46133354]	22.703 	35 	14 	2.81631
27 	98.2784	[  0.46677131 139.92079208]	[  0.53418124 168.        ]	[ 0.073903 16.      ]    	[ 0.0818332  27.71162789]	22.0297	28 	14 	1.69715
28 	95.2838	[  0.47550547 143.16831683]	[  0.53418124 168.        ]	[ 0.06161137 13.        ]	[ 0.07174626 24.18168414]	21.7624	27 	14 	1.707  
29 	95.2713	[  0.49045562 148.33663366]	[  0.53932584 168.        ]	[ 0.12173913 28.        ]	[ 0.05620433 20.27595622]	21.7327	26 	14 	1.62828
30 	102.447	[  0.48378983 147.44554455]	[  0.53932584 168.        ]	[ 0.07981221 17.        ]	[ 0.08533471 28.98667336]	21.4356	31 	16 	1.9367 
31 	105.787	[  0.49148353 150.31683168]	[  0.54304636 168.        ]	[ 0.10244989 23.        ]	[ 0.06947811 25.00571447]	21.2079	29 	16 	2.19503
32 	108.423	[  0.49280597 151.42574257]	[  0.54304636 169.        ]	[ 0.06526807 14.        ]	[ 0.0873159  29.57197849]	21.3168	35 	14 	2.71749
33 	108.801	[  0.47124528 144.35643564]	[  0.54304636 168.        ]	[ 0.06046512 13.        ]	[ 0.1074905  37.54405575]	21.1782	35 	16 	2.34793
34 	109.54 	[  0.49449859 152.64356436]	[  0.54304636 168.        ]	[ 0.12698413 32.        ]	[ 0.07879846 27.52769412]	21.4851	30 	14 	2.38649
35 	103.136	[  0.48843556 149.7029703 ]	[  0.54304636 169.        ]	[ 0.11839323 28.        ]	[ 0.08822545 30.89507781]	21.7525	29 	15 	2.02169
36 	99.203 	[  0.48095032 147.16831683]	[  0.54304636 169.        ]	[ 0.06511628 14.        ]	[ 0.10478531 36.13699712]	21.7723	27 	16 	1.72851
37 	94.5969	[  0.49160383 150.30693069]	[  0.54304636 169.        ]	[ 0.15280899 34.        ]	[ 0.07162415 26.37345747]	22.396 	37 	14 	2.90128
38 	92.8128	[  0.49504201 152.00990099]	[  0.54304636 169.        ]	[ 0.09322034 22.        ]	[ 0.08857018 30.40957869]	22.6535	31 	6  	2.66416
39 	86.5615	[  0.50294695 154.21782178]	[  0.54304636 169.        ]	[ 0.15448852 37.        ]	[ 0.06038761 21.01277497]	22.7525	37 	5  	3.51068
40 	88.5364	[  0.49009349 149.31683168]	[  0.54304636 169.        ]	[ 0.06526807 14.        ]	[ 0.0947459  31.68531243]	23.3168	37 	16 	2.96491
41 	82.459 	[  0.5028374  153.42574257]	[  0.54304636 169.        ]	[ 0.07623318 17.        ]	[ 0.07264713 24.46632219]	22.9109	37 	16 	2.33823
42 	83.2196	[  0.49632827 150.07920792]	[  0.54304636 169.        ]	[ 0.08154506 19.        ]	[ 0.08215   28.6493596]  	23.2772	38 	14 	3.09941
43 	82.1236	[  0.4974484  150.20792079]	[  0.54304636 169.        ]	[ 0.10330579 25.        ]	[ 0.08894175 30.24432418]	23.1782	37 	14 	2.99305
44 	79.0116	[  0.494683   148.98019802]	[  0.54304636 169.        ]	[ 0.0745614 17.       ]  	[ 0.10024702 32.82295146]	23.0891	37 	16 	2.24314
45 	77.8698	[  0.49272968 148.59405941]	[  0.55339806 171.        ]	[ 0.06407323 14.        ]	[ 0.08953469 29.58129534]	23.198 	32 	16 	1.94488
46 	78.05  	[  0.5004706  151.04950495]	[  0.55339806 171.        ]	[ 0.13247863 31.        ]	[ 0.06755746 23.27935227]	23.1386	35 	14 	2.71056
47 	78.1528	[  0.49035781 147.95049505]	[  0.55374593 171.        ]	[ 0.08352668 18.        ]	[ 0.09959367 33.22094539]	23.2376	37 	14 	3.0382 
48 	79.4726	[  0.48570058 146.48514851]	[  0.55374593 171.        ]	[ 0.05700713 12.        ]	[ 0.1152233  38.09150366]	23.5743	37 	10 	2.52256
49 	79.4956	[  0.48575434 147.06930693]	[  0.55374593 171.        ]	[ 0.0477327 10.       ]  	[ 0.12483765 40.99245461]	22.9901	37 	7  	3.45693
