   	       	                                                                  fitness                                                                  	              size             
   	       	-------------------------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                                	max                          	min                          	std                                	avg    	max	min	std    
0  	8.92249	[  5.75472477e-02   5.81683168e+01]	[   0.38847737  334.        ]	[ 0.  0.]                    	[  1.10303343e-01   1.18024085e+02]	2.77228	9  	1  	1.9745 
1  	14.8752	[   0.14199917  136.44554455]      	[   0.46266471  335.        ]	[ 0.  0.]                    	[  1.39755548e-01   1.46524183e+02]	4.94059	14 	1  	3.07601
2  	22.0531	[   0.20341684  186.74257426]      	[   0.46266471  335.        ]	[ 0.  0.]                    	[   0.14366695  138.4728342 ]      	6.86139	15 	1  	3.47845
3  	27.9128	[   0.26601019  211.95049505]      	[   0.46942149  332.        ]	[ 0.  0.]                    	[   0.14034188  117.02215888]      	8.74257	18 	1  	3.56733
4  	35.3137	[   0.32108014  217.47524752]      	[   0.46942149  330.        ]	[ 0.  0.]                    	[  0.11331203  88.38883426]        	10.4752	20 	2  	3.34958
5  	33.3244	[   0.30712854  172.00990099]      	[   0.5  324. ]              	[ 0.  0.]                    	[   0.15241942  101.42191993]      	11.0099	22 	2  	3.32258
6  	32.3861	[   0.35351507  179.31683168]      	[   0.50750341  331.        ]	[ 0.  0.]                    	[  0.14279228  86.15642356]        	11.2673	23 	1  	3.97739
7  	30.8797	[   0.35299591  176.68316832]      	[   0.50750341  331.        ]	[ 0.  0.]                    	[  0.15419855  89.70909318]        	11.1089	18 	2  	3.35934
8  	32.5381	[   0.3803197   180.57425743]      	[   0.50750341  334.        ]	[ 0.  0.]                    	[  0.13243042  79.64082074]        	11.7624	21 	2  	3.40398
9  	35.4006	[   0.39321296  189.01980198]      	[   0.53658537  327.        ]	[ 0.  0.]                    	[  0.13718863  78.91918165]        	12.4752	23 	2  	3.30195
10 	35.5884	[   0.40930931  184.38613861]      	[   0.53658537  333.        ]	[ 0.  0.]                    	[  0.13657338  74.4836975 ]        	12.3564	22 	1  	3.55601
11 	38.5892	[   0.37494961  184.59405941]      	[   0.53658537  329.        ]	[ 0.  0.]                    	[  0.16212952  87.5703031 ]        	12.5545	25 	1  	4.62125
12 	39.409 	[   0.41179912  193.1980198 ]      	[   0.53658537  335.        ]	[ 0.  0.]                    	[  0.12772044  72.42340027]        	13.5149	25 	1  	4.5503 
13 	39.3189	[   0.42709736  190.98019802]      	[   0.53658537  330.        ]	[ 0.  0.]                    	[  0.11179004  67.10210635]        	13.3861	25 	7  	3.95262
14 	41.3227	[   0.38346066  176.12871287]      	[   0.53658537  335.        ]	[ 0.  0.]                    	[  0.16725702  89.27237921]        	13.6733	25 	1  	4.42788
15 	43.9536	[   0.41768936  185.10891089]      	[   0.53727145  333.        ]	[ 0.  0.]                    	[  0.13943953  74.95013537]        	14.2772	27 	1  	4.644  
16 	48.2382	[   0.41742185  196.04950495]      	[   0.54473684  330.        ]	[ 0.  0.]                    	[  0.13840898  72.58908848]        	15.0396	28 	2  	4.36893
17 	49.6069	[   0.40068221  190.59405941]      	[   0.54473684  334.        ]	[ 0.  0.]                    	[  0.1434947   82.10246897]        	15.7723	32 	2  	4.57908
18 	48.2625	[   0.41609826  186.66336634]      	[   0.54473684  323.        ]	[ 0.  0.]                    	[  0.14219995  77.42313687]        	15.5545	28 	1  	4.93417
19 	51.1967	[   0.44939639  197.33663366]      	[   0.55483871  329.        ]	[ 0.  0.]                    	[  0.09934317  59.55133857]        	16.1386	31 	5  	4.66296
20 	51.5808	[   0.41664938  184.44554455]      	[   0.56117021  327.        ]	[ 0.  0.]                    	[  0.16681799  81.53411182]        	15.7624	31 	3  	5.63607
21 	58.3074	[   0.44534469  196.01980198]      	[   0.56361149  323.        ]	[ 0.  0.]                    	[  0.1246302   65.67953706]        	17.2475	31 	2  	4.58669
22 	60.3356	[   0.46627909  198.79207921]      	[   0.57723577  330.        ]	[ 0.  0.]                    	[  0.11025309  55.47996103]        	18.0396	27 	2  	3.84584
23 	61.7651	[   0.45588249  190.73267327]      	[   0.57723577  326.        ]	[ 0.  0.]                    	[  0.13376397  64.99015784]        	18.3168	35 	1  	5.92182
24 	69.2082	[   0.49073778  199.76237624]      	[   0.58272328  320.        ]	[ 0.02941176  5.        ]    	[  0.09027536  47.46445226]        	19.1881	34 	9  	4.52433
