   	       	                                                    fitness                                                    	               size              
   	       	---------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                      	max                      	min                    	std                    	avg    	max	min	std      
0  	8.51791	[0.00782893 0.4950495 ]  	[0.12030075 8.        ]  	[0. 0.]                	[0.01813397 1.20743376]	2.35644	10 	1  	1.83791  
1  	12.6651	[0.01443382 0.92079208]  	[0.12030075 8.        ]  	[0. 0.]                	[0.02850659 1.89152968]	4.13861	13 	1  	2.77909  
2  	16.9887	[0.02437195 1.55445545]  	[0.12030075 8.        ]  	[0. 0.]                	[0.03623455 2.39005881]	5.40594	13 	1  	3.16596  
3  	20.624 	[0.04133402 2.67326733]  	[0.12121212 8.        ]  	[0. 0.]                	[0.04333435 2.88083084]	6.56436	15 	1  	3.17607  
4  	27.4517	[0.06109488 4.02970297]  	[0.13636364 9.        ]  	[0. 0.]                	[0.04648359 3.13856701]	8.34653	19 	1  	3.22563  
5  	29.5996	[0.0625346  4.15841584]  	[0.13953488 9.        ]  	[0. 0.]                	[0.04717092 3.16769796]	9.0396 	20 	1  	3.45815  
6  	31.4651	[0.07581662 5.        ]  	[ 0.15625 10.     ]      	[0. 0.]                	[0.04436551 2.95510969]	9.18812	20 	2  	3.03678  
7  	35.2732	[0.08605141 5.66336634]  	[ 0.15625 10.     ]      	[0. 0.]                	[0.04847645 3.22820867]	9.52475	19 	1  	3.43999  
8  	35.9394	[0.07912061 5.21782178]  	[ 0.15625 10.     ]      	[0. 0.]                	[0.05129388 3.42559949]	9.92079	19 	4  	3.53395  
9  	39.2191	[0.08223775 5.43564356]  	[ 0.15942029 11.        ]	[0. 0.]                	[0.05124096 3.4481042 ]	10.5644	20 	1  	3.98615  
10 	39.7438	[0.09033864 6.01980198]  	[ 0.15942029 11.        ]	[0. 0.]                	[0.04431307 3.0114639 ]	10.4653	20 	2  	3.93402  
11 	43.0404	[0.08708849 5.81188119]  	[ 0.16438356 12.        ]	[0. 0.]                	[0.05054329 3.44321077]	11.1089	20 	2  	4.1623   
12 	47.0409	[0.10314033 6.93069307]  	[ 0.16993464 13.        ]	[0. 0.]                	[0.04776326 3.29793643]	12.2772	20 	3  	4.20306  
13 	53.83  	[0.10836208 7.33663366]  	[ 0.17021277 12.        ]	[0. 0.]                	[0.04865414 3.38978438]	12.5941	20 	6  	4.7724   
14 	73.9718	[0.11195746 7.65346535]  	[ 0.1971831 14.       ]  	[0. 0.]                	[0.04921521 3.5051183 ]	14.7327	20 	4  	5.17781  
15 	88.2565	[0.11806059 8.08910891]  	[ 0.1971831 14.       ]  	[0. 0.]                	[0.05142627 3.65355926]	16.1584	20 	5  	5.0281   
16 	100.227	[0.12349018 8.51485149]  	[ 0.2 14. ]              	[0. 0.]                	[0.051009   3.61956691]	17.0198	20 	6  	4.68826  
17 	110.576	[0.12020367 8.33663366]  	[ 0.19858156 14.        ]	[0. 0.]                	[0.05769153 4.15605779]	17.9307	20 	5  	4.19631  
18 	134.15 	[0.13846868 9.7029703 ]  	[ 0.19858156 14.        ]	[0.016 1.   ]          	[0.04747032 3.52514182]	19.4653	20 	8  	1.88566  
19 	137.679	[0.14151314 9.96039604]  	[ 0.19858156 14.        ]	[0. 0.]                	[0.04984909 3.68007962]	19.8515	20 	16 	0.73641  
20 	141.917	[ 0.14377469 10.12871287]	[ 0.21768707 16.        ]	[0. 0.]                	[0.0553493  4.07276238]	19.4257	20 	1  	2.26618  
21 	146.027	[ 0.14717461 10.32673267]	[ 0.21768707 16.        ]	[0. 0.]                	[0.05408319 3.92531492]	19.6931	20 	12 	1.30302  
22 	145.33 	[ 0.15609868 10.99009901]	[ 0.21768707 16.        ]	[0. 0.]                	[0.05565086 4.02343395]	19.5149	20 	5  	1.98815  
23 	148.902	[ 0.15020208 10.54455446]	[ 0.21768707 16.        ]	[0. 0.]                	[0.06277247 4.57830604]	19.6832	20 	8  	1.69408  
24 	158.829	[ 0.16755456 11.86138614]	[ 0.21917808 16.        ]	[0. 0.]                	[0.05033129 3.76810403]	19.802 	20 	8  	1.23497  
25 	161.835	[ 0.16953647 12.08910891]	[ 0.22535211 16.        ]	[0. 0.]                	[0.05331578 4.01999707]	19.7723	20 	5  	1.52134  
26 	168.695	[ 0.17730545 12.72277228]	[ 0.22972973 17.        ]	[0.04724409 3.        ]	[0.04424293 3.44437786]	19.7822	20 	10 	1.09548  
27 	168.694	[ 0.1784459  12.86138614]	[ 0.22972973 17.        ]	[0. 0.]                	[0.05227471 3.96526928]	19.6832	20 	7  	1.77959  
28 	171.036	[ 0.18013843 12.99009901]	[ 0.24161074 18.        ]	[0. 0.]                	[0.05376868 4.12069169]	19.6832	20 	4  	1.7962   
29 	173.615	[ 0.17370091 12.53465347]	[ 0.24324324 18.        ]	[0. 0.]                	[0.05898917 4.47780966]	19.8317	20 	5  	1.49633  
30 	179.877	[ 0.18414039 13.43564356]	[ 0.24324324 18.        ]	[0. 0.]                	[0.05539061 4.25293339]	19.9901	20 	19 	0.0990099
31 	184.546	[ 0.18067981 13.16831683]	[ 0.24324324 18.        ]	[0. 0.]                	[0.06163584 4.68633849]	19.8317	20 	3  	1.68317  
32 	184.623	[ 0.17886879 13.        ]	[ 0.24489796 18.        ]	[0. 0.]                	[0.05783616 4.43210609]	19.8119	20 	1  	1.88119  
33 	183.269	[ 0.18945031 13.83168317]	[ 0.24489796 18.        ]	[0. 0.]                	[0.05904853 4.49216988]	20     	20 	20 	0        
34 	178.276	[ 0.17994084 13.10891089]	[ 0.24489796 18.        ]	[0. 0.]                	[0.0634758  4.84798823]	20     	20 	20 	0        
35 	175.254	[ 0.18036825 13.14851485]	[ 0.24657534 18.        ]	[0. 0.]                	[0.06605333 4.98787865]	19.7327	20 	1  	1.95945  
36 	176.287	[ 0.19288772 14.05940594]	[ 0.24657534 18.        ]	[0. 0.]                	[0.05731204 4.3890543 ]	19.8218	20 	2  	1.78218  
37 	178.068	[ 0.1740555  12.63366337]	[ 0.24657534 18.        ]	[0. 0.]                	[0.07309894 5.52532024]	20     	20 	20 	0        
38 	175.449	[ 0.18734497 13.55445545]	[ 0.24657534 18.        ]	[0.03305785 2.        ]	[0.05680461 4.37697678]	20     	20 	20 	0        
39 	172.476	[ 0.19538166 14.18811881]	[ 0.24657534 18.        ]	[0. 0.]                	[0.06133351 4.67500807]	19.7624	20 	1  	1.94044  
40 	173.892	[ 0.19959377 14.54455446]	[ 0.24657534 18.        ]	[0. 0.]                	[0.05771196 4.37256241]	19.8119	20 	1  	1.88119  
41 	175.271	[ 0.20204289 14.66336634]	[ 0.24657534 18.        ]	[0.04444444 3.        ]	[0.05392891 4.13456147]	19.8812	20 	11 	0.915079 
