   	       	                                                fitness                                                	              size              
   	       	-------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                    	max                      	min                    	std                    	avg    	max	min	std     
0  	7.16326	[0.00848305 0.2970297 ]	[0.08571429 3.        ]  	[0. 0.]                	[0.02146921 0.76487952]	2.62376	9  	1  	1.93381 
1  	10.1922	[0.01194258 0.41584158]	[0.08571429 3.        ]  	[0. 0.]                	[0.02594541 0.91486434]	3.85149	16 	1  	2.95305 
2  	11.8776	[0.01596504 0.56435644]	[0.15789474 6.        ]  	[0. 0.]                	[0.03083637 1.11173615]	4.62376	18 	1  	3.10812 
3  	13.582 	[0.02443028 0.88118812]	[0.15789474 6.        ]  	[0. 0.]                	[0.03991809 1.47780362]	5.76238	18 	1  	3.37477 
4  	19.4785	[0.03413513 1.22772277]	[0.15789474 6.        ]  	[0. 0.]                	[0.04195616 1.55990091]	7.53465	14 	1  	3.05256 
5  	22.9371	[0.04795794 1.78217822]	[0.15789474 6.        ]  	[0. 0.]                	[0.053327   2.05664323]	8.45545	19 	1  	3.06538 
6  	25.5541	[0.06181518 2.30693069]	[0.15789474 6.        ]  	[0. 0.]                	[0.05453812 2.12361813]	9.90099	19 	2  	3.21662 
7  	25.4702	[0.07164939 2.69306931]	[0.15789474 6.        ]  	[0. 0.]                	[0.06074735 2.34095087]	9.80198	19 	1  	3.70448 
8  	19.3579	[0.07682686 2.92079208]	[0.15789474 6.        ]  	[0. 0.]                	[0.06360592 2.44010699]	9.61386	19 	1  	3.29106 
9  	16.6711	[0.08297484 3.15841584]	[0.15789474 6.        ]  	[0. 0.]                	[0.06724228 2.57456205]	9.44554	19 	1  	3.09735 
10 	15.5315	[0.09982179 3.82178218]	[0.15909091 7.        ]  	[0. 0.]                	[0.06648335 2.56941662]	9.57426	20 	2  	3.07448 
11 	13.5875	[0.10327056 3.99009901]	[0.15909091 7.        ]  	[0. 0.]                	[0.06427669 2.49552094]	9.07921	16 	1  	2.60115 
12 	14.8397	[0.10911002 4.20792079]	[0.15909091 7.        ]  	[0. 0.]                	[0.06433756 2.50273843]	9.58416	16 	1  	3.07744 
13 	15.2724	[0.11517665 4.53465347]	[0.15909091 7.        ]  	[0. 0.]                	[0.06251317 2.49975982]	10.1089	19 	1  	3.12733 
14 	14.9335	[0.11061805 4.36633663]	[0.15909091 7.        ]  	[0. 0.]                	[0.06673051 2.67634586]	10.0099	18 	2  	2.85107 
15 	15.6585	[0.11199717 4.40594059]	[0.15909091 7.        ]  	[0. 0.]                	[0.06551123 2.62198707]	10.1485	20 	1  	3.51626 
16 	15.6259	[0.11482957 4.55445545]	[0.15909091 7.        ]  	[0. 0.]                	[0.06428511 2.59273642]	10.2772	18 	1  	3.1907  
17 	16.4301	[0.11484096 4.62376238]	[0.15909091 7.        ]  	[0. 0.]                	[0.06495623 2.66570253]	10.0396	18 	1  	2.76083 
18 	17.4747	[0.11819382 4.88118812]	[0.15909091 7.        ]  	[0. 0.]                	[0.06089386 2.5805331 ]	10.1188	19 	2  	2.65616 
19 	16.752 	[0.12507243 5.2970297 ]	[0.15909091 7.        ]  	[0. 0.]                	[0.05639524 2.4637754 ]	9.90099	17 	2  	2.52318 
20 	18.4286	[0.11421213 4.95049505]	[0.15909091 7.        ]  	[0. 0.]                	[0.06201703 2.76962391]	9.73267	16 	2  	2.51684 
21 	18.3819	[0.11949548 5.18811881]	[0.15909091 7.        ]  	[0. 0.]                	[0.05830547 2.59745828]	10.9307	20 	4  	3.04181 
22 	18.411 	[0.12579896 5.43564356]	[0.15909091 7.        ]  	[0. 0.]                	[0.05703417 2.53457611]	10.6931	19 	2  	3.13316 
23 	18.5776	[0.12596497 5.4950495 ]	[0.19148936 9.        ]  	[0. 0.]                	[0.05854326 2.60473203]	11.3564	20 	7  	3.04613 
24 	18.5419	[0.12161775 5.34653465]	[0.19148936 9.        ]  	[0. 0.]                	[0.06276499 2.83344818]	12.1485	20 	4  	3.04223 
25 	19.8735	[0.12930984 5.71287129]	[0.1978022 9.       ]    	[0. 0.]                	[0.06256155 2.87128713]	11.8911	20 	1  	3.20242 
