   	       	                                                          fitness                                                          	               size              
   	       	---------------------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                        	max                        	min                        	std                        	avg    	max	min	std      
0  	25.1751	[  0.10990678  37.6039604 ]	[  0.33472803  64.        ]	[ 0.  0.]                  	[  0.06717299  25.33462359]	2.43564	9  	1  	1.9367   
1  	28.8511	[  0.11713745  37.35643564]	[  0.33472803  64.        ]	[ 0.  0.]                  	[  0.06754729  24.54802695]	3.27723	12 	1  	2.76154  
2  	29.7347	[  0.1212604   37.36633663]	[  0.33472803  64.        ]	[ 0.  0.]                  	[  0.07314116  24.16638807]	4.40594	12 	1  	2.80445  
3  	32.2161	[  0.13971909  38.85148515]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.06427919  20.90070165]	5.26733	16 	1  	3.63397  
4  	36.8968	[  0.14074274  35.87128713]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.07654891  21.99669794]	6.06931	16 	1  	4.17977  
5  	35.6699	[  0.15386076  40.5049505 ]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.06556393  20.06406756]	8.07921	15 	1  	4.40001  
6  	42.906 	[  0.15859906  38.17821782]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.08502435  21.45563973]	8.70297	20 	1  	4.24857  
7  	45.8171	[  0.16613307  38.23762376]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.07922222  20.39372283]	10.7921	19 	1  	4.00573  
8  	49.576 	[  0.20595706  42.47524752]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.07181273  15.47952596]	11.9901	19 	1  	4.12309  
9  	56.5091	[  0.21932415  41.01980198]	[  0.34334764  64.        ]	[ 0.  0.]                  	[  0.07899636  15.85702218]	13.1683	20 	1  	3.80742  
10 	55.9831	[  0.22319206  41.0990099 ]	[  0.35245902  64.        ]	[ 0.  0.]                  	[  0.07672976  15.23317442]	13.8614	20 	4  	3.53772  
11 	62.289 	[  0.24095166  41.10891089]	[  0.35652174  64.        ]	[ 0.  0.]                  	[  0.07717924  14.00063718]	13.8317	20 	3  	3.61808  
12 	67.703 	[  0.24695194  42.17821782]	[  0.35652174  64.        ]	[ 0.  0.]                  	[  0.07119662  13.13177391]	14.1782	20 	3  	3.41342  
13 	68.4824	[  0.25920602  42.01980198]	[  0.35652174  64.        ]	[ 0.  0.]                  	[  0.07470856  12.99350957]	14.5743	20 	7  	2.63016  
14 	67.1226	[  0.26730412  43.1980198 ]	[  0.35652174  64.        ]	[ 0.  0.]                  	[  0.06002253  10.945427  ]	15.0891	20 	7  	2.7971   
15 	62.0479	[  0.25124863  41.12871287]	[  0.35652174  64.        ]	[ 0.  0.]                  	[  0.08127603  14.17965588]	14.703 	20 	1  	3.40513  
16 	70.1391	[  0.26146066  41.96039604]	[  0.36548223  64.        ]	[ 0.  0.]                  	[  0.06944945  12.64670019]	14.8515	20 	5  	3.15094  
17 	70.9628	[  0.24389064  38.85148515]	[  0.36548223  62.        ]	[ 0.  0.]                  	[  0.08377126  14.9748212 ]	15.2871	20 	7  	3.18827  
18 	73.8845	[  0.25392203  39.0990099 ]	[  0.36548223  55.        ]	[ 0.  0.]                  	[  0.07498154  13.09939531]	15.4158	20 	6  	3.02225  
19 	73.2758	[  0.26650819  40.68316832]	[  0.36548223  64.        ]	[ 0.  0.]                  	[  0.06130213  12.21095977]	15.3465	20 	7  	3.19478  
20 	76.4475	[  0.27104676  39.33663366]	[  0.36666667  57.        ]	[ 0.  0.]                  	[  0.07811243  12.76464581]	15.3762	20 	7  	3.6772   
21 	81.2889	[  0.26937265  42.63366337]	[  0.37446809  64.        ]	[ 0.  0.]                  	[  0.06537221  11.93358085]	15.3465	20 	7  	3.73221  
22 	78.3282	[  0.26916863  42.17821782]	[  0.37446809  64.        ]	[ 0.  0.]                  	[  0.06788324  12.66271993]	15.2772	20 	6  	4.40998  
23 	85.7238	[  0.27072443  41.41584158]	[  0.37735849  59.        ]	[ 0.  0.]                  	[  0.07022381  12.5171307 ]	16.2871	20 	8  	3.51894  
24 	86.8223	[  0.27509704  41.26732673]	[  0.37735849  64.        ]	[ 0.  0.]                  	[  0.06892509  11.98504934]	16.7426	20 	6  	3.40254  
25 	83.8745	[  0.25618958  42.18811881]	[  0.37735849  61.        ]	[ 0.  0.]                  	[  0.08433404  13.75436051]	15.9505	20 	5  	3.66513  
26 	79.9932	[  0.26990352  44.28712871]	[  0.37735849  64.        ]	[ 0.05128205  2.        ]  	[  0.06186851  11.10466554]	15.4653	20 	5  	3.49983  
