   	       	                                                          fitness                                                          	              size             
   	       	---------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                          	max                          	min                          	std                        	avg    	max	min	std    
0  	4.0923 	[   0.53561046  205.82178218]	[   0.67083855  361.        ]	[   0.45844504  161.        ]	[  0.04458626  28.43453347]	2.52475	8  	1  	1.98805
1  	6.63643	[   0.55102853  211.26732673]	[   0.67083855  324.        ]	[  0.3079922  79.       ]    	[  0.05351281  27.71348854]	4.25743	12 	1  	2.77775
2  	8.88177	[   0.58422292  225.61386139]	[   0.67083855  324.        ]	[   0.45298013  171.        ]	[  0.04771771  23.05480783]	5.70297	19 	1  	3.56425
3  	12.5859	[   0.60259041  229.62376238]	[   0.67083855  268.        ]	[   0.46601942  168.        ]	[  0.05126094  22.29409702]	8.75248	24 	1  	3.89568
4  	15.0937	[   0.62779289  240.14851485]	[   0.7033557  268.       ]  	[   0.43465492  148.        ]	[  0.04260618  19.96302827]	10.0297	19 	2  	3.26535
5  	18.7807	[   0.63792909  244.89108911]	[   0.71524966  269.        ]	[   0.47252747  172.        ]	[  0.04183409  17.83305474]	10.6535	17 	4  	3.08762
6  	21.0067	[   0.64655834  246.        ]	[   0.71524966  276.        ]	[   0.44654939  165.        ]	[  0.04193256  17.54823621]	11.7723	25 	5  	3.67189
7  	24.2542	[   0.65836602  248.61386139]	[   0.71524966  286.        ]	[   0.49484536  192.        ]	[  0.03306246  13.90987276]	13.2772	21 	2  	3.78407
8  	27.6439	[   0.66328125  249.10891089]	[   0.71524966  279.        ]	[   0.47865459  171.        ]	[  0.03833793  15.97640648]	14.6832	26 	1  	4.19082
9  	29.3137	[   0.67116999  251.52475248]	[   0.71524966  278.        ]	[   0.50874832  184.        ]	[  0.03532363  14.94517642]	15.4653	26 	3  	3.78524
10 	26.7806	[   0.68055271  254.72277228]	[   0.71524966  284.        ]	[   0.52257182  191.        ]	[  0.02475235  10.48536822]	14.6139	26 	8  	3.15592
11 	23.9768	[   0.67506791  250.9009901 ]	[   0.71641791  276.        ]	[   0.48189415  173.        ]	[  0.04497441  18.33165576]	14.5248	23 	7  	2.53527
12 	23.238 	[   0.68281582  253.56435644]	[   0.71641791  267.        ]	[   0.48648649  175.        ]	[  0.03322758  13.57517816]	14.6733	27 	2  	2.66666
13 	23.7466	[   0.68225355  253.1980198 ]	[   0.72032742  268.        ]	[   0.47632312  171.        ]	[  0.03894623  15.68124301]	14.8416	27 	9  	2.68746
14 	25.0322	[   0.68790508  254.56435644]	[   0.72032742  269.        ]	[   0.5136612  186.       ]  	[  0.03019113  11.96398543]	14.5842	29 	8  	2.45461
15 	25.6815	[   0.68747118  255.00990099]	[   0.72032742  273.        ]	[   0.6188579  228.       ]  	[ 0.02167259  9.22276032]  	14.7525	21 	9  	2.12671
16 	27.8502	[   0.69022815  256.34653465]	[   0.72214765  272.        ]	[   0.60254597  213.        ]	[  0.02305981  10.26233683]	15.1683	21 	10 	2.28239
17 	27.8067	[   0.6846215   254.69306931]	[   0.72352132  269.        ]	[   0.48962656  177.        ]	[  0.04335973  16.63691623]	15.3564	30 	5  	3.61401
18 	28.988 	[   0.68055758  252.94059406]	[   0.72432432  272.        ]	[   0.48108108  178.        ]	[  0.03997445  15.39565438]	15.0396	24 	2  	3.24242
19 	31.06  	[   0.687548    256.00990099]	[   0.72432432  271.        ]	[   0.62933333  233.        ]	[ 0.02096043  9.153796  ]  	15.901 	21 	12 	2.50743
20 	32.9195	[   0.6876531  256.1980198]  	[   0.72432432  272.        ]	[   0.48090523  170.        ]	[  0.02977959  12.14110097]	15.7525	28 	8  	2.9665 
21 	32.1822	[   0.6904866  257.1980198]  	[   0.72432432  277.        ]	[   0.58112094  197.        ]	[  0.02461924  12.97523903]	15.6337	21 	10 	2.56296
22 	35.881 	[   0.69059369  257.83168317]	[   0.72432432  275.        ]	[   0.61064426  218.        ]	[  0.02410599  10.8974239 ]	16.5842	21 	14 	2.58812
23 	34.0467	[   0.68469631  255.84158416]	[   0.73517787  279.        ]	[ 0.  0.]                    	[  0.07558697  29.23809148]	17.1584	30 	10 	3.71972
24 	38.4945	[   0.69437581  259.38613861]	[   0.73726542  279.        ]	[   0.51296044  183.        ]	[  0.03366768  14.14981391]	16.8119	35 	8  	3.40562
25 	36.8325	[   0.69696422  260.86138614]	[   0.7382199  282.       ]  	[   0.55172414  208.        ]	[  0.02769024  12.32965491]	16.5347	24 	3  	3.0558 
26 	35.8767	[   0.70113884  263.13861386]	[   0.7414248  282.       ]  	[   0.47736626  174.        ]	[  0.03459966  14.58945075]	16.8416	33 	4  	3.75416
27 	37.2499	[   0.70440107  264.26732673]	[   0.74375821  283.        ]	[   0.52354571  189.        ]	[  0.03090671  13.81338932]	16.3663	23 	9  	2.5822 
28 	37.0747	[   0.70475869  264.78217822]	[   0.74771242  286.        ]	[   0.52294854  188.        ]	[  0.03511673  15.22998863]	16.1683	27 	13 	2.35077
29 	35.72  	[   0.7044227   264.75247525]	[   0.74771242  286.        ]	[   0.48670213  183.        ]	[  0.03689523  15.56487919]	16.099 	23 	6  	2.45959
30 	35.7184	[   0.70608145  264.86138614]	[   0.74771242  286.        ]	[   0.61975643  217.        ]	[  0.02907768  13.61422502]	16.1584	31 	13 	2.67268
31 	35.7365	[   0.70434896  264.23762376]	[   0.74771242  287.        ]	[   0.47058824  168.        ]	[  0.04467346  19.36064627]	16.6337	28 	1  	3.68224
