   	       	                                                         fitness                                                         	              size              
   	       	-------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                        	max                        	min                        	std                      	avg    	max	min	std     
0  	2.96984	[  0.54450621 212.58415842]	[  0.71411043 295.        ]	[0. 0.]                    	[ 0.11283538 50.08216365]	2.26733	9  	1  	1.79599 
1  	4.88781	[  0.57988636 228.84158416]	[  0.7195122 295.       ]  	[  0.43918919 130.        ]	[ 0.06628908 34.74254181]	3.88119	13 	1  	3.06784 
2  	5.229  	[  0.61017092 243.07920792]	[  0.72019465 301.        ]	[  0.4386921 161.       ]  	[ 0.0701292  34.76873615]	4.54455	16 	1  	3.68976 
3  	5.73321	[  0.62568254 249.72277228]	[  0.72019465 308.        ]	[  0.46927374 168.        ]	[ 0.06822108 33.57247777]	4.22772	13 	1  	3.48371 
4  	7.34246	[  0.64833276 260.03960396]	[  0.72868217 310.        ]	[  0.45915493 163.        ]	[ 0.066712   33.35109385]	5.32673	21 	1  	4.0274  
5  	8.42195	[  0.65635564 263.67326733]	[  0.72868217 319.        ]	[  0.48445596 178.        ]	[ 0.07217225 36.60549894]	6.15842	15 	1  	3.733   
6  	9.28674	[  0.67040202 270.91089109]	[  0.72868217 313.        ]	[  0.48445596 176.        ]	[ 0.06643634 32.63755324]	7.43564	20 	1  	3.16045 
7  	10.7162	[  0.66714538 266.92079208]	[  0.73385013 308.        ]	[  0.47152318 178.        ]	[ 0.07339273 35.13303801]	8.43564	20 	1  	2.92282 
8  	11.5922	[  0.67980285 274.79207921]	[  0.73385013 316.        ]	[  0.47368421 171.        ]	[ 0.06704159 32.28104211]	9.12871	20 	1  	3.39383 
9  	12.49  	[  0.68260428 277.06930693]	[  0.73385013 309.        ]	[  0.47476126 174.        ]	[ 0.06090919 29.6398372 ]	9.58416	16 	3  	2.75849 
10 	14.2361	[  0.68872785 280.75247525]	[  0.74025974 310.        ]	[  0.49666222 180.        ]	[ 0.05879289 29.2897461 ]	10.297 	17 	2  	3.0166  
11 	15.9117	[  0.69869224 282.55445545]	[  0.74025974 315.        ]	[  0.52926209 187.        ]	[ 0.05179973 25.66790007]	10.7426	19 	1  	3.42863 
12 	15.8591	[  0.69658635 278.56435644]	[  0.74025974 312.        ]	[  0.51052632 194.        ]	[ 0.05402359 25.98644576]	11.099 	19 	2  	3.25639 
13 	15.6399	[  0.69757254 277.89108911]	[  0.74054759 312.        ]	[  0.47306176 180.        ]	[ 0.06060979 29.98147976]	12.0693	23 	3  	3.86212 
14 	15.6172	[  0.6956738  278.01980198]	[  0.74054759 313.        ]	[  0.48445596 187.        ]	[ 0.05592693 26.784797  ]	12.5446	30 	1  	4.61921 
15 	16.5611	[  0.69879124 277.03960396]	[  0.74054759 314.        ]	[  0.48445596 181.        ]	[ 0.05870608 28.70330329]	13.1188	27 	4  	4.52559 
16 	17.0279	[  0.70519477 280.73267327]	[  0.74873096 313.        ]	[  0.50393701 192.        ]	[ 0.0457954 23.2067296]  	12.8218	27 	1  	5.14232 
17 	18.8754	[  0.71364792 282.47524752]	[  0.74873096 311.        ]	[  0.48097826 177.        ]	[ 0.04477288 23.43628145]	14.2673	27 	1  	5.09687 
18 	19.6238	[  0.70246663 276.08910891]	[  0.74873096 313.        ]	[  0.46629213 166.        ]	[ 0.05878011 27.42120991]	14.3366	25 	2  	4.99758 
19 	18.4342	[  0.70510743 277.87128713]	[  0.74873096 312.        ]	[  0.48445596 180.        ]	[ 0.0547611  25.60888744]	13.7327	27 	1  	5.37116 
20 	19.4863	[  0.71100576 279.27722772]	[  0.74873096 312.        ]	[  0.52299606 199.        ]	[ 0.04069406 20.70400488]	14.3564	27 	2  	4.84121 
21 	19.2995	[  0.70367553 274.62376238]	[  0.74968234 312.        ]	[  0.509299 178.      ]    	[ 0.05330796 24.26048879]	14.1881	33 	2  	5.49836 
22 	18.8383	[  0.71073465 275.14851485]	[  0.74968234 311.        ]	[  0.48445596 183.        ]	[ 0.05386703 22.53990351]	14.3366	25 	5  	4.22692 
23 	19.3225	[  0.70100599 270.84158416]	[  0.74968234 308.        ]	[0. 0.]                    	[ 0.08998025 35.94901028]	14.4653	29 	5  	4.39524 
24 	18.0842	[  0.71995959 278.44554455]	[  0.74968234 308.        ]	[  0.49450549 180.        ]	[ 0.04311989 18.463491  ]	14.2574	27 	3  	3.94681 
25 	17.3535	[  0.71942476 277.69306931]	[  0.75195822 295.        ]	[  0.48445596 187.        ]	[ 0.048588   20.26788054]	13.8515	25 	3  	3.53592 
26 	17.409 	[  0.71248238 274.47524752]	[  0.75229358 295.        ]	[  0.4851752 179.       ]  	[ 0.05376719 22.25887032]	13.5941	30 	5  	3.71291 
27 	17.8149	[  0.70877977 272.63366337]	[  0.75647668 296.        ]	[  0.48445596 186.        ]	[ 0.05353692 21.96654647]	14.1881	25 	2  	4.09954 
28 	17.9489	[  0.70670348 272.55445545]	[  0.75647668 296.        ]	[  0.48445596 183.        ]	[ 0.06317463 24.72080747]	14.2574	29 	3  	4.43803 
29 	17.3555	[  0.71694391 276.47524752]	[  0.7544757 296.       ]  	[  0.48445596 187.        ]	[ 0.04700326 20.11629262]	13.9307	27 	4  	4.42821 
30 	19.3367	[  0.70372122 270.64356436]	[  0.7544757 296.       ]  	[0. 0.]                    	[ 0.08692873 34.53526943]	14.8119	32 	1  	4.67289 
31 	19.8868	[  0.72166226 278.68316832]	[  0.7544757 302.       ]  	[  0.48445596 187.        ]	[ 0.0431317  17.93162519]	14.8614	32 	6  	3.98768 
32 	20.8303	[  0.70752389 272.65346535]	[  0.75889328 296.        ]	[0. 0.]                    	[ 0.08828601 35.08502703]	14.5644	32 	1  	5.596   
33 	22.5922	[  0.71541456 275.67326733]	[  0.75889328 296.        ]	[0. 0.]                    	[ 0.0825762  32.74628205]	16.0693	32 	4  	5.62043 
34 	24.8641	[  0.71292542 275.11881188]	[  0.75889328 296.        ]	[  0.51344086 191.        ]	[ 0.04382514 18.11420707]	16.9406	36 	6  	6.60606 
35 	29.3791	[  0.71823244 276.28712871]	[  0.75889328 296.        ]	[0. 0.]                    	[ 0.08160045 32.59816451]	19.1386	36 	8  	6.3745  
36 	35.1779	[  0.72529396 278.31683168]	[  0.75889328 295.        ]	[0. 0.]                    	[ 0.07803043 31.02312478]	21     	36 	8  	6.42705 
37 	34.8181	[  0.72953874 280.78217822]	[  0.76052632 295.        ]	[  0.49871465 194.        ]	[ 0.04088622 15.03237691]	21.5545	38 	2  	7.39477 
