   	       	                                                        fitness                                                        	               size              
   	       	-----------------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                      	max                      	min                      	std                    	avg    	max	min	std      
0  	7.64488	[0.05699557 5.72277228]  	[ 0.11398964 11.        ]	[0.01020408 1.        ]  	[0.02176583 2.26518555]	1.92079	5  	1  	1.20792  
1  	7.71099	[0.06480545 6.46534653]  	[ 0.11711712 13.        ]	[0.01 1.  ]              	[0.02236718 2.34864341]	1.89109	5  	1  	1.21786  
2  	7.85279	[0.05992372 6.07920792]  	[ 0.12371134 13.        ]	[0. 0.]                  	[0.02801212 2.88966464]	2.28713	5  	1  	1.43048  
3  	8.57409	[0.06706561 6.88118812]  	[ 0.18604651 20.        ]	[0. 0.]                  	[0.03318011 3.53563788]	2.60396	5  	1  	1.6111   
4  	8.79563	[0.07370524 7.4950495 ]  	[ 0.18604651 20.        ]	[0. 0.]                  	[0.03408571 3.49149961]	3.17822	5  	1  	1.58205  
5  	9.31972	[0.08669941 8.79207921]  	[ 0.18604651 20.        ]	[0.01169591 1.        ]  	[0.03652204 3.80806032]	3.63366	5  	1  	1.41227  
6  	10.0307	[0.09411405 9.63366337]  	[ 0.19138756 21.        ]	[0.01069519 1.        ]  	[0.04138    4.35940493]	4.0396 	5  	1  	1.31195  
7  	11.4775	[ 0.1231897  12.56435644]	[ 0.19138756 20.        ]	[0.03015075 3.        ]  	[0.04272211 4.71655152]	4.57426	5  	1  	1.01812  
8  	12.5074	[ 0.12911208 13.28712871]	[ 0.19417476 21.        ]	[0. 0.]                  	[0.04801118 5.28651682]	4.56436	5  	1  	1.11174  
9  	14.5214	[ 0.13990824 14.47524752]	[ 0.19417476 20.        ]	[0. 0.]                  	[0.04725296 5.10793221]	4.86139	5  	1  	0.545544 
10 	15.664 	[ 0.15416858 16.07920792]	[ 0.19417476 21.        ]	[0.05208333 5.        ]  	[0.03811178 4.21144872]	4.9505 	5  	3  	0.258566 
11 	15.6521	[ 0.14431745 14.95049505]	[ 0.19417476 20.        ]	[0.02094241 2.        ]  	[0.04341101 4.64454591]	4.87129	5  	2  	0.459517 
12 	16.6073	[ 0.15080763 15.69306931]	[ 0.19417476 21.        ]	[0.02790698 3.        ]  	[0.04335263 4.68776071]	4.87129	5  	1  	0.556925 
13 	17.1065	[ 0.14616982 15.18811881]	[ 0.19417476 20.        ]	[0. 0.]                  	[0.04499859 4.85576695]	4.84158	5  	2  	0.502128 
14 	18.1775	[ 0.15990198 16.65346535]	[ 0.19417476 21.        ]	[0.06796117 7.        ]  	[0.03659172 3.91856622]	4.89109	5  	3  	0.395544 
15 	17.9538	[ 0.16291046 17.05940594]	[ 0.19417476 21.        ]	[0.02051282 2.        ]  	[0.0366076  3.90181928]	4.93069	5  	3  	0.322657 
16 	18.1388	[ 0.15909946 16.55445545]	[ 0.19417476 20.        ]	[0.04060914 4.        ]  	[0.03686672 3.94134029]	4.92079	5  	3  	0.304526 
17 	17.3445	[ 0.15940331 16.62376238]	[ 0.19417476 20.        ]	[0.04651163 5.        ]  	[0.03741656 4.01199065]	4.92079	5  	1  	0.459943 
18 	17.0087	[ 0.1613489  16.78217822]	[ 0.19417476 20.        ]	[0.06030151 6.        ]  	[0.03472641 3.74854153]	4.9604 	5  	4  	0.195027 
19 	17.4489	[ 0.16399411 17.02970297]	[ 0.19417476 20.        ]	[0.06060606 6.        ]  	[0.03244219 3.47965927]	4.9703 	5  	3  	0.220506 
20 	16.7717	[ 0.1573845  16.36633663]	[ 0.19417476 20.        ]	[0.05813953 5.        ]  	[0.03725392 4.04118102]	4.94059	5  	3  	0.275098 
21 	17.1175	[ 0.15978566 16.69306931]	[ 0.19417476 21.        ]	[0.04273504 5.        ]  	[0.03600836 3.8990798 ]	4.93069	5  	3  	0.322657 
22 	17.3578	[ 0.15737757 16.44554455]	[ 0.19512195 21.        ]	[0.02139037 2.        ]  	[0.04289821 4.54564365]	4.90099	5  	3  	0.358902 
23 	16.5538	[ 0.15043409 15.66336634]	[ 0.19512195 21.        ]	[0.03940887 4.        ]  	[0.04071585 4.36747027]	4.90099	5  	2  	0.385503 
24 	16.6364	[ 0.15846585 16.40594059]	[ 0.19512195 21.        ]	[0.03773585 4.        ]  	[0.03679041 3.99796537]	4.86139	5  	3  	0.373098 
25 	16.1794	[ 0.14658985 15.22772277]	[ 0.19512195 20.        ]	[0.03809524 4.        ]  	[0.04486074 4.77593221]	4.84158	5  	3  	0.415842 
26 	17.1203	[ 0.14879187 15.46534653]	[ 0.19512195 20.        ]	[0.02941176 3.        ]  	[0.04369612 4.64920808]	4.79208	5  	1  	0.585583 
27 	16.7835	[ 0.14854362 15.38613861]	[ 0.19512195 20.        ]	[0.01020408 1.        ]  	[0.04407933 4.68824166]	4.81188	5  	3  	0.41537  
28 	18.1222	[ 0.15016614 15.59405941]	[ 0.19512195 20.        ]	[0.01234568 1.        ]  	[0.04219857 4.50121704]	4.81188	5  	2  	0.481599 
29 	18.5101	[ 0.15814863 16.40594059]	[ 0.19512195 20.        ]	[0.06140351 7.        ]  	[0.03623269 3.86191923]	4.87129	5  	2  	0.459517 
30 	18.2046	[ 0.16190406 16.86138614]	[ 0.2037037 22.       ]  	[0.04807692 5.        ]  	[0.03370323 3.63435124]	4.89109	5  	4  	0.311527 
31 	17.9013	[ 0.15985987 16.58415842]	[ 0.22009569 23.        ]	[0.039801 4.      ]      	[0.03758286 4.03761357]	4.82178	5  	1  	0.603554 
32 	18.7099	[ 0.16314062 17.        ]	[ 0.22009569 23.        ]	[0.05633803 6.        ]  	[0.03179253 3.42385343]	4.89109	5  	4  	0.311527 
33 	17.6756	[ 0.15935297 16.57425743]	[ 0.22009569 23.        ]	[0.06122449 6.        ]  	[0.03662242 3.91581342]	4.81188	5  	3  	0.460582 
34 	18.2893	[ 0.15079284 15.62376238]	[ 0.22009569 23.        ]	[0. 0.]                  	[0.04611353 4.8885631 ]	4.9604 	5  	3  	0.240494 
35 	18.5495	[ 0.16239213 16.82178218]	[ 0.24154589 25.        ]	[0.06140351 7.        ]  	[0.03759555 3.94365273]	4.88119	5  	3  	0.379868 
36 	18.6978	[ 0.1591736  16.47524752]	[ 0.24154589 25.        ]	[0.04739336 5.        ]  	[0.04174945 4.40655241]	4.89109	5  	4  	0.311527 
37 	19.146 	[ 0.15537401 16.02970297]	[ 0.24154589 25.        ]	[0.04672897 5.        ]  	[0.0467675 4.9260983]  	4.81188	5  	3  	0.460582 
38 	19.698 	[ 0.16115339 16.61386139]	[ 0.24154589 25.        ]	[0.04694836 5.        ]  	[0.04090375 4.32348021]	4.80198	5  	2  	0.545364 
39 	20.0395	[ 0.1576757  16.28712871]	[ 0.24154589 25.        ]	[0.03940887 4.        ]  	[0.04807265 4.97187463]	4.80198	5  	3  	0.422623 
40 	20.1783	[ 0.16803739 17.27722772]	[ 0.24154589 25.        ]	[0.04672897 5.        ]  	[0.04384796 4.54486722]	4.76238	5  	3  	0.469854 
41 	20.6074	[ 0.17070162 17.35643564]	[ 0.24509804 25.        ]	[0.04784689 5.        ]  	[0.04627602 4.81454923]	4.76238	5  	3  	0.448286 
42 	21.9361	[ 0.17430184 17.69306931]	[ 0.24509804 25.        ]	[0.04716981 5.        ]  	[0.05042864 5.20613228]	4.80198	5  	4  	0.398507 
43 	22.5725	[ 0.17535322 17.96039604]	[ 0.24509804 25.        ]	[0.02926829 3.        ]  	[0.05109735 5.22734772]	4.87129	5  	3  	0.363246 
44 	23.0945	[ 0.17467452 17.68316832]	[ 0.24509804 25.        ]	[0.03846154 4.        ]  	[0.05403821 5.60397789]	4.85149	5  	3  	0.38244  
45 	24.1501	[ 0.1742601  17.77227723]	[ 0.24509804 25.        ]	[0.03921569 4.        ]  	[0.05340959 5.49685993]	4.91089	5  	4  	0.284901 
46 	25.476 	[ 0.16330323 16.47524752]	[ 0.24509804 25.        ]	[0.03902439 4.        ]  	[0.06450409 6.59671995]	4.9505 	5  	4  	0.21692  
47 	23.9751	[ 0.17808068 17.97029703]	[ 0.24509804 25.        ]	[0.02764977 3.        ]  	[0.05304678 5.51048586]	4.93069	5  	4  	0.253975 
48 	23.8172	[ 0.1846755  18.61386139]	[ 0.25 25.  ]            	[0.0462963 5.       ]    	[0.04355812 4.59653399]	4.92079	5  	4  	0.270063 
49 	24.916 	[ 0.18009711 18.41584158]	[ 0.25 26.  ]            	[0.0130719 1.       ]    	[0.05393452 5.54953807]	4.90099	5  	4  	0.298675 
50 	25.9324	[ 0.17871038 18.08910891]	[ 0.25 25.  ]            	[0.03827751 4.        ]  	[0.04945192 5.15713292]	4.94059	5  	4  	0.236383 
51 	25.2351	[ 0.18513931 18.71287129]	[ 0.25 25.  ]            	[0.01010101 1.        ]  	[0.04825976 5.07241937]	4.9802 	5  	4  	0.139319 
52 	25.7452	[ 0.18812522 19.06930693]	[ 0.24875622 25.        ]	[0.04854369 5.        ]  	[0.04460905 4.67827807]	4.91089	5  	4  	0.284901 
53 	26.1278	[ 0.18021918 18.38613861]	[ 0.25742574 26.        ]	[0.01020408 1.        ]  	[0.05785098 5.96851524]	4.91089	5  	4  	0.284901 
54 	26.9768	[ 0.18749632 19.17821782]	[ 0.25742574 26.        ]	[0.03864734 4.        ]  	[0.04929963 5.04120848]	4.9604 	5  	4  	0.195027 
55 	27.4072	[ 0.18279938 18.68316832]	[ 0.25742574 26.        ]	[0.05504587 6.        ]  	[0.04833608 4.92504348]	4.9703 	5  	4  	0.169767 
56 	28.0397	[ 0.18798549 19.01980198]	[ 0.26086957 27.        ]	[0.04651163 5.        ]  	[0.04580511 4.71983428]	4.9604 	5  	4  	0.195027 
57 	27.718 	[ 0.19014424 19.36633663]	[ 0.26086957 27.        ]	[0.01058201 1.        ]  	[0.05171524 5.28349339]	4.9604 	5  	3  	0.240494 
58 	28.2168	[ 0.20037126 20.44554455]	[ 0.26086957 27.        ]	[0.04807692 5.        ]  	[0.03342752 3.33441475]	4.9802 	5  	4  	0.139319 
59 	26.958 	[ 0.18714069 18.98019802]	[ 0.26086957 27.        ]	[0.03076923 3.        ]  	[0.05373112 5.54724122]	4.93069	5  	4  	0.253975 
60 	26.4564	[ 0.19356633 19.7029703 ]	[ 0.26086957 27.        ]	[0.06382979 6.        ]  	[0.04344213 4.56101551]	4.90099	5  	3  	0.330165 
61 	26.1912	[ 0.17997072 18.26732673]	[ 0.26086957 27.        ]	[0.02094241 2.        ]  	[0.05651619 5.86631783]	4.91089	5  	3  	0.317759 
62 	25.7367	[ 0.18574201 18.88118812]	[ 0.26086957 27.        ]	[0. 0.]                  	[0.05173593 5.36266361]	4.87129	5  	1  	0.538854 
63 	26.5731	[ 0.18191005 18.47524752]	[ 0.26086957 27.        ]	[0.04784689 5.        ]  	[0.05038066 5.21535065]	4.94059	5  	4  	0.236383 
64 	26.8464	[ 0.19063781 19.5049505 ]	[ 0.26086957 27.        ]	[0.04926108 5.        ]  	[0.04000786 4.21835631]	4.92079	5  	1  	0.437888 
65 	27.5899	[ 0.1908466  19.59405941]	[ 0.26086957 27.        ]	[0.04669261 5.        ]  	[0.04410757 4.41684045]	4.91089	5  	4  	0.284901 
66 	27.9992	[ 0.19113517 19.44554455]	[ 0.26086957 27.        ]	[0.05825243 6.        ]  	[0.04126163 4.36791916]	4.9901 	5  	4  	0.0990099
67 	28.1069	[ 0.18913144 19.2970297 ]	[ 0.26086957 27.        ]	[0.03864734 4.        ]  	[0.04931752 5.1406833 ]	4.93069	5  	3  	0.290354 
68 	28.2061	[ 0.19347703 19.69306931]	[ 0.26086957 27.        ]	[0.04608295 5.        ]  	[0.04453157 4.52876958]	4.93069	5  	4  	0.253975 
69 	27.2353	[ 0.18676248 19.08910891]	[ 0.26086957 27.        ]	[0.03864734 4.        ]  	[0.04819049 5.00712168]	4.93069	5  	4  	0.253975 
70 	27.8785	[ 0.19304398 19.8019802 ]	[ 0.26086957 27.        ]	[0.04672897 5.        ]  	[0.04179197 4.27291679]	4.9604 	5  	4  	0.195027 
71 	26.3432	[ 0.19152077 19.51485149]	[ 0.26086957 27.        ]	[0.02339181 2.        ]  	[0.04057948 4.23940464]	4.93069	5  	4  	0.253975 
72 	26.8329	[ 0.19104102 19.48514851]	[ 0.26086957 27.        ]	[0.0106383 1.       ]    	[0.04622652 4.7148677 ]	4.89109	5  	1  	0.464609 
73 	27.7608	[ 0.19120849 19.3960396 ]	[ 0.26086957 27.        ]	[0.03864734 4.        ]  	[0.04752048 4.94540332]	4.9703 	5  	4  	0.169767 
74 	27.9808	[ 0.19778734 20.14851485]	[ 0.26086957 27.        ]	[0.02830189 3.        ]  	[0.0320312  3.22854269]	4.94059	5  	4  	0.236383 
75 	26.8756	[ 0.19436719 19.85148515]	[ 0.26086957 27.        ]	[0.01015228 1.        ]  	[0.04683984 4.85917757]	4.91089	5  	3  	0.347523 
76 	26.9368	[ 0.18720113 19.10891089]	[ 0.26086957 27.        ]	[0.01574803 1.        ]  	[0.05202754 5.4079168 ]	4.93069	5  	4  	0.253975 
77 	27.6306	[ 0.19041905 19.32673267]	[ 0.26086957 27.        ]	[0.03940887 4.        ]  	[0.0490448  5.06806916]	4.9604 	5  	4  	0.195027 
78 	27.0004	[ 0.18825793 19.32673267]	[ 0.26086957 27.        ]	[0.02298851 2.        ]  	[0.04996811 5.13984418]	4.89109	5  	4  	0.311527 
79 	27.7937	[ 0.19074888 19.44554455]	[ 0.26086957 27.        ]	[0.04854369 5.        ]  	[0.04415318 4.6040775 ]	4.93069	5  	4  	0.253975 
80 	28.0966	[ 0.19385642 19.77227723]	[ 0.26086957 27.        ]	[0.04739336 5.        ]  	[0.04435075 4.60924853]	4.9505 	5  	4  	0.21692  
81 	27.498 	[ 0.19226967 19.62376238]	[ 0.26086957 27.        ]	[0.03791469 4.        ]  	[0.04518416 4.76964719]	4.94059	5  	3  	0.275098 
82 	26.8452	[ 0.20206536 20.76237624]	[ 0.26086957 27.        ]	[0.06382979 6.        ]  	[0.03428302 3.59358205]	4.9703 	5  	3  	0.220506 
83 	26.1081	[ 0.18681517 19.10891089]	[ 0.26086957 27.        ]	[0.03921569 4.        ]  	[0.05043877 5.22352066]	4.92079	5  	3  	0.304526 
84 	25.9202	[ 0.19072692 19.53465347]	[ 0.26086957 27.        ]	[0.03791469 4.        ]  	[0.04888285 5.05918311]	4.86139	5  	1  	0.527082 
85 	26.8234	[ 0.18966025 19.42574257]	[ 0.26086957 27.        ]	[0.03827751 4.        ]  	[0.04780011 4.91581915]	4.93069	5  	4  	0.253975 
86 	26.8341	[ 0.19396405 19.83168317]	[ 0.26086957 27.        ]	[0.04784689 5.        ]  	[0.04382517 4.48996528]	4.93069	5  	4  	0.253975 
87 	25.7083	[ 0.19077734 19.52475248]	[ 0.25490196 26.        ]	[0.04672897 5.        ]  	[0.03840062 3.92401608]	4.85149	5  	2  	0.514851 
