   	       	                                                      fitness                                                      	              size              
   	       	-------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                        	max                                	min      	std                        	avg    	max	min	std     
0  	86.8462	[ 0.  0.]                  	[ 0.  0.]                          	[ 0.  0.]	[ 0.  0.]                  	1.92079	5  	1  	1.1577  
1  	87.7376	[ 0.  0.]                  	[ 0.  0.]                          	[ 0.  0.]	[ 0.  0.]                  	2.0297 	5  	1  	1.13848 
2  	92.5928	[ 0.  0.]                  	[ 0.  0.]                          	[ 0.  0.]	[ 0.  0.]                  	2.30693	5  	1  	1.34048 
3  	94.4837	[ 0.  0.]                  	[ 0.  0.]                          	[ 0.  0.]	[ 0.  0.]                  	2.49505	5  	1  	1.53264 
4  	88.9368	[ 0.00020771  0.02970297]  	[ 0.02097902  3.        ]          	[ 0.  0.]	[ 0.00207713  0.2970297 ]  	2.84158	5  	1  	1.58416 
5  	98.6937	[ 0.00020771  0.02970297]  	[ 0.02097902  3.        ]          	[ 0.  0.]	[ 0.00207713  0.2970297 ]  	3.16832	5  	1  	1.61717 
6  	85.9356	[ 0.00089802  0.07920792]  	[ 0.05714286  4.        ]          	[ 0.  0.]	[ 0.00611943  0.50115052]  	3.10891	5  	1  	1.65249 
7  	76.2578	[ 0.00088286  0.08910891]  	[ 0.05714286  4.        ]          	[ 0.  0.]	[ 0.00611485  0.56461693]  	3.39604	5  	1  	1.57379 
8  	81.7088	[ 0.00150993  0.10891089]  	[ 0.05714286  4.        ]          	[ 0.  0.]	[ 0.00866487  0.62775713]  	3.50495	5  	1  	1.52617 
9  	76.6173	[ 0.00284141  0.31683168]  	[  0.21259843  27.        ]        	[ 0.  0.]	[ 0.02178773  2.69921401]  	3.55446	5  	1  	1.55095 
10 	80.0433	[ 0.00534587  0.76237624]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.03149467  4.79510583]  	3.56436	5  	1  	1.52482 
11 	88.6967	[ 0.00684375  1.44554455]  	[  0.23054755  71.        ]        	[ 0.  0.]	[ 0.02950843  8.13922813]  	3.61386	5  	1  	1.44174 
12 	71.9971	[ 0.00471494  0.6039604 ]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.02744396  4.15081814]  	3.62376	5  	1  	1.46815 
13 	72.2775	[ 0.00417169  1.27722772]  	[  0.23054755  55.        ]        	[ 0.  0.]	[ 0.02531318  7.37015498]  	3.46535	5  	1  	1.36842 
14 	74.938 	[ 0.00228265  0.3960396 ]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.02282649  3.96039604]  	3.64356	5  	1  	1.21528 
15 	75.4957	[ 0.00292142  0.43564356]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.02364182  3.97620607]  	3.65347	5  	1  	1.181   
16 	84.8791	[ 0.00343913  0.78217822]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.02395654  5.30011014]  	3.75248	5  	1  	1.14672 
17 	93.0533	[ 0.00622456  1.76237624]  	[  0.23054755  50.        ]        	[ 0.  0.]	[ 0.02917306  8.18613718]  	3.62376	5  	1  	1.22557 
18 	74.8973	[ 0.00408438  0.81188119]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.02470338  5.30031359]  	3.76238	5  	1  	1.15311 
19 	75.7775	[ 0.00541099  1.02970297]  	[  0.23054755  40.        ]        	[ 0.  0.]	[ 0.02624741  5.5480894 ]  	3.80198	5  	1  	1.20247 
20 	70.3875	[ 0.00715195  1.68316832]  	[  0.23054755  41.        ]        	[ 0.  0.]	[ 0.03029665  7.2834149 ]  	3.77228	5  	1  	1.14218 
21 	80.9004	[ 0.00760778  3.03960396]  	[  0.23054755  94.        ]        	[ 0.  0.]	[  0.02925564  13.50461659]	3.75248	5  	1  	1.27742 
22 	68.5653	[ 0.00865967  5.51485149]  	[  9.44395410e-02   1.07000000e+02]	[ 0.  0.]	[  0.02507243  20.38666515]	3.85149	5  	1  	1.28499 
23 	74.316 	[ 0.00945422  6.11881188]  	[   0.13559322  107.        ]      	[ 0.  0.]	[  0.02692774  20.06439491]	3.77228	5  	1  	1.34886 
24 	73.1661	[ 0.01143764  6.27722772]  	[  0.13559322  94.        ]        	[ 0.  0.]	[  0.02940782  21.11501686]	3.56436	5  	1  	1.2619  
25 	67.2097	[  0.01596072  10.45544554]	[   0.13559322  107.        ]      	[ 0.  0.]	[  0.03526628  27.30557726]	3.62376	5  	1  	1.23362 
26 	64.4832	[ 0.01515646  9.5049505 ]  	[   0.13559322  107.        ]      	[ 0.  0.]	[  0.03259855  25.58566421]	3.69307	5  	1  	1.26446 
27 	69.6528	[ 0.01203595  7.83168317]  	[   0.13559322  107.        ]      	[ 0.  0.]	[  0.03020085  23.5834601 ]	3.92079	5  	1  	1.13175 
28 	67.1633	[  0.01761397  12.3960396 ]	[   0.13559322  107.        ]      	[ 0.  0.]	[  0.03505851  29.83853552]	3.69307	5  	1  	1.28003 
29 	57.6934	[  0.02176827  14.25742574]	[   0.13559322  107.        ]      	[ 0.  0.]	[  0.03711704  31.08998548]	3.80198	5  	1  	1.17751 
30 	56.7227	[  0.02736194  18.66336634]	[  0.14048059  94.        ]        	[ 0.  0.]	[  0.0431828  33.8313456]  	3.88119	5  	1  	1.12828 
