   	       	                                    fitness                                    	              size              
   	       	-------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                    	max                    	min    	std                    	avg    	max	min	std     
0  	17.463 	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	1.92079	5  	1  	1.1577  
1  	17.7285	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	2.0297 	5  	1  	1.13848 
2  	17.6238	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	2.30693	5  	1  	1.34048 
3  	18.6567	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	2.49505	5  	1  	1.53264 
4  	18.8153	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	2.84158	5  	1  	1.58416 
5  	19.5173	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	3.11881	5  	1  	1.55613 
6  	18.017 	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	3.10891	5  	1  	1.46173 
7  	19.0415	[0. 0.]                	[0. 0.]                	[0. 0.]	[0. 0.]                	3.15842	5  	1  	1.333   
8  	20.8764	[0.0001768  0.00990099]	[0.01785714 1.        ]	[0. 0.]	[0.00176803 0.0990099 ]	3.21782	5  	1  	1.3687  
9  	19.8509	[0.00035361 0.01980198]	[0.01785714 1.        ]	[0. 0.]	[0.00248784 0.13931928]	3.38614	5  	1  	1.29714 
10 	20.7618	[0.0001768  0.00990099]	[0.01785714 1.        ]	[0. 0.]	[0.00176803 0.0990099 ]	3.0495 	5  	1  	1.37428 
11 	24.8657	[0.00052731 0.02970297]	[0.01785714 1.        ]	[0. 0.]	[0.00301393 0.16976662]	3.10891	5  	1  	1.24201 
12 	24.5868	[0.00053041 0.02970297]	[0.01785714 1.        ]	[0. 0.]	[0.00303155 0.16976662]	3.09901	5  	1  	1.36799 
13 	30.1825	[0.00053041 0.02970297]	[0.01785714 1.        ]	[0. 0.]	[0.00303155 0.16976662]	3.0198 	5  	1  	1.34223 
14 	25.9719	[0.00088402 0.04950495]	[0.01785714 1.        ]	[0. 0.]	[0.00387357 0.21691982]	2.92079	5  	1  	1.42595 
15 	30.627 	[0.00159123 0.08910891]	[0.01785714 1.        ]	[0. 0.]	[0.00508752 0.28490088]	3      	5  	1  	1.49587 
16 	34.2657	[0.00141443 0.07920792]	[0.01785714 1.        ]	[0. 0.]	[0.00482255 0.270063  ]	2.85149	5  	1  	1.41691 
17 	39.8532	[0.00123762 0.06930693]	[0.01785714 1.        ]	[0. 0.]	[0.00453527 0.25397535]	2.86139	5  	1  	1.4074  
18 	40.4374	[0.00159123 0.08910891]	[0.01785714 1.        ]	[0. 0.]	[0.00508752 0.28490088]	2.9505 	5  	1  	1.32288 
19 	43.9046	[0.00141286 0.07920792]	[0.01785714 1.        ]	[0. 0.]	[0.00481724 0.270063  ]	2.9505 	5  	1  	1.40984 
20 	45.5138	[0.00212008 0.11881188]	[0.01785714 1.        ]	[0. 0.]	[0.00577374 0.32356702]	2.79208	5  	1  	1.37385 
21 	41.146 	[0.00282729 0.15841584]	[0.01785714 1.        ]	[0. 0.]	[0.0065166  0.36513047]	2.57426	5  	1  	1.33755 
22 	44.7437	[0.00212164 0.11881188]	[0.01785714 1.        ]	[0. 0.]	[0.00577798 0.32356702]	2.73267	5  	1  	1.42739 
23 	47.9129	[0.00194484 0.10891089]	[0.01785714 1.        ]	[0. 0.]	[0.00556299 0.31152738]	2.76238	5  	1  	1.40119 
24 	46.6376	[0.00318246 0.17821782]	[0.01785714 1.        ]	[0. 0.]	[0.00683386 0.382696  ]	2.61386	5  	1  	1.33476 
25 	56.2359	[0.00388967 0.21782178]	[0.01785714 1.        ]	[0. 0.]	[0.00737081 0.41276562]	2.49505	5  	1  	1.16571 
26 	52.1672	[0.00406491 0.22772277]	[0.01785714 1.        ]	[0. 0.]	[0.00748575 0.41936274]	2.58416	5  	1  	1.31456 
27 	49.5494	[0.00335926 0.18811881]	[0.01785714 1.        ]	[0. 0.]	[0.0069787  0.39080702]	2.61386	5  	1  	1.37135 
28 	52.1232	[0.00424328 0.23762376]	[0.01785714 1.        ]	[0. 0.]	[0.00760049 0.42562743]	2.62376	5  	1  	1.26531 
29 	51.9597	[0.00300566 0.16831683]	[0.01785714 1.        ]	[0. 0.]	[0.0066812 0.3741474]  	2.63366	5  	1  	1.27987 
30 	41.3507	[0.00229844 0.12871287]	[0.01785714 1.        ]	[0. 0.]	[0.00598003 0.33488187]	2.49505	5  	1  	1.31724 
31 	43.5297	[0.00300566 0.16831683]	[0.01785714 1.        ]	[0. 0.]	[0.0066812 0.3741474]  	2.24752	5  	1  	1.17234 
32 	41.9762	[0.00300566 0.16831683]	[0.01785714 1.        ]	[0. 0.]	[0.0066812 0.3741474]  	2.41584	5  	1  	1.19626 
33 	50.3037	[0.00548091 0.30693069]	[0.01785714 1.        ]	[0. 0.]	[0.00823608 0.46122038]	2.21782	5  	1  	0.981048
34 	52.8037	[0.00547934 0.30693069]	[0.01785714 1.        ]	[0. 0.]	[0.00823374 0.46122038]	2.0495 	5  	1  	0.775571
35 	50.919 	[0.00459689 0.25742574]	[0.01785714 1.        ]	[0. 0.]	[0.00780743 0.43721588]	2.0495 	5  	1  	0.958301
36 	56.26  	[0.00582075 0.32673267]	[0.03448276 2.        ]	[0. 0.]	[0.00870111 0.48967378]	2.0396 	5  	1  	0.866549
37 	57.6584	[0.00564552 0.31683168]	[0.03448276 2.        ]	[0. 0.]	[0.00863812 0.48605694]	2.17822	5  	1  	1.02827 
38 	57.5126	[0.00635273 0.35643564]	[0.03448276 2.        ]	[0. 0.]	[0.00887472 0.4991906 ]	2.30693	5  	1  	1.07853 
39 	56.6668	[0.00687095 0.38613861]	[0.03448276 2.        ]	[0. 0.]	[0.00931869 0.52596535]	2.22772	5  	1  	0.932167
40 	55.0715	[0.00634054 0.35643564]	[0.03448276 2.        ]	[0. 0.]	[0.00918553 0.51864558]	2.19802	5  	1  	0.985236
41 	62.5591	[0.0082366  0.46534653]	[0.03448276 2.        ]	[0. 0.]	[0.01064414 0.60630934]	2.25743	5  	1  	0.971408
42 	59.731 	[0.00734039 0.41584158]	[0.03448276 2.        ]	[0. 0.]	[0.01081344 0.61768214]	2.30693	5  	1  	1.07853 
43 	67.2314	[0.00629176 0.35643564]	[0.03448276 2.        ]	[0. 0.]	[0.01033556 0.59008572]	2.35644	5  	1  	0.980848
44 	61.5873	[0.00593816 0.33663366]	[0.03448276 2.        ]	[0. 0.]	[0.01023885 0.58491309]	2.38614	5  	1  	1.08974 
45 	60.9528	[0.00540775 0.30693069]	[0.03448276 2.        ]	[0. 0.]	[0.01006878 0.57579174]	2.46535	5  	1  	1.12192 
46 	58.7014	[0.00729243 0.41584158]	[0.03448276 2.        ]	[0. 0.]	[0.01154279 0.664031  ]	2.36634	5  	1  	1.10555 
47 	59.0738	[0.00506633 0.28712871]	[0.03448276 2.        ]	[0. 0.]	[0.00965316 0.55108594]	2.67327	5  	1  	1.19495 
48 	56.5601	[0.00554797 0.31683168]	[0.03448276 2.        ]	[0. 0.]	[0.01092597 0.62822543]	2.83168	5  	1  	1.21923 
49 	55.0304	[0.00501146 0.28712871]	[0.03448276 2.        ]	[0. 0.]	[0.01074041 0.61879208]	2.63366	5  	1  	1.21641 
50 	63.232 	[0.00449934 0.25742574]	[0.03448276 2.        ]	[0. 0.]	[0.01027185 0.59124747]	2.75248	5  	1  	1.18911 
51 	53.6191	[0.00380791 0.21782178]	[0.03448276 2.        ]	[0. 0.]	[0.00933397 0.53776141]	2.85149	5  	1  	1.38153 
52 	59.8053	[0.00518575 0.2970297 ]	[0.03448276 2.        ]	[0. 0.]	[0.01078722 0.62211002]	2.9802 	5  	1  	1.31239 
53 	53.9669	[0.00447544 0.25742574]	[0.03448276 2.        ]	[0. 0.]	[0.01051133 0.60776274]	2.94059	5  	1  	1.34843 
54 	59.2575	[0.0060002  0.34653465]	[0.03448276 2.        ]	[0. 0.]	[0.01223708 0.70970142]	3.0396 	5  	1  	1.33439 
55 	69.568 	[0.00670992 0.38613861]	[0.03448276 2.        ]	[0. 0.]	[0.01239864 0.71712154]	2.85149	5  	1  	1.24587 
56 	66.6715	[0.00692079 0.3960396 ]	[0.03448276 2.        ]	[0. 0.]	[0.01171587 0.67602812]	2.94059	5  	1  	1.23338 
57 	66.1989	[0.00588077 0.33663366]	[0.03448276 2.        ]	[0. 0.]	[0.01125877 0.64910033]	2.93069	5  	1  	1.26066 
58 	60.0173	[0.00446238 0.25742574]	[0.03448276 2.        ]	[0. 0.]	[0.01048162 0.60776274]	2.91089	5  	1  	1.41491 
59 	65.2555	[0.00412801 0.23762376]	[0.03448276 2.        ]	[0. 0.]	[0.01007444 0.58273026]	2.86139	5  	1  	1.26671 
60 	64.6423	[0.00481327 0.27722772]	[0.03448276 2.        ]	[0. 0.]	[0.01118783 0.64667944]	3      	5  	1  	1.29737 
61 	68.8437	[0.00534678 0.30693069]	[0.03448276 2.        ]	[0. 0.]	[0.01137227 0.65616006]	2.62376	5  	1  	1.08866 
62 	67.9469	[0.00481176 0.27722772]	[0.03448276 2.        ]	[0. 0.]	[0.01118612 0.64667944]	2.84158	5  	1  	1.15812 
63 	62.4314	[0.00531168 0.30693069]	[0.03448276 2.        ]	[0. 0.]	[0.01184242 0.68567484]	2.89109	5  	1  	1.19322 
64 	54.1168	[0.00530559 0.30693069]	[0.03448276 2.        ]	[0. 0.]	[0.01208222 0.69996569]	3.11881	5  	1  	1.17976 
65 	59.8461	[0.00599599 0.34653465]	[0.03448276 2.        ]	[0. 0.]	[0.01249408 0.72351786]	2.90099	5  	1  	1.21464 
66 	55.8834	[0.00242186 0.13861386]	[0.03448276 2.        ]	[0. 0.]	[0.0077464  0.44565455]	2.80198	5  	1  	1.27442 
67 	52.187 	[0.00259108 0.14851485]	[0.03448276 2.        ]	[0. 0.]	[0.00824237 0.4748348 ]	2.90099	5  	1  	1.3752  
68 	50.4416	[0.00278008 0.15841584]	[0.03448276 2.        ]	[0. 0.]	[0.00803867 0.46100779]	2.88119	5  	1  	1.35184 
69 	46.2928	[0.00327391 0.18811881]	[0.03448276 2.        ]	[0. 0.]	[0.00935295 0.5397629 ]	2.66337	5  	1  	1.37356 
70 	51.8055	[0.00414894 0.23762376]	[0.03448276 2.        ]	[0. 0.]	[0.00982118 0.56548437]	2.60396	5  	1  	1.20296 
71 	52.4823	[0.00465506 0.26732673]	[0.03448276 2.        ]	[0. 0.]	[0.01032022 0.5952134 ]	2.50495	5  	1  	1.22372 
72 	59.7764	[0.00689676 0.3960396 ]	[0.03448276 2.        ]	[0. 0.]	[0.01244893 0.71862366]	2.73267	5  	1  	1.24988 
73 	67.7257	[0.00894681 0.51485149]	[0.03448276 2.        ]	[0. 0.]	[0.01389924 0.80362867]	2.90099	5  	1  	1.23885 
74 	70.8962	[0.00825179 0.47524752]	[0.03448276 2.        ]	[0. 0.]	[0.0136768  0.79096456]	2.79208	5  	1  	1.08379 
75 	68.9221	[0.00824113 0.47524752]	[0.03448276 2.        ]	[0. 0.]	[0.0138832  0.80338466]	2.89109	5  	1  	1.07998 
76 	65.8935	[0.00309554 0.17821782]	[0.03448276 2.        ]	[0. 0.]	[0.00924126 0.53391955]	2.82178	5  	1  	1.16378 
77 	61.7379	[0.00327235 0.18811881]	[0.03448276 2.        ]	[0. 0.]	[0.00935052 0.5397629 ]	2.72277	5  	1  	1.21963 
78 	59.7722	[0.00327078 0.18811881]	[0.03448276 2.        ]	[0. 0.]	[0.00902775 0.52109693]	2.63366	5  	1  	1.18341 
79 	55.133 	[0.00274639 0.15841584]	[0.03448276 2.        ]	[0. 0.]	[0.00868297 0.50212762]	2.75248	5  	1  	1.13805 
80 	52.7481	[0.00428623 0.24752475]	[0.03448276 2.        ]	[0. 0.]	[0.01041871 0.60371688]	2.81188	5  	1  	1.18332 
81 	58.8878	[0.00495896 0.28712871]	[0.03478261 2.        ]	[0. 0.]	[0.01145545 0.66506359]	3.13861	5  	1  	1.11719 
82 	68.6727	[0.00460142 0.26732673]	[0.03478261 2.        ]	[0. 0.]	[0.01130976 0.65839723]	3.09901	5  	1  	1.17317 
83 	66.7199	[0.00595595 0.34653465]	[0.03478261 2.        ]	[0. 0.]	[0.01240391 0.72351786]	3.05941	5  	1  	1.19257 
84 	58.7281	[0.00597997 0.34653465]	[0.03478261 2.        ]	[0. 0.]	[0.01247273 0.72351786]	3.21782	5  	1  	1.30955 
85 	59.3653	[0.0039221  0.22772277]	[0.03478261 2.        ]	[0. 0.]	[0.01052837 0.61146129]	3.41584	5  	1  	1.34435 
86 	62.7197	[0.00292163 0.16831683]	[0.03478261 2.        ]	[0. 0.]	[0.00881522 0.50872208]	3.21782	5  	1  	1.33204 
87 	59.5078	[0.00242321 0.13861386]	[0.03478261 2.        ]	[0. 0.]	[0.00695518 0.39875308]	3.38614	5  	1  	1.29714 
88 	59.4298	[0.00310558 0.17821782]	[0.03478261 2.        ]	[0. 0.]	[0.00858265 0.49544539]	3.43564	5  	1  	1.2619  
89 	61.9876	[0.00483847 0.27722772]	[0.03478261 2.        ]	[0. 0.]	[0.01039205 0.59898944]	3.66337	5  	1  	1.29948 
90 	56.1034	[0.00418504 0.23762376]	[0.03478261 2.        ]	[0. 0.]	[0.00860063 0.4904739 ]	3.67327	5  	1  	1.25949 
91 	57.2165	[0.00557368 0.31683168]	[0.03478261 2.        ]	[0. 0.]	[0.00983104 0.56165761]	3.88119	5  	1  	1.28423 
92 	45.4622	[0.00904848 0.51485149]	[0.03508772 2.        ]	[0. 0.]	[0.01194422 0.68381373]	4.08911	5  	1  	1.09091 
93 	49.7126	[0.01094379 0.62376238]	[0.03508772 2.        ]	[0. 0.]	[0.01247584 0.71547928]	3.82178	5  	1  	1.26175 
94 	44.2417	[0.01064465 0.6039604 ]	[0.03508772 2.        ]	[0. 0.]	[0.01210142 0.69051864]	4.05941	5  	1  	1.15888 
95 	37.6298	[0.01348757 0.76237624]	[0.03508772 2.        ]	[0. 0.]	[0.01213756 0.69151169]	4.29703	5  	1  	1.02004 
96 	36.196 	[0.01466234 0.83168317]	[0.03508772 2.        ]	[0. 0.]	[0.01349684 0.77164229]	4.32673	5  	1  	0.913148
97 	32.8266	[0.01170545 0.66336634]	[0.05128205 3.        ]	[0. 0.]	[0.01379939 0.78698859]	4.07921	5  	1  	1.0962  
98 	36.3311	[0.01198628 0.68316832]	[0.05128205 3.        ]	[0. 0.]	[0.01406557 0.80752271]	4.06931	5  	1  	1.08324 
99 	39.6521	[0.01181392 0.67326733]	[0.05128205 3.        ]	[0. 0.]	[0.0134601  0.77215028]	3.90099	5  	1  	1.18993 
100	32.2177	[0.01157223 0.66336634]	[0.05128205 3.        ]	[0. 0.]	[0.01381818 0.79947046]	3.94059	5  	1  	1.27288 
101	36.0878	[0.01253395 0.72277228]	[0.05128205 3.        ]	[0. 0.]	[0.01731639 1.0061082 ]	4      	5  	1  	0.995037
102	36.3108	[0.01608288 0.93069307]	[0.05128205 3.        ]	[0. 0.]	[0.01876244 1.09234443]	3.91089	5  	1  	1.09091 
103	36.1536	[0.01830273 1.05940594]	[0.05128205 3.        ]	[0. 0.]	[0.01881661 1.09744782]	3.9604 	5  	1  	1.02369 
104	33.9765	[0.02011229 1.16831683]	[0.05128205 3.        ]	[0. 0.]	[0.02000072 1.16949094]	3.91089	5  	1  	0.96574 
105	34.4964	[0.02292706 1.33663366]	[0.05128205 3.        ]	[0. 0.]	[0.02181748 1.27642157]	3.81188	5  	1  	0.982146
106	43.1602	[0.0226264  1.31683168]	[0.05128205 3.        ]	[0. 0.]	[0.02109291 1.23425284]	3.82178	5  	1  	0.937619
107	36.0728	[0.02077475 1.20792079]	[0.05128205 3.        ]	[0. 0.]	[0.02115751 1.2373465 ]	3.84158	5  	1  	0.972215
