   	       	                                                    fitness                                                    	              size              
   	       	---------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                      	max                      	min                    	std                    	avg    	max	min	std     
0  	6.13811	[0.0088852  0.30693069]  	[0.08450704 3.        ]  	[0. 0.]                	[0.01921343 0.68567484]	1.9604 	5  	1  	1.31195 
1  	5.79322	[0.01345224 0.46534653]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02210568 0.79059266]	1.9604 	5  	1  	1.13383 
2  	6.04185	[0.01981181 0.69306931]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02680511 0.97231554]	2.08911	5  	1  	1.30573 
3  	6.14751	[0.0298589  1.05940594]  	[0.08450704 3.        ]  	[0. 0.]                	[0.03164029 1.16739349]	1.86139	5  	1  	1.26671 
4  	6.3739 	[0.04912674 1.77227723]  	[0.08450704 3.        ]  	[0. 0.]                	[0.03309645 1.24185416]	1.69307	5  	1  	1.14962 
5  	5.72247	[0.07273011 2.63366337]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02365444 0.87566407]	1.37624	5  	1  	0.942416
6  	5.80914	[0.07874263 2.82178218]  	[0.08450704 3.        ]  	[0. 0.]                	[0.01893706 0.68065256]	1.32673	5  	1  	0.965841
7  	5.3115 	[0.08195231 2.91089109]  	[0.08450704 3.        ]  	[0. 0.]                	[0.01434561 0.50929985]	1.21782	5  	1  	0.765648
8  	5.73641	[0.07643121 2.71287129]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02451941 0.87128713]	1.39604	5  	1  	1.11763 
9  	5.91611	[0.07676929 2.72277228]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02303729 0.82196109]	1.47525	5  	1  	1.14834 
10 	5.62034	[0.08116023 2.88118812]  	[0.08450704 3.        ]  	[0. 0.]                	[0.01648115 0.58508066]	1.23762	5  	1  	0.772658
11 	5.60056	[0.08145578 2.89108911]  	[0.08450704 3.        ]  	[0. 0.]                	[0.01524431 0.54320264]	1.24752	5  	1  	0.709287
12 	5.88077	[0.07725561 2.74257426]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02333454 0.82837626]	1.55446	5  	1  	1.14732 
13 	5.90427	[0.08116023 2.88118812]  	[0.08450704 3.        ]  	[0. 0.]                	[0.01648115 0.58508066]	1.31683	5  	1  	0.769862
14 	5.72332	[0.07865012 2.79207921]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02146271 0.76192606]	1.40594	5  	1  	0.945843
15 	6.02673	[0.07614001 2.7029703 ]  	[0.08450704 3.        ]  	[0. 0.]                	[0.02524017 0.89602593]	1.47525	5  	1  	1.06793 
16 	5.84135	[0.07631879 2.71287129]  	[0.1025641 4.       ]    	[0. 0.]                	[0.02536245 0.90473598]	1.50495	5  	1  	1.20743 
17 	5.64762	[0.07635399 2.72277228]  	[0.1025641 4.       ]    	[0. 0.]                	[0.02570568 0.92403347]	1.47525	5  	1  	1.17393 
18 	5.77723	[0.08226127 2.95049505]  	[0.19753086 8.        ]  	[0. 0.]                	[0.02611213 1.02808327]	1.47525	5  	1  	1.09539 
19 	5.94544	[0.08788474 3.21782178]  	[0.19753086 8.        ]  	[0. 0.]                	[0.03393793 1.43232803]	1.77228	5  	1  	1.27335 
20 	6.52033	[0.07772998 2.93069307]  	[0.19753086 8.        ]  	[0. 0.]                	[0.04919864 2.00127398]	2.57426	5  	1  	1.63711 
21 	6.89093	[0.07771938 3.02970297]  	[0.19753086 8.        ]  	[0. 0.]                	[0.0536439  2.21808697]	3.05941	5  	1  	1.49469 
22 	7.43524	[0.07872288 3.0990099 ]  	[0.19753086 8.        ]  	[0. 0.]                	[0.05581277 2.28860695]	3.68317	5  	1  	1.34923 
23 	8.58964	[0.09238231 3.69306931]  	[0.19753086 8.        ]  	[0. 0.]                	[0.05615596 2.3239714 ]	4.18812	5  	1  	1.04088 
24 	9.13644	[0.09967255 4.02970297]  	[ 0.25 11.  ]            	[0. 0.]                	[0.06085593 2.5734957 ]	4.17822	5  	1  	1.0936  
25 	9.71309	[0.11705705 4.83168317]  	[ 0.25 11.  ]            	[0. 0.]                	[0.06990133 2.98534144]	4.29703	5  	1  	0.777716
26 	10.1756	[0.11814096 4.96039604]  	[ 0.25 11.  ]            	[0. 0.]                	[0.08230331 3.53741191]	4.18812	5  	1  	0.972013
27 	10.3338	[0.13512922 5.67326733]  	[ 0.25 11.  ]            	[0. 0.]                	[0.07641058 3.32738089]	4.47525	5  	1  	0.76552 
28 	10.0918	[0.1477206  6.28712871]  	[ 0.26966292 12.        ]	[0. 0.]                	[0.08591559 3.76365273]	4.52475	5  	1  	0.885461
29 	10.1004	[0.14868709 6.35643564]  	[ 0.26966292 12.        ]	[0. 0.]                	[0.09104569 4.00639133]	4.68317	5  	1  	0.702622
30 	9.71926	[0.15709708 6.8019802 ]  	[ 0.26966292 12.        ]	[0. 0.]                	[0.09593662 4.26827997]	4.61386	5  	1  	0.964419
31 	9.29949	[0.16549361 7.15841584]  	[ 0.26966292 12.        ]	[0. 0.]                	[0.09628082 4.32522574]	4.67327	5  	1  	0.809705
32 	9.18571	[0.17549405 7.64356436]  	[ 0.26966292 12.        ]	[0. 0.]                	[0.09664366 4.37043206]	4.68317	5  	1  	0.922016
33 	9.39716	[0.17885874 7.78217822]  	[ 0.26966292 12.        ]	[0. 0.]                	[0.09697668 4.37047692]	4.79208	5  	1  	0.72189 
34 	9.16981	[0.18473277 8.0990099 ]  	[ 0.27272727 12.        ]	[0. 0.]                	[0.09459703 4.26708552]	4.72277	5  	1  	0.772277
35 	9.1581 	[0.17157972 7.54455446]  	[ 0.27272727 12.        ]	[0. 0.]                	[0.10177653 4.57614294]	4.62376	5  	1  	0.983543
36 	9.05361	[0.18464401 8.11881188]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10257947 4.64861766]	4.73267	5  	1  	0.831212
37 	9.13735	[0.18439753 8.        ]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.09702431 4.396218  ]	4.66337	5  	1  	0.987819
38 	9.31053	[0.18891406 8.28712871]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.09196608 4.1752136 ]	4.86139	5  	1  	0.545544
39 	9.41261	[0.19038541 8.42574257]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10285802 4.73107807]	4.82178	5  	1  	0.665947
40 	9.28751	[0.18292562 8.17821782]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10454538 4.8612349 ]	4.87129	5  	3  	0.43744 
41 	9.15751	[0.16745865 7.46534653]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10564777 4.95836997]	4.79208	5  	1  	0.693917
42 	8.90843	[0.18225096 8.14851485]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.09892442 4.69755812]	4.60396	5  	1  	0.912826
43 	8.94986	[0.18785375 8.45544554]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10470935 4.90206009]	4.67327	5  	2  	0.784868
44 	9.17653	[0.19491011 8.72277228]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.09947454 4.68644308]	4.76238	5  	1  	0.785368
45 	9.15772	[0.20505791 9.16831683]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.08914867 4.29152817]	4.81188	5  	1  	0.713559
46 	8.77667	[0.17913876 8.04950495]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10422265 4.93998885]	4.58416	5  	1  	0.98772 
47 	8.80388	[0.17177454 7.62376238]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10247421 4.87436512]	4.54455	5  	1  	1.03909 
48 	9.09925	[0.18670595 8.45544554]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.10287492 4.88384841]	4.72277	5  	1  	0.809826
49 	8.95374	[0.19177821 8.61386139]  	[ 0.27956989 13.        ]	[0. 0.]                	[0.09828762 4.73029063]	4.51485	5  	1  	1.0865  
50 	9.04783	[0.18864028 8.53465347]  	[ 0.28571429 13.        ]	[0. 0.]                	[0.1039929  4.98426108]	4.71287	5  	1  	0.762183
