   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	279.945	[ 0.50116483]	[ 0.54102439]	[ 0.49951362]	[ 0.00534492]	2.55446	8  	1  	1.85875  
1  	311.171	[ 0.50209333]	[ 0.56427716]	[ 0.48110596]	[ 0.00923659]	3.58416	10 	1  	2.48268  
2  	305.728	[ 0.50760818]	[ 0.70242817]	[ 0.49294747]	[ 0.02626733]	3.9505 	10 	1  	2.76605  
3  	289.998	[ 0.50467489]	[ 0.70242817]	[ 0.]        	[ 0.06022439]	5.17822	10 	1  	2.87494  
4  	302.156	[ 0.50815902]	[ 0.66467749]	[ 0.42872643]	[ 0.0281251] 	6.23762	10 	1  	2.87409  
5  	277.727	[ 0.50890934]	[ 0.69159683]	[ 0.33345181]	[ 0.03620199]	6.57426	10 	1  	2.61884  
6  	259.689	[ 0.51809557]	[ 0.69159683]	[ 0.43070937]	[ 0.03679837]	6.86139	10 	1  	2.56028  
7  	247.988	[ 0.51899702]	[ 0.69159683]	[ 0.43635887]	[ 0.03558482]	7.75248	10 	2  	1.77667  
8  	245.621	[ 0.52167675]	[ 0.69159683]	[ 0.41636112]	[ 0.03516336]	7.93069	10 	1  	1.79249  
9  	235.156	[ 0.52395104]	[ 0.69692831]	[ 0.41733388]	[ 0.04126458]	8.08911	10 	1  	1.87795  
10 	227.83 	[ 0.5206825] 	[ 0.69692831]	[ 0.38876833]	[ 0.03835071]	8.34653	10 	1  	1.79347  
11 	236.356	[ 0.53431674]	[ 0.71724409]	[ 0.49161928]	[ 0.04342487]	8.50495	10 	2  	1.72129  
12 	223.234	[ 0.52520348]	[ 0.71724409]	[ 0.36003442]	[ 0.0485897] 	8.56436	10 	2  	1.70854  
13 	247.696	[ 0.52994672]	[ 0.71724409]	[ 0.44090467]	[ 0.03961832]	8.62376	10 	1  	1.83935  
14 	275.163	[ 0.52607808]	[ 0.71724409]	[ 0.47646663]	[ 0.02998951]	9.07921	10 	1  	1.5713   
15 	280.318	[ 0.52792507]	[ 0.73828943]	[ 0.]        	[ 0.07078106]	9.14851	10 	5  	1.30791  
16 	251.781	[ 0.53358754]	[ 0.73828943]	[ 0.37239973]	[ 0.05126323]	9.11881	10 	5  	1.11059  
17 	287.936	[ 0.53189502]	[ 0.73828943]	[ 0.40425771]	[ 0.04216899]	9.11881	10 	2  	1.26089  
18 	303.098	[ 0.53076853]	[ 0.73828943]	[ 0.32516462]	[ 0.04842606]	9.25743	10 	2  	1.28705  
19 	302.61 	[ 0.53135641]	[ 0.73828943]	[ 0.42657513]	[ 0.04135023]	9.26733	10 	4  	1.07068  
20 	320.862	[ 0.52877207]	[ 0.73828943]	[ 0.]        	[ 0.06583545]	9.47525	10 	5  	0.918394 
21 	398.972	[ 0.53952635]	[ 0.72150928]	[ 0.44653547]	[ 0.03534958]	9.46535	10 	5  	1.10413  
22 	366.362	[ 0.53797164]	[ 0.72150928]	[ 0.49902724]	[ 0.03433107]	9.32673	10 	5  	1.16983  
23 	358.186	[ 0.54231443]	[ 0.72150928]	[ 0.44629228]	[ 0.03280571]	9.38614	10 	2  	1.28179  
24 	367.102	[ 0.53781328]	[ 0.72150928]	[ 0.49902724]	[ 0.03387887]	9.21782	10 	1  	1.43233  
25 	349.926	[ 0.54494008]	[ 0.72150928]	[ 0.44230769]	[ 0.03478404]	9.39604	10 	1  	1.31314  
