   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	7.09791	[0.5385378] 	[0.72919384]	[0.49595359]	[0.04398852]	2.38614	8  	1  	1.74611  
1  	11.6627	[0.57250414]	[0.72919384]	[0.48119178]	[0.06596186]	4.05941	10 	1  	2.46087  
2  	17.698 	[0.61368312]	[0.73406698]	[0.49975657]	[0.06736396]	5.58416	10 	1  	2.44248  
3  	22.8082	[0.6545642] 	[0.73921111]	[0.49926972]	[0.06391098]	6.79208	10 	2  	2.19051  
4  	26.8702	[0.67989094]	[0.73921111]	[0.5]       	[0.06177832]	7.68317	10 	2  	1.48211  
5  	28.6782	[0.69798329]	[0.75366519]	[0.5]       	[0.0615024] 	7.75248	10 	1  	1.64952  
6  	30.184 	[0.71703047]	[0.75366519]	[0.5]       	[0.05022565]	7.90099	10 	1  	1.57647  
7  	33.0218	[0.73094422]	[0.75890118]	[0.52717661]	[0.03228488]	8.37624	10 	5  	1.15056  
8  	33.5619	[0.71783893]	[0.76121144]	[0.5]       	[0.06470743]	8.54455	10 	3  	1.34624  
9  	33.7213	[0.73419891]	[0.76182231]	[0.5]       	[0.04421262]	8.93069	10 	2  	0.997595 
10 	35.2388	[0.73845668]	[0.76231376]	[0.49975657]	[0.04515982]	9.0495 	10 	3  	1.06591  
11 	37.195 	[0.73793331]	[0.76714556]	[0.47221253]	[0.05278809]	9.16832	10 	4  	0.868244 
12 	38.5898	[0.74419048]	[0.76714556]	[0.49951315]	[0.05049693]	9.20792	10 	1  	0.988216 
13 	39.8066	[0.74773521]	[0.76714556]	[0.51278224]	[0.03688057]	9.27723	10 	6  	0.598989 
14 	39.5531	[0.73844545]	[0.7683627] 	[0.5]       	[0.05605466]	8.93069	10 	1  	1.284    
15 	39.2701	[0.73993907]	[0.76858316]	[0.4871259] 	[0.05402378]	9.07921	10 	2  	1.0962   
16 	40.9045	[0.75122623]	[0.76858316]	[0.5]       	[0.03410721]	9.25743	10 	6  	0.639515 
17 	39.4267	[0.73895413]	[0.76858316]	[0.49969686]	[0.05928729]	9.23762	10 	2  	1.08225  
18 	40.4859	[0.74109014]	[0.7692767] 	[0.4969273] 	[0.05828099]	9.08911	10 	1  	1.30573  
19 	41.8278	[0.74887004]	[0.76931344]	[0.5]       	[0.04765227]	9.26733	10 	1  	1.4412   
20 	43.5407	[0.75133865]	[0.77088883]	[0.5]       	[0.04472946]	9.48515	10 	5  	0.863035 
21 	47.4026	[0.74813198]	[0.77204626]	[0.50295328]	[0.0458365] 	9.62376	10 	1  	1.11561  
22 	52.9056	[0.75478387]	[0.77204626]	[0.64653874]	[0.03073162]	9.86139	10 	6  	0.507951 
23 	54.5582	[0.7564649] 	[0.77399368]	[0.51174423]	[0.03561301]	9.93069	10 	9  	0.253975 
24 	54.8066	[0.75305819]	[0.77399368]	[0.51098639]	[0.04446278]	9.9505 	10 	9  	0.21692  
25 	56.6051	[0.76121694]	[0.77399368]	[0.62277011]	[0.0279465] 	9.9901 	10 	9  	0.0990099
26 	57.5484	[0.76038125]	[0.77399368]	[0.62277011]	[0.02673331]	10     	10 	10 	0        
27 	58.0954	[0.75967493]	[0.77399368]	[0.54549797]	[0.0347861] 	9.9703 	10 	7  	0.29703  
28 	58.1094	[0.76405804]	[0.77399368]	[0.64659845]	[0.0207705] 	10     	10 	10 	0        
29 	55.932 	[0.75773456]	[0.77399368]	[0.61123716]	[0.0362658] 	10     	10 	10 	0        
30 	57.2238	[0.76414026]	[0.77399368]	[0.66312396]	[0.02101592]	10     	10 	10 	0        
31 	55.8344	[0.76182795]	[0.77399368]	[0.5]       	[0.03513709]	10     	10 	10 	0        
32 	56.2735	[0.76165469]	[0.77399368]	[0.62973765]	[0.026571]  	10     	10 	10 	0        
33 	56.2453	[0.76578754]	[0.77399368]	[0.67834047]	[0.01644375]	10     	10 	10 	0        
34 	55.778 	[0.7609878] 	[0.77399368]	[0.60189506]	[0.03191533]	10     	10 	10 	0        
35 	56.6454	[0.76542524]	[0.77399368]	[0.65938068]	[0.02164948]	10     	10 	10 	0        
36 	56.0992	[0.76211444]	[0.77423711]	[0.62973765]	[0.0278898] 	10     	10 	10 	0        
37 	56.4973	[0.75820627]	[0.77423711]	[0.48109992]	[0.04453348]	10     	10 	10 	0        
38 	56.2279	[0.76209657]	[0.77521082]	[0.5]       	[0.03601377]	10     	10 	10 	0        
39 	56.8046	[0.76926933]	[0.77521082]	[0.5]       	[0.02748068]	10     	10 	10 	0        
40 	56.9622	[0.76894696]	[0.77521082]	[0.72083463]	[0.01185223]	10     	10 	10 	0        
41 	56.783 	[0.76769376]	[0.77545424]	[0.63813819]	[0.01945627]	10     	10 	10 	0        
42 	56.8274	[0.76489478]	[0.77545424]	[0.66424923]	[0.021425]  	10     	10 	10 	0        
43 	56.6399	[0.76357509]	[0.77545424]	[0.6195734] 	[0.02791303]	10     	10 	10 	0        
44 	57.1066	[0.76843946]	[0.7759411] 	[0.66449266]	[0.01806338]	10     	10 	10 	0        
45 	56.6476	[0.76769804]	[0.7759411] 	[0.66424923]	[0.01788715]	10     	10 	10 	0        
46 	56.3934	[0.76811195]	[0.7759411] 	[0.66449266]	[0.02009621]	10     	10 	10 	0        
47 	57.1218	[0.76496799]	[0.7759411] 	[0.65219728]	[0.02392785]	10     	10 	10 	0        
48 	55.7632	[0.76765379]	[0.7759411] 	[0.65384156]	[0.0197825] 	10     	10 	10 	0        
49 	56.3763	[0.77031607]	[0.7759411] 	[0.7057008] 	[0.01209032]	10     	10 	10 	0        
50 	55.3144	[0.76538541]	[0.7759411] 	[0.62973765]	[0.02832932]	10     	10 	10 	0        
51 	56.6537	[0.76814774]	[0.7759411] 	[0.67618177]	[0.01830266]	10     	10 	10 	0        
52 	55.6452	[0.7658086] 	[0.7759411] 	[0.4969273] 	[0.03169385]	9.9505 	10 	5  	0.49505  
53 	56.8808	[0.7668482] 	[0.7759411] 	[0.66099282]	[0.02100752]	10     	10 	10 	0        
54 	57.054 	[0.76799362]	[0.7759411] 	[0.67310448]	[0.01884553]	10     	10 	10 	0        
55 	55.7469	[0.76425044]	[0.7759411] 	[0.62642152]	[0.02702251]	10     	10 	10 	0        
56 	56.7677	[0.76702996]	[0.7759411] 	[0.50340798]	[0.02997926]	10     	10 	10 	0        
57 	54.7398	[0.76017739]	[0.7759411] 	[0.60332347]	[0.03387207]	10     	10 	10 	0        
58 	55.6049	[0.76678926]	[0.7759411] 	[0.66099282]	[0.02193921]	10     	10 	10 	0        
59 	55.8445	[0.76460715]	[0.7759411] 	[0.5]       	[0.03291799]	9.9505 	10 	5  	0.49505  
60 	55.8516	[0.76623661]	[0.7759411] 	[0.62973765]	[0.02395629]	10     	10 	10 	0        
61 	55.9787	[0.76651655]	[0.7759411] 	[0.52532105]	[0.03096907]	9.94059	10 	4  	0.594059 
62 	56.6732	[0.76875074]	[0.7759411] 	[0.60323161]	[0.02108542]	10     	10 	10 	0        
63 	56.0319	[0.76368587]	[0.77642795]	[0.47671823]	[0.03663129]	10     	10 	10 	0        
64 	56.3871	[0.76157711]	[0.77642795]	[0.50155242]	[0.03963274]	9.91089	10 	4  	0.661517 
65 	56.0583	[0.76250925]	[0.77642795]	[0.64535375]	[0.0269696] 	10     	10 	10 	0        
66 	57.3726	[0.76624793]	[0.77642795]	[0.5]       	[0.03048789]	9.9505 	10 	5  	0.49505  
67 	56.0167	[0.76479178]	[0.77642795]	[0.65983998]	[0.02716155]	10     	10 	10 	0        
68 	55.8995	[0.76845679]	[0.77642795]	[0.62973765]	[0.02348649]	10     	10 	10 	0        
69 	55.7322	[0.76329033]	[0.77895409]	[0.5]       	[0.03539274]	10     	10 	10 	0        
70 	56.9589	[0.76997147]	[0.77895409]	[0.51533593]	[0.02916909]	10     	10 	10 	0        
71 	56.6854	[0.76567376]	[0.77895409]	[0.64951958]	[0.02402856]	10     	10 	10 	0        
72 	57.0227	[0.76918552]	[0.77895409]	[0.51493634]	[0.02966718]	10     	10 	10 	0        
73 	57.8477	[0.7710369] 	[0.77895409]	[0.62973765]	[0.02155407]	10     	10 	10 	0        
