   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	29.68  	[0.50133895]	[0.51193957]	[0.49951267]	[0.00315465]	2.50495	10 	1  	1.93776  
1  	43.5154	[0.50271409]	[0.51705653]	[0.49829435]	[0.00448392]	3.79208	10 	1  	2.53419  
2  	49.4205	[0.50466582]	[0.51705653]	[0.49805068]	[0.00556977]	4.59406	10 	1  	2.4623   
3  	51.4446	[0.50558499]	[0.53971735]	[0.49780702]	[0.00728704]	5.46535	10 	1  	2.41925  
4  	55.3998	[0.50790342]	[0.53971735]	[0.49902534]	[0.00784743]	5.9703 	10 	1  	2.14548  
5  	53.761 	[0.50993477]	[0.53971735]	[0.49780702]	[0.00900211]	6.15842	10 	1  	1.76732  
6  	59.1426	[0.51100593]	[0.53971735]	[0.49683236]	[0.01022616]	6.68317	10 	4  	1.76282  
7  	55.8204	[0.5122725] 	[0.53971735]	[0.49780702]	[0.01092475]	6.61386	10 	4  	1.7909   
8  	53.0331	[0.50830149]	[0.53971735]	[0.]        	[0.05230789]	6.45545	10 	2  	1.85368  
9  	49.7243	[0.51352219]	[0.54069201]	[0.49683236]	[0.01145333]	6.54455	10 	4  	1.81591  
10 	46.0614	[0.50667062]	[0.54069201]	[0.]        	[0.05167122]	6.59406	10 	4  	1.70717  
11 	46.9139	[0.51494316]	[0.54093567]	[0.49780702]	[0.01069441]	6.74257	10 	4  	1.76126  
12 	46.4661	[0.5128322] 	[0.54093567]	[0.49829435]	[0.0111867] 	7.36634	10 	3  	1.84403  
13 	47.6046	[0.51322786]	[0.5455653] 	[0.49829435]	[0.01188122]	7.83168	10 	4  	1.68904  
14 	47.6446	[0.5136018] 	[0.5455653] 	[0.49683236]	[0.01222199]	7.35644	10 	2  	1.84329  
15 	48.8413	[0.5161253] 	[0.5455653] 	[0.49756335]	[0.01299663]	7.61386	10 	4  	1.69431  
16 	40.744 	[0.51876942]	[0.5455653] 	[0.4958577] 	[0.01364016]	8.09901	10 	1  	1.76604  
17 	41.4225	[0.51914577]	[0.5455653] 	[0.49658869]	[0.01448826]	7.9901 	10 	2  	1.93199  
18 	40.9272	[0.52178266]	[0.5455653] 	[0.49805068]	[0.01516966]	8.64356	10 	2  	1.90145  
19 	41.1643	[0.52365478]	[0.5455653] 	[0.49658869]	[0.01637074]	8.64356	10 	2  	2.09943  
20 	38.4614	[0.52677899]	[0.5455653] 	[0.49878168]	[0.01547069]	9.0396 	10 	4  	1.6764   
21 	39.5901	[0.52408179]	[0.5462963] 	[0.49878168]	[0.01575379]	8.9604 	10 	4  	1.76277  
22 	39.588 	[0.51868981]	[0.5462963] 	[0.]        	[0.05456504]	8.92079	10 	3  	1.76143  
23 	37.9047	[0.52089485]	[0.5462963] 	[0.49926901]	[0.01608518]	8.78218	10 	3  	2.02755  
24 	39.7566	[0.52193706]	[0.5462963] 	[0.49780702]	[0.01601104]	8.9505 	10 	3  	1.61292  
25 	37.6892	[0.52477901]	[0.5462963] 	[0.49780702]	[0.01619228]	9.11881	10 	3  	1.67856  
26 	37.5102	[0.52593461]	[0.5462963] 	[0.49731969]	[0.01645987]	9.0297 	10 	3  	1.68544  
27 	40.067 	[0.52985737]	[0.55116959]	[0.49853801]	[0.01694136]	9.07921	10 	3  	1.5713   
28 	37.7232	[0.52509747]	[0.55116959]	[0.49926901]	[0.01796138]	9.13861	10 	3  	1.73508  
29 	36.2005	[0.526241]  	[0.55116959]	[0.49707602]	[0.0184349] 	9.07921	10 	3  	1.66907  
30 	36.0283	[0.51362834]	[0.55116959]	[0.]        	[0.07499834]	9.32673	10 	4  	1.56135  
31 	38.7067	[0.52482726]	[0.55531189]	[0.49780702]	[0.01736133]	9.0198 	10 	3  	1.87733  
32 	38.4676	[0.52551242]	[0.55531189]	[0.49805068]	[0.01956541]	8.93069	10 	3  	1.81445  
33 	37.0962	[0.5275317] 	[0.55531189]	[0.49951267]	[0.01859305]	9.0198 	10 	2  	1.92421  
34 	37.9411	[0.52344489]	[0.55531189]	[0.49731969]	[0.01989425]	9.10891	10 	2  	1.96454  
35 	41.0258	[0.52336769]	[0.55531189]	[0.49658869]	[0.01926828]	9.25743	10 	3  	1.82748  
36 	38.3528	[0.523042]  	[0.55555556]	[0.]        	[0.05569139]	9.35644	10 	4  	1.63249  
37 	39.5626	[0.52246058]	[0.5579922] 	[0.]        	[0.05612521]	9.05941	10 	3  	1.92853  
38 	38.0434	[0.52735317]	[0.5579922] 	[0.49756335]	[0.02009137]	9.30693	10 	3  	1.69882  
39 	37.2935	[0.51524955]	[0.5579922] 	[0.]        	[0.07591941]	9.07921	10 	3  	1.96344  
40 	39.7511	[0.52682483]	[0.5579922] 	[0.49878168]	[0.02096908]	9.27723	10 	3  	1.55505  
41 	42.1902	[0.52391292]	[0.5579922] 	[0.]        	[0.05653429]	9.29703	10 	3  	1.50606  
42 	38.5033	[0.53195627]	[0.5579922] 	[0.49975634]	[0.02000445]	9.32673	10 	4  	1.35053  
43 	39.296 	[0.52867765]	[0.5579922] 	[0.49537037]	[0.02067489]	9.29703	10 	4  	1.33902  
44 	39.8123	[0.53019271]	[0.5579922] 	[0.49707602]	[0.02025599]	9.19802	10 	3  	1.59839  
45 	37.6025	[0.52744244]	[0.5579922] 	[0.49926901]	[0.02117534]	9.36634	10 	3  	1.46052  
46 	37.4782	[0.52954133]	[0.5579922] 	[0.49805068]	[0.02048596]	9.12871	10 	3  	1.63903  
47 	38.0369	[0.52476936]	[0.5579922] 	[0.]        	[0.05665929]	9.11881	10 	3  	1.5751   
48 	37.2296	[0.53127111]	[0.5579922] 	[0.49731969]	[0.02112407]	9.0297 	10 	3  	1.40336  
49 	38.0994	[0.52838091]	[0.5587232] 	[0.49878168]	[0.02090882]	8.9703 	10 	4  	1.31598  
50 	38.9669	[0.52628443]	[0.5587232] 	[0.49829435]	[0.02189228]	8.9604 	10 	4  	1.4414   
51 	41.7874	[0.53001901]	[0.5587232] 	[0.49878168]	[0.02121736]	8.75248	10 	4  	1.55051  
52 	40.3542	[0.53486335]	[0.5587232] 	[0.49975634]	[0.01968985]	8.75248	10 	4  	1.49193  
53 	38.6525	[0.5190348] 	[0.5587232] 	[0.]        	[0.07656781]	8.77228	10 	4  	1.35618  
54 	40.6745	[0.53030128]	[0.5587232] 	[0.49829435]	[0.02047337]	8.87129	10 	4  	1.23211  
55 	39.6263	[0.53075242]	[0.5587232] 	[0.49731969]	[0.02052761]	8.79208	10 	4  	1.31493  
56 	38.9797	[0.53126628]	[0.5587232] 	[0.49926901]	[0.01926573]	8.87129	10 	4  	1.27941  
57 	35.6147	[0.52765233]	[0.5587232] 	[0.49756335]	[0.0211488] 	8.26733	10 	2  	1.83417  
58 	41.5191	[0.52674522]	[0.5587232] 	[0.49756335]	[0.02114985]	8.59406	10 	4  	1.48376  
59 	37.4533	[0.53183564]	[0.5587232] 	[0.49756335]	[0.02105927]	8.88119	10 	4  	1.24509  
60 	38.0273	[0.53081756]	[0.5587232] 	[0.49707602]	[0.02174536]	8.80198	10 	4  	1.36447  
61 	37.914 	[0.52996835]	[0.5587232] 	[0.49878168]	[0.02284817]	8.60396	10 	4  	1.6111   
62 	42.3308	[0.52866317]	[0.5587232] 	[0.49610136]	[0.02345512]	8.83168	10 	4  	1.3355   
63 	41.4963	[0.53273551]	[0.5587232] 	[0.49610136]	[0.02219715]	8.92079	10 	2  	1.46025  
64 	41.7516	[0.52636404]	[0.5587232] 	[0.]        	[0.05727569]	8.9901 	10 	4  	1.43157  
65 	39.6423	[0.53257628]	[0.5587232] 	[0.49805068]	[0.0225514] 	8.93069	10 	4  	1.42993  
66 	38.1706	[0.52884894]	[0.5587232] 	[0.49878168]	[0.02214751]	8.9604 	10 	4  	1.50195  
67 	38.9857	[0.52727115]	[0.5587232] 	[0.49951267]	[0.02192689]	8.88119	10 	4  	1.37364  
68 	37.8974	[0.52959682]	[0.5587232] 	[0.49829435]	[0.02064156]	8.92079	10 	4  	1.36928  
69 	37.3393	[0.52737006]	[0.5587232] 	[0.49756335]	[0.02134534]	8.84158	10 	4  	1.333    
70 	36.4439	[0.52967643]	[0.5587232] 	[0.49756335]	[0.02132722]	8.77228	10 	4  	1.42037  
71 	39.8685	[0.52844605]	[0.5587232] 	[0.49756335]	[0.02214904]	8.91089	10 	4  	1.40789  
72 	42.5508	[0.52744726]	[0.5587232] 	[0.49731969]	[0.02289169]	8.66337	10 	4  	1.66071  
73 	38.3101	[0.52772229]	[0.5587232] 	[0.49683236]	[0.02142461]	8.77228	10 	4  	1.30408  
74 	35.7148	[0.52794424]	[0.5587232] 	[0.49829435]	[0.02126524]	8.57426	10 	3  	1.57547  
75 	37.5515	[0.51670671]	[0.5587232] 	[0.]        	[0.0764462] 	8.56436	10 	3  	1.45164  
76 	39.2305	[0.52785498]	[0.5587232] 	[0.49610136]	[0.0214763] 	8.61386	10 	4  	1.37135  
77 	38.1417	[0.52935798]	[0.5587232] 	[0.49683236]	[0.02329755]	8.53465	10 	4  	1.58935  
78 	38.5939	[0.52259809]	[0.5587232] 	[0.]        	[0.0571162] 	8.76238	10 	3  	1.12706  
79 	39.1162	[0.52628925]	[0.5587232] 	[0.49756335]	[0.0226526] 	8.70297	10 	4  	1.33902  
80 	36.7482	[0.52392739]	[0.5587232] 	[0.]        	[0.05645568]	8.84158	10 	4  	1.05991  
81 	37.6999	[0.52431098]	[0.5587232] 	[0.]        	[0.05661472]	8.81188	10 	4  	1.40517  
82 	40.74  	[0.52795389]	[0.5587232] 	[0.49878168]	[0.02150079]	9.0198 	10 	4  	1.26632  
83 	37.936 	[0.52384295]	[0.5587232] 	[0.]        	[0.05597374]	8.9505 	10 	4  	1.33777  
84 	37.4925	[0.52725667]	[0.5587232] 	[0.49707602]	[0.02050697]	8.9604 	10 	4  	1.31195  
85 	38.3656	[0.5327524] 	[0.5587232] 	[0.49878168]	[0.01992934]	8.80198	10 	4  	1.59839  
86 	39.2104	[0.53033746]	[0.5587232] 	[0.49634503]	[0.02125699]	8.89109	10 	4  	1.69974  
87 	36.1482	[0.53031816]	[0.5587232] 	[0.49951267]	[0.02102938]	8.84158	10 	4  	1.50729  
88 	34.9472	[0.52733387]	[0.5587232] 	[0.49805068]	[0.02062606]	8.72277	10 	4  	1.75262  
89 	39.2802	[0.52966919]	[0.5587232] 	[0.49878168]	[0.02041781]	8.88119	10 	2  	1.66672  
90 	38.2153	[0.52068014]	[0.5587232] 	[0.]        	[0.07719074]	9.17822	10 	4  	1.23798  
91 	35.5139	[0.52933385]	[0.5587232] 	[0.49634503]	[0.021654]  	9.16832	10 	6  	0.923503 
92 	41.191 	[0.5305763] 	[0.5587232] 	[0.49683236]	[0.02079766]	9.0495 	10 	5  	0.926788 
93 	37.3329	[0.53045085]	[0.5587232] 	[0.49805068]	[0.02119755]	8.94059	10 	4  	1.10643  
94 	41.4914	[0.52925183]	[0.5587232] 	[0.49878168]	[0.02175379]	8.90099	10 	4  	1.12139  
95 	38.6312	[0.53066315]	[0.5587232] 	[0.49829435]	[0.02254765]	8.75248	10 	4  	1.36001  
96 	40.0071	[0.51883697]	[0.5587232] 	[0.]        	[0.07728098]	8.76238	10 	2  	1.45662  
97 	36.8753	[0.52778019]	[0.5587232] 	[0.49780702]	[0.02278879]	8.74257	10 	4  	1.29472  
98 	37.7083	[0.53341102]	[0.5587232] 	[0.49707602]	[0.02214666]	8.9604 	10 	5  	0.900174 
99 	39.4915	[0.53037365]	[0.5587232] 	[0.49805068]	[0.02229213]	8.89109	10 	4  	1.06149  
100	37.6788	[0.53025061]	[0.5587232] 	[0.49951267]	[0.02215678]	8.77228	10 	4  	1.20133  
101	37.8976	[0.53209378]	[0.5587232] 	[0.49634503]	[0.02279804]	9.11881	10 	6  	0.799593 
102	36.768 	[0.53227231]	[0.5587232] 	[0.49683236]	[0.02363876]	9.07921	10 	6  	0.897556 
103	40.7066	[0.530364]  	[0.5587232] 	[0.49829435]	[0.02294502]	9.10891	10 	6  	0.910891 
104	41.4866	[0.52968126]	[0.5587232] 	[0.49634503]	[0.02281849]	8.93069	10 	4  	1.19618  
105	38.5494	[0.53241947]	[0.5587232] 	[0.49829435]	[0.02115905]	9      	10 	5  	1.05305  
106	38.6258	[0.53008174]	[0.5587232] 	[0.49634503]	[0.02147787]	9.0099 	10 	5  	1.0098   
107	39.6209	[0.52441472]	[0.5587232] 	[0.]        	[0.05733935]	9.14851	10 	5  	0.998872 
