   	       	                          fitness                           	              size              
   	       	------------------------------------------------------------	--------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std     
0  	1.68765	[0.58789719]	[0.69254635]	[0.45316238]	[0.0549537] 	2.38614	10 	1  	1.80741 
1  	1.9616 	[0.6002701] 	[0.69254635]	[0.44650867]	[0.05727753]	2.77228	10 	1  	2.26852 
2  	2.54277	[0.61160302]	[0.69254635]	[0.46755383]	[0.05288872]	3.65347	10 	1  	2.86127 
3  	3.02112	[0.61702984]	[0.69254635]	[0.45906848]	[0.05738856]	3.85149	10 	1  	2.93287 
4  	3.77656	[0.6300915] 	[0.69505084]	[0.49394438]	[0.04665569]	4.73267	10 	1  	3.04062 
5  	3.99216	[0.63800689]	[0.70462022]	[0.50179426]	[0.04233935]	5.0297 	10 	1  	3.2865  
6  	5.56106	[0.64424979]	[0.72323565]	[0.49087919]	[0.045655]  	6.31683	10 	1  	3.42943 
7  	7.2454 	[0.64645449]	[0.72323565]	[0.48919707]	[0.05393707]	7.68317	10 	1  	3.28191 
8  	8.6971 	[0.65644615]	[0.74543959]	[0.47061902]	[0.04633093]	8.89109	10 	1  	2.24667 
9  	8.89326	[0.6690204] 	[0.74543959]	[0.51267195]	[0.03767141]	9.21782	10 	1  	1.82721 
10 	9.98614	[0.67140867]	[0.74543959]	[0.46934809]	[0.03749051]	9.52475	10 	1  	1.58329 
11 	10.3778	[0.67491576]	[0.74543959]	[0.53016597]	[0.03281057]	9.64356	10 	3  	1.21528 
12 	10.8152	[0.68139293]	[0.74543959]	[0.5192509] 	[0.03413138]	9.73267	10 	3  	1.13357 
13 	10.5494	[0.6815047] 	[0.75975628]	[0.46142344]	[0.03808731]	9.70297	10 	6  	0.960039
14 	10.1388	[0.68363909]	[0.75994318]	[0.50355114]	[0.04277133]	9.50495	10 	1  	1.58972 
15 	10.5867	[0.68508619]	[0.75994318]	[0.46699312]	[0.04649402]	9.61386	10 	1  	1.4622  
16 	10.628 	[0.69404934]	[0.75994318]	[0.53670754]	[0.04126062]	9.77228	10 	1  	1.13348 
17 	10.1556	[0.6861247] 	[0.75994318]	[0.53184809]	[0.04879883]	9.47525	10 	3  	1.57074 
18 	10.8931	[0.69305191]	[0.75994318]	[0.57113487]	[0.04234438]	9.93069	10 	4  	0.601276
19 	10.8092	[0.69922227]	[0.76050389]	[0.57868571]	[0.03799111]	9.89109	10 	4  	0.76948 
20 	10.6028	[0.69295309]	[0.76050389]	[0.57438696]	[0.04294488]	9.83168	10 	1  	1.08152 
21 	10.6279	[0.69810789]	[0.76951256]	[0.54508074]	[0.0436279] 	9.74257	10 	1  	1.33982 
22 	10.6107	[0.70177524]	[0.76951256]	[0.49813098]	[0.04823951]	9.82178	10 	2  	1.08451 
23 	10.4183	[0.69704162]	[0.76951256]	[0.53719348]	[0.05060657]	9.68317	10 	1  	1.37827 
24 	10.7329	[0.70208279]	[0.76951256]	[0.55285586]	[0.04425669]	9.86139	10 	3  	0.975235
25 	10.786 	[0.70313018]	[0.76951256]	[0.62010317]	[0.03989131]	9.9505 	10 	5  	0.49505 
26 	10.701 	[0.69930406]	[0.76951256]	[0.56175239]	[0.04301075]	9.71287	10 	1  	1.40252 
27 	10.8728	[0.70113829]	[0.76951256]	[0.58874103]	[0.0420429] 	9.90099	10 	1  	0.895588
28 	10.7736	[0.70201321]	[0.76951256]	[0.53719348]	[0.04056306]	9.79208	10 	1  	1.22124 
29 	10.2379	[0.69361484]	[0.76951256]	[0.49140251]	[0.05053784]	9.80198	10 	3  	1.02464 
30 	10.5462	[0.69796429]	[0.76951256]	[0.55147279]	[0.04392035]	9.69307	10 	2  	1.37691 
31 	10.4556	[0.69274843]	[0.76951256]	[0.49996262]	[0.05042019]	9.63366	10 	3  	1.48072 
32 	10.4046	[0.69395681]	[0.76951256]	[0.47588965]	[0.04894125]	9.73267	10 	2  	1.24988 
33 	10.7575	[0.70044657]	[0.76951256]	[0.59307715]	[0.04241956]	9.80198	10 	3  	1.03426 
34 	10.6181	[0.69545906]	[0.76951256]	[0.56851824]	[0.04345467]	9.80198	10 	2  	1.06259 
35 	10.8854	[0.69501457]	[0.76951256]	[0.59688995]	[0.0432372] 	9.85149	10 	1  	0.978847
36 	10.8097	[0.69160333]	[0.77732506]	[0.54803379]	[0.04646646]	9.76238	10 	3  	1.07306 
37 	10.7186	[0.69387391]	[0.77732506]	[0.50672847]	[0.04555736]	9.67327	10 	1  	1.40796 
38 	10.7641	[0.69731698]	[0.77732506]	[0.55274372]	[0.04545077]	9.78218	10 	3  	1.03984 
39 	10.9957	[0.70141031]	[0.77732506]	[0.59057267]	[0.03676228]	9.91089	10 	7  	0.5093  
40 	10.8485	[0.70470201]	[0.77732506]	[0.60313248]	[0.04434832]	9.83168	10 	4  	0.845129
41 	11.2385	[0.69862862]	[0.77732506]	[0.60731908]	[0.03986752]	9.9703 	10 	7  	0.29703 
42 	10.4386	[0.68755811]	[0.77732506]	[0.52635317]	[0.04800432]	9.45545	10 	1  	1.82678 
43 	10.8457	[0.68931498]	[0.77732506]	[0.58447967]	[0.04141423]	9.81188	10 	2  	0.886788
44 	10.7552	[0.69293015]	[0.77732506]	[0.51259719]	[0.04411855]	9.79208	10 	3  	1.18837 
45 	11.1106	[0.69300713]	[0.77732506]	[0.51076555]	[0.04169135]	9.94059	10 	6  	0.441011
46 	11.0469	[0.69074987]	[0.77732506]	[0.49988786]	[0.048356]  	9.87129	10 	3  	0.908305
47 	10.8243	[0.69431581]	[0.77732506]	[0.54440789]	[0.04261645]	9.84158	10 	3  	0.930588
48 	10.5898	[0.68371015]	[0.77732506]	[0.50788726]	[0.05082045]	9.60396	10 	1  	1.53558 
49 	10.8405	[0.68863399]	[0.77732506]	[0.54747309]	[0.04076951]	9.84158	10 	5  	0.817297
50 	10.6207	[0.6857161] 	[0.77732506]	[0.48904755]	[0.0486278] 	9.69307	10 	2  	1.30302 
51 	10.8951	[0.69713452]	[0.77732506]	[0.60563696]	[0.04203512]	9.91089	10 	3  	0.718896
52 	10.8262	[0.69094196]	[0.77732506]	[0.48059958]	[0.04812231]	9.91089	10 	5  	0.630873
53 	10.6916	[0.7010465] 	[0.77732506]	[0.58152661]	[0.04238766]	9.72277	10 	3  	1.25957 
54 	10.8857	[0.70371235]	[0.77732506]	[0.52635317]	[0.04671273]	9.66337	10 	2  	1.48442 
55 	10.7719	[0.69610119]	[0.77732506]	[0.5198116] 	[0.04947339]	9.74257	10 	1  	1.2559  
