   	       	                                                    fitness                                                    	              size              
   	       	---------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                      	max                      	min                    	std                    	avg    	max	min	std     
0  	29.5242	[0.02598763 2.62376238]  	[ 0.09865471 11.        ]	[0. 0.]                	[0.02705355 2.79975772]	2.61386	8  	1  	2.00973 
1  	45.4964	[0.03939874 4.03960396]  	[ 0.13461538 14.        ]	[0. 0.]                	[0.03243586 3.44093239]	3.59406	10 	1  	2.64455 
2  	61.5147	[0.05056888 5.30693069]  	[ 0.13461538 14.        ]	[0. 0.]                	[0.03454758 3.75682237]	4.44554	9  	1  	2.83009 
3  	93.5239	[0.06440095 6.91089109]  	[ 0.13461538 15.        ]	[0. 0.]                	[0.03890548 4.32148446]	5.80198	10 	1  	2.91809 
4  	143.255	[0.07703471 8.3960396 ]  	[ 0.14222222 16.        ]	[0. 0.]                	[0.0379917  4.33744737]	7.37624	10 	1  	2.10069 
5  	177.409	[0.08947856 9.84158416]  	[ 0.14222222 16.        ]	[0. 0.]                	[0.03676805 4.23033054]	8.0396 	10 	1  	1.91358 
6  	196.279	[ 0.09826266 10.88118812]	[ 0.16071429 18.        ]	[0. 0.]                	[0.03531568 4.1081593 ]	8.51485	10 	4  	1.1135  
7  	186.268	[ 0.09952032 10.97029703]	[ 0.16071429 18.        ]	[0. 0.]                	[0.03652343 4.23903465]	8.42574	10 	4  	1.3884  
8  	172.69 	[ 0.10982216 12.14851485]	[ 0.16071429 18.        ]	[0.01069519 1.        ]	[0.03100042 3.63259757]	8.32673	10 	5  	1.39383 
9  	168.094	[ 0.10260196 11.23762376]	[ 0.16071429 18.        ]	[0. 0.]                	[0.03611317 4.16527016]	8.13861	10 	4  	1.50924 
10 	169.482	[ 0.10455104 11.41584158]	[ 0.18502203 21.        ]	[0. 0.]                	[0.03947051 4.536469  ]	8.34653	10 	3  	1.39614 
11 	173.686	[ 0.09658381 10.56435644]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04651572 5.30162658]	8.51485	10 	4  	1.27127 
12 	172.776	[ 0.09732773 10.67326733]	[ 0.18502203 21.        ]	[0. 0.]                	[0.0451642  5.19921721]	8.52475	10 	3  	1.41137 
13 	182.553	[ 0.10926459 12.05940594]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04574497 5.29304004]	8.64356	10 	2  	1.30182 
14 	193.096	[ 0.11400694 12.56435644]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04196726 4.89981984]	8.56436	10 	2  	1.36008 
15 	206.112	[ 0.11276406 12.47524752]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04743397 5.46382171]	8.74257	10 	1  	1.15744 
16 	197.216	[ 0.1178192  13.00990099]	[ 0.18502203 21.        ]	[0.0106383 1.       ]  	[0.04695428 5.45820311]	8.85149	10 	8  	0.788358
17 	198.952	[ 0.12357618 13.69306931]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04533265 5.26287685]	8.74257	10 	5  	0.981547
18 	197.766	[ 0.12284104 13.65346535]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04549196 5.26794086]	8.62376	10 	1  	1.60353 
19 	197.126	[ 0.12812808 14.24752475]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04554782 5.28664662]	8.9604 	10 	2  	1.07096 
20 	197.804	[ 0.12125028 13.45544554]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04888557 5.62970332]	9.05941	10 	3  	0.983244
21 	205.432	[ 0.11730368 12.97029703]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04793219 5.50149475]	9.0396 	10 	8  	0.743564
22 	209.486	[ 0.11968608 13.25742574]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04673925 5.40929428]	9.0297 	10 	6  	0.789228
23 	211.4  	[ 0.12113886 13.45544554]	[ 0.18502203 21.        ]	[0. 0.]                	[0.04920194 5.68221954]	8.9901 	10 	3  	0.969792
24 	216.539	[ 0.12136768 13.51485149]	[ 0.18502203 21.        ]	[0. 0.]                	[0.05172083 6.01748913]	9.12871	10 	8  	0.591413
25 	212.43 	[ 0.13030334 14.55445545]	[ 0.18502203 21.        ]	[0. 0.]                	[0.05056788 5.8908811 ]	8.9505 	10 	1  	0.998774
26 	214.55 	[ 0.13339206 14.92079208]	[ 0.18584071 21.        ]	[0.01092896 1.        ]	[0.04930362 5.78095742]	9.08911	10 	8  	0.46881 
27 	214.731	[ 0.13341405 14.9009901 ]	[ 0.18584071 21.        ]	[0.02116402 2.        ]	[0.04560403 5.37781462]	9.13861	10 	8  	0.527082
28 	212.749	[ 0.12760447 14.23762376]	[ 0.19213974 22.        ]	[0. 0.]                	[0.05020416 5.85999783]	9.13861	10 	5  	0.731602
29 	217.773	[ 0.13110486 14.66336634]	[ 0.19213974 22.        ]	[0. 0.]                	[0.0474549  5.53168592]	9.14851	10 	8  	0.603392
30 	214.827	[ 0.12861246 14.38613861]	[ 0.19213974 22.        ]	[0. 0.]                	[0.05290958 6.15793828]	9.14851	10 	7  	0.586754
31 	210.51 	[ 0.12628943 14.13861386]	[ 0.19213974 22.        ]	[0. 0.]                	[0.05753152 6.67643959]	9.0198 	10 	1  	1.0715  
32 	216.505	[ 0.12465907 13.93069307]	[ 0.19213974 22.        ]	[0.01025641 1.        ]	[0.05358145 6.26993048]	9.18812	10 	7  	0.557805
33 	217.904	[ 0.132978  14.9009901]  	[ 0.19213974 22.        ]	[0.01052632 1.        ]	[0.04642997 5.52492991]	9.21782	10 	8  	0.537761
34 	219.588	[ 0.12121017 13.5049505 ]	[ 0.19298246 22.        ]	[0.03921569 4.        ]	[0.04948828 5.86586663]	9.28713	10 	4  	0.800206
35 	224.054	[ 0.12365065 13.82178218]	[ 0.19298246 22.        ]	[0. 0.]                	[0.05286603 6.18909299]	9.33663	10 	2  	0.925729
36 	221.422	[ 0.13019642 14.61386139]	[ 0.19298246 22.        ]	[0. 0.]                	[0.05306859 6.19480827]	9.24752	10 	5  	0.788606
37 	223.628	[ 0.12307799 13.78217822]	[ 0.19298246 22.        ]	[0. 0.]                	[0.05496085 6.41872872]	9.37624	10 	8  	0.5423  
38 	222.475	[ 0.12586693 14.07920792]	[ 0.19298246 22.        ]	[0. 0.]                	[0.05041899 5.88786833]	9.26733	10 	5  	0.716027
39 	224.57 	[ 0.12706416 14.18811881]	[ 0.19298246 22.        ]	[0. 0.]                	[0.04747977 5.58057606]	9.42574	10 	8  	0.533001
40 	225.747	[ 0.11570742 12.86138614]	[ 0.19298246 22.        ]	[0. 0.]                	[0.05404776 6.29793256]	9.30693	10 	6  	0.625254
41 	221.62 	[ 0.11698834 13.02970297]	[ 0.19298246 22.        ]	[0. 0.]                	[0.05323173 6.21154378]	9.20792	10 	1  	1.20491 
42 	219.344	[ 0.12126709 13.51485149]	[ 0.19298246 22.        ]	[0. 0.]                	[0.04579989 5.39639385]	9.28713	10 	4  	0.74908 
43 	223.264	[ 0.12084791 13.48514851]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.04722905 5.58217435]	9.34653	10 	9  	0.475866
44 	218.467	[ 0.12140631 13.51485149]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.0493058  5.83029619]	9.08911	10 	1  	0.996022
45 	223.249	[ 0.12563181 14.03960396]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.05082234 5.96843312]	9.17822	10 	4  	0.695047
46 	218.327	[ 0.12867798 14.41584158]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.05178865 6.08726528]	9      	10 	1  	1.37156 
47 	225.804	[ 0.1231084  13.78217822]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.053047   6.18142212]	9.22772	10 	8  	0.442343
48 	223.84 	[ 0.1250155  13.96039604]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.04652011 5.43534599]	9.14851	10 	2  	0.825175
49 	225.478	[ 0.12427529 13.86138614]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.05177009 6.01323574]	9.19802	10 	9  	0.398507
50 	225.525	[ 0.1389594  15.53465347]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.04385765 5.15418576]	9.08911	10 	8  	0.374933
51 	225.481	[ 0.12514114 13.93069307]	[ 0.1938326 22.       ]  	[0.01086957 1.        ]	[0.05301713 6.21919326]	9.16832	10 	9  	0.374147
52 	222.539	[ 0.12978371 14.5049505 ]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.0499805 5.8759853]  	9.15842	10 	8  	0.461008
53 	226.428	[ 0.12734991 14.20792079]	[ 0.1938326 22.       ]  	[0.01075269 1.        ]	[0.05165109 6.10196662]	9.22772	10 	8  	0.442343
54 	226.558	[ 0.12038845 13.41584158]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.05019757 5.900608  ]	9.24752	10 	4  	0.695188
55 	222.782	[ 0.1211722  13.46534653]	[ 0.1938326 22.       ]  	[0. 0.]                	[0.04818437 5.68054585]	9.19802	10 	1  	0.933638
56 	224.91 	[ 0.12610141 14.07920792]	[ 0.1938326 22.       ]  	[0.02094241 2.        ]	[0.04958296 5.82361728]	9.22772	10 	1  	0.963504
57 	225.398	[ 0.12515547 13.98019802]	[ 0.19642857 22.        ]	[0. 0.]                	[0.04956995 5.78146612]	9.14851	10 	1  	0.958404
58 	222.647	[ 0.12692692 14.1980198 ]	[ 0.19642857 22.        ]	[0. 0.]                	[0.05556031 6.43631375]	9.11881	10 	2  	1.11947 
59 	226.279	[ 0.14546957 16.35643564]	[ 0.2 23. ]              	[0.01960784 2.        ]	[0.04918285 5.74125967]	9.18812	10 	4  	0.875552
60 	227.025	[ 0.14369021 16.15841584]	[ 0.2 23. ]              	[0.01075269 1.        ]	[0.05043124 5.89635342]	9.28713	10 	8  	0.473801
61 	226.313	[ 0.13356556 14.99009901]	[ 0.2 23. ]              	[0. 0.]                	[0.05684005 6.62054266]	9.10891	10 	3  	0.794797
62 	229.543	[ 0.13339886 14.95049505]	[ 0.20175439 23.        ]	[0.01010101 1.        ]	[0.05030473 5.93091621]	9.18812	10 	9  	0.390807
63 	228.704	[ 0.12712597 14.21782178]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05651848 6.65798703]	9.14851	10 	9  	0.35561 
64 	226.422	[ 0.12097333 13.48514851]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05557726 6.55307933]	9.11881	10 	6  	0.531896
65 	231.12 	[ 0.13569268 15.21782178]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05285105 6.25150114]	9.20792	10 	8  	0.429525
66 	226.317	[ 0.13080307 14.64356436]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05015334 5.88938323]	9.10891	10 	5  	0.578509
67 	226.585	[ 0.12946172 14.4950495 ]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05533865 6.4648689 ]	9.12871	10 	3  	0.753387
68 	230.42 	[ 0.13234359 14.79207921]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05089495 5.96577173]	9.20792	10 	9  	0.40582 
69 	228.236	[ 0.13005054 14.54455446]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05412076 6.28927226]	9.19802	10 	5  	0.597351
70 	221.602	[ 0.13275696 14.84158416]	[ 0.20175439 23.        ]	[0. 0.]                	[0.05257104 6.12854492]	8.90099	10 	1  	1.51236 
71 	230.951	[ 0.13121078 14.63366337]	[ 0.20175439 23.        ]	[0. 0.]                	[0.0513107 6.0094361]  	9.26733	10 	9  	0.442564
