   	       	                                                              fitness                                                              	              size              
   	       	-----------------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                          	max                          	min                                	std                        	avg    	max	min	std     
0  	111.749	[  0.13187745  99.68316832]  	[   0.25034014  180.        ]	[ 0.  0.]                          	[  0.06201987  51.80273526]	2.47525	10 	1  	2.0662  
1  	153.218	[   0.15807945  103.37623762]	[   0.25034014  180.        ]	[ 0.  0.]                          	[  0.0598791   42.63844114]	3.64356	10 	1  	2.86524 
2  	167.531	[   0.17568944  104.31683168]	[   0.26027397  180.        ]	[ 0.  0.]                          	[  0.0599904   35.23610061]	4.37624	10 	1  	2.99786 
3  	171.056	[   0.17913147  101.77227723]	[   0.26027397  180.        ]	[ 0.  0.]                          	[  0.0638338   35.80665384]	4.23762	10 	1  	3.02841 
4  	179.211	[   0.19320238  103.00990099]	[   0.26027397  180.        ]	[ 0.  0.]                          	[  0.05911289  29.9843177 ]	4.0495 	10 	1  	2.97307 
5  	179.735	[   0.19827619  103.75247525]	[   0.26027397  180.        ]	[ 0.  0.]                          	[  0.06034759  29.55324309]	3.78218	10 	1  	2.97715 
6  	190.741	[   0.21392545  104.04950495]	[   0.26030928  180.        ]	[ 0.  0.]                          	[  0.05002321  25.13621357]	3.27723	10 	1  	2.71818 
7  	178.196	[  0.20792651  99.56435644]  	[   0.26560425  180.        ]	[ 0.  0.]                          	[  0.06706935  32.36561427]	2.82178	9  	1  	2.56556 
8  	173.441	[  0.20481598  94.54455446]  	[   0.26373626  180.        ]	[ 0.  0.]                          	[  0.07442093  35.86181531]	2.50495	9  	1  	2.32772 
9  	169.638	[  0.19982676  97.16831683]  	[   0.26373626  180.        ]	[ 0.  0.]                          	[  0.07539546  36.90959501]	3.26733	9  	1  	2.67327 
10 	170.014	[   0.20997332  102.75247525]	[   0.26373626  180.        ]	[ 0.  0.]                          	[  0.06472309  31.63918048]	2.72277	10 	1  	2.41332 
11 	174.449	[  0.21574263  97.35643564]  	[   0.26373626  180.        ]	[ 0.  0.]                          	[  0.06200154  26.13695239]	2.92079	10 	1  	2.49627 
12 	176.842	[  0.2176507   92.69306931]  	[   0.26525199  180.        ]	[ 0.  0.]                          	[  0.0658612   27.29151124]	2.63366	8  	1  	2.15592 
13 	169.818	[   0.21242719  100.91089109]	[   0.26613966  180.        ]	[ 0.  0.]                          	[  0.06883728  31.06718973]	2.43564	9  	1  	2.06535 
14 	158.421	[   0.2070862   109.41584158]	[   0.26613966  180.        ]	[  0.09090909  10.        ]        	[  0.0633815   33.13915076]	2.48515	9  	1  	2.1828  
15 	174.521	[  0.2215665  99.3960396]    	[   0.2668428  180.       ]  	[ 0.  0.]                          	[  0.05760293  27.01341039]	2.45545	9  	1  	2.13191 
16 	175.927	[  0.21563823  97.98019802]  	[   0.2668428  180.       ]  	[ 0.  0.]                          	[  0.06408956  28.05474853]	2.54455	9  	1  	2.32304 
17 	165.157	[   0.2085732   103.22772277]	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.06690473  26.86043179]	2.63366	8  	1  	2.34087 
18 	166.376	[  0.20609206  95.97029703]  	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.07881797  37.39737256]	2.82178	10 	1  	2.39387 
19 	175.926	[  0.22255425  97.03960396]  	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.05799192  24.75500581]	2.91089	10 	1  	2.466   
20 	169.008	[   0.21216622  102.42574257]	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.07087187  33.40491057]	2.92079	10 	1  	2.37846 
21 	172.969	[   0.21581374  102.59405941]	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.06239694  27.47102099]	3.39604	9  	1  	2.62539 
22 	179.956	[  0.22350715  98.75247525]  	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.06278147  24.41814207]	2.9802 	10 	1  	2.52504 
23 	180.599	[  0.22475254  97.8019802 ]  	[   0.26754967  180.        ]	[ 0.01311475  2.        ]          	[  0.05682864  22.59151676]	2.84158	9  	1  	2.1697  
24 	171.951	[   0.22113562  105.48514851]	[   0.26754967  180.        ]	[  0.08603574  12.        ]        	[  0.05627187  26.67242202]	2.75248	10 	1  	2.31827 
25 	182.787	[  0.22972502  95.86138614]  	[   0.26754967  180.        ]	[ 0.0077821  1.       ]            	[  0.05346959  22.00226348]	2.81188	10 	1  	2.35768 
26 	168.683	[   0.21852834  103.01980198]	[   0.26754967  180.        ]	[ 0.0683112  9.       ]            	[  0.0600779   27.81123792]	2.66337	9  	1  	2.32199 
27 	157.387	[  0.20533933  95.72277228]  	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.07580721  35.67652217]	2.85149	10 	1  	2.31819 
28 	171.746	[  0.22593838  96.88118812]  	[   0.26719577  180.        ]	[ 0.  0.]                          	[  0.05609065  29.11577679]	2.28713	10 	1  	1.84732 
29 	165.444	[  0.21615447  96.56435644]  	[   0.26719577  180.        ]	[ 0.  0.]                          	[  0.06369635  29.79647658]	2.70297	9  	1  	2.24951 
30 	176.404	[   0.22473952  103.67326733]	[   0.26719577  180.        ]	[ 0.  0.]                          	[  0.055699    27.24298762]	2.38614	9  	1  	2.03421 
31 	175.249	[  0.22068443  98.99009901]  	[   0.26719577  180.        ]	[ 0.04385965  5.        ]          	[  0.0577296   28.40669808]	2.68317	10 	1  	2.29908 
32 	172.501	[  0.21861275  98.8019802 ]  	[   0.26719577  180.        ]	[ 0.  0.]                          	[  0.05967874  21.06896728]	2.9505 	9  	1  	2.51875 
33 	162.233	[   0.21028366  100.79207921]	[   0.26754967  180.        ]	[ 0.02898551  3.        ]          	[  0.06503131  29.09367487]	3      	9  	1  	2.33357 
34 	173.767	[   0.2219032   105.56435644]	[   0.26754967  180.        ]	[  0.0966325  75.       ]          	[  0.05284871  25.17598095]	2.79208	9  	1  	2.31361 
35 	171.401	[  0.21526989  98.3960396 ]  	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.06662537  31.47907657]	2.86139	10 	1  	2.40885 
36 	154.322	[   0.20097597  103.38613861]	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.07710614  36.66356821]	2.94059	9  	1  	2.34973 
37 	172.441	[   0.21684945  102.45544554]	[   0.26754967  180.        ]	[ 0.  0.]                          	[  0.06300827  28.51385793]	2.54455	9  	1  	2.3145  
