   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	45.9016	[0.50008699]	[0.50878587]	[0.5]       	[0.00086989]	2.59406	10 	1  	1.97097  
1  	47.3367	[0.50017185]	[0.51162141]	[0.49645558]	[0.00149076]	3.77228	10 	1  	2.76069  
2  	47.5568	[0.50042027]	[0.51611102]	[0.49503781]	[0.00243689]	4.66337	10 	1  	2.6784   
3  	47.3886	[0.50060105]	[0.51871026]	[0.49740076]	[0.00304863]	5.73267	10 	1  	2.78216  
4  	55.2377	[0.50045515]	[0.52227616]	[0.49645558]	[0.00310344]	6.46535	10 	1  	2.47588  
5  	55.5677	[0.50060573]	[0.52227616]	[0.49243856]	[0.00329022]	7.07921	10 	2  	2.25012  
6  	56.6992	[0.50147137]	[0.53056797]	[0.48818526]	[0.00482688]	7.54455	10 	1  	2.08495  
7  	58.8378	[0.50101494]	[0.53907458]	[0.40601908]	[0.01145653]	7.92079	10 	1  	2.09518  
8  	58.528 	[0.50185675]	[0.53907458]	[0.48169789]	[0.00709581]	8.19802	10 	1  	1.86696  
9  	57.9751	[0.50269261]	[0.53907458]	[0.49598299]	[0.00639701]	8.47525	10 	1  	1.74965  
10 	58.1884	[0.50299186]	[0.53907458]	[0.49409263]	[0.00717425]	8.63366	10 	3  	1.49403  
11 	58.4456	[0.50233487]	[0.53907458]	[0.49267486]	[0.00618245]	8.72277	10 	3  	1.2674   
12 	62.9498	[0.50307864]	[0.53907458]	[0.48700378]	[0.00816747]	8.70297	10 	1  	1.62618  
13 	61.2567	[0.5025499] 	[0.54618491]	[0.48305121]	[0.00816393]	8.78218	10 	1  	1.52604  
14 	64.1627	[0.50368756]	[0.54618491]	[0.4907845] 	[0.00945326]	8.81188	10 	1  	1.31791  
15 	63.2857	[0.50359483]	[0.54618491]	[0.44805809]	[0.01038783]	8.82178	10 	1  	1.4515   
16 	62.3025	[0.50476737]	[0.54618491]	[0.49456522]	[0.00914828]	8.83168	10 	1  	1.45609  
17 	58.7683	[0.50519275]	[0.54618491]	[0.48393195]	[0.01097919]	8.55446	10 	1  	1.89567  
18 	59.3664	[0.50699973]	[0.54618491]	[0.49007561]	[0.01240883]	9      	10 	1  	1.4072   
19 	57.637 	[0.50788812]	[0.54811823]	[0.49196597]	[0.01324647]	9.28713	10 	1  	1.2691   
