   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	3.54086	[ 0.50139059]	[ 0.55118602]	[ 0.47253433]	[ 0.01182153]	2.65347	10 	1  	1.97226  
1  	4.49977	[ 0.5031829] 	[ 0.62109863]	[ 0.39325843]	[ 0.02163547]	3.74257	10 	1  	2.58194  
2  	5.58188	[ 0.51044486]	[ 0.69538077]	[ 0.43945069]	[ 0.03424459]	4.94059	10 	1  	2.78547  
3  	7.17057	[ 0.52981422]	[ 0.69538077]	[ 0.4906367] 	[ 0.05345605]	5.93069	10 	1  	2.70041  
4  	12.5782	[ 0.56644541]	[ 0.71785268]	[ 0.43757803]	[ 0.07246661]	7.62376	10 	1  	2.22431  
5  	15.363 	[ 0.60690844]	[ 0.73158552]	[ 0.49126092]	[ 0.07091193]	8.74257	10 	1  	1.58366  
6  	16.8961	[ 0.63842227]	[ 0.73158552]	[ 0.4525593] 	[ 0.0678098] 	8.90099	10 	3  	1.09459  
7  	17.8615	[ 0.65386089]	[ 0.74032459]	[ 0.48127341]	[ 0.07213333]	9      	10 	1  	1.20231  
8  	18.9802	[ 0.66014017]	[ 0.76092385]	[ 0.48439451]	[ 0.07382229]	9.20792	10 	1  	1.2131   
9  	20.7653	[ 0.67810039]	[ 0.76092385]	[ 0.49563046]	[ 0.06464449]	9.50495	10 	4  	0.815976 
10 	20.8788	[ 0.67372468]	[ 0.76092385]	[ 0.47315855]	[ 0.08447498]	9.68317	10 	4  	0.843504 
11 	21.0589	[ 0.67390391]	[ 0.76092385]	[ 0.46004994]	[ 0.08499808]	9.76238	10 	3  	0.810189 
12 	21.866 	[ 0.68775417]	[ 0.76154806]	[ 0.44444444]	[ 0.07898768]	9.92079	10 	8  	0.304526 
13 	21.1864	[ 0.67637606]	[ 0.76154806]	[ 0.47877653]	[ 0.0852303] 	9.89109	10 	7  	0.395544 
14 	20.904 	[ 0.69111012]	[ 0.76154806]	[ 0.48377029]	[ 0.08231464]	9.85149	10 	7  	0.514851 
15 	21.3411	[ 0.70421256]	[ 0.79525593]	[ 0.49812734]	[ 0.06330773]	9.93069	10 	8  	0.322657 
16 	21.2958	[ 0.70114708]	[ 0.79525593]	[ 0.48189763]	[ 0.0780449] 	9.88119	10 	1  	0.915079 
17 	21.079 	[ 0.71391577]	[ 0.79525593]	[ 0.49625468]	[ 0.06977091]	9.93069	10 	5  	0.51237  
18 	21.1854	[ 0.70109146]	[ 0.79525593]	[ 0.48064919]	[ 0.08753559]	9.74257	10 	1  	1.35452  
19 	21.5351	[ 0.72238291]	[ 0.79525593]	[ 0.47690387]	[ 0.07610335]	9.9604 	10 	6  	0.39604  
20 	22.0356	[ 0.72638163]	[ 0.81273408]	[ 0.47378277]	[ 0.07686906]	9.83168	10 	1  	1.08152  
21 	21.8296	[ 0.74462615]	[ 0.81273408]	[ 0.46878901]	[ 0.06903327]	9.92079	10 	2  	0.792079 
22 	22.1111	[ 0.74470031]	[ 0.81273408]	[ 0.49001248]	[ 0.07144708]	9.88119	10 	1  	0.936468 
23 	21.6031	[ 0.73128886]	[ 0.81273408]	[ 0.47627965]	[ 0.10054048]	9.89109	10 	1  	0.910891 
24 	21.2355	[ 0.73648039]	[ 0.8133583] 	[ 0.49313358]	[ 0.09722459]	9.75248	10 	1  	1.42402  
25 	21.5984	[ 0.72904538]	[ 0.8164794] 	[ 0.49500624]	[ 0.09746426]	9.89109	10 	4  	0.76948  
26 	21.1609	[ 0.74289564]	[ 0.81897628]	[ 0.48501873]	[ 0.09154166]	9.86139	10 	1  	1.01503  
27 	21.7892	[ 0.73679559]	[ 0.81897628]	[ 0.4906367] 	[ 0.08649145]	9.9703 	10 	7  	0.29703  
28 	21.5782	[ 0.73580673]	[ 0.8196005] 	[ 0.46067416]	[ 0.08212932]	9.9703 	10 	7  	0.29703  
29 	21.759 	[ 0.74526273]	[ 0.8196005] 	[ 0.4968789] 	[ 0.07827792]	9.92079	10 	2  	0.792079 
30 	21.5265	[ 0.75316745]	[ 0.8196005] 	[ 0.48626717]	[ 0.08294358]	9.9703 	10 	7  	0.29703  
31 	21.3211	[ 0.75284607]	[ 0.82022472]	[ 0.49126092]	[ 0.09220598]	9.90099	10 	3  	0.751302 
32 	21.4744	[ 0.73957677]	[ 0.82022472]	[ 0.48501873]	[ 0.09463936]	9.91089	10 	1  	0.891089 
33 	21.4336	[ 0.74834674]	[ 0.82022472]	[ 0.4937578] 	[ 0.08617449]	9.94059	10 	4  	0.594059 
34 	21.6635	[ 0.75394618]	[ 0.82459426]	[ 0.49313358]	[ 0.0742345] 	9.9703 	10 	7  	0.29703  
35 	21.2018	[ 0.74450872]	[ 0.85518102]	[ 0.48127341]	[ 0.09865419]	9.86139	10 	1  	1.01503  
36 	21.4874	[ 0.73403913]	[ 0.85518102]	[ 0.46317104]	[ 0.10107785]	9.87129	10 	2  	0.863602 
37 	22.0044	[ 0.7444222] 	[ 0.86142322]	[ 0.4906367] 	[ 0.0973393] 	10     	10 	10 	0        
38 	21.5987	[ 0.74501551]	[ 0.86142322]	[ 0.49001248]	[ 0.10340377]	9.90099	10 	5  	0.605338 
39 	21.1286	[ 0.75604751]	[ 0.86142322]	[ 0.4650437] 	[ 0.10527261]	9.92079	10 	5  	0.539218 
