   	       	                         fitness                          	              size             
   	       	----------------------------------------------------------	-------------------------------
gen	time   	avg          	max   	min          	std               	avg    	max	min	std    
0  	10.8407	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	2.59406	10 	1  	1.97097
1  	15.2183	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	3.59406	10 	1  	2.67803
2  	14.6395	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	3.9802 	10 	1  	2.47754
3  	17.6238	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	5.38614	10 	1  	2.70669
4  	19.7863	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	6.16832	10 	1  	2.70339
5  	22.1519	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	6.63366	10 	1  	2.79222
6  	25.66  	[ 0.49998146]	[ 0.5]	[ 0.49937578]	[ 0.00010597]     	7.0198 	10 	1  	2.76463
7  	21.9082	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.13861	10 	1  	2.7069 
8  	22.7133	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.30693	10 	1  	2.50837
9  	23.2589	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.22772	10 	1  	2.75351
10 	23.3701	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	6.80198	10 	1  	2.75401
11 	21.1766	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	6.73267	10 	1  	2.81049
12 	23.451 	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	6.78218	10 	1  	2.80242
13 	25.1838	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.0099 	10 	1  	2.87528
14 	25.0244	[ 0.49998764]	[ 0.5]	[ 0.49937578]	[  8.69658427e-05]	7.15842	10 	1  	2.69114
15 	27.4627	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.55446	10 	1  	2.62311
16 	26.3002	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.07921	10 	1  	2.31518
17 	29.2426	[ 0.49998764]	[ 0.5]	[ 0.49937578]	[  8.69658427e-05]	8.06931	10 	1  	2.35997
18 	29.5277	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.05941	10 	2  	2.18828
19 	26.0911	[ 0.49998764]	[ 0.5]	[ 0.49875156]	[ 0.00012361]     	8      	10 	2  	2.18908
20 	27.4664	[ 0.49998764]	[ 0.5]	[ 0.49937578]	[  8.69658427e-05]	8.08911	10 	2  	2.15305
21 	28.5054	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.15842	10 	1  	2.2059 
22 	25.5928	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.88119	10 	1  	2.39342
23 	26.848 	[ 0.49998764]	[ 0.5]	[ 0.49875156]	[ 0.00012361]     	8.23762	10 	1  	1.97082
24 	29.4822	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.41584	10 	2  	1.99637
25 	28.2178	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.52475	10 	1  	1.81629
26 	27.5521	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.43564	10 	1  	1.8531 
27 	26.1707	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.30693	10 	2  	1.96374
28 	29.8945	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.26733	10 	3  	2.10558
29 	26.152 	[ 0.49998764]	[ 0.5]	[ 0.49875156]	[ 0.00012361]     	7.9703 	10 	2  	2.10354
30 	25.7841	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	8.08911	10 	2  	2.1668 
31 	22.4743	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.80198	10 	3  	2.2027 
32 	25.0015	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.93069	10 	2  	2.16295
33 	25.2063	[ 0.5]       	[ 0.5]	[ 0.5]       	[ 0.]             	7.65347	10 	2  	2.42689
