   	       	                           fitness                           	              size              
   	       	-------------------------------------------------------------	--------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std     
0  	7.13708	[ 0.5067163] 	[ 0.53472222]	[ 0.49084596]	[ 0.01155844]	2.68317	9  	1  	2.14767 
1  	7.83968	[ 0.50763826]	[ 0.53472222]	[ 0.48926768]	[ 0.01260194]	3.06931	10 	1  	2.44244 
2  	7.75972	[ 0.50846647]	[ 0.53472222]	[ 0.48863636]	[ 0.01321721]	3.26733	10 	1  	2.65095 
3  	7.79503	[ 0.50841959]	[ 0.53472222]	[ 0.49021465]	[ 0.01511802]	3.33663	10 	1  	2.56896 
4  	7.23425	[ 0.51110736]	[ 0.53472222]	[ 0.48705808]	[ 0.01620605]	3.35644	10 	1  	2.3318  
5  	7.56673	[ 0.51635789]	[ 0.53503788]	[ 0.48989899]	[ 0.01654228]	3.41584	10 	1  	2.43842 
6  	7.43376	[ 0.51605786]	[ 0.53503788]	[ 0.48800505]	[ 0.01666132]	3.30693	9  	1  	2.26354 
7  	8.12365	[ 0.51639539]	[ 0.54734848]	[ 0.48895202]	[ 0.01775061]	3.52475	8  	1  	2.18725 
8  	9.36131	[ 0.51976448]	[ 0.54734848]	[ 0.48989899]	[ 0.01713245]	3.9604 	10 	1  	2.62479 
9  	10.0156	[ 0.51750488]	[ 0.54734848]	[ 0.48989899]	[ 0.01722133]	4.52475	10 	1  	2.67587 
10 	9.6103 	[ 0.51559531]	[ 0.54734848]	[ 0.48958333]	[ 0.0185525] 	4.59406	10 	1  	2.47033 
11 	10.6413	[ 0.51651728]	[ 0.54766414]	[ 0.48958333]	[ 0.01754176]	5.0297 	10 	1  	2.58884 
12 	11.957 	[ 0.51964884]	[ 0.54766414]	[ 0.48895202]	[ 0.0160268] 	5.71287	10 	1  	2.72261 
13 	12.4829	[ 0.51615474]	[ 0.54829545]	[ 0.48958333]	[ 0.0181572] 	6.25743	10 	1  	2.39493 
14 	12.3196	[ 0.52031453]	[ 0.54829545]	[ 0.4905303] 	[ 0.0174217] 	6.51485	10 	1  	2.38234 
15 	12.5238	[ 0.51938319]	[ 0.54829545]	[ 0.48958333]	[ 0.01822048]	6.70297	10 	2  	2.11335 
16 	12.8558	[ 0.5222616] 	[ 0.56186869]	[ 0.48958333]	[ 0.01724566]	7.05941	10 	2  	1.87649 
17 	14.3148	[ 0.52105836]	[ 0.56186869]	[ 0.48611111]	[ 0.01862659]	7.75248	10 	5  	1.83695 
18 	13.9695	[ 0.52487749]	[ 0.57607323]	[ 0.48863636]	[ 0.01982048]	7.80198	10 	5  	1.82946 
19 	13.4127	[ 0.52376175]	[ 0.57607323]	[ 0.48958333]	[ 0.01970589]	7.72277	10 	1  	2.17146 
20 	14.4274	[ 0.52521815]	[ 0.57607323]	[ 0.48958333]	[ 0.02125909]	8.17822	10 	1  	2.05564 
21 	14.6055	[ 0.52007076]	[ 0.57607323]	[ 0.48768939]	[ 0.02065377]	8.46535	10 	1  	1.85389 
22 	15.1254	[ 0.52434306]	[ 0.57607323]	[ 0.48989899]	[ 0.02008999]	8.56436	10 	2  	1.77114 
23 	14.8462	[ 0.52539941]	[ 0.57607323]	[ 0.49021465]	[ 0.0186185] 	8.44554	10 	2  	1.89567 
24 	15.7458	[ 0.52422742]	[ 0.57607323]	[ 0.48958333]	[ 0.02183454]	8.67327	10 	3  	1.61128 
25 	16.5426	[ 0.52140214]	[ 0.57607323]	[ 0.49084596]	[ 0.02161232]	8.62376	10 	1  	2.00421 
26 	16.4318	[ 0.52480248]	[ 0.57607323]	[ 0.48768939]	[ 0.02152662]	8.90099	10 	2  	1.58273 
27 	15.5767	[ 0.52503375]	[ 0.57607323]	[ 0.48895202]	[ 0.02226634]	8.77228	10 	1  	2.01912 
28 	17.1409	[ 0.52456808]	[ 0.57607323]	[ 0.48832071]	[ 0.02101697]	9.11881	10 	1  	1.7251  
29 	17.9418	[ 0.52669329]	[ 0.57607323]	[ 0.49021465]	[ 0.02301932]	9.28713	10 	2  	1.41657 
30 	19.2286	[ 0.52787466]	[ 0.57607323]	[ 0.48989899]	[ 0.0247716] 	9.24752	10 	2  	1.55688 
31 	18.1333	[ 0.5330408] 	[ 0.57607323]	[ 0.48895202]	[ 0.0250911] 	9.22772	10 	3  	1.52134 
32 	18.4135	[ 0.5295342] 	[ 0.57607323]	[ 0.4905303] 	[ 0.02639655]	9.0495 	10 	1  	2.06995 
33 	17.4733	[ 0.53207196]	[ 0.57607323]	[ 0.48989899]	[ 0.02543691]	9.35644	10 	2  	1.3972  
34 	18.3348	[ 0.53382213]	[ 0.57607323]	[ 0.48832071]	[ 0.02713725]	9.41584	10 	2  	1.41608 
35 	18.7373	[ 0.53690994]	[ 0.57638889]	[ 0.48800505]	[ 0.02767685]	9.35644	10 	1  	1.32444 
36 	18.3601	[ 0.53635989]	[ 0.57638889]	[ 0.49084596]	[ 0.02668559]	9.34653	10 	2  	1.51844 
37 	18.6134	[ 0.53268139]	[ 0.57638889]	[ 0.49084596]	[ 0.02855597]	9.37624	10 	1  	1.34864 
38 	18.5414	[ 0.53410341]	[ 0.57638889]	[ 0.48895202]	[ 0.0273764] 	9.30693	10 	2  	1.46066 
39 	18.6854	[ 0.53626613]	[ 0.57638889]	[ 0.49147727]	[ 0.02780887]	9.54455	10 	2  	1.1901  
40 	17.9537	[ 0.5367693] 	[ 0.57638889]	[ 0.48958333]	[ 0.02659976]	9.31683	10 	2  	1.47541 
41 	17.7745	[ 0.53343147]	[ 0.57638889]	[ 0.48737374]	[ 0.02703347]	9.27723	10 	1  	1.52289 
42 	19.3704	[ 0.53414716]	[ 0.5770202] 	[ 0.4905303] 	[ 0.02639898]	9.52475	10 	2  	1.34675 
43 	20.247 	[ 0.53516914]	[ 0.5770202] 	[ 0.48989899]	[ 0.02696851]	9.43564	10 	1  	1.45164 
44 	20.2045	[ 0.53842572]	[ 0.5770202] 	[ 0.48989899]	[ 0.02761917]	9.52475	10 	1  	1.37585 
45 	18.4077	[ 0.53920705]	[ 0.5770202] 	[ 0.4905303] 	[ 0.02980975]	9.15842	10 	2  	1.82248 
46 	17.2366	[ 0.53875075]	[ 0.5770202] 	[ 0.48958333]	[ 0.02927023]	9.0099 	10 	1  	1.86948 
47 	18.3097	[ 0.5417823] 	[ 0.57733586]	[ 0.48737374]	[ 0.02889453]	9.39604	10 	2  	1.42175 
48 	17.6575	[ 0.54006026]	[ 0.57733586]	[ 0.48800505]	[ 0.02937449]	9.43564	10 	2  	1.43103 
49 	17.7271	[ 0.53826945]	[ 0.57828283]	[ 0.4905303] 	[ 0.03112904]	9.15842	10 	2  	1.58416 
50 	17.0837	[ 0.5369787] 	[ 0.57891414]	[ 0.4905303] 	[ 0.030206]  	8.93069	10 	2  	1.54316 
51 	17.9859	[ 0.54415754]	[ 0.57891414]	[ 0.48958333]	[ 0.02967743]	8.81188	10 	1  	1.6272  
52 	17.9582	[ 0.53664116]	[ 0.57891414]	[ 0.48958333]	[ 0.03191534]	8.75248	10 	1  	1.74858 
