   	       	                           fitness                           	               size              
   	       	-------------------------------------------------------------	---------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std      
0  	9.78648	[ 0.50254832]	[ 0.53383927]	[ 0.49557802]	[ 0.00737273]	2.62376	8  	1  	1.94911  
1  	13.0883	[ 0.5027701] 	[ 0.55518089]	[ 0.49241946]	[ 0.00910632]	4.32673	10 	1  	2.75433  
2  	18.0981	[ 0.50410714]	[ 0.55518089]	[ 0.4205921] 	[ 0.01464417]	5.35644	10 	1  	2.69427  
3  	20.6251	[ 0.51257026]	[ 0.56199314]	[ 0.49273531]	[ 0.01640307]	6.65347	10 	1  	2.2622   
4  	27.7525	[ 0.52562254]	[ 0.58610917]	[ 0.49740486]	[ 0.01700263]	7.67327	10 	1  	2.02513  
5  	29.7509	[ 0.53404677]	[ 0.58610917]	[ 0.46004849]	[ 0.01979132]	8.34653	10 	1  	1.79899  
6  	27.521 	[ 0.53989463]	[ 0.59312629]	[ 0.49399874]	[ 0.02249841]	8.61386	10 	3  	1.52192  
7  	32.3863	[ 0.55392026]	[ 0.68306841]	[ 0.49842072]	[ 0.03233576]	9.0396 	10 	1  	1.59778  
8  	36.9976	[ 0.56126668]	[ 0.68306841]	[ 0.5]       	[ 0.03784371]	9.49505	10 	6  	0.885793 
9  	40.3886	[ 0.5771904] 	[ 0.68306841]	[ 0.49842072]	[ 0.04296324]	9.72277	10 	5  	0.772277 
10 	43.6023	[ 0.59373062]	[ 0.7003039] 	[ 0.5]       	[ 0.05001622]	9.65347	10 	2  	1.29306  
11 	47.209 	[ 0.60449212]	[ 0.70907958]	[ 0.4578375] 	[ 0.05636191]	9.75248	10 	5  	0.825412 
12 	50.0084	[ 0.6300795] 	[ 0.71072715]	[ 0.49620973]	[ 0.06229008]	9.61386	10 	1  	1.42794  
13 	53.5516	[ 0.6602748] 	[ 0.74594082]	[ 0.5]       	[ 0.0539202] 	9.74257	10 	6  	0.574257 
14 	56.2018	[ 0.65762937]	[ 0.74594082]	[ 0.46945587]	[ 0.07152612]	9.56436	10 	5  	0.695329 
15 	53.8841	[ 0.66866954]	[ 0.74594082]	[ 0.49465606]	[ 0.07552771]	9.36634	10 	4  	0.817177 
16 	52.5783	[ 0.68581721]	[ 0.76198119]	[ 0.49305117]	[ 0.06832654]	9.38614	10 	2  	0.911644 
17 	46.1998	[ 0.69415929]	[ 0.77114101]	[ 0.47520957]	[ 0.06624893]	9.31683	10 	1  	1.08025  
18 	41.4865	[ 0.6873659] 	[ 0.77114101]	[ 0.4921036] 	[ 0.08286198]	9.17822	10 	6  	0.569802 
19 	41.707 	[ 0.70074088]	[ 0.77114101]	[ 0.49652558]	[ 0.07389235]	9.0495 	10 	2  	1.01841  
20 	42.4721	[ 0.70735408]	[ 0.77177272]	[ 0.49589387]	[ 0.06571325]	9.27723	10 	8  	0.469228 
21 	42.4009	[ 0.71494721]	[ 0.773352]  	[ 0.49305117]	[ 0.06606022]	9.29703	10 	6  	0.605986 
22 	40.1656	[ 0.70763148]	[ 0.773352]  	[ 0.49244507]	[ 0.07516509]	9.30693	10 	1  	0.962079 
23 	33.2605	[ 0.71878127]	[ 0.773352]  	[ 0.4921036] 	[ 0.07154233]	9.23762	10 	1  	1.20353  
24 	32.1674	[ 0.69592883]	[ 0.773352]  	[ 0.5]       	[ 0.08859728]	9.34653	10 	1  	0.999363 
25 	33.634 	[ 0.70876499]	[ 0.773352]  	[ 0.49147189]	[ 0.08253162]	9.40594	10 	8  	0.510837 
26 	32.065 	[ 0.69298834]	[ 0.773352]  	[ 0.4921036] 	[ 0.10133214]	9.0495 	10 	1  	1.1805   
27 	32.3549	[ 0.70701532]	[ 0.773352]  	[ 0.49336702]	[ 0.09070022]	9.14851	10 	5  	0.619584 
28 	32.7401	[ 0.7135953] 	[ 0.773352]  	[ 0.49336702]	[ 0.08185525]	9.19802	10 	3  	0.832743 
