   	       	                           fitness                           	              size              
   	       	-------------------------------------------------------------	--------------------------------
gen	time   	avg          	max          	min          	std          	avg    	max	min	std     
0  	2.26336	[ 0.54413013]	[ 0.66057143]	[ 0.42]      	[ 0.05333441]	2.64356	8  	1  	2.01275 
1  	3.13308	[ 0.55666195]	[ 0.68514286]	[ 0.38057143]	[ 0.06006792]	4.32673	10 	1  	2.64429 
2  	3.32645	[ 0.56854314]	[ 0.70685714]	[ 0.41771429]	[ 0.06699529]	5.32673	10 	1  	2.79713 
3  	3.78109	[ 0.58156719]	[ 0.70685714]	[ 0.45828571]	[ 0.06348503]	6.21782	10 	1  	2.82704 
4  	3.63975	[ 0.5995983] 	[ 0.70685714]	[ 0.44628571]	[ 0.05707014]	6.79208	10 	1  	2.40592 
5  	3.77714	[ 0.60993494]	[ 0.70685714]	[ 0.37485714]	[ 0.06213774]	7.16832	10 	1  	2.06369 
6  	4.24654	[ 0.63210184]	[ 0.708]     	[ 0.43828571]	[ 0.05555441]	7.77228	10 	2  	1.36346 
7  	4.30166	[ 0.64094484]	[ 0.72971429]	[ 0.51542857]	[ 0.05014687]	7.88119	10 	1  	1.32968 
8  	4.31341	[ 0.63781612]	[ 0.72971429]	[ 0.44914286]	[ 0.05383209]	8.11881	10 	2  	1.34449 
9  	4.75869	[ 0.63426874]	[ 0.72971429]	[ 0.41314286]	[ 0.06253529]	8.26733	10 	2  	1.38515 
10 	4.51786	[ 0.63648091]	[ 0.72971429]	[ 0.464]     	[ 0.05428257]	8.39604	10 	3  	1.18638 
11 	3.82976	[ 0.63679208]	[ 0.72971429]	[ 0.408]     	[ 0.05356704]	8.52475	10 	3  	1.14834 
12 	3.92611	[ 0.64315134]	[ 0.73142857]	[ 0.45942857]	[ 0.06066378]	8.65347	10 	1  	1.47209 
13 	4.39626	[ 0.63464781]	[ 0.73142857]	[ 0.45142857]	[ 0.06620479]	8.79208	10 	1  	1.33733 
14 	5.03182	[ 0.6411768] 	[ 0.73314286]	[ 0.45257143]	[ 0.06064274]	8.81188	10 	1  	1.4192  
15 	4.31352	[ 0.64240453]	[ 0.73314286]	[ 0.43428571]	[ 0.06209721]	8.91089	10 	2  	1.53571 
16 	4.21669	[ 0.638314]  	[ 0.73314286]	[ 0.472]     	[ 0.06723124]	9.18812	10 	5  	0.940959
17 	4.17641	[ 0.63437624]	[ 0.73314286]	[ 0.43085714]	[ 0.06483067]	9.0297 	10 	1  	1.49226 
18 	4.60197	[ 0.64129562]	[ 0.73314286]	[ 0.46171429]	[ 0.06220746]	9.33663	10 	6  	0.893067
19 	4.55209	[ 0.64077511]	[ 0.73314286]	[ 0.42457143]	[ 0.06769022]	9.22772	10 	3  	1.10696 
20 	4.46315	[ 0.63338614]	[ 0.74342857]	[ 0.43257143]	[ 0.06611505]	9.25743	10 	1  	1.23203 
21 	4.51616	[ 0.65557001]	[ 0.74342857]	[ 0.42228571]	[ 0.06016868]	9.40594	10 	6  	0.785742
22 	4.85308	[ 0.64749081]	[ 0.772]     	[ 0.45657143]	[ 0.06920672]	9.34653	10 	3  	1.04773 
23 	4.85512	[ 0.64604809]	[ 0.772]     	[ 0.48514286]	[ 0.06881119]	9.19802	10 	2  	1.14338 
24 	3.91435	[ 0.65642999]	[ 0.772]     	[ 0.424]     	[ 0.07849312]	9      	10 	1  	1.39305 
25 	4.17409	[ 0.67677511]	[ 0.772]     	[ 0.388]     	[ 0.06656361]	9.0198 	10 	3  	0.943767
26 	4.16356	[ 0.6841471] 	[ 0.77885714]	[ 0.44628571]	[ 0.0676917] 	8.9505 	10 	3  	0.905169
27 	4.16192	[ 0.67959264]	[ 0.77885714]	[ 0.48571429]	[ 0.07682469]	8.90099	10 	3  	0.838492
28 	4.52788	[ 0.68883734]	[ 0.78]      	[ 0.49942857]	[ 0.08347067]	8.69307	10 	2  	1.34784 
29 	4.21287	[ 0.69287694]	[ 0.78]      	[ 0.45657143]	[ 0.09018767]	8.89109	10 	3  	0.984041
30 	4.00069	[ 0.70846393]	[ 0.78285714]	[ 0.46457143]	[ 0.07872706]	9.0495 	10 	6  	0.514661
31 	4.42205	[ 0.7044413] 	[ 0.78285714]	[ 0.46228571]	[ 0.0847274] 	9.09901	10 	7  	0.571691
32 	4.24425	[ 0.70732673]	[ 0.78342857]	[ 0.452]     	[ 0.08529635]	8.92079	10 	4  	0.919354
33 	4.0095 	[ 0.70776803]	[ 0.78342857]	[ 0.45085714]	[ 0.08422664]	8.84158	10 	2  	1.23266 
34 	4.24574	[ 0.7090297] 	[ 0.78342857]	[ 0.50114286]	[ 0.08252202]	8.81188	10 	3  	1.05035 
35 	4.58129	[ 0.71844979]	[ 0.78342857]	[ 0.50228571]	[ 0.0744233] 	8.92079	10 	4  	0.930061
36 	4.04406	[ 0.72044696]	[ 0.78342857]	[ 0.44571429]	[ 0.08087745]	8.89109	10 	5  	0.702203
37 	4.34032	[ 0.70629137]	[ 0.78342857]	[ 0.44514286]	[ 0.0881084] 	8.76238	10 	3  	1.10935 
38 	4.45712	[ 0.70714003]	[ 0.78342857]	[ 0.45542857]	[ 0.08535664]	8.90099	10 	5  	0.764367
39 	3.79593	[ 0.70008487]	[ 0.78342857]	[ 0.45885714]	[ 0.09052436]	8.77228	10 	1  	1.43424 
40 	4.26964	[ 0.71219802]	[ 0.78342857]	[ 0.49257143]	[ 0.07824358]	9.0396 	10 	3  	0.963911
41 	4.22358	[ 0.73493635]	[ 0.78342857]	[ 0.51371429]	[ 0.06571589]	9.0396 	10 	5  	0.702482
42 	3.87677	[ 0.71938897]	[ 0.78342857]	[ 0.46171429]	[ 0.08410684]	9.10891	10 	6  	0.687959
43 	4.21956	[ 0.73272419]	[ 0.78342857]	[ 0.42114286]	[ 0.07923542]	9.35644	10 	7  	0.573061
44 	4.67539	[ 0.72644413]	[ 0.78628571]	[ 0.]        	[ 0.10724536]	9.31683	10 	7  	0.579017
45 	4.56669	[ 0.72630835]	[ 0.78628571]	[ 0.50514286]	[ 0.07091839]	9.27723	10 	6  	0.582225
46 	4.66298	[ 0.73381612]	[ 0.78628571]	[ 0.52457143]	[ 0.06605806]	9.32673	10 	5  	0.732673
47 	4.29164	[ 0.73947949]	[ 0.78628571]	[ 0.46857143]	[ 0.06917883]	9.38614	10 	5  	0.674431
48 	4.29641	[ 0.73363508]	[ 0.78628571]	[ 0.52285714]	[ 0.07077821]	9.36634	10 	5  	0.699686
49 	4.38242	[ 0.71661669]	[ 0.78628571]	[ 0.]        	[ 0.10532141]	9.31683	10 	4  	0.866662
50 	4.10219	[ 0.72506931]	[ 0.78628571]	[ 0.47942857]	[ 0.07701225]	9.39604	10 	3  	0.879685
51 	4.69887	[ 0.73363508]	[ 0.78628571]	[ 0.48285714]	[ 0.07171385]	9.52475	10 	8  	0.518835
52 	4.49071	[ 0.74175389]	[ 0.78628571]	[ 0.50228571]	[ 0.06322639]	9.42574	10 	6  	0.634745
53 	4.49761	[ 0.73714286]	[ 0.78628571]	[ 0.44171429]	[ 0.07043815]	9.46535	10 	9  	0.498798
54 	4.57141	[ 0.7407355] 	[ 0.78628571]	[ 0.48857143]	[ 0.06470117]	9.48515	10 	6  	0.623212
55 	4.87953	[ 0.7371768] 	[ 0.78742857]	[ 0.49771429]	[ 0.07280002]	9.40594	10 	5  	0.822676
56 	4.50513	[ 0.74057143]	[ 0.78742857]	[ 0.52571429]	[ 0.06522573]	9.56436	10 	7  	0.552507
57 	4.16094	[ 0.73523621]	[ 0.78742857]	[ 0.44571429]	[ 0.07594122]	9.45545	10 	7  	0.605662
58 	4.59496	[ 0.73409335]	[ 0.78742857]	[ 0.50171429]	[ 0.07764667]	9.39604	10 	5  	0.704711
59 	4.05871	[ 0.74136351]	[ 0.78742857]	[ 0.50171429]	[ 0.06311676]	9.39604	10 	7  	0.614659
60 	4.26889	[ 0.73984158]	[ 0.78742857]	[ 0.45428571]	[ 0.07411056]	9.43564	10 	5  	0.750127
61 	4.26965	[ 0.73373692]	[ 0.78742857]	[ 0.49028571]	[ 0.07937562]	9.52475	10 	8  	0.518835
62 	4.33254	[ 0.74381895]	[ 0.788]     	[ 0.424]     	[ 0.06583321]	9.60396	10 	9  	0.489073
63 	4.48898	[ 0.74076945]	[ 0.78742857]	[ 0.45771429]	[ 0.07600093]	9.57426	10 	7  	0.551264
64 	4.60622	[ 0.73420651]	[ 0.78742857]	[ 0.45714286]	[ 0.07800574]	9.50495	10 	7  	0.607279
65 	4.2652 	[ 0.72870721]	[ 0.788]     	[ 0.46457143]	[ 0.08159375]	9.39604	10 	6  	0.809342
66 	4.47866	[ 0.73003678]	[ 0.788]     	[ 0.48114286]	[ 0.08089507]	9.52475	10 	7  	0.555692
67 	4.58491	[ 0.73408769]	[ 0.788]     	[ 0.47371429]	[ 0.07497193]	9.58416	10 	7  	0.617682
68 	4.3092 	[ 0.72592362]	[ 0.788]     	[ 0.484]     	[ 0.0825327] 	9.61386	10 	8  	0.506791
69 	4.26685	[ 0.7236662] 	[ 0.788]     	[ 0.]        	[ 0.10511937]	9.53465	10 	7  	0.589753
70 	5.34119	[ 0.72281754]	[ 0.788]     	[ 0.43942857]	[ 0.08446931]	9.55446	10 	7  	0.553571
71 	4.86867	[ 0.7181273] 	[ 0.788]     	[ 0.46171429]	[ 0.083536]  	9.47525	10 	6  	0.606794
72 	4.47079	[ 0.72738331]	[ 0.788]     	[ 0.484]     	[ 0.07636488]	9.52475	10 	7  	0.622897
73 	4.71884	[ 0.73809335]	[ 0.788]     	[ 0.508]     	[ 0.06473828]	9.40594	10 	7  	0.706101
74 	4.88329	[ 0.7330297] 	[ 0.788]     	[ 0.46285714]	[ 0.07877572]	9.32673	10 	5  	0.797383
75 	4.48623	[ 0.73403678]	[ 0.788]     	[ 0.49142857]	[ 0.07539965]	9.40594	10 	5  	0.746984
76 	4.69902	[ 0.74387553]	[ 0.788]     	[ 0.47885714]	[ 0.06498771]	9.48515	10 	6  	0.669178
77 	4.27513	[ 0.72693069]	[ 0.788]     	[ 0.48742857]	[ 0.0806419] 	9.45545	10 	5  	0.790097
78 	4.5736 	[ 0.72727016]	[ 0.788]     	[ 0.43828571]	[ 0.08204625]	9.48515	10 	5  	0.752736
79 	4.80503	[ 0.71825177]	[ 0.788]     	[ 0.472]     	[ 0.08381916]	9.45545	10 	6  	0.790097
80 	4.37926	[ 0.72681754]	[ 0.788]     	[ 0.53542857]	[ 0.07192737]	9.60396	10 	8  	0.508915
81 	5.34059	[ 0.71957567]	[ 0.788]     	[ 0.49142857]	[ 0.08023617]	9.48515	10 	6  	0.712183
82 	5.19583	[ 0.73606789]	[ 0.788]     	[ 0.49828571]	[ 0.07090897]	9.57426	10 	7  	0.551264
83 	5.12722	[ 0.74577652]	[ 0.788]     	[ 0.48742857]	[ 0.06911262]	9.58416	10 	8  	0.531527
84 	4.36695	[ 0.72668175]	[ 0.788]     	[ 0.50914286]	[ 0.07749419]	9.47525	10 	6  	0.7392  
85 	4.73535	[ 0.72606506]	[ 0.788]     	[ 0.46857143]	[ 0.07974974]	9.49505	10 	6  	0.639055
86 	4.75585	[ 0.73782744]	[ 0.788]     	[ 0.48342857]	[ 0.06854757]	9.41584	10 	4  	0.892957
87 	3.85652	[ 0.73376521]	[ 0.788]     	[ 0.49314286]	[ 0.07483233]	9.38614	10 	4  	0.954098
88 	4.17294	[ 0.72915417]	[ 0.788]     	[ 0.496]     	[ 0.06898559]	9.40594	10 	8  	0.510837
89 	4.32535	[ 0.71934936]	[ 0.788]     	[ 0.48857143]	[ 0.07866048]	9.43564	10 	8  	0.515422
90 	3.77315	[ 0.73447808]	[ 0.788]     	[ 0.53314286]	[ 0.07382104]	9.50495	10 	4  	0.778724
91 	3.76241	[ 0.72986139]	[ 0.788]     	[ 0.53028571]	[ 0.07195633]	9.44554	10 	4  	0.789476
92 	4.22076	[ 0.71552475]	[ 0.788]     	[ 0.50514286]	[ 0.08114848]	9.55446	10 	9  	0.497026
93 	4.25307	[ 0.71168883]	[ 0.788]     	[ 0.43428571]	[ 0.088545]  	9.35644	10 	4  	1.08622 
94 	4.62597	[ 0.72702122]	[ 0.788]     	[ 0.50628571]	[ 0.07852042]	9.54455	10 	7  	0.554455
95 	4.87637	[ 0.73029137]	[ 0.788]     	[ 0.45085714]	[ 0.0753762] 	9.44554	10 	4  	0.979748
96 	4.29316	[ 0.74214427]	[ 0.788]     	[ 0.52571429]	[ 0.0657406] 	9.57426	10 	6  	0.602742
97 	3.914  	[ 0.72035078]	[ 0.788]     	[ 0.49885714]	[ 0.07808485]	9.48515	10 	4  	0.765776
98 	4.25156	[ 0.72393211]	[ 0.788]     	[ 0.53542857]	[ 0.07623729]	9.65347	10 	8  	0.496236
99 	4.50429	[ 0.74244979]	[ 0.788]     	[ 0.51942857]	[ 0.06226172]	9.63366	10 	6  	0.670788
100	4.52212	[ 0.73864781]	[ 0.788]     	[ 0.44857143]	[ 0.07205892]	9.56436	10 	3  	0.95871 
101	4.37889	[ 0.73982461]	[ 0.788]     	[ 0.58]      	[ 0.06534898]	9.70297	10 	8  	0.478127
102	4.31663	[ 0.72626308]	[ 0.788]     	[ 0.45028571]	[ 0.08142985]	9.67327	10 	6  	0.631028
103	4.13232	[ 0.73715417]	[ 0.788]     	[ 0.48114286]	[ 0.07196465]	9.59406	10 	6  	0.733609
104	4.32828	[ 0.73837058]	[ 0.788]     	[ 0.52914286]	[ 0.07209053]	9.62376	10 	4  	0.729186
105	4.55334	[ 0.74317397]	[ 0.788]     	[ 0.54057143]	[ 0.06433281]	9.70297	10 	9  	0.45695 
106	4.11544	[ 0.73650919]	[ 0.788]     	[ 0.52857143]	[ 0.06556748]	9.71287	10 	5  	0.650006
107	4.72153	[ 0.72155021]	[ 0.788]     	[ 0.46457143]	[ 0.08331916]	9.73267	10 	6  	0.57834 
108	4.56989	[ 0.71261669]	[ 0.788]     	[ 0.47085714]	[ 0.09055094]	9.52475	10 	4  	0.896573
109	4.42743	[ 0.73048939]	[ 0.788]     	[ 0.496]     	[ 0.07509771]	9.68317	10 	4  	0.716575
110	4.03329	[ 0.73536634]	[ 0.788]     	[ 0.45028571]	[ 0.08102092]	9.74257	10 	4  	0.698704
111	4.46771	[ 0.73202263]	[ 0.788]     	[ 0.49142857]	[ 0.0763784] 	9.79208	10 	9  	0.40582 
112	4.80853	[ 0.7314512] 	[ 0.788]     	[ 0.53714286]	[ 0.07054372]	9.62376	10 	7  	0.56026 
113	4.29169	[ 0.73232815]	[ 0.788]     	[ 0.51428571]	[ 0.07286871]	9.61386	10 	7  	0.544464
114	4.30169	[ 0.72329844]	[ 0.788]     	[ 0.46571429]	[ 0.081976]  	9.66337	10 	9  	0.472558
115	4.32022	[ 0.7393041] 	[ 0.788]     	[ 0.48057143]	[ 0.06420208]	9.72277	10 	8  	0.469228
116	4.54435	[ 0.74217822]	[ 0.788]     	[ 0.46457143]	[ 0.07039521]	9.70297	10 	5  	0.653165
117	4.22608	[ 0.74483734]	[ 0.788]     	[ 0.51885714]	[ 0.0634271] 	9.51485	10 	3  	1.04941 
118	4.15304	[ 0.73592079]	[ 0.788]     	[ 0.52057143]	[ 0.06806014]	9.58416	10 	6  	0.601439
119	4.61159	[ 0.73267893]	[ 0.788]     	[ 0.44171429]	[ 0.07953726]	9.59406	10 	5  	0.719986
