   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	18.5588	[0.50501378]	[0.70607805]	[0.31836872]	[0.04791088]	2.61386	10 	1  	2.08707  
1  	21.1023	[0.50549899]	[0.70607805]	[0.35223535]	[0.0495672] 	3.42574	10 	1  	2.50286  
2  	23.6622	[0.51151316]	[0.70607805]	[0.30835078]	[0.06338039]	4.12871	10 	1  	2.65383  
3  	23.5663	[0.50908195]	[0.70607805]	[0.29392195]	[0.06534679]	3.9703 	10 	1  	2.7048   
4  	26.555 	[0.52008881]	[0.70607805]	[0.30711722]	[0.0716538] 	5.0198 	10 	1  	2.78959  
5  	33.2168	[0.52707561]	[0.70607805]	[0.30236992]	[0.08319792]	5.9604 	10 	1  	2.71016  
6  	36.9374	[0.52042967]	[0.71508672]	[0.29392195]	[0.09245871]	6.68317	10 	1  	2.62105  
7  	42.1119	[0.52541089]	[0.71508672]	[0.28857656]	[0.09089038]	7.40594	10 	2  	2.42584  
8  	40.1166	[0.54525839]	[0.71508672]	[0.29089414]	[0.08770695]	7.44554	10 	1  	2.53481  
9  	40.8241	[0.54207403]	[0.71508672]	[0.28491328]	[0.08082508]	7.73267	10 	1  	2.33735  
10 	43.1894	[0.5432591] 	[0.71508672]	[0.31182715]	[0.08941454]	8.41584	10 	1  	2.05502  
11 	50.577 	[0.53266675]	[0.71508672]	[0.28491328]	[0.09646633]	8.48515	10 	1  	2.0422   
12 	51.8858	[0.54191821]	[0.71508672]	[0.29814593]	[0.08713079]	8.41584	10 	2  	2.10735  
13 	51.9388	[0.53729933]	[0.71508672]	[0.32420006]	[0.09543291]	8.9802 	10 	2  	1.5857   
14 	51.6756	[0.55141949]	[0.71508672]	[0.28491328]	[0.09767544]	9.20792	10 	3  	1.22932  
15 	54.6227	[0.5396332] 	[0.71508672]	[0.33724581]	[0.11425927]	9.18812	10 	2  	1.48065  
16 	55.2849	[0.5292681] 	[0.71508672]	[0.33130233]	[0.12615566]	9.27723	10 	3  	1.38677  
17 	47.846 	[0.54965447]	[0.71508672]	[0.33604964]	[0.122058]  	8.91089	10 	1  	2.06862  
18 	45.9019	[0.53982343]	[0.71508672]	[0.33425538]	[0.11924646]	8.69307	10 	1  	2.26791  
19 	46.9852	[0.54027903]	[0.71508672]	[0.28670754]	[0.1198352] 	8.71287	10 	2  	2.30082  
20 	48.4154	[0.51875089]	[0.71508672]	[0.31418212]	[0.13179299]	9.07921	10 	1  	1.99347  
21 	49.805 	[0.52783025]	[0.71508672]	[0.33545156]	[0.12803224]	9.36634	10 	3  	1.53328  
22 	47.3854	[0.54632873]	[0.71508672]	[0.28491328]	[0.1237163] 	8.94059	10 	2  	2.10526  
23 	48.1566	[0.52698271]	[0.71508672]	[0.29754785]	[0.13475625]	8.67327	10 	1  	2.47806  
