   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	6.63614	[0.50423964]	[0.53019417]	[0.47985437]	[0.01069789]	2.32673	7  	1  	1.78613  
1  	8.83962	[0.50706046]	[0.55718447]	[0.48194175]	[0.0142733] 	3.51485	10 	1  	2.45197  
2  	11.6709	[0.51148707]	[0.5638835] 	[0.48558252]	[0.01550972]	4.89109	10 	1  	2.98146  
3  	13.7646	[0.51805345]	[0.5638835] 	[0.4876699] 	[0.01720062]	5.63366	10 	1  	2.5822   
4  	14.1007	[0.52693454]	[0.58291262]	[0.48228155]	[0.02193601]	6.36634	10 	1  	2.37863  
5  	16.7789	[0.53597856]	[0.58461165]	[0.48106796]	[0.02237649]	7.56436	10 	3  	1.69692  
6  	16.7484	[0.54351101]	[0.58864078]	[0.49048544]	[0.02208289]	7.89109	10 	2  	1.66443  
7  	16.6973	[0.55075988]	[0.59169903]	[0.49669903]	[0.02058217]	8.33663	10 	5  	1.48442  
8  	17.0468	[0.55623234]	[0.59169903]	[0.49645631]	[0.02005015]	8.58416	10 	3  	1.62449  
9  	18.0004	[0.56141161]	[0.59485437]	[0.49912621]	[0.01942188]	8.66337	10 	5  	1.57504  
10 	18.101 	[0.56414976]	[0.59485437]	[0.4865534] 	[0.02031061]	9.0396 	10 	4  	1.44825  
11 	18.3799	[0.56180285]	[0.60509709]	[0.48485437]	[0.02347579]	9.0198 	10 	1  	1.72908  
12 	18.9998	[0.5698659] 	[0.61082524]	[0.50572816]	[0.01953066]	9.29703	10 	6  	1.22308  
13 	18.5938	[0.57092041]	[0.61121359]	[0.48669903]	[0.02445659]	9.18812	10 	3  	1.46045  
14 	19.7168	[0.57462751]	[0.61121359]	[0.49912621]	[0.0229331] 	9.40594	10 	6  	1.19552  
15 	20.0407	[0.57722965]	[0.62033981]	[0.50572816]	[0.02350867]	9.50495	10 	6  	1.10466  
16 	20.3578	[0.57778189]	[0.62033981]	[0.50509709]	[0.02296036]	9.61386	10 	6  	0.933113 
17 	20.6768	[0.58140392]	[0.62033981]	[0.49412621]	[0.02278235]	9.86139	10 	7  	0.422855 
18 	20.4858	[0.58571998]	[0.62533981]	[0.50509709]	[0.01980813]	9.86139	10 	7  	0.48807  
19 	20.6929	[0.58622945]	[0.64009709]	[0.49864078]	[0.02437529]	9.91089	10 	8  	0.317759 
20 	20.9226	[0.58993848]	[0.64485437]	[0.50242718]	[0.0256628] 	9.84158	10 	7  	0.521473 
21 	20.28  	[0.59853936]	[0.64839806]	[0.49048544]	[0.02785455]	9.70297	10 	4  	0.850679 
22 	20.3344	[0.60652023]	[0.64839806]	[0.52742718]	[0.02580243]	9.91089	10 	8  	0.347523 
23 	20.3745	[0.61239306]	[0.64912621]	[0.52849515]	[0.02939945]	9.84158	10 	5  	0.685532 
24 	19.4761	[0.61953523]	[0.6526699] 	[0.51509709]	[0.02497415]	9.93069	10 	9  	0.253975 
25 	19.7004	[0.6209579] 	[0.6526699] 	[0.53742718]	[0.02581326]	9.83168	10 	5  	0.661072 
26 	19.8088	[0.61830145]	[0.65485437]	[0.49645631]	[0.0330422] 	9.82178	10 	5  	0.722976 
27 	20.2841	[0.62001634]	[0.65485437]	[0.51131068]	[0.02750886]	9.90099	10 	7  	0.410384 
28 	19.6806	[0.61983803]	[0.65485437]	[0.52995146]	[0.02914643]	9.81188	10 	5  	0.779856 
29 	19.4081	[0.61465491]	[0.65485437]	[0.50315534]	[0.03223002]	9.80198	10 	2  	0.856192 
30 	20.9399	[0.61649236]	[0.65558252]	[0.48339806]	[0.03123727]	9.87129	10 	7  	0.500759 
31 	20.3019	[0.61834711]	[0.65791262]	[0.51854369]	[0.02920439]	9.87129	10 	5  	0.654964 
32 	19.6575	[0.61574546]	[0.65815534]	[0.51131068]	[0.03130808]	9.89109	10 	7  	0.442786 
33 	19.9064	[0.62133375]	[0.65864078]	[0.49131068]	[0.02933355]	9.82178	10 	2  	1.12043  
34 	20.1711	[0.61937758]	[0.65815534]	[0.49645631]	[0.0296559] 	9.84158	10 	5  	0.852866 
35 	19.5197	[0.62110497]	[0.65815534]	[0.52436893]	[0.02653222]	9.85149	10 	7  	0.551975 
36 	20.005 	[0.61905941]	[0.65815534]	[0.51985437]	[0.03115144]	9.78218	10 	7  	0.669032 
37 	19.8249	[0.6200942] 	[0.65912621]	[0.51048544]	[0.02945151]	9.77228	10 	7  	0.701924 
38 	20.0101	[0.61523407]	[0.65912621]	[0.51815534]	[0.03080941]	9.71287	10 	5  	0.882578 
39 	20.3123	[0.61458233]	[0.65912621]	[0.48276699]	[0.03398081]	9.68317	10 	2  	1.15124  
40 	19.8181	[0.61848409]	[0.65912621]	[0.51679612]	[0.02925783]	9.83168	10 	5  	0.80922  
41 	19.6345	[0.61809094]	[0.65912621]	[0.50485437]	[0.02727129]	9.85149	10 	7  	0.586754 
42 	19.5373	[0.61452658]	[0.65912621]	[0.49776699]	[0.03417627]	9.75248	10 	2  	1.06619  
43 	19.7691	[0.62118668]	[0.65912621]	[0.5342233] 	[0.02800998]	9.9604 	10 	9  	0.195027 
44 	19.8094	[0.62028069]	[0.65912621]	[0.51228155]	[0.02886131]	9.9505 	10 	8  	0.258566 
45 	20.2602	[0.62425935]	[0.66009709]	[0.54558252]	[0.02028186]	9.9604 	10 	8  	0.240494 
46 	20.7459	[0.61279342]	[0.66009709]	[0.51485437]	[0.03275333]	9.88119	10 	7  	0.405095 
47 	19.8822	[0.6191488] 	[0.66009709]	[0.52461165]	[0.02855804]	9.84158	10 	7  	0.502128 
48 	19.7007	[0.61847063]	[0.66009709]	[0.52252427]	[0.03088788]	9.73267	10 	7  	0.743168 
49 	19.4898	[0.61212246]	[0.66009709]	[0.50072816]	[0.03593176]	9.66337	10 	6  	0.925729 
50 	19.4317	[0.61619725]	[0.66009709]	[0.52509709]	[0.03287115]	9.67327	10 	5  	0.913148 
51 	19.5799	[0.61950399]	[0.66009709]	[0.51121359]	[0.02780029]	9.70297	10 	7  	0.697159 
52 	20.025 	[0.62383447]	[0.66009709]	[0.5215534] 	[0.02360686]	9.76238	10 	7  	0.615775 
53 	20.2549	[0.6212184] 	[0.66009709]	[0.53364078]	[0.02730312]	9.75248	10 	7  	0.55233  
54 	20.2072	[0.62227531]	[0.66009709]	[0.5323301] 	[0.02646573]	9.74257	10 	7  	0.538672 
55 	19.7599	[0.62165818]	[0.66009709]	[0.53276699]	[0.02774439]	9.60396	10 	5  	0.797014 
56 	20.0854	[0.61833173]	[0.65364078]	[0.52776699]	[0.02843714]	9.79208	10 	8  	0.429525 
57 	19.7696	[0.62050226]	[0.65533981]	[0.51791262]	[0.02453781]	9.62376	10 	6  	0.806551 
58 	19.6373	[0.6194218] 	[0.65533981]	[0.53082524]	[0.02854803]	9.67327	10 	5  	0.676463 
59 	20.2864	[0.62011391]	[0.65533981]	[0.52009709]	[0.02900378]	9.65347	10 	7  	0.636134 
60 	20.093 	[0.62091176]	[0.6538835] 	[0.50839806]	[0.02682778]	9.67327	10 	6  	0.661665 
61 	20.1622	[0.62447611]	[0.65485437]	[0.53276699]	[0.02240004]	9.75248	10 	6  	0.569974 
62 	20.8175	[0.6184889] 	[0.65679612]	[0.52475728]	[0.02533143]	9.76238	10 	7  	0.52931  
63 	20.3037	[0.6224118] 	[0.65679612]	[0.55058252]	[0.02302981]	9.80198	10 	8  	0.467134 
64 	20.1448	[0.61539219]	[0.65679612]	[0.49291262]	[0.03039259]	9.53465	10 	5  	0.896245 
65 	20.3681	[0.62217533]	[0.65679612]	[0.52131068]	[0.02439273]	9.67327	10 	7  	0.661665 
66 	20.3843	[0.62263578]	[0.65679612]	[0.53485437]	[0.02364538]	9.71287	10 	6  	0.618792 
67 	20.0868	[0.62024464]	[0.65679612]	[0.5226699] 	[0.02927829]	9.66337	10 	7  	0.721347 
68 	19.9885	[0.61623138]	[0.65679612]	[0.49825243]	[0.03252231]	9.78218	10 	4  	0.791088 
69 	20.2874	[0.61768]   	[0.65679612]	[0.49839806]	[0.03000179]	9.84158	10 	5  	0.685532 
70 	20.1939	[0.61360857]	[0.65679612]	[0.5126699] 	[0.0315121] 	9.88119	10 	6  	0.550196 
71 	20.3487	[0.61850812]	[0.65679612]	[0.53703883]	[0.02682213]	9.81188	10 	7  	0.575281 
72 	20.1553	[0.62193117]	[0.65679612]	[0.53325243]	[0.02482896]	9.78218	10 	7  	0.590418 
73 	20.2251	[0.6238138] 	[0.65679612]	[0.52985437]	[0.02209578]	9.72277	10 	7  	0.719169 
74 	19.9301	[0.62377391]	[0.65679612]	[0.5138835] 	[0.025981]  	9.79208	10 	7  	0.649704 
75 	19.9742	[0.62185187]	[0.65679612]	[0.52203883]	[0.03005199]	9.75248	10 	5  	0.763083 
76 	20.0756	[0.62083918]	[0.65718447]	[0.48985437]	[0.02865169]	9.64356	10 	5  	0.862694 
