   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	208.817	[0.53251967]	[0.59184272]	[0.49828674]	[0.02351002]	2.43564	10 	1  	1.84238  
1  	280.255	[0.54427058]	[0.59589329]	[0.49675518]	[0.02549738]	3.76238	10 	1  	2.6853   
2  	425.065	[0.55472558]	[0.59976263]	[0.4990141] 	[0.03082504]	5.38614	10 	1  	3.20881  
3  	596.072	[0.57261204]	[0.60626816]	[0.49727638]	[0.02481465]	7.45545	10 	1  	2.683    
4  	720.126	[0.58439475]	[0.613577]  	[0.4990141] 	[0.01876563]	8.65347	10 	3  	1.64368  
5  	789.254	[0.59370623]	[0.613577]  	[0.50707489]	[0.01113029]	9.0495 	10 	3  	0.947913 
6  	842.455	[0.59386907]	[0.613577]  	[0.54788196]	[0.01239625]	8.87129	10 	3  	1.24012  
7  	887.099	[0.59841528]	[0.613577]  	[0.56514682]	[0.00778399]	8.91089	10 	8  	0.772023 
8  	929.334	[0.60037669]	[0.62253614]	[0.5392375] 	[0.01015604]	8.69307	10 	5  	0.88712  
9  	941.259	[0.60286077]	[0.6292366] 	[0.56365447]	[0.00938099]	8.72277	10 	8  	0.784993 
10 	916.469	[0.60467015]	[0.6292366] 	[0.50040994]	[0.01434109]	8.89109	10 	2  	0.963708 
11 	923.592	[0.60844926]	[0.62924346]	[0.52767745]	[0.01369521]	8.87129	10 	5  	0.816457 
12 	885.43 	[0.61035581]	[0.62924346]	[0.50417716]	[0.02161449]	8.9802 	10 	4  	1.06222  
13 	879.973	[0.61519561]	[0.63282844]	[0.50417716]	[0.01778634]	9.21782	10 	4  	0.950289 
14 	863.844	[0.61558343]	[0.6306775] 	[0.50186578]	[0.01916781]	9.25743	10 	3  	0.804116 
15 	860.426	[0.6153469] 	[0.63170741]	[0.50417716]	[0.02249642]	9.16832	10 	4  	1.01542  
16 	881.605	[0.61848067]	[0.63170741]	[0.50417716]	[0.01962503]	9.27723	10 	4  	0.996219 
17 	869.922	[0.61723568]	[0.63170741]	[0.50371382]	[0.01792646]	9.36634	10 	5  	0.767183 
18 	865.84 	[0.61896767]	[0.63503523]	[0.50672368]	[0.01602663]	9.26733	10 	1  	1.24193  
19 	889.701	[0.61694031]	[0.63503523]	[0.50205756]	[0.02075768]	9.32673	10 	1  	1.30581  
20 	927.796	[0.61790141]	[0.63503523]	[0.50417716]	[0.019077]  	9.50495	10 	4  	0.950495 
21 	926.876	[0.61937958]	[0.63503523]	[0.49827248]	[0.01664795]	9.66337	10 	7  	0.550018 
22 	909.21 	[0.61983137]	[0.63596987]	[0.50184521]	[0.01896107]	9.62376	10 	1  	1.11561  
23 	935.463	[0.61941475]	[0.63596987]	[0.50038152]	[0.021519]  	9.54455	10 	1  	1.49272  
24 	978.8  	[0.62056836]	[0.63596987]	[0.56709488]	[0.01369663]	9.68317	10 	8  	0.506017 
25 	973.569	[0.61804093]	[0.63596987]	[0.50417716]	[0.02129837]	9.61386	10 	5  	0.843969 
26 	969.627	[0.61784799]	[0.63596987]	[0.49775151]	[0.02604456]	9.45545	10 	1  	1.47269  
27 	1001.3 	[0.62095204]	[0.63596987]	[0.50176466]	[0.01847537]	9.70297	10 	5  	0.725007 
28 	1017.94	[0.61864355]	[0.63596987]	[0.50417716]	[0.02138598]	9.78218	10 	3  	0.791088 
29 	1040.51	[0.62127241]	[0.63596987]	[0.50254572]	[0.01735015]	9.80198	10 	4  	0.758056 
30 	1008.42	[0.62135912]	[0.63596987]	[0.57872224]	[0.01448211]	9.70297	10 	6  	0.668152 
31 	1020.27	[0.62206492]	[0.63596987]	[0.50417716]	[0.02075567]	9.57426	10 	1  	1.19691  
32 	1046.22	[0.62402045]	[0.63745705]	[0.5752014] 	[0.01304821]	9.74257	10 	7  	0.519967 
33 	1095.48	[0.62459365]	[0.63745705]	[0.57938892]	[0.01227825]	9.77228	10 	9  	0.419363 
34 	1079.11	[0.62190608]	[0.63745705]	[0.5037882] 	[0.01848654]	9.59406	10 	3  	1.04529  
35 	1109.64	[0.62262005]	[0.63745705]	[0.5012993] 	[0.01795217]	9.81188	10 	7  	0.481599 
36 	1069.86	[0.62057867]	[0.63745705]	[0.50576679]	[0.01971548]	9.59406	10 	5  	0.891969 
37 	1082.63	[0.6228704] 	[0.63745705]	[0.49967786]	[0.01885528]	9.58416	10 	6  	0.85905  
38 	1087.62	[0.62132465]	[0.63745705]	[0.50417716]	[0.01962828]	9.60396	10 	3  	1.06315  
39 	1101.16	[0.62049615]	[0.63745705]	[0.5027566] 	[0.02349631]	9.66337	10 	4  	1.02713  
40 	1090.63	[0.62134139]	[0.63745705]	[0.52100272]	[0.01921983]	9.72277	10 	5  	0.759348 
41 	1079.18	[0.62030277]	[0.63745705]	[0.50417716]	[0.0228627] 	9.58416	10 	1  	1.359    
42 	1135.33	[0.6223848] 	[0.63745705]	[0.50417716]	[0.02084813]	9.74257	10 	1  	1.15744  
43 	1130.15	[0.62035053]	[0.63745705]	[0.50344115]	[0.02255501]	9.70297	10 	3  	1.11288  
44 	1156.19	[0.62310227]	[0.63745705]	[0.54788196]	[0.01412597]	9.85149	10 	3  	0.73641  
45 	1139.96	[0.61998085]	[0.63745705]	[0.50417716]	[0.02199166]	9.77228	10 	6  	0.71589  
46 	1217.78	[0.62223792]	[0.63745705]	[0.50417716]	[0.01975157]	9.83168	10 	1  	1.07233  
47 	1229.44	[0.62290749]	[0.63745705]	[0.57134138]	[0.01424109]	9.9802 	10 	9  	0.139319 
48 	1242.76	[0.62339823]	[0.63745705]	[0.50205756]	[0.01908012]	9.77228	10 	1  	1.10696  
49 	1290.65	[0.62406147]	[0.63625423]	[0.5179604] 	[0.01644295]	9.88119	10 	5  	0.649251 
50 	1265.86	[0.6225189] 	[0.63625423]	[0.5066201] 	[0.01973591]	9.84158	10 	1  	0.982346 
51 	1285.32	[0.62143224]	[0.63699978]	[0.50417716]	[0.0218307] 	9.85149	10 	4  	0.848833 
52 	1284.12	[0.62157738]	[0.63699978]	[0.50417716]	[0.02116135]	9.87129	10 	4  	0.654964 
53 	1278.3 	[0.62229521]	[0.63699978]	[0.50962188]	[0.01932729]	9.84158	10 	5  	0.727571 
54 	1251.78	[0.61956319]	[0.63699978]	[0.50417716]	[0.0227017] 	9.80198	10 	1  	1.02464  
55 	1233.9 	[0.61880949]	[0.63699978]	[0.4993607] 	[0.02341662]	9.69307	10 	1  	1.34048  
56 	1296.05	[0.62293297]	[0.63699978]	[0.5037882] 	[0.01860494]	9.79208	10 	4  	0.957687 
57 	1298.61	[0.62441553]	[0.63699978]	[0.54951587]	[0.01363066]	9.91089	10 	6  	0.489474 
58 	1314.44	[0.62229846]	[0.63699978]	[0.50417716]	[0.02073014]	9.80198	10 	4  	0.890209 
59 	1444.95	[0.62255946]	[0.63704068]	[0.56658369]	[0.01445347]	9.92079	10 	7  	0.390054 
60 	1399.01	[0.6213432] 	[0.63704068]	[0.4993607] 	[0.02441227]	9.79208	10 	4  	0.9154   
61 	1430.71	[0.62138287]	[0.63704068]	[0.50067127]	[0.02567289]	9.71287	10 	2  	1.24548  
62 	1441.74	[0.62329572]	[0.63704068]	[0.50417716]	[0.01834059]	9.88119	10 	4  	0.679066 
63 	1375.65	[0.61858122]	[0.63704068]	[0.50417716]	[0.02731511]	9.53465	10 	1  	1.66242  
64 	1396.51	[0.62023282]	[0.63704068]	[0.50417716]	[0.0254169] 	9.71287	10 	1  	1.30753  
65 	1400.32	[0.62027797]	[0.63761479]	[0.50417716]	[0.02350722]	9.80198	10 	6  	0.717805 
66 	1421.19	[0.62180851]	[0.63777668]	[0.50396234]	[0.02336965]	9.81188	10 	2  	1.04088  
67 	1500.67	[0.62591346]	[0.63777668]	[0.50417716]	[0.01515249]	9.9901 	10 	9  	0.0990099
68 	1421.73	[0.62333931]	[0.63777668]	[0.50417716]	[0.02239022]	9.64356	10 	1  	1.54525  
69 	1423.28	[0.61984861]	[0.63777668]	[0.50362484]	[0.02565504]	9.72277	10 	2  	1.21963  
70 	1408.29	[0.61781122]	[0.63816171]	[0.50129829]	[0.02886185]	9.60396	10 	4  	1.39361  
71 	1407.16	[0.62527931]	[0.63816171]	[0.53425197]	[0.01470115]	9.87129	10 	6  	0.68453  
72 	1341.16	[0.61109617]	[0.63816171]	[0.]        	[0.08905087]	9.80198	10 	2  	1.14338  
73 	1362.01	[0.62426817]	[0.63816171]	[0.52072174]	[0.01705985]	9.81188	10 	2  	1.01194  
74 	1330.8 	[0.62123045]	[0.63816171]	[0.51252377]	[0.01966976]	9.76238	10 	3  	1.04501  
75 	1382.28	[0.62007963]	[0.63816171]	[0.49994705]	[0.02568452]	9.76238	10 	2  	1.12706  
76 	1377.07	[0.6217361] 	[0.63816171]	[0.50184521]	[0.02192816]	9.84158	10 	1  	0.982346 
77 	1373.86	[0.62412488]	[0.63816171]	[0.50399908]	[0.01948574]	9.82178	10 	2  	0.937619 
78 	1393.08	[0.62566584]	[0.63816171]	[0.55260561]	[0.01198319]	9.90099	10 	4  	0.621479 
79 	1358.58	[0.62496499]	[0.63816171]	[0.50854713]	[0.01796016]	9.85149	10 	1  	0.978847 
80 	1368.94	[0.62501086]	[0.63816171]	[0.57241781]	[0.01269061]	9.84158	10 	4  	0.864397 
81 	1412.46	[0.62074325]	[0.63535632]	[0.50417716]	[0.01885603]	9.83168	10 	4  	0.868244 
82 	1377.96	[0.6242431] 	[0.63600121]	[0.5300331] 	[0.01699536]	9.75248	10 	5  	1.00893  
83 	1366.64	[0.62572323]	[0.6377304] 	[0.5037882] 	[0.0170102] 	9.82178	10 	3  	0.958506 
84 	1391.14	[0.62430616]	[0.6377304] 	[0.50417716]	[0.01724682]	9.86139	10 	4  	0.808736 
85 	1350.29	[0.62356849]	[0.6377304] 	[0.56020017]	[0.01561747]	9.86139	10 	4  	0.783868 
86 	1374.38	[0.62527516]	[0.6377304] 	[0.50417716]	[0.0159901] 	9.88119	10 	5  	0.649251 
87 	1350.94	[0.62247546]	[0.6395671] 	[0.50417716]	[0.01976704]	9.90099	10 	6  	0.517131 
88 	1339.88	[0.62393483]	[0.6395671] 	[0.50184521]	[0.02028545]	9.81188	10 	1  	1.13201  
89 	1354.87	[0.62505168]	[0.6395671] 	[0.50417716]	[0.01697535]	9.86139	10 	2  	0.985335 
90 	1309.47	[0.62317666]	[0.6395671] 	[0.50075676]	[0.02423041]	9.76238	10 	1  	1.11824  
91 	1309.89	[0.62343385]	[0.6395671] 	[0.50417716]	[0.01998521]	9.88119	10 	4  	0.835916 
92 	1252.03	[0.62276417]	[0.6395671] 	[0.50417716]	[0.02215458]	9.68317	10 	1  	1.47541  
93 	1270.05	[0.62533523]	[0.6395671] 	[0.54896738]	[0.01410496]	9.93069	10 	6  	0.492668 
94 	1272.98	[0.62282186]	[0.6395671] 	[0.5037882] 	[0.02084399]	9.82178	10 	3  	0.848949 
95 	1269.94	[0.62169458]	[0.6395671] 	[0.56067956]	[0.01672382]	9.72277	10 	1  	1.32843  
96 	1320.22	[0.62283943]	[0.6395671] 	[0.50399908]	[0.01929554]	9.76238	10 	2  	1.236    
97 	1298.25	[0.62358321]	[0.63767186]	[0.49967225]	[0.01906037]	9.85149	10 	3  	0.813088 
98 	1332.43	[0.62354665]	[0.63795499]	[0.50399908]	[0.02241186]	9.68317	10 	1  	1.38543  
99 	1314.58	[0.62364942]	[0.63795499]	[0.50184521]	[0.01871277]	9.80198	10 	1  	1.19421  
100	1219.74	[0.619549]  	[0.63795499]	[0.50417716]	[0.02814771]	9.57426	10 	1  	1.48488  
101	1276.99	[0.62423512]	[0.63795499]	[0.50082215]	[0.01813551]	9.89109	10 	5  	0.643336 
102	1239.7 	[0.62212764]	[0.63839439]	[0.50417716]	[0.02402205]	9.79208	10 	4  	0.9154   
103	1225.62	[0.62086417]	[0.63839439]	[0.50417716]	[0.02512635]	9.68317	10 	1  	1.31955  
104	1241.57	[0.6235923] 	[0.6400856] 	[0.52718614]	[0.01891467]	9.78218	10 	3  	1.01087  
105	1238.45	[0.62095432]	[0.6400856] 	[0.4993607] 	[0.02334436]	9.74257	10 	1  	1.17443  
106	1245.04	[0.6254011] 	[0.6400856] 	[0.52675181]	[0.01636773]	9.81188	10 	3  	1.07825  
107	1211.86	[0.61970825]	[0.6400856] 	[0.]        	[0.0637032] 	9.83168	10 	3  	0.821365 
108	1194.53	[0.62437719]	[0.6400856] 	[0.5036163] 	[0.01942109]	9.90099	10 	5  	0.588755 
109	1175.95	[0.62263506]	[0.6400856] 	[0.50349059]	[0.02187457]	9.79208	10 	4  	0.978146 
110	1160.3 	[0.62393388]	[0.6400856] 	[0.50417716]	[0.02081195]	9.67327	10 	1  	1.37955  
111	1179.78	[0.62255939]	[0.6400856] 	[0.4993607] 	[0.02155834]	9.83168	10 	1  	1.07233  
112	1209.37	[0.62379098]	[0.6400856] 	[0.50417716]	[0.01970386]	9.75248	10 	1  	1.14672  
113	1138.47	[0.62101759]	[0.6400856] 	[0.50417716]	[0.01992256]	9.72277	10 	1  	1.11798  
114	1167.57	[0.62341119]	[0.6400856] 	[0.55685267]	[0.01549355]	9.80198	10 	2  	0.867679 
115	1145.33	[0.61138304]	[0.6400856] 	[0.]        	[0.06812904]	9.57426	10 	4  	1.41664  
116	1171.79	[0.62351733]	[0.6400856] 	[0.50399908]	[0.02321845]	9.78218	10 	2  	0.970903 
117	1124.36	[0.6100175] 	[0.6400856] 	[0.]        	[0.08825744]	9.71287	10 	1  	1.16327  
118	1088.22	[0.61531949]	[0.6400856] 	[0.]        	[0.06476714]	9.66337	10 	4  	1.16277  
119	1105.09	[0.61799438]	[0.6400856] 	[0.]        	[0.06417028]	9.79208	10 	2  	0.988216 
120	1112.94	[0.6087796] 	[0.6400856] 	[0.]        	[0.08843468]	9.86139	10 	4  	0.689808 
121	1121.47	[0.61817161]	[0.6400856] 	[0.50707489]	[0.02476246]	9.68317	10 	2  	1.19347  
122	1167.55	[0.62321909]	[0.64089362]	[0.50417716]	[0.01940758]	9.77228	10 	2  	1.07059  
123	1218.25	[0.62579709]	[0.64089362]	[0.56591879]	[0.01380415]	9.92079	10 	5  	0.539218 
124	1248.87	[0.62222623]	[0.64089362]	[0.5037882] 	[0.02313429]	9.77228	10 	3  	1.1679   
125	1219.44	[0.62137284]	[0.64268403]	[0.50708714]	[0.02402336]	9.70297	10 	4  	1.04876  
126	1272.12	[0.62146489]	[0.64140796]	[0.50417716]	[0.02565717]	9.75248	10 	4  	1.06619  
127	1331.28	[0.6243542] 	[0.64140796]	[0.4993607] 	[0.02065407]	9.83168	10 	1  	1.07233  
128	1316.06	[0.62261938]	[0.64140796]	[0.4993607] 	[0.02409273]	9.67327	10 	1  	1.28286  
129	1418.42	[0.62105525]	[0.64140796]	[0.50099977]	[0.02218198]	9.81188	10 	3  	0.972013 
130	1416.16	[0.62272459]	[0.64140796]	[0.50417716]	[0.02299414]	9.70297	10 	1  	1.28621  
131	1441.35	[0.6251872] 	[0.64140796]	[0.52730188]	[0.01779076]	9.89109	10 	6  	0.524659 
132	1411.94	[0.62336653]	[0.64140796]	[0.54788196]	[0.01713711]	9.81188	10 	2  	0.908844 
133	1363.71	[0.61813902]	[0.64140796]	[0.50417716]	[0.02815265]	9.68317	10 	1  	1.31202  
134	1417.07	[0.62486959]	[0.64140796]	[0.50417716]	[0.0186816] 	9.82178	10 	1  	1.07534  
135	1415.38	[0.62630983]	[0.64140796]	[0.50417716]	[0.01806611]	9.89109	10 	4  	0.643336 
136	1315.4 	[0.6206097] 	[0.64140796]	[0.50417716]	[0.02676884]	9.60396	10 	2  	1.34296  
137	1337.63	[0.62122073]	[0.64157525]	[0.50318603]	[0.02434597]	9.62376	10 	1  	1.27311  
138	1405.91	[0.62568931]	[0.64157525]	[0.58041747]	[0.01399241]	9.93069	10 	9  	0.253975 
139	1364.13	[0.62460876]	[0.64157525]	[0.50417716]	[0.02329508]	9.66337	10 	2  	1.32214  
140	1384.39	[0.62590236]	[0.64157525]	[0.52959562]	[0.01886577]	9.82178	10 	3  	0.837205 
141	1381.51	[0.62386532]	[0.6387466] 	[0.50756205]	[0.02185426]	9.67327	10 	2  	1.39383  
142	1386.83	[0.62525909]	[0.6387466] 	[0.50417716]	[0.01994658]	9.80198	10 	4  	0.879016 
143	1376.25	[0.62634544]	[0.64062151]	[0.55544517]	[0.01679718]	9.82178	10 	4  	0.800941 
144	1430.53	[0.62578918]	[0.64171535]	[0.50417716]	[0.0227677] 	9.77228	10 	2  	1.05193  
145	1357.95	[0.62110607]	[0.64171535]	[0.50417716]	[0.02803318]	9.68317	10 	4  	0.974229 
146	1434.75	[0.62384404]	[0.64171535]	[0.50417716]	[0.02265095]	9.74257	10 	1  	1.18283  
147	1500.12	[0.62429234]	[0.64171535]	[0.50279727]	[0.02178067]	9.80198	10 	4  	0.771007 
148	1526.25	[0.62370976]	[0.64171535]	[0.50417716]	[0.02272064]	9.77228	10 	4  	1.00377  
149	1589.09	[0.62766402]	[0.64079981]	[0.54418507]	[0.01452809]	9.89109	10 	4  	0.673413 
150	1514.11	[0.62591721]	[0.64174939]	[0.50156456]	[0.02073532]	9.83168	10 	3  	0.901806 
151	1528.87	[0.62586573]	[0.64159974]	[0.50417716]	[0.02049693]	9.74257	10 	1  	1.30993  
152	1513.06	[0.62250078]	[0.64159974]	[0.51508716]	[0.02207687]	9.60396	10 	1  	1.65355  
153	1512.15	[0.62436796]	[0.64159974]	[0.49967225]	[0.02449774]	9.65347	10 	1  	1.45857  
154	1514.82	[0.62641471]	[0.64159974]	[0.52352307]	[0.01994336]	9.73267	10 	1  	1.28117  
155	1566.48	[0.62485416]	[0.64159974]	[0.50417716]	[0.02116319]	9.81188	10 	1  	1.13201  
