   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	32.0573	[0.61112498]	[0.7012435] 	[0.4656392] 	[0.05656336]	2.90099	10 	1  	2.26687  
1  	42.3139	[0.62685328]	[0.7012435] 	[0.49854078]	[0.05569809]	3.9901 	10 	1  	2.69394  
2  	45.7296	[0.65377753]	[0.7012435] 	[0.51196224]	[0.04583546]	3.94059	10 	1  	2.65815  
3  	61.9071	[0.65818936]	[0.7027242] 	[0.50056089]	[0.05621552]	5.36634	10 	1  	2.87262  
4  	61.1398	[0.66314021]	[0.70504378]	[0.48620359]	[0.05405879]	5.66337	10 	1  	3.04838  
5  	79.5943	[0.66704224]	[0.70504378]	[0.50024775]	[0.05892923]	6.0396 	10 	1  	3.32086  
6  	95.1703	[0.66657906]	[0.70839818]	[0.50140872]	[0.06449001]	6.45545	10 	1  	3.43691  
7  	117.901	[0.67852263]	[0.71075993]	[0.49964635]	[0.05233671]	7.54455	10 	1  	2.75223  
8  	149.597	[0.69456645]	[0.71350644]	[0.49958753]	[0.03279347]	8.81188	10 	1  	1.69865  
9  	170.42 	[0.69795729]	[0.71350644]	[0.53775728]	[0.02516278]	9.15842	10 	2  	1.5462   
10 	187.114	[0.70186285]	[0.71350644]	[0.58657163]	[0.015926]  	9.58416	10 	7  	0.786864 
11 	174.1  	[0.70206378]	[0.71373981]	[0.53415978]	[0.02368256]	9.34653	10 	2  	1.62551  
12 	179.161	[0.70233916]	[0.71443299]	[0.50385419]	[0.02779731]	9.63366	10 	2  	0.91978  
13 	186.538	[0.70567658]	[0.71538015]	[0.588951]  	[0.01644405]	9.68317	10 	6  	0.612262 
14 	190.185	[0.70022129]	[0.71538015]	[0.50297857]	[0.03246639]	9.55446	10 	3  	0.96959  
15 	189.674	[0.70041984]	[0.71538015]	[0.49911982]	[0.03073456]	9.60396	10 	5  	0.704711 
16 	188.821	[0.7060352] 	[0.71563649]	[0.60068899]	[0.01458183]	9.56436	10 	2  	0.91647  
17 	188.404	[0.70254]   	[0.71563649]	[0.49736009]	[0.02741304]	9.56436	10 	4  	0.788731 
18 	181.877	[0.70828407]	[0.71563649]	[0.59272638]	[0.01541484]	9.57426	10 	6  	0.722297 
19 	183.896	[0.70385334]	[0.71563649]	[0.52053055]	[0.02685615]	9.62376	10 	8  	0.56026  
20 	176.49 	[0.70360893]	[0.71563649]	[0.55219278]	[0.02600074]	9.41584	10 	2  	1.26856  
21 	181.411	[0.70362544]	[0.71563649]	[0.50116194]	[0.02990776]	9.43564	10 	2  	1.21391  
22 	193.23 	[0.70541718]	[0.71586065]	[0.49930971]	[0.02777003]	9.65347	10 	8  	0.534653 
23 	198.498	[0.70332218]	[0.71586065]	[0.52802668]	[0.02472033]	9.63366	10 	2  	0.930482 
24 	200.316	[0.70380489]	[0.71603099]	[0.50159466]	[0.02999376]	9.69307	10 	5  	0.767439 
25 	190.051	[0.70547608]	[0.71622149]	[0.4901486] 	[0.02817801]	9.66337	10 	2  	0.997792 
