   	       	                          fitness                           	               size              
   	       	------------------------------------------------------------	---------------------------------
gen	time   	avg         	max         	min         	std         	avg    	max	min	std      
0  	707.998	[0.61853683]	[0.7013743] 	[0.48232748]	[0.05715651]	2.32673	10 	1  	1.80269  
1  	664.668	[0.63820518]	[0.7013743] 	[0.49975944]	[0.06002473]	3.40594	10 	1  	2.26981  
2  	623.287	[0.65198042]	[0.7013743] 	[0.48438529]	[0.06551955]	4      	9  	1  	2.33357  
3  	608.444	[0.65444818]	[0.70548211]	[0.48091946]	[0.06644946]	4.33663	10 	1  	2.33474  
4  	555.248	[0.67521608]	[0.71311457]	[0.47912633]	[0.05467796]	4.60396	10 	1  	2.59885  
5  	522.059	[0.68846056]	[0.71469617]	[0.50090437]	[0.03715967]	5.10891	10 	1  	2.41653  
6  	554.495	[0.68052264]	[0.71469617]	[0.49975944]	[0.05109832]	6.19802	10 	1  	2.68114  
7  	568.946	[0.68094144]	[0.71500178]	[0.49769155]	[0.05636418]	7.50495	10 	1  	2.06155  
8  	552.635	[0.69371349]	[0.71500178]	[0.49972806]	[0.04093824]	8.05941	10 	1  	1.68759  
9  	532.873	[0.70250388]	[0.71528941]	[0.52053037]	[0.02616912]	8.29703	10 	1  	1.39692  
10 	526.532	[0.70718113]	[0.71550805]	[0.54216009]	[0.01820184]	8.50495	10 	1  	1.17418  
11 	505.394	[0.71047393]	[0.71550805]	[0.68923182]	[0.00504644]	8.38614	10 	2  	1.02417  
12 	511.634	[0.70860227]	[0.71569926]	[0.64507389]	[0.00990249]	8.43564	10 	1  	1.14681  
13 	520.94 	[0.70709265]	[0.71557538]	[0.54489415]	[0.01979021]	8.59406	10 	3  	0.935316 
14 	527.663	[0.70523836]	[0.71557538]	[0.50418426]	[0.03241052]	8.42574	10 	1  	1.38125  
15 	538.93 	[0.70372376]	[0.7166628] 	[0.5]       	[0.0318787] 	8.51485	10 	1  	1.32466  
16 	553.241	[0.70705433]	[0.7166628] 	[0.5]       	[0.02565288]	8.78218	10 	1  	1.27895  
17 	530.103	[0.71022478]	[0.7187157] 	[0.57522104]	[0.01961957]	9.0396 	10 	1  	1.10732  
18 	552.905	[0.70735497]	[0.7187157] 	[0.52778516]	[0.02302021]	9.11881	10 	1  	1.12828  
19 	545.537	[0.70866675]	[0.7187157] 	[0.54961853]	[0.0230746] 	9.17822	10 	1  	1.30798  
20 	584.999	[0.70507195]	[0.7187157] 	[0.50797112]	[0.02988405]	9.29703	10 	2  	1.15651  
21 	573.084	[0.71354975]	[0.7187157] 	[0.68147206]	[0.00518477]	9.63366	10 	6  	0.727436 
22 	566.518	[0.71280622]	[0.71965146]	[0.53960494]	[0.01805162]	9.73267	10 	6  	0.627601 
23 	590.106	[0.7116836] 	[0.71965146]	[0.55685438]	[0.01816637]	9.49505	10 	1  	1.45305  
24 	596.964	[0.71093683]	[0.71965146]	[0.5]       	[0.02705779]	9.66337	10 	2  	1.12819  
25 	605.988	[0.70959544]	[0.72001589]	[0.535663]  	[0.030444]  	9.72277	10 	1  	1.21149  
26 	614.578	[0.7139167] 	[0.72001589]	[0.63391231]	[0.01324982]	9.94059	10 	9  	0.236383 
27 	604.726	[0.71508003]	[0.72016624]	[0.59790907]	[0.01584991]	9.89109	10 	1  	0.899956 
28 	597.884	[0.71484179]	[0.72016624]	[0.59499161]	[0.01364878]	9.80198	10 	4  	0.922972 
29 	607.088	[0.7142008] 	[0.72268719]	[0.55534107]	[0.02267333]	9.75248	10 	2  	1.23806  
30 	618.421	[0.71641615]	[0.72268719]	[0.62336939]	[0.01091311]	9.9802 	10 	8  	0.19802  
31 	617.188	[0.71530264]	[0.72268719]	[0.60412194]	[0.01406314]	9.72277	10 	1  	1.37242  
32 	613.747	[0.71582023]	[0.72268719]	[0.58510418]	[0.01405351]	9.91089	10 	6  	0.5093   
33 	623.949	[0.7156318] 	[0.72268719]	[0.55780118]	[0.01685647]	9.82178	10 	1  	1.18903  
34 	632.583	[0.71539186]	[0.72268719]	[0.58648861]	[0.01706296]	9.87129	10 	5  	0.654964 
35 	653.431	[0.71450072]	[0.72268719]	[0.57889446]	[0.02132284]	9.90099	10 	1  	0.895588 
36 	624.513	[0.716661]  	[0.72268719]	[0.65282619]	[0.01087202]	9.93069	10 	6  	0.428153 
