   	       	                                                          fitness                                                          	              size              
   	       	---------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                          	max                          	min                          	std                        	avg    	max	min	std     
0  	3.22472	[   0.53305179  206.25742574]	[   0.66827503  277.        ]	[ 0.  0.]                    	[  0.10550987  44.48554186]	2.30693	9  	1  	1.84414 
1  	4.26335	[   0.56410838  221.16831683]	[   0.66827503  277.        ]	[   0.47685835  170.        ]	[  0.05193231  27.87208025]	3.36634	10 	1  	2.55909 
2  	6.6986 	[   0.5935231   234.86138614]	[   0.68773704  279.        ]	[   0.46235139  175.        ]	[  0.05614145  29.00871487]	4.92079	15 	1  	3.71426 
3  	8.72349	[   0.60512473  238.71287129]	[   0.69463869  298.        ]	[   0.47282609  174.        ]	[  0.05913908  29.68292393]	5.82178	17 	1  	4.18246 
4  	12.6084	[   0.61543706  243.91089109]	[   0.69463869  298.        ]	[   0.48202397  178.        ]	[  0.06381307  32.24599108]	7.78218	20 	1  	4.51094 
5  	15.5032	[   0.63193406  252.1980198 ]	[   0.71239471  298.        ]	[   0.46235139  175.        ]	[  0.05984043  30.0415619 ]	9.46535	25 	1  	5.04939 
6  	19.8035	[   0.64956438  260.16831683]	[   0.71239471  298.        ]	[   0.50345781  182.        ]	[  0.04372356  23.83153303]	12     	27 	1  	5.71259 
7  	19.7479	[   0.65461511  264.11881188]	[   0.71239471  310.        ]	[   0.4628331  165.       ]  	[  0.05056479  26.26381282]	12.2673	27 	3  	6.44227 
8  	23.8951	[   0.6520138  261.4950495]  	[   0.71616766  299.        ]	[   0.46967341  151.        ]	[  0.05505543  29.95528805]	14.1386	35 	2  	6.62134 
9  	28.5298	[   0.66860988  271.65346535]	[   0.71616766  299.        ]	[   0.48452221  180.        ]	[  0.04937505  24.81712745]	15.5545	29 	1  	7.05912 
10 	26.976 	[   0.6619758   268.08910891]	[   0.71616766  300.        ]	[   0.4885906  182.       ]  	[  0.05443817  27.82017895]	15.0396	32 	5  	5.85623 
11 	27.9671	[   0.67107548  273.74257426]	[   0.71837709  301.        ]	[   0.5198939  196.       ]  	[  0.04349904  22.65394135]	15.9802	32 	1  	6.51119 
12 	24.3137	[   0.66296871  269.44554455]	[   0.71837709  301.        ]	[   0.48303935  178.        ]	[  0.05784152  28.83564737]	14.7228	33 	2  	6.02654 
13 	25.8755	[   0.674182    275.18811881]	[   0.71837709  302.        ]	[   0.50608931  187.        ]	[  0.04688454  24.26002411]	15.0396	34 	5  	6.15464 
