   	       	                                                          fitness                                                          	               size              
   	       	---------------------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                          	max                          	min                          	std                        	avg    	max	min	std      
0  	3.18358	[   0.54819316  214.31683168]	[   0.69933185  314.        ]	[ 0.  0.]                    	[  0.09784007  46.27146132]	2.26733	8  	1  	1.7626   
1  	4.45151	[   0.59042685  236.75247525]	[   0.72561769  314.        ]	[   0.47685835  170.        ]	[  0.06689568  35.96736858]	3.37624	12 	1  	2.81738  
2  	5.03726	[   0.61937455  250.31683168]	[   0.72561769  314.        ]	[   0.43687943  154.        ]	[  0.06847633  36.60274585]	3.90099	14 	1  	3.43109  
3  	4.61959	[   0.62840895  251.30693069]	[   0.72561769  314.        ]	[   0.46783626  160.        ]	[  0.07489261  38.88947084]	4.25743	14 	1  	3.55063  
4  	5.53487	[   0.64807532  258.26732673]	[   0.73873874  314.        ]	[   0.47593583  178.        ]	[  0.07596692  37.39457553]	4.9802 	16 	1  	4.3509   
5  	6.03812	[   0.66342577  262.58415842]	[   0.73873874  317.        ]	[   0.47252747  172.        ]	[  0.07337823  34.81073788]	6.12871	14 	1  	4.61951  
6  	7.7273 	[   0.65880775  254.28712871]	[   0.73873874  314.        ]	[   0.45062587  162.        ]	[  0.0895172   36.46817048]	8.87129	16 	1  	4.13788  
7  	9.7773 	[   0.69836011  270.73267327]	[   0.74168798  314.        ]	[   0.49347258  189.        ]	[  0.05884187  23.82397955]	11.3861	17 	1  	2.82832  
8  	10.5924	[   0.70488467  271.6039604 ]	[   0.74473684  290.        ]	[   0.49667995  187.        ]	[  0.05966305  24.60824912]	12.1683	19 	2  	2.52147  
9  	11.364 	[   0.71816287  278.35643564]	[   0.74540682  302.        ]	[   0.51813472  200.        ]	[  0.04605157  18.52083876]	12.9307	21 	9  	1.97638  
10 	11.9781	[   0.70952265  272.98019802]	[   0.75351213  295.        ]	[   0.47428571  166.        ]	[  0.06550204  27.31661816]	13.2772	22 	2  	2.50591  
11 	12.927 	[   0.7177241   278.12871287]	[   0.75351213  295.        ]	[   0.51174935  196.        ]	[  0.05507557  20.94909595]	13.3663	22 	6  	2.31107  
12 	13.4573	[   0.71619333  277.16831683]	[   0.75351213  295.        ]	[   0.51302083  197.        ]	[  0.05122474  20.3557807 ]	13.4653	20 	9  	1.91691  
13 	13.4948	[   0.72622095  280.        ]	[   0.75461741  297.        ]	[   0.46556474  169.        ]	[  0.04917339  20.26996022]	13.7921	21 	8  	2.10759  
14 	14.3996	[   0.71565778  276.02970297]	[   0.75461741  301.        ]	[   0.50923483  193.        ]	[  0.06261635  24.96431332]	14.3762	25 	9  	2.67312  
15 	14.2982	[   0.72168959  278.6039604 ]	[   0.75461741  295.        ]	[   0.51162791  198.        ]	[  0.0494073   18.66806412]	14.6634	27 	6  	3.16627  
16 	15.4904	[   0.71912842  278.18811881]	[   0.76215506  295.        ]	[   0.49791377  179.        ]	[  0.05887271  24.46566107]	14.8416	26 	3  	3.13944  
17 	16.2297	[   0.72668398  282.81188119]	[   0.76215506  297.        ]	[   0.47107438  171.        ]	[  0.05109771  20.16354561]	15.0693	25 	5  	3.16621  
18 	16.1307	[   0.71902954  277.81188119]	[   0.76215506  296.        ]	[   0.48962656  177.        ]	[  0.0621706   26.26095731]	15.0693	23 	3  	2.96266  
19 	15.7736	[   0.72104918  278.71287129]	[   0.76215506  295.        ]	[   0.48754915  186.        ]	[  0.05815163  22.65336582]	15.3069	32 	2  	3.94201  
20 	15.0071	[   0.73431945  283.31683168]	[   0.76215506  295.        ]	[   0.52658228  208.        ]	[  0.04208011  15.71650497]	15.5842	23 	12 	2.83984  
21 	13.5528	[   0.72412395  278.6039604 ]	[   0.76215506  297.        ]	[   0.47552448  170.        ]	[  0.05863954  22.6300769 ]	15.6436	32 	5  	4.03594  
22 	13.3744	[   0.72853764  279.6039604 ]	[   0.76215506  298.        ]	[   0.47711512  172.        ]	[  0.05688438  23.19699503]	14.9901	32 	1  	3.67893  
23 	12.6119	[   0.73241748  280.3960396 ]	[   0.76215506  298.        ]	[   0.48818898  186.        ]	[  0.05846463  23.36243884]	14.8812	32 	12 	3.36931  
24 	10.9645	[   0.72480417  276.69306931]	[   0.76215506  295.        ]	[   0.50065531  191.        ]	[  0.06794047  26.20246477]	14.6337	27 	7  	3.39109  
25 	10.4754	[   0.72996403  278.86138614]	[   0.76215506  295.        ]	[   0.49723757  180.        ]	[  0.06139491  22.68511515]	14.5941	23 	1  	3.51004  
26 	10.1864	[   0.73713616  281.36633663]	[   0.76215506  295.        ]	[   0.49453552  181.        ]	[  0.05058613  19.26918371]	14.8713	25 	9  	3.34978  
27 	9.95466	[   0.72443037  276.22772277]	[   0.76215506  290.        ]	[   0.46993007  168.        ]	[  0.07190124  27.77450971]	14.7822	26 	3  	3.53653  
28 	10.5037	[   0.72936974  277.67326733]	[   0.76215506  290.        ]	[   0.48974008  179.        ]	[  0.06196412  23.56919827]	15.1287	32 	5  	4.19491  
29 	10.2326	[   0.73418363  280.30693069]	[   0.76215506  295.        ]	[   0.50132626  189.        ]	[  0.05383302  18.98865872]	15.0891	29 	8  	3.51545  
30 	10.4692	[   0.73377214  279.42574257]	[   0.76215506  291.        ]	[   0.47106326  175.        ]	[  0.05630098  21.58260509]	15.0693	29 	7  	3.34858  
31 	10.3239	[   0.73685743  281.02970297]	[   0.76439791  300.        ]	[   0.50923483  193.        ]	[  0.0542226   20.29556624]	15.2079	29 	2  	3.96349  
32 	10.482 	[   0.73897236  281.75247525]	[   0.76439791  292.        ]	[   0.51821862  192.        ]	[  0.04921248  18.48007005]	15.4257	29 	10 	4.0914   
33 	11.0289	[   0.73177391  279.40594059]	[   0.76439791  294.        ]	[   0.48883049  186.        ]	[  0.05575906  20.92948   ]	15.6733	29 	7  	4.57957  
34 	12.2165	[   0.72346045  276.74257426]	[   0.76439791  292.        ]	[   0.47619048  171.        ]	[  0.06506488  24.82678746]	16.5941	30 	2  	5.57785  
35 	11.4152	[   0.73269534  279.97029703]	[   0.76439791  304.        ]	[   0.46858639  179.        ]	[  0.04896104  19.08784043]	16.1683	28 	2  	5.00706  
36 	11.5257	[   0.73605636  281.38613861]	[   0.76439791  293.        ]	[   0.53503185  208.        ]	[  0.04555099  16.09438147]	15.901 	28 	1  	5.29245  
37 	11.5894	[   0.73373578  280.66336634]	[   0.76439791  293.        ]	[   0.50923483  193.        ]	[  0.05745677  20.48968696]	15.8614	34 	9  	5.10684  
38 	10.8288	[   0.73378951  280.26732673]	[   0.76439791  293.        ]	[   0.49669749  188.        ]	[  0.05869226  22.21937924]	15.3762	28 	3  	4.54211  
39 	11.4441	[   0.73560583  282.22772277]	[   0.76539974  292.        ]	[   0.53509934  202.        ]	[  0.04505934  15.18002934]	15.4752	33 	11 	4.95244  
40 	11.4704	[   0.73484557  281.88118812]	[   0.76539974  292.        ]	[   0.5203252  192.       ]  	[  0.04758174  16.27139087]	15.1386	32 	5  	4.71784  
41 	11.0877	[   0.72969405  278.9009901 ]	[   0.76645161  297.        ]	[   0.48626374  177.        ]	[  0.06690862  26.32752764]	14.6634	27 	2  	4.38783  
42 	10.3094	[   0.74171974  283.76237624]	[   0.76645161  297.        ]	[   0.54054054  208.        ]	[  0.0442488   16.57933135]	14.198 	27 	9  	3.49546  
43 	11.7427	[   0.72494112  277.66336634]	[   0.76645161  297.        ]	[   0.50923483  193.        ]	[  0.06651797  25.00109987]	14.6931	27 	9  	3.73833  
44 	11.8078	[   0.73952391  283.75247525]	[   0.76645161  297.        ]	[   0.48995984  183.        ]	[  0.04894292  17.54282226]	15.5743	27 	9  	4.0329   
45 	12.5558	[   0.72746221  279.5049505 ]	[   0.76645161  297.        ]	[   0.48663102  182.        ]	[  0.06594714  24.08221223]	15.3762	26 	6  	4.21419  
46 	13.147 	[   0.73360885  281.07920792]	[   0.76645161  297.        ]	[   0.45883941  170.        ]	[  0.05946421  22.58873949]	15.901 	28 	8  	4.21103  
47 	14.4169	[   0.74053043  284.26732673]	[   0.76645161  297.        ]	[   0.53521127  206.        ]	[  0.04433345  16.56005637]	16.8416	29 	8  	4.62608  
48 	14.459 	[   0.73853897  283.86138614]	[   0.77202073  298.        ]	[   0.48257373  180.        ]	[  0.05878501  23.8672192 ]	16.9505	33 	1  	5.50855  
49 	14.5249	[   0.73165738  281.83168317]	[   0.77202073  298.        ]	[   0.49318801  181.        ]	[  0.0662814   26.84206441]	16.5644	28 	7  	4.61898  
50 	13.506 	[   0.7352929   283.94059406]	[   0.77202073  298.        ]	[   0.48787062  181.        ]	[  0.0568122   22.39113234]	15.8416	33 	5  	4.3866   
51 	12.6926	[   0.73401345  283.98019802]	[   0.77260982  299.        ]	[   0.4966443  185.       ]  	[  0.06162902  24.5667328 ]	15.0891	28 	3  	3.7814   
52 	12.7082	[   0.74294213  286.92079208]	[   0.77260982  299.        ]	[   0.53557568  207.        ]	[  0.04135342  15.57840799]	15.1386	30 	7  	3.28823  
53 	13.7424	[   0.72419949  278.71287129]	[   0.77302205  299.        ]	[   0.48806366  178.        ]	[  0.0759522   30.08053107]	15.2079	28 	1  	3.89546  
54 	13.5346	[   0.73273358  282.77227723]	[   0.77260982  306.        ]	[   0.49127517  177.        ]	[  0.0660163   26.39077291]	15.5347	24 	2  	3.12943  
55 	14.5496	[   0.73463037  284.23762376]	[   0.77260982  300.        ]	[   0.49166667  177.        ]	[  0.06250431  23.56249265]	15.9208	31 	6  	4.02881  
56 	14.2665	[   0.74731429  287.54455446]	[   0.77360931  300.        ]	[   0.49243466  179.        ]	[  0.04819233  18.83041817]	15.6139	26 	11 	3.19954  
57 	14.8957	[   0.73434667  282.96039604]	[   0.77360931  300.        ]	[   0.49041096  179.        ]	[  0.06767328  27.01225274]	15.9703	24 	7  	3.1637   
58 	14.9585	[   0.73967438  285.28712871]	[   0.77360931  300.        ]	[   0.48369565  178.        ]	[  0.06409097  25.54760132]	15.7624	30 	8  	3.79199  
59 	15.7307	[   0.72879524  281.44554455]	[   0.7746114  300.       ]  	[   0.51336898  192.        ]	[  0.06834144  26.65640385]	15.901 	24 	1  	4.11591  
60 	17.1048	[   0.74138283  285.48514851]	[   0.7757732  301.       ]  	[   0.50422535  165.        ]	[  0.05264978  22.83067845]	17.4158	30 	5  	4.54083  
61 	17.1025	[   0.74003655  284.8019802 ]	[   0.7757732  301.       ]  	[   0.50196078  188.        ]	[  0.05955037  23.94094211]	18.3267	33 	1  	4.86269  
62 	17.6763	[   0.7434992   287.33663366]	[   0.7757732  301.       ]  	[   0.49382716  180.        ]	[  0.0537633  20.6240642]  	19.1881	31 	5  	5.18702  
63 	19.7216	[   0.74762608  289.1980198 ]	[   0.7757732  301.       ]  	[   0.55541069  213.        ]	[  0.04743583  17.88301911]	21.0792	33 	9  	5.13517  
64 	20.5776	[   0.75449181  291.47524752]	[   0.7757732  301.       ]  	[   0.52933507  203.        ]	[  0.03777084  14.78733339]	23     	33 	13 	4.9712   
65 	20.8401	[   0.75623673  292.5049505 ]	[   0.7757732  301.       ]  	[   0.51978892  197.        ]	[  0.03969025  15.63293285]	23.297 	37 	11 	5.42554  
66 	22.5648	[   0.74263374  288.1980198 ]	[   0.7757732  304.       ]  	[   0.50474898  186.        ]	[  0.05809325  22.53534948]	23.9406	39 	9  	5.39861  
67 	23.273 	[   0.74107102  286.42574257]	[   0.77677419  301.        ]	[   0.46368715  166.        ]	[  0.05973285  24.16623392]	25.1782	39 	5  	5.64002  
68 	24.5111	[   0.74409669  287.6039604 ]	[   0.77677419  302.        ]	[   0.49931413  182.        ]	[  0.05962013  24.21319467]	26.3762	39 	14 	5.43522  
69 	26.2643	[   0.74410851  288.06930693]	[   0.77677419  301.        ]	[   0.48228883  177.        ]	[  0.05900138  23.03344853]	27.8317	39 	14 	4.90316  
70 	25.7344	[   0.74740704  289.4950495 ]	[   0.77677419  301.        ]	[   0.49066667  184.        ]	[  0.05183624  19.56437648]	28.4851	39 	17 	4.44908  
71 	25.1772	[   0.73928111  286.33663366]	[   0.77677419  301.        ]	[ 0.  0.]                    	[  0.09447173  36.82962573]	28.1881	39 	1  	4.86188  
72 	25.96  	[   0.74474082  288.33663366]	[   0.77677419  301.        ]	[   0.51358696  189.        ]	[  0.05637815  22.40150155]	28.505 	40 	17 	4.77954  
73 	25.5382	[   0.74734001  289.16831683]	[   0.77677419  301.        ]	[   0.51144011  190.        ]	[  0.05551582  21.25520055]	28.0594	36 	7  	5.53624  
74 	25.0346	[   0.75063976  290.73267327]	[   0.77677419  301.        ]	[   0.49056604  182.        ]	[  0.05034538  19.30725565]	28.0693	40 	1  	6.15679  
75 	26.6   	[   0.74999761  290.16831683]	[   0.77677419  301.        ]	[   0.49197861  184.        ]	[  0.05220546  21.44394918]	29.4455	40 	17 	4.28092  
