   	       	                                         fitness                                         	              size              
   	       	-----------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                        	max        	min        	std                      	avg    	max	min	std     
0  	2.07038	[104.22772277 116.28712871]	[176. 206.]	[ 0. 64.]  	[27.56374473 28.44878554]	2.91089	10 	1  	2.20305 
1  	2.79734	[113.62376238 109.03960396]	[178. 185.]	[60. 64.]  	[22.84898832 23.80112352]	4.38614	14 	1  	2.74663 
2  	2.91258	[119.56435644 108.6039604 ]	[178. 184.]	[48. 64.]  	[27.30988862 29.00327029]	5.05941	14 	1  	2.95451 
3  	2.76276	[130.7029703  100.13861386]	[180. 206.]	[ 0. 64.]  	[32.34392671 25.17897508]	5.39604	14 	1  	2.90469 
4  	2.67755	[135.89108911  99.27722772]	[192. 189.]	[36. 48.]  	[32.16907715 26.78780527]	5.52475	17 	1  	2.82701 
5  	2.41312	[138.21782178  95.21782178]	[192. 180.]	[46. 46.]  	[36.48561468 25.04435825]	5.46535	17 	1  	2.68684 
6  	2.48967	[141.16831683  95.83168317]	[192. 206.]	[ 0. 41.]  	[40.3362278  29.79636143]	5.60396	12 	1  	2.5097  
7  	2.46987	[151.28712871  92.32673267]	[192. 175.]	[68. 40.]  	[35.11405367 22.49625223]	6.0396 	16 	1  	2.95819 
8  	2.88763	[163.34653465  89.1980198 ]	[192. 170.]	[75. 44.]  	[34.94704215 20.07412985]	7.79208	16 	1  	3.14758 
9  	3.42933	[157.72277228  96.07920792]	[193. 206.]	[ 0. 44.]  	[42.75630202 26.93802317]	9.29703	19 	3  	3.76946 
10 	4.02746	[170.97029703  92.69306931]	[193. 177.]	[78. 50.]  	[32.48440767 20.41002596]	10.2772	23 	2  	3.90511 
11 	4.0007 	[175.62376238  90.42574257]	[193. 162.]	[58. 72.]  	[31.77733531 18.1322679 ]	10.7327	21 	2  	3.21165 
12 	4.56   	[179.4950495   87.08910891]	[193. 156.]	[73. 71.]  	[26.91042117 18.6940447 ]	11.7624	21 	3  	3.169   
13 	4.31595	[179.86138614  84.62376238]	[193. 147.]	[78. 71.]  	[28.63703539 14.23831916]	11.3267	23 	4  	3.01189 
14 	4.49796	[170.85148515  89.75247525]	[193. 177.]	[53. 67.]  	[38.34222813 21.88014423]	11.297 	21 	2  	3.373   
15 	5.39547	[181.58415842  85.76237624]	[193. 179.]	[78. 64.]  	[24.66779972 18.66438792]	12.8812	25 	9  	3.17879 
16 	5.7209 	[180.48514851  84.00990099]	[193. 145.]	[78. 72.]  	[26.94755224 15.18499458]	13.396 	25 	3  	4.0616  
17 	6.72142	[180.72277228  86.76237624]	[194. 164.]	[56. 71.]  	[26.39611388 17.19207077]	14.7525	23 	4  	4.42631 
18 	7.31914	[185.75247525  83.02970297]	[194. 158.]	[58. 74.]  	[20.16879559 12.67527057]	16.1188	26 	2  	4.43944 
19 	8.71644	[184.59405941  85.6039604 ]	[194. 155.]	[82. 74.]  	[21.87053636 15.31457547]	17.7228	31 	3  	5.50089 
20 	11.0678	[184.12871287  85.4950495 ]	[194. 131.]	[80. 73.]  	[23.38174941 13.00009426]	19.0693	38 	2  	5.68175 
21 	11.1194	[189.23762376  82.89108911]	[194. 141.]	[120.  73.]	[11.10093076 10.70291992]	18.8218	32 	9  	4.75623 
22 	12.6846	[186.          84.36633663]	[194. 165.]	[70. 72.]  	[20.40335829 16.34935598]	18.0792	39 	4  	5.08479 
23 	14.546 	[186.67326733  81.37623762]	[194. 138.]	[96. 74.]  	[19.57979809 10.89631738]	17.8812	27 	4  	3.21902 
24 	15.4295	[187.24752475  81.83168317]	[195. 129.]	[95. 74.]  	[19.18766412  9.7534653 ]	17.9208	31 	3  	3.70625 
25 	16.376 	[188.14851485  80.74257426]	[195. 122.]	[80. 72.]  	[18.75817242  8.19883289]	18.1188	32 	2  	3.67299 
26 	17.1846	[186.8019802   82.89108911]	[195. 122.]	[91. 75.]  	[18.66431964  9.79785892]	18.7327	28 	15 	2.82454 
27 	16.5112	[185.9009901   83.51485149]	[195. 160.]	[93. 74.]  	[21.62392558 12.56634974]	18.4257	25 	4  	3.21921 
28 	16.8494	[185.42574257  83.33663366]	[195. 124.]	[99. 59.]  	[21.20542922  9.51837954]	18.7228	35 	2  	4.67163 
29 	16.873 	[191.22772277  80.56435644]	[196. 117.]	[116.  55.]	[10.02657971  6.39061168]	18.9307	31 	12 	3.20969 
30 	16.6069	[188.38613861  82.63366337]	[196. 137.]	[117.  73.]	[14.90429554  9.3456431 ]	18.4752	31 	15 	2.74888 
31 	15.6139	[190.18811881  81.33663366]	[196. 133.]	[109.  71.]	[15.13746442  9.23540028]	17.7129	30 	7  	2.64888 
32 	16.7063	[188.77227723  81.85148515]	[196. 124.]	[88. 73.]  	[17.44858426  8.54850591]	18     	27 	6  	2.99835 
33 	16.8374	[185.88118812  85.40594059]	[196. 187.]	[31. 73.]  	[24.16866768 16.67937495]	18.3069	29 	6  	3.40571 
34 	17.6004	[190.4950495   82.28712871]	[196. 128.]	[100.  73.]	[14.03998799  8.6234043 ]	19.2277	27 	15 	3.13675 
35 	19.7702	[187.47524752  82.92079208]	[197. 175.]	[101.  65.]	[20.69227342 12.58844604]	20.5248	35 	5  	4.75664 
36 	23.3716	[190.28712871  81.31683168]	[197. 119.]	[108.  72.]	[14.23796114  7.45671429]	22.6139	33 	4  	4.42757 
37 	27.4493	[186.53465347  82.66336634]	[197. 146.]	[85. 73.]  	[23.90474677 11.37243256]	23.8416	33 	3  	4.90652 
38 	32.7106	[189.85148515  82.2970297 ]	[197. 146.]	[89. 76.]  	[18.72330371 10.38996522]	25.6139	38 	9  	4.37357 
39 	36.7873	[191.61386139  80.84158416]	[197. 116.]	[103.  73.]	[15.58875597  6.93496332]	26.6337	40 	3  	4.45822 
40 	38.5337	[191.26732673  82.31683168]	[197. 174.]	[34. 76.]  	[19.73632681 12.85866098]	27.4851	40 	5  	3.65224 
41 	39.1416	[189.66336634  82.20792079]	[197. 146.]	[87. 74.]  	[18.69519832 10.12331573]	27.4059	40 	8  	3.66189 
42 	40.2795	[193.81188119  80.78217822]	[197. 118.]	[128.  75.]	[10.13347836  5.46746264]	27.8317	40 	11 	3.58233 
43 	39.6238	[189.14851485  83.02970297]	[197. 137.]	[91. 76.]  	[20.55631537  8.53351627]	27.6634	36 	16 	2.62613 
44 	39.0766	[192.88118812  82.8019802 ]	[197. 134.]	[83. 75.]  	[14.04539115  8.43615487]	27.4554	36 	11 	2.50356 
45 	38.6959	[194.08910891  81.5049505 ]	[197.  98.]	[121.  76.]	[8.92332466 3.17360326]  	27.6832	37 	16 	2.3586  
46 	38.8327	[190.7029703   83.63366337]	[197. 146.]	[96. 71.]  	[18.9201263   8.94949832]	27.3267	33 	2  	3.48436 
47 	42.167 	[188.36633663  85.55445545]	[197. 190.]	[14. 71.]  	[24.79209502 13.30411627]	28.1485	39 	3  	3.16349 
48 	43.1909	[193.38613861  83.3960396 ]	[197. 116.]	[102.  68.]	[11.42515056  6.39783257]	28.505 	36 	15 	2.44797 
49 	44.1594	[192.66336634  83.89108911]	[197. 125.]	[118.  73.]	[11.71719328  8.39247776]	28.6832	40 	16 	3.32387 
50 	44.3254	[187.46534653  84.5049505 ]	[197. 134.]	[100.  73.]	[23.80763018  9.05825346]	28.6733	40 	2  	4.35119 
51 	43.4477	[188.96039604  84.41584158]	[197. 140.]	[117.  67.]	[18.59943616  9.39166191]	28.9901	40 	3  	3.68431 
52 	43.4999	[192.53465347  83.4950495 ]	[197. 113.]	[112.  43.]	[12.60642957  6.85294439]	28.8713	40 	4  	4.23718 
53 	44.36  	[193.28712871  84.05940594]	[197. 124.]	[102.  78.]	[12.62979083  5.49134654]	29.7129	40 	15 	3.31315 
54 	43.1538	[190.91089109  83.86138614]	[198. 130.]	[81. 69.]  	[16.07661053  6.16124859]	29.604 	40 	2  	3.48143 
55 	45.1101	[192.07920792  85.37623762]	[198. 132.]	[119.  71.]	[11.59095172  8.03685999]	30.4059	40 	27 	2.44211 
56 	44.3273	[190.21782178  86.05940594]	[197. 161.]	[56. 74.]  	[19.85372447 10.64998655]	31.0792	40 	27 	2.74559 
57 	42.2671	[193.01980198  84.51485149]	[197. 101.]	[103.  75.]	[13.47015785  3.4572749 ]	30.4257	40 	27 	2.19967 
58 	40.2991	[188.01980198  85.37623762]	[197. 148.]	[0. 0.]    	[27.12420285 13.40079168]	29.9604	40 	5  	3.61767 
59 	41.2575	[194.43564356  85.33663366]	[197. 114.]	[172.  77.]	[5.07452547 6.25256736]  	30.396 	40 	18 	2.93183 
60 	40.4526	[188.12871287  87.21782178]	[197. 130.]	[89. 74.]  	[21.71401125  9.86101832]	29.9505	40 	6  	4.12761 
61 	39.9228	[193.4950495   85.78217822]	[197. 146.]	[115.  76.]	[9.97682836 8.47547885]  	29.5644	39 	5  	3.50789 
62 	40.3614	[191.6039604   85.77227723]	[197. 112.]	[108.  72.]	[15.1514331   6.19306733]	29.4356	39 	6  	3.74011 
63 	38.968 	[191.94059406  87.13861386]	[197. 168.]	[110.  74.]	[13.58130761 10.42657468]	28.9208	33 	5  	3.36459 
64 	40.0592	[192.01980198  87.16831683]	[197. 124.]	[116.  73.]	[13.49585943  6.91113223]	29.4653	38 	27 	1.27865 
65 	39.7661	[190.87128713  86.74257426]	[197. 125.]	[101.  76.]	[16.09603811  7.48550211]	29.1287	39 	8  	2.79909 
66 	39.5646	[191.6039604   86.43564356]	[197. 127.]	[94. 76.]  	[14.66259416  6.6278976 ]	29.0495	35 	18 	1.56304 
67 	38.2972	[191.81188119  87.44554455]	[197. 122.]	[108.  73.]	[13.89758357  7.31805748]	28.4851	38 	2  	3.93666 
68 	40.0033	[193.35643564  86.99009901]	[197. 120.]	[135.  77.]	[8.61564793 5.64019354]  	29.1584	39 	27 	1.24067 
69 	38.9567	[188.84158416  88.45544554]	[197. 149.]	[105.  78.]	[20.06757528  8.52314816]	28.6139	39 	2  	4.19328 
70 	39.2403	[189.72277228  87.28712871]	[197. 146.]	[103.  74.]	[18.74007661  8.78154752]	29     	39 	21 	1.47588 
71 	39.515 	[192.0990099   86.75247525]	[197. 109.]	[108.  76.]	[13.30339416  4.47524752]	29.099 	36 	18 	1.55751 
72 	40.3599	[190.          87.76237624]	[197. 122.]	[76. 72.]  	[20.08595391  6.95124252]	29.198 	37 	18 	1.57342 
73 	40.3742	[192.02970297  87.81188119]	[197. 144.]	[114.  63.]	[14.67162375  8.66849636]	29.1287	37 	18 	1.6269  
74 	40.4026	[190.99009901  89.6039604 ]	[197. 153.]	[85. 73.]  	[15.45001205 10.31396171]	29.2772	37 	18 	1.91977 
