   	       	                                                         fitness                                                         	              size              
   	       	-------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                      	max                      	min                      	std                      	avg    	max	min	std     
0  	9.9232 	[ 0.03925429  0.96158637]	[ 0.14        0.96720134]	[ 0.          0.95347138]	[ 0.02728973  0.0030043 ]	2.46535	9  	1  	1.93234 
1  	13.0861	[ 0.0458226   0.96109751]	[ 0.14        0.96619516]	[ 0.          0.95321212]	[ 0.03062614  0.00279646]	3.9802 	13 	1  	2.87006 
2  	15.1759	[ 0.05121423  0.96058735]	[ 0.1443299   0.96619516]	[ 0.          0.95258935]	[ 0.03234704  0.00283648]	4.89109	11 	1  	2.63976 
3  	18.6462	[ 0.06369855  0.96023958]	[ 0.18461538  0.96971142]	[ 0.          0.95261239]	[ 0.03739688  0.00330399]	5.61386	15 	1  	2.87347 
4  	22.9367	[ 0.07807232  0.95927106]	[ 0.18461538  0.9664751 ]	[ 0.          0.95017098]	[ 0.04215602  0.00374378]	6.61386	16 	1  	3.24562 
5  	25.4057	[ 0.09160287  0.95836955]	[ 0.18461538  0.96523615]	[ 0.          0.95017098]	[ 0.042188    0.00359191]	7.60396	21 	1  	4.07863 
6  	26.0207	[ 0.09250788  0.95885955]	[ 0.18461538  0.96497121]	[ 0.          0.95019531]	[ 0.04618623  0.00328185]	8.18812	16 	1  	3.48892 
7  	31.3514	[ 0.10920359  0.95928756]	[ 0.18461538  0.96545106]	[ 0.          0.95224172]	[ 0.05547428  0.0031232 ]	9.57426	19 	2  	3.22228 
8  	30.6811	[ 0.12002127  0.9593972 ]	[ 0.1980198   0.96523615]	[ 0.          0.95200974]	[ 0.05367393  0.00302808]	9.69307	20 	3  	3.29939 
9  	33.7813	[ 0.13577206  0.95941056]	[ 0.20353982  0.96545106]	[ 0.         0.9516129]  	[ 0.04808353  0.00343606]	10.2376	21 	2  	3.75789 
10 	37.1468	[ 0.13971899  0.95986005]	[ 0.2173913   0.96523615]	[ 0.          0.94757472]	[ 0.05312145  0.00310777]	11.396 	22 	2  	4.26378 
11 	42.3531	[ 0.15647072  0.95882082]	[ 0.22413793  0.96400097]	[ 0.          0.95042735]	[ 0.04950221  0.00291606]	12.9901	23 	2  	4.22275 
12 	44.7392	[ 0.15099946  0.95854676]	[ 0.23175966  0.96450839]	[ 0.          0.95298417]	[ 0.06310119  0.00256901]	13.1881	22 	1  	4.49799 
13 	51.6345	[ 0.17792049  0.95811507]	[ 0.24166667  0.96387283]	[ 0.0125      0.95121951]	[ 0.05142789  0.00259827]	15.3069	23 	6  	3.58419 
14 	53.4516	[ 0.18595441  0.95736602]	[ 0.24242424  0.96545106]	[ 0.02564103  0.94916911]	[ 0.04955205  0.00292588]	16.4059	29 	5  	4.3876  
15 	60.7262	[ 0.18529798  0.95786154]	[ 0.25101215  0.96399424]	[ 0.02597403  0.95131451]	[ 0.05136117  0.00254892]	17.8317	31 	6  	4.56649 
