   	       	                                                         fitness                                                         	              size             
   	       	-------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                      	max                      	min                      	std                      	avg    	max	min	std    
0  	8.99601	[ 0.0052079   0.97055348]	[ 0.09589041  0.97116988]	[ 0.          0.96649114]	[ 0.01415596  0.00100898]	2.66337	9  	1  	1.99145
1  	14.9309	[ 0.01068092  0.9704143 ]	[ 0.09722222  0.97116988]	[ 0.          0.96670659]	[ 0.02109775  0.00103152]	4.25743	11 	1  	2.9573 
2  	16.7888	[ 0.01765588  0.97007105]	[ 0.09722222  0.97116988]	[ 0.         0.9664751]  	[ 0.02765631  0.00123882]	4.84158	15 	1  	3.20499
3  	24.8832	[ 0.02646232  0.96974177]	[ 0.11904762  0.97116988]	[ 0.          0.96435453]	[ 0.03397973  0.00146723]	6.54455	16 	1  	3.64929
4  	33.676 	[ 0.03843965  0.96924248]	[ 0.1754386   0.97116988]	[ 0.          0.96435453]	[ 0.03916486  0.00168278]	8.17822	16 	1  	3.52753
5  	42.5233	[ 0.05717976  0.95902962]	[ 0.1754386   0.97161937]	[ 0.  0.]                	[ 0.04641352  0.09592166]	9.84158	20 	1  	3.95453
6  	57.9654	[ 0.08072761  0.96751288]	[ 0.1920904   0.97159227]	[ 0.          0.96192771]	[ 0.04482177  0.00188801]	11.5545	23 	2  	3.57792
7  	63.6591	[ 0.08202445  0.96746953]	[ 0.23913043  0.97093854]	[ 0.          0.96121417]	[ 0.05259383  0.00201004]	11.7624	23 	3  	3.82837
8  	69.2281	[ 0.08607854  0.96768264]	[ 0.24444444  0.97136038]	[ 0.         0.9630524]  	[ 0.05739174  0.00186613]	12.495 	23 	3  	4.25109
9  	81.7964	[ 0.10205511  0.9672044 ]	[ 0.25668449  0.97114238]	[ 0.          0.96162201]	[ 0.05967786  0.00195281]	13.9901	29 	2  	4.69146
10 	98.0087	[ 0.12607585  0.96738197]	[ 0.25668449  0.97116988]	[ 0.          0.96212304]	[ 0.06317165  0.00195002]	15.9406	30 	2  	5.53803
11 	116.077	[ 0.11951298  0.96758781]	[ 0.25668449  0.97093854]	[ 0.          0.96364074]	[ 0.07050144  0.00192203]	17.7129	35 	4  	6.73154
12 	138.96 	[ 0.14004824  0.96713109]	[ 0.26530612  0.97093854]	[ 0.         0.9606414]  	[ 0.06597472  0.001927  ]	19.8416	34 	3  	7.19837
13 	155.106	[ 0.14794056  0.96734911]	[ 0.26595745  0.97116988]	[ 0.          0.96081277]	[ 0.07394129  0.00184174]	21.703 	35 	2  	6.9774 
14 	170.558	[ 0.15841965  0.96739727]	[ 0.27472527  0.97116988]	[ 0.          0.96141713]	[ 0.07232784  0.00196447]	22.505 	39 	2  	7.00724
15 	183.596	[ 0.15255079  0.9671946 ]	[ 0.27472527  0.97093854]	[ 0.          0.96141713]	[ 0.0754212   0.00190463]	23.1188	36 	6  	6.96567
16 	203.124	[ 0.1631143   0.96697502]	[ 0.27513228  0.97093854]	[ 0.          0.96272991]	[ 0.07066089  0.001624  ]	23.7822	37 	3  	7.07191
17 	205.62 	[ 0.15937996  0.96716428]	[ 0.28108108  0.9716329 ]	[ 0.         0.9622093]  	[ 0.0756187   0.00194994]	23.8713	40 	7  	7.06359
18 	243.873	[ 0.18021357  0.96689614]	[ 0.28108108  0.97093854]	[ 0.          0.96324952]	[ 0.07383325  0.00171031]	24.9802	40 	2  	8.11792
19 	251.477	[ 0.19006212  0.96661267]	[ 0.28108108  0.97093854]	[ 0.          0.96147323]	[ 0.0717374   0.00185214]	26.2871	40 	7  	7.70796
20 	272.632	[ 0.18719753  0.9670235 ]	[ 0.28108108  0.97108722]	[ 0.          0.96373308]	[ 0.0816603   0.00192482]	26.901 	40 	1  	8.4144 
21 	283.498	[ 0.18919912  0.96703542]	[ 0.2962963   0.97093854]	[ 0.          0.96359223]	[ 0.08510557  0.00168856]	27.5842	40 	3  	7.95939
22 	246.588	[ 0.2079608   0.96677671]	[ 0.2962963   0.97116988]	[ 0.          0.96244245]	[ 0.07685169  0.00163695]	25.6535	40 	2  	7.94216
23 	238.183	[ 0.2012585   0.96666329]	[ 0.2962963   0.97093854]	[ 0.          0.96192093]	[ 0.08160308  0.00181042]	25.6337	40 	2  	8.51873
24 	242.302	[ 0.20361072  0.96684001]	[ 0.3125      0.97115614]	[ 0.         0.9640951]  	[ 0.08445917  0.00164487]	25.3366	40 	4  	8.22611
25 	241.253	[ 0.1998736   0.96691631]	[ 0.3125      0.97140133]	[ 0.          0.96319613]	[ 0.08468051  0.00174004]	25.703 	40 	10 	8.13079
26 	242.759	[ 0.19633072  0.96717284]	[ 0.3125      0.97140133]	[ 0.          0.96199467]	[ 0.09816998  0.00189271]	26.8416	40 	1  	9.74195
27 	276.081	[ 0.20076962  0.96710338]	[ 0.3125      0.97092469]	[ 0.          0.96416465]	[ 0.09803543  0.00161742]	29.5545	40 	5  	9.53833
28 	300.298	[ 0.21255896  0.96696159]	[ 0.3125      0.97092469]	[ 0.          0.96324952]	[ 0.0863501  0.0014439]  	31.7426	40 	1  	9.11603
29 	311.275	[ 0.23703165  0.96700725]	[ 0.31578947  0.97020262]	[ 0.          0.96391378]	[ 0.0813122   0.00125373]	33.4059	40 	8  	8.63011
30 	296.173	[ 0.23329676  0.96735431]	[ 0.31578947  0.97093854]	[ 0.          0.96283702]	[ 0.09205308  0.00143076]	31.2772	40 	1  	10.6307
31 	315.39 	[ 0.24188523  0.96719546]	[ 0.31578947  0.97123682]	[ 0.          0.96394871]	[ 0.07836409  0.00130126]	33.198 	40 	16 	8.4993 
32 	337.966	[ 0.23224023  0.96734575]	[ 0.32820513  0.97205636]	[ 0.          0.96351776]	[ 0.09434927  0.00151515]	34.6733	40 	2  	8.64035
33 	330.175	[ 0.22613599  0.96720891]	[ 0.32820513  0.97093854]	[ 0.          0.96391378]	[ 0.09292877  0.00152409]	33.2673	40 	15 	8.64812
34 	323.597	[ 0.23641153  0.96722954]	[ 0.32820513  0.97093854]	[ 0.          0.96393125]	[ 0.08211418  0.00149749]	32.6832	40 	3  	9.20281
35 	353.104	[ 0.23557273  0.96718493]	[ 0.32820513  0.97145598]	[ 0.          0.96391378]	[ 0.08122081  0.00138814]	34.9703	40 	6  	7.89216
36 	353.871	[ 0.2367423   0.96722784]	[ 0.32820513  0.97145598]	[ 0.          0.96463178]	[ 0.08489227  0.00136562]	34.1089	40 	13 	7.88017
37 	361.185	[ 0.2272178   0.96743338]	[ 0.32820513  0.97116988]	[ 0.          0.96332281]	[ 0.09522912  0.00149609]	33.802 	40 	6  	7.7114 
38 	360.215	[ 0.2429146   0.96702442]	[ 0.33160622  0.97107339]	[ 0.          0.96299879]	[ 0.07729317  0.00149155]	33.1782	40 	15 	7.28405
39 	366.846	[ 0.24737983  0.96727478]	[ 0.33160622  0.97093854]	[ 0.          0.96379101]	[ 0.07972461  0.00147847]	33.6634	40 	5  	7.24709
40 	381.703	[ 0.24016421  0.96713458]	[ 0.33160622  0.97092469]	[ 0.          0.96314258]	[ 0.08289269  0.00145919]	34.9208	40 	13 	6.65067
41 	374.741	[ 0.25883726  0.96706617]	[ 0.33160622  0.97069335]	[ 0.         0.9632514]  	[ 0.06722935  0.0014251 ]	34.7327	40 	12 	6.55954
42 	381.869	[ 0.24426133  0.96729157]	[ 0.33160622  0.97093854]	[ 0.          0.96366279]	[ 0.08696752  0.00171064]	35.1683	40 	22 	6.11129
43 	384.653	[ 0.2497848   0.96726528]	[ 0.33160622  0.97093854]	[ 0.          0.96396614]	[ 0.07714725  0.0015903 ]	36.1188	40 	5  	5.77171
44 	369.63 	[ 0.24827255  0.96714555]	[ 0.33160622  0.97069335]	[ 0.         0.9626938]  	[ 0.07567157  0.00168937]	36.0198	40 	18 	6.12894
45 	370.283	[ 0.25379544  0.96723904]	[ 0.33160622  0.97116988]	[ 0.01587302  0.96316045]	[ 0.07255532  0.00148691]	35.5347	40 	17 	6.31917
46 	375.75 	[ 0.24510824  0.96728366]	[ 0.33160622  0.97107339]	[ 0.          0.96351776]	[ 0.08631393  0.00167342]	36.0594	40 	20 	6.35083
47 	368.178	[ 0.25420376  0.96750898]	[ 0.33333333  0.97114238]	[ 0.          0.96416465]	[ 0.08462486  0.0014517 ]	35.9505	40 	19 	6.66954
48 	364.96 	[ 0.27085174  0.96761888]	[ 0.33333333  0.97093854]	[ 0.          0.96394871]	[ 0.07470054  0.00138049]	35.9406	40 	3  	6.77477
49 	372.236	[ 0.24947484  0.96742657]	[ 0.33333333  0.97093854]	[ 0.          0.96316045]	[ 0.08503938  0.00166664]	36.802 	40 	1  	6.87371
50 	362.033	[ 0.24501282  0.96764396]	[ 0.33333333  0.97116988]	[ 0.          0.96244245]	[ 0.09760923  0.00174778]	36.4851	40 	19 	6.18304
51 	366.384	[ 0.25425918  0.96748076]	[ 0.33507853  0.97116988]	[ 0.          0.96299879]	[ 0.08176317  0.00156723]	37.0594	40 	21 	5.47329
52 	363.471	[ 0.2582221   0.96745705]	[ 0.33507853  0.97085523]	[ 0.04411765  0.96246064]	[ 0.0727738   0.00140848]	36     	40 	22 	6.14994
53 	358.374	[ 0.25304392  0.96754481]	[ 0.34554974  0.97093854]	[ 0.          0.96393125]	[ 0.08724039  0.00154205]	36.3663	40 	16 	6.37558
54 	371.772	[ 0.2528587   0.96764594]	[ 0.34554974  0.97093854]	[ 0.          0.96376812]	[ 0.08919457  0.00157238]	37.5743	40 	5  	5.34243
55 	368.365	[ 0.25708704  0.95813194]	[ 0.34554974  0.97093854]	[ 0.  0.]                	[ 0.09137587  0.09582559]	37.495 	40 	22 	4.71699
56 	347.521	[ 0.24825667  0.96766828]	[ 0.34554974  0.97092469]	[ 0.          0.96394871]	[ 0.0957294  0.0016723]  	36.8713	40 	6  	6.28319
57 	331.892	[ 0.24863726  0.96771526]	[ 0.34554974  0.97093854]	[ 0.          0.96468312]	[ 0.09665242  0.00149624]	35.5743	40 	3  	7.65512
58 	341.497	[ 0.25779373  0.9675226 ]	[ 0.34554974  0.97093854]	[ 0.          0.96364518]	[ 0.0877428  0.0017271]  	36.4059	40 	1  	7.40374
59 	350.289	[ 0.25988849  0.96789304]	[ 0.34554974  0.97093854]	[ 0.          0.96319613]	[ 0.09124952  0.00159146]	37.0099	40 	5  	7.09831
60 	355.018	[ 0.25209253  0.96802786]	[ 0.34554974  0.97093854]	[ 0.          0.96426847]	[ 0.09418877  0.00145335]	37.5446	40 	5  	6.28927
61 	353.108	[ 0.26154841  0.96785626]	[ 0.34554974  0.97093854]	[ 0.          0.96348247]	[ 0.08744748  0.00164038]	38.1188	40 	8  	5.3682 
62 	365.625	[ 0.25322758  0.96776732]	[ 0.34554974  0.97093854]	[ 0.          0.96217265]	[ 0.09186356  0.00161421]	38.8614	40 	22 	3.48981
63 	357.854	[ 0.26094529  0.96758725]	[ 0.34554974  0.97093854]	[ 0.          0.96398356]	[ 0.08453472  0.00171331]	37.4356	40 	2  	6.04016
64 	359.135	[ 0.24896817  0.96739628]	[ 0.34554974  0.97093854]	[ 0.          0.96170625]	[ 0.08767521  0.0018362 ]	37.505 	40 	9  	5.34294
65 	351.746	[ 0.26278217  0.96763323]	[ 0.34554974  0.97069335]	[ 0.          0.96461464]	[ 0.07693645  0.00157569]	36.9901	40 	13 	5.73593
66 	363.63 	[ 0.25318242  0.96784092]	[ 0.34554974  0.97115614]	[ 0.          0.96412991]	[ 0.09258564  0.00158549]	36.6436	40 	7  	6.00921
67 	367.112	[ 0.2563146   0.96760696]	[ 0.34554974  0.97069335]	[ 0.          0.96400097]	[ 0.08673383  0.00165556]	36.7624	40 	22 	5.43576
68 	354.787	[ 0.26389021  0.96786797]	[ 0.34554974  0.97129187]	[ 0.         0.9644154]  	[ 0.08531426  0.00161325]	35.5842	40 	2  	8.01393
69 	368.8  	[ 0.25091546  0.96793028]	[ 0.34554974  0.97116988]	[ 0.          0.96348247]	[ 0.09268891  0.00168041]	36.9208	40 	22 	5.5019 
70 	363.235	[ 0.27132707  0.96794568]	[ 0.34554974  0.97069335]	[ 0.          0.96461464]	[ 0.07565191  0.00156783]	37.0594	40 	24 	5.27993
71 	364.806	[ 0.25750328  0.96823418]	[ 0.34554974  0.97093854]	[ 0.          0.96416465]	[ 0.10106403  0.00156452]	37.2772	40 	2  	6.28391
72 	373.442	[ 0.27450594  0.9680407 ]	[ 0.34920635  0.97022513]	[ 0.         0.9638086]  	[ 0.07637734  0.00141856]	38.1287	40 	21 	4.9785 
73 	371.615	[ 0.24339921  0.96785012]	[ 0.34920635  0.97093854]	[ 0.          0.96419932]	[ 0.09292166  0.00155271]	37.9109	40 	2  	6.47936
74 	366.807	[ 0.25450476  0.96770584]	[ 0.34920635  0.97093854]	[ 0.          0.96386127]	[ 0.0871754   0.00164312]	37.3861	40 	21 	5.76086
75 	355.751	[ 0.26170876  0.96766111]	[ 0.34920635  0.97093854]	[ 0.          0.96430294]	[ 0.07892727  0.00143929]	36.1584	40 	3  	7.53439
76 	361.353	[ 0.25288812  0.96758155]	[ 0.34920635  0.97140133]	[ 0.          0.96387879]	[ 0.08444705  0.00156202]	36.2178	40 	22 	5.81838
77 	357.334	[ 0.25871049  0.96779178]	[ 0.34920635  0.97093854]	[ 0.          0.96444982]	[ 0.09159616  0.00147167]	36.0198	40 	6  	6.71186
78 	361.328	[ 0.26180464  0.96749798]	[ 0.34920635  0.97089695]	[ 0.          0.96393125]	[ 0.07578336  0.00154606]	36.2772	40 	20 	6.05604
79 	364.793	[ 0.25660887  0.96750854]	[ 0.34920635  0.97067938]	[ 0.          0.96368039]	[ 0.08082137  0.00153446]	35.9901	40 	22 	5.88755
80 	356.85 	[ 0.25686932  0.96798432]	[ 0.34920635  0.97093854]	[ 0.          0.96418199]	[ 0.09401996  0.00159954]	34.703 	40 	6  	6.82387
81 	386.352	[ 0.27040002  0.96802481]	[ 0.34920635  0.97093854]	[ 0.          0.96393125]	[ 0.0872567   0.00155242]	37.5545	40 	3  	5.49793
82 	381.109	[ 0.27722918  0.96772338]	[ 0.34920635  0.97067938]	[ 0.          0.96486552]	[ 0.07246998  0.00149809]	37.7822	40 	20 	5.0475 
83 	390.305	[ 0.25318272  0.96790396]	[ 0.34920635  0.9713877 ]	[ 0.          0.96434635]	[ 0.09179765  0.00153166]	37.9406	40 	9  	5.02434
