   	       	                                                                fitness                                                                 	              size              
   	       	----------------------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                                        	max                	min             	std                                     	avg    	max	min	std     
0  	1.45143	[ 71.38613861  68.40594059  77.59405941]   	[ 142.   91.  146.]	[ 33.  -0.  55.]	[ 10.60167211  11.87073798  11.87073798]	2.62376	10 	1  	2.05783 
1  	1.91259	[ 72.36633663  68.07920792  77.92079208]   	[ 142.   89.  146.]	[ 50.  -0.  57.]	[ 11.11926592  12.99937787  12.99937787]	4.22772	14 	1  	3.05034 
2  	2.38014	[ 76.8019802   61.75247525  84.24752475]   	[ 142.   89.  146.]	[ 43.  -0.  57.]	[ 14.78092147  17.46476279  17.46476279]	5.29703	14 	1  	3.71655 
3  	2.65366	[ 80.45544554  57.27722772  88.72277228]   	[ 142.   87.  146.]	[ 50.  -0.  59.]	[ 18.79515671  20.89441576  20.89441576]	5.92079	25 	1  	4.54827 
4  	3.31253	[ 82.03960396  54.79207921  91.20792079]   	[ 142.   84.  146.]	[ 53.  -0.  62.]	[ 16.34765905  18.84187291  18.84187291]	7.64356	19 	1  	4.68109 
5  	3.60456	[ 83.17821782  51.72277228  94.27722772]   	[ 142.   81.  146.]	[ 49.  -0.  65.]	[ 15.4576368   17.99126235  17.99126235]	8.52475	19 	1  	4.90018 
6  	4.0603 	[  89.01980198   44.86138614  101.13861386]	[ 142.   79.  146.]	[ 56.  -0.  67.]	[ 14.14072148  16.97641328  16.97641328]	10.0396	18 	1  	4.10728 
7  	4.37235	[  91.30693069   41.71287129  104.28712871]	[ 142.   79.  146.]	[ 51.  -0.  67.]	[ 14.18110762  16.90470474  16.90470474]	10.8812	24 	1  	3.79757 
8  	4.44192	[  92.78217822   38.67326733  107.32673267]	[ 142.   78.  146.]	[ 60.  -0.  68.]	[ 12.3677991  13.7697537  13.7697537]   	12.2079	24 	1  	3.98839 
9  	4.91662	[  91.75247525   39.57425743  106.42574257]	[ 142.   80.  146.]	[ 54.  -0.  66.]	[ 14.83600513  15.03418319  15.03418319]	13.297 	24 	1  	4.47113 
10 	5.06782	[  95.03960396   38.40594059  107.59405941]	[ 142.   79.  146.]	[ 55.  -0.  67.]	[ 13.50168364  13.44749836  13.44749836]	13.9703	29 	1  	5.27174 
11 	4.91438	[  95.14851485   39.11881188  106.88118812]	[ 142.   77.  146.]	[ 61.  -0.  69.]	[ 11.62822287  12.88278238  12.88278238]	14.0594	22 	1  	4.81709 
12 	5.03052	[  93.3960396   41.2970297  104.7029703]   	[ 142.   83.  146.]	[ 58.  -0.  63.]	[ 12.45115543  15.03167912  15.03167912]	14.9604	29 	1  	5.02651 
13 	5.52167	[  97.6039604    35.97029703  110.02970297]	[ 142.   72.  146.]	[ 40.  -0.  74.]	[ 11.97611419   8.9779217    8.9779217 ]	16.3267	26 	1  	4.67585 
14 	5.22206	[  96.87128713   37.53465347  108.46534653]	[ 142.   85.  146.]	[ 62.  -0.  61.]	[ 11.17605588  12.77572292  12.77572292]	15.8218	26 	1  	5.36656 
15 	6.10201	[  92.35643564   40.83168317  105.16831683]	[ 142.   84.  146.]	[ 50.  -0.  62.]	[ 14.96370802  13.52816593  13.52816593]	17.2079	32 	1  	5.76318 
16 	6.24747	[  96.85148515   37.56435644  108.43564356]	[ 142.   77.  146.]	[ 52.  -0.  69.]	[ 10.86313244   9.59931499   9.59931499]	18.9406	32 	1  	4.69004 
17 	6.48888	[  98.01980198   38.07920792  107.92079208]	[ 142.   80.  146.]	[ 56.  -0.  66.]	[ 11.64574473  10.18218515  10.18218515]	19.3762	28 	1  	4.19772 
18 	6.91886	[  98.53465347   36.77227723  109.22772277]	[ 142.   76.  146.]	[ 60.  -0.  70.]	[ 12.92136488  11.41206691  11.41206691]	19.4554	28 	1  	4.61278 
19 	6.79941	[ 100.22772277   36.64356436  109.35643564]	[ 142.   78.  146.]	[ 62.  -0.  68.]	[ 12.65527807  11.54722045  11.54722045]	19.1683	33 	1  	6.24432 
20 	7.37273	[  97.81188119   39.16831683  106.83168317]	[ 142.   75.  146.]	[ 53.  -0.  71.]	[ 13.96722675  12.2854412   12.2854412 ]	19.4554	33 	1  	5.91612 
21 	8.23502	[  99.31683168   38.86138614  107.13861386]	[ 142.   90.  146.]	[ 56.  -0.  56.]	[ 14.82567394  12.58478549  12.58478549]	20.3564	34 	1  	5.97451 
22 	9.34386	[ 100.78217822   36.56435644  109.43564356]	[ 142.   75.  146.]	[ 56.  -0.  71.]	[ 12.93671111   9.91290372   9.91290372]	20.7921	37 	1  	6.30781 
23 	9.27177	[ 101.75247525   37.20792079  108.79207921]	[ 142.   87.  146.]	[ 54.  -0.  59.]	[ 14.72144387  12.27838545  12.27838545]	20.5149	37 	1  	5.42932 
24 	7.86737	[ 104.7029703    33.33663366  112.66336634]	[ 142.   72.  146.]	[ 55.  -0.  74.]	[ 13.40130373  10.55328509  10.55328509]	18.0198	33 	1  	5.06977 
25 	7.35122	[ 103.32673267   33.85148515  112.14851485]	[ 142.   78.  146.]	[ 53.  -0.  68.]	[ 15.47985527  13.06297476  13.06297476]	16.6634	33 	1  	4.0229  
26 	7.35046	[ 104.15841584   33.88118812  112.11881188]	[ 116.   77.  124.]	[ 46.  22.  69.]	[ 15.91109749  12.46403708  12.46403708]	16.2871	24 	9  	2.44276 
27 	6.56861	[ 106.38613861   31.22772277  114.77227723]	[ 116.   72.  128.]	[ 52.  18.  74.]	[ 15.38288254  10.86084911  10.86084911]	15.7426	26 	1  	2.83071 
28 	6.7014 	[ 104.64356436   33.52475248  112.47524752]	[ 116.   82.  127.]	[ 51.  19.  64.]	[ 15.78668706  14.01950131  14.01950131]	15.6535	29 	3  	3.30147 
29 	6.70418	[ 104.52475248   33.44554455  112.55445545]	[ 116.   76.  124.]	[ 45.  22.  70.]	[ 16.83736654  12.20247925  12.20247925]	16.1287	26 	14 	2.16481 
