   	       	                                                          fitness                                                          	              size              
   	       	---------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                        	max                        	min                      	std                        	avg    	max	min	std     
0  	8.29394	[ 0.00669172  0.47524752]  	[ 0.06756757  5.        ]  	[ 0.  0.]                	[ 0.01305818  0.96054914]  	2.61386	9  	1  	1.93442 
1  	14.1837	[ 0.01210077  0.87128713]  	[ 0.06944444  5.        ]  	[ 0.  0.]                	[ 0.02024375  1.4936391 ]  	4.73267	14 	1  	3.10187 
2  	18.6775	[ 0.01899853  1.38613861]  	[ 0.10062893  8.        ]  	[ 0.  0.]                	[ 0.02658478  1.9899266 ]  	6.26733	13 	1  	3.36814 
3  	25.7149	[ 0.03167462  2.32673267]  	[ 0.11464968  9.        ]  	[ 0.  0.]                	[ 0.03031762  2.29553553]  	8.24752	18 	1  	3.77696 
4  	32.6177	[ 0.0430869   3.22772277]  	[  0.14457831  12.        ]	[ 0.  0.]                	[ 0.03505553  2.74630693]  	9.23762	20 	1  	3.11543 
5  	40.0576	[ 0.05310027  4.01980198]  	[  0.14457831  12.        ]	[ 0.  0.]                	[ 0.03853283  3.09576587]  	10.0099	24 	1  	3.687   
6  	47.9438	[ 0.07059983  5.48514851]  	[  0.14457831  12.        ]	[ 0.  0.]                	[ 0.04106601  3.37026562]  	11.7327	24 	4  	3.59012 
7  	56.1152	[ 0.08780587  6.95049505]  	[  0.14457831  12.        ]	[ 0.  0.]                	[ 0.04222665  3.45945751]  	12.9901	24 	6  	3.92881 
8  	62.001 	[ 0.09849831  7.85148515]  	[  0.18292683  15.        ]	[ 0.  0.]                	[ 0.04199265  3.50497846]  	13.7426	26 	4  	4.5242  
9  	70.1808	[ 0.1058417   8.47524752]  	[  0.19767442  17.        ]	[ 0.  0.]                	[ 0.04435407  3.70601347]  	14.3564	24 	1  	4.42223 
10 	76.1635	[ 0.10828612  8.72277228]  	[  0.19883041  17.        ]	[ 0.  0.]                	[ 0.05092697  4.3466587 ]  	15.1881	32 	1  	4.58951 
11 	73.4409	[ 0.11131287  9.01980198]  	[  0.20454545  18.        ]	[ 0.  0.]                	[ 0.05919984  5.05216393]  	15.2673	29 	3  	4.43186 
12 	82.3033	[  0.12712714  10.43564356]	[  0.20454545  18.        ]	[ 0.  0.]                	[ 0.05875816  5.06866874]  	16.5941	29 	5  	5.16879 
