   	       	                                                           fitness                                                           	              size             
   	       	-----------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                                     	max             	min          	std                                  	avg    	max	min	std    
0  	1.77032	[ 96.41584158  75.61386139 102.38613861]	[182. 106. 178.]	[56. -0. 72.]	[18.82660185 20.86447087 20.86447087]	2.49505	9  	1  	1.9882 
1  	2.48433	[ 94.77227723  76.08910891 101.91089109]	[182. 110. 178.]	[48. -0. 68.]	[18.48407459 20.53545546 20.53545546]	3.58416	10 	1  	2.80123
2  	2.16475	[100.04950495  73.9009901  104.0990099 ]	[182. 106. 178.]	[54. -0. 72.]	[19.42203313 21.01791077 21.01791077]	3.77228	11 	1  	2.7027 
3  	2.35305	[100.33663366  71.21782178 106.78217822]	[182.  97. 178.]	[78. -0. 81.]	[14.58758269 18.25105664 18.25105664]	3.81188	12 	1  	2.93397
4  	2.66207	[100.12871287  74.92079208 103.07920792]	[182. 110. 178.]	[74. -0. 68.]	[14.28123699 17.78957486 17.78957486]	3.88119	16 	1  	3.24659
5  	2.30604	[103.6039604   68.91089109 109.08910891]	[182. 111. 178.]	[66. -0. 67.]	[19.28528871 20.47074658 20.47074658]	3.42574	12 	1  	2.98626
6  	2.30274	[105.51485149  66.58415842 111.41584158]	[182. 104. 178.]	[72. -0. 74.]	[18.50266979 21.61694757 21.61694757]	3.36634	10 	1  	2.55522
7  	1.97285	[109.52475248  60.08910891 117.91089109]	[182. 106. 178.]	[51. -0. 72.]	[21.9385253  20.31392197 20.31392197]	2.64356	12 	1  	2.27158
8  	1.98027	[114.0990099   57.89108911 120.10891089]	[182.  97. 178.]	[76. -0. 81.]	[25.66058153 24.34484148 24.34484148]	2.59406	10 	1  	2.24349
9  	2.10054	[117.24752475  54.44554455 123.55445545]	[182. 124. 178.]	[58. -0. 54.]	[31.26203719 28.69141909 28.69141909]	2.64356	11 	1  	2.54692
10 	2.04124	[120.37623762  50.2970297  127.7029703 ]	[182. 104. 178.]	[72. -0. 74.]	[34.33868917 30.24538081 30.24538081]	2.78218	9  	1  	2.43572
11 	1.77253	[119.24752475  53.05940594 124.94059406]	[182.  98. 178.]	[64. -0. 80.]	[33.4493576  29.38573163 29.38573163]	2.20792	8  	1  	1.86853
12 	1.77893	[129.64356436  44.73267327 133.26732673]	[182.  94. 178.]	[52. -0. 84.]	[38.87033132 33.50214744 33.50214744]	2.13861	8  	1  	1.89856
13 	1.82531	[131.11881188  42.8019802  135.1980198 ]	[182.  97. 178.]	[65. -0. 81.]	[42.25014784 36.10518731 36.10518731]	2.22772	8  	1  	1.99445
14 	1.80085	[147.44554455  28.43564356 149.56435644]	[182. 100. 178.]	[61. -0. 78.]	[43.02784621 35.98525987 35.98525987]	2.20792	8  	1  	2.09344
