   	       	                                                               fitness                                                               	              size             
   	       	-------------------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                                     	max             	min             	std                                  	avg    	max	min	std    
0  	1.75603	[ 87.8019802   82.59405941 100.40594059]	[118. 183. 149.]	[ 0. 34. -0.]   	[14.5982637  21.60407837 21.60407837]	2.45545	9  	1  	2.0026 
1  	2.56833	[ 91.97029703  78.76237624 104.23762376]	[122. 129. 153.]	[36. 30. 54.]   	[15.71116488 21.27711945 21.27711945]	3.9802 	14 	1  	3.19027
2  	2.20494	[ 93.2970297   77.17821782 105.82178218]	[122. 108. 159.]	[50. 24. 75.]   	[13.18831207 19.71951641 19.71951641]	3.59406	14 	1  	2.98902
3  	2.47916	[ 96.62376238  70.33663366 112.66336634]	[128. 105. 159.]	[53. 24. 78.]   	[13.41703623 21.88280089 21.88280089]	3.86139	12 	1  	3.07023
4  	2.55355	[ 95.40594059  69.20792079 113.79207921]	[129. 127. 159.]	[29. 24. 56.]   	[16.93971736 24.78474332 24.78474332]	4.25743	17 	1  	3.31708
5  	2.83168	[100.15841584  65.88118812 117.11881188]	[129. 110. 159.]	[53. 24. 73.]   	[15.81309939 24.03433482 24.03433482]	4.80198	15 	1  	3.29722
6  	3.37047	[ 98.81188119  68.40594059 114.59405941]	[129. 105. 154.]	[59. 29. 78.]   	[18.45557302 23.38196742 23.38196742]	4.9901 	15 	1  	3.34633
7  	3.36241	[103.94059406  64.48514851 118.51485149]	[137. 183. 158.]	[ 0. 25. -0.]   	[19.2085077  25.79953713 25.79953713]	5.14851	16 	1  	3.42786
8  	3.44379	[105.17821782  56.62376238 126.37623762]	[137. 114. 160.]	[56. 23. 69.]   	[16.77539219 21.72230295 21.72230295]	5.60396	15 	1  	3.28537
9  	3.92041	[105.46534653  56.33663366 126.66336634]	[137. 127. 159.]	[51. 24. 56.]   	[18.14112136 22.11548323 22.11548323]	6.24752	18 	1  	3.96621
10 	3.88722	[106.6039604  55.8019802 127.1980198]   	[137. 127. 162.]	[56. 21. 56.]   	[18.3384459  23.50606402 23.50606402]	6.83168	23 	1  	4.32828
11 	3.79043	[105.85148515  53.68316832 129.31683168]	[137. 114. 160.]	[47. 23. 69.]   	[19.95409888 21.92287593 21.92287593]	7.28713	18 	1  	3.7794 
12 	3.2563 	[110.6039604   49.86138614 133.13861386]	[140. 103. 161.]	[55. 22. 80.]   	[17.44642674 19.66251382 19.66251382]	7.12871	19 	1  	3.89634
