   	       	                                                          fitness                                                          	              size              
   	       	---------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                          	max                          	min                          	std                        	avg    	max	min	std     
0  	1.81889	[   0.56231507  105.30693069]	[   0.73246753  144.        ]	[  0.44776119  71.        ]  	[  0.0676431   17.49950074]	2.31683	9  	1  	1.9947  
1  	2.65679	[   0.569709    107.71287129]	[   0.74550129  145.        ]	[ 0.  0.]                    	[  0.09248188  21.39507514]	3.84158	11 	1  	3.0531  
2  	2.76145	[   0.59228255  112.54455446]	[   0.75789474  147.        ]	[  0.4119403  69.       ]    	[  0.08192044  19.16914019]	4.54455	13 	1  	3.51101 
3  	3.30902	[   0.62345579  117.68316832]	[   0.75789474  145.        ]	[  0.44067797  73.        ]  	[  0.0919405   21.20056542]	5.81188	16 	1  	4.04116 
4  	4.0511 	[   0.6567335   124.68316832]	[   0.75789474  145.        ]	[  0.47323944  81.        ]  	[  0.08919858  19.98659486]	6.40594	16 	1  	4.07887 
5  	4.36935	[   0.67166869  127.45544554]	[   0.75789474  147.        ]	[  0.45892351  81.        ]  	[  0.09110128  19.93133001]	6.91089	14 	1  	4.22885 
6  	4.51885	[   0.6841044   130.45544554]	[   0.75789474  147.        ]	[  0.4398827  75.       ]    	[  0.08133172  17.55755726]	7.42574	16 	1  	4.56059 
7  	4.27058	[   0.68327432  129.94059406]	[   0.75789474  149.        ]	[  0.4047619  68.       ]    	[  0.0916787   19.99545581]	7.0099 	15 	1  	4.12309 
8  	4.41509	[   0.67203407  128.22772277]	[   0.75789474  149.        ]	[  0.44827586  78.        ]  	[  0.09095965  19.2595    ]	7.08911	17 	1  	4.27773 
9  	4.55256	[   0.6844352   130.27722772]	[   0.75789474  149.        ]	[  0.44126074  77.        ]  	[  0.09033823  20.13475337]	6.93069	17 	1  	4.28965 
