DEEP MAX,K,#Exec,PPV_S,PPV_NS,TPR_S,TPR_NS,F1_S,F1_NS,SUP_S,SUP_NS,TN,FP,FN,TP,Acc,Deep,Training Time
40,9,1,0.0,0.5121951219512195,0.0,1.0,0.0,0.6774193548387097,200,210,210,0,200,0,0.5121951219512195,1,1061.8749089241028
40,5,1,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,205,205,205,0,205,0,0.5,22,3483.854965686798
40,3,1,0.9298245614035088,0.5552407932011332,0.2523809523809524,0.98,0.39700374531835203,0.7088607594936709,210,200,196,4,157,53,0.6073170731707317,39,4219.160367965698
40,5,2,0.9135802469135802,0.601823708206687,0.36097560975609755,0.9658536585365853,0.5174825174825175,0.7415730337078651,205,205,198,7,131,74,0.6634146341463415,39,15973.012848615646
40,9,2,0.987012987012987,0.6006006006006006,0.36363636363636365,0.9950248756218906,0.5314685314685316,0.749063670411985,209,201,200,1,133,76,0.6731707317073171,40,19149.679979085922
40,5,3,0.0,0.5,0.0,1.0,0.0,0.6666666666666666,205,205,205,0,205,0,0.5,1,1056.5448276996613
40,7,1,0.956989247311828,0.637223974763407,0.4362745098039216,0.9805825242718447,0.5993265993265994,0.7724665391969407,204,206,202,4,115,89,0.7097560975609756,38,22116.007810354233
40,9,3,0.9583333333333334,0.6035502958579881,0.3399014778325123,0.9855072463768116,0.5018181818181818,0.7486238532110092,203,207,204,3,134,69,0.6658536585365854,36,8587.055956840515
40,7,2,0.9615384615384616,0.6699346405228758,0.4975124378109453,0.9808612440191388,0.6557377049180327,0.7961165048543689,201,209,205,4,101,100,0.7439024390243902,40,13498.93096280098
40,7,3,0.0,0.4951219512195122,0.0,1.0,0.0,0.6623164763458401,207,203,203,0,207,0,0.4951219512195122,1,1176.5456249713898
40,7,4,0.0,0.4658536585365854,0.0,1.0,0.0,0.6356073211314477,219,191,191,0,219,0,0.4658536585365854,1,1051.2472381591797
40,3,2,0.8518518518518519,0.6324503311258278,0.45320197044334976,0.9227053140096618,0.5916398713826366,0.7504911591355601,203,207,191,16,111,92,0.6902439024390243,40,33930.43475675583
40,5,4,0.9719626168224299,0.6435643564356436,0.49056603773584906,0.9848484848484849,0.6520376175548589,0.778443113772455,212,198,195,3,108,104,0.7292682926829268,31,21612.100306272507
40,3,3,1.0,0.5333333333333333,0.16666666666666666,1.0,0.2857142857142857,0.6956521739130436,210,200,200,0,175,35,0.573170731707317,40,5343.428213596344
