   	       	                                                         fitness                                                         	              size             
   	       	-------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                      	max                      	min                      	std                      	avg    	max	min	std    
0  	8.88403	[ 0.0387473   0.96365225]	[ 0.15458937  0.96921976]	[ 0.          0.95418182]	[ 0.02760327  0.00315347]	2.54455	9  	1  	2.00753
1  	13.1408	[ 0.04758771  0.96300031]	[ 0.15458937  0.97314   ]	[ 0.          0.95423564]	[ 0.03100448  0.00314722]	3.61386	13 	1  	2.9247 
2  	17.4022	[ 0.05702997  0.96257844]	[ 0.17777778  0.96919035]	[ 0.          0.95423564]	[ 0.03357645  0.00338632]	4.93069	14 	1  	3.41591
3  	22.3648	[ 0.06957723  0.9626165 ]	[ 0.17777778  0.9699284 ]	[ 0.          0.95423564]	[ 0.04303209  0.00380977]	6.68317	17 	1  	3.47532
4  	23.6447	[ 0.08906812  0.96065443]	[ 0.2173913  0.9678965]  	[ 0.         0.9508037]  	[ 0.04940132  0.0041301 ]	7.92079	15 	1  	2.7275 
5  	26.1071	[ 0.11005337  0.95892449]	[ 0.21862348  0.96763366]	[ 0.          0.95093971]	[ 0.0526133   0.00392386]	9.39604	17 	3  	2.8041 
6  	25.9465	[ 0.13647794  0.95799649]	[ 0.22406639  0.9657485 ]	[ 0.         0.9502329]  	[ 0.05483319  0.00387951]	9.84158	21 	5  	2.78515
7  	29.7213	[ 0.1540104   0.95801133]	[ 0.23696682  0.96821983]	[ 0.          0.94666994]	[ 0.05942424  0.00382631]	10.5941	19 	4  	2.58778
8  	31.5692	[ 0.16673579  0.9582787 ]	[ 0.23696682  0.96768015]	[ 0.         0.9495943]  	[ 0.06337499  0.00334046]	11.1386	19 	5  	2.52916
9  	33.1026	[ 0.17325763  0.95833229]	[ 0.23696682  0.96847172]	[ 0.          0.94695481]	[ 0.0605314   0.00387785]	12.1683	23 	6  	3.19055
10 	35.2429	[ 0.17879446  0.95855616]	[ 0.23696682  0.96919035]	[ 0.         0.9501351]  	[ 0.06396607  0.00402646]	12.3861	20 	2  	3.20572
11 	36.7509	[ 0.18048243  0.95787265]	[ 0.2739726   0.96698565]	[ 0.01428571  0.94458189]	[ 0.06050455  0.00361661]	12.5149	25 	1  	3.86304
12 	38.2049	[ 0.1940953   0.95847941]	[ 0.2739726   0.96872762]	[ 0.          0.95184275]	[ 0.06016352  0.00310796]	13.1584	25 	5  	4.35261
13 	40.0011	[ 0.19536251  0.95826084]	[ 0.2832618   0.96818943]	[ 0.01342282  0.94529325]	[ 0.06559454  0.00324288]	13.5743	27 	6  	4.85298
14 	44.9277	[ 0.20625479  0.95868385]	[ 0.2832618   0.96596357]	[ 0.01212121  0.94873682]	[ 0.06753953  0.00309976]	14.2475	28 	6  	5.69246
15 	53.7482	[ 0.20718806  0.95876755]	[ 0.2832618   0.96771107]	[ 0.          0.94992636]	[ 0.07430538  0.00301321]	16.0495	28 	1  	6.44608
16 	59.3898	[ 0.22053292  0.95829593]	[ 0.28448276  0.9681742 ]	[ 0.          0.94347075]	[ 0.06876855  0.00309792]	16.3168	31 	7  	6.48063
17 	65.0706	[ 0.2194657   0.95837108]	[ 0.28448276  0.97062336]	[ 0.          0.94752402]	[ 0.07106561  0.00319128]	15.0198	31 	8  	6.09168
18 	66.1682	[ 0.22988261  0.95865919]	[ 0.2907489   0.96868276]	[ 0.02453988  0.95331695]	[ 0.0683418   0.00255162]	14.4059	31 	5  	5.78694
19 	70.2945	[ 0.23481226  0.95843477]	[ 0.2907489   0.96442308]	[ 0.02597403  0.95268448]	[ 0.06493259  0.00208311]	13.4455	32 	9  	4.3315 
20 	72.4792	[ 0.22781081  0.95847974]	[ 0.30088496  0.96573209]	[ 0.02312139  0.95291535]	[ 0.07006599  0.00252179]	12.6733	30 	8  	3.02501
21 	74.8858	[ 0.2324912   0.95844493]	[ 0.30088496  0.96378028]	[ 0.          0.95093971]	[ 0.07357082  0.00220528]	12.6931	26 	8  	2.64292
22 	75.6796	[ 0.23466113  0.95878079]	[ 0.30088496  0.97062336]	[ 0.         0.9488189]  	[ 0.07307186  0.00281113]	12.9406	23 	8  	2.37904
23 	77.8412	[ 0.21761149  0.95806437]	[ 0.30222222  0.96528447]	[ 0.          0.95121353]	[ 0.07192757  0.00263479]	12.9406	22 	6  	2.75689
24 	78.2582	[ 0.23699788  0.95857901]	[ 0.30222222  0.96480231]	[ 0.05813953  0.95121353]	[ 0.06284246  0.00230152]	13.3663	26 	8  	3.0139 
25 	74.8466	[ 0.24127075  0.95887097]	[ 0.30222222  0.96698565]	[ 0.          0.95098756]	[ 0.0773867   0.00223435]	12.703 	18 	8  	2.11803
26 	75.4129	[ 0.24604405  0.95890306]	[ 0.30222222  0.96545106]	[ 0.05263158  0.94814451]	[ 0.06455962  0.00226061]	13.2079	17 	6  	2.20403
27 	75.0404	[ 0.23475885  0.95927824]	[ 0.30222222  0.96721704]	[ 0.01282051  0.95020849]	[ 0.080398    0.00247761]	13.5743	24 	6  	2.64518
28 	77.4129	[ 0.24928188  0.95950448]	[ 0.30973451  0.96472282]	[ 0.02453988  0.95242766]	[ 0.07079203  0.00255322]	15.0198	20 	8  	1.93958
29 	78.6888	[ 0.25643851  0.95986728]	[ 0.31111111  0.96672253]	[ 0.02797203  0.9531748 ]	[ 0.06478703  0.00220663]	15.6139	22 	10 	1.85072
30 	81.1203	[ 0.26442136  0.96002865]	[ 0.31111111  0.96323174]	[ 0.04819277  0.95354523]	[ 0.05783415  0.00205949]	16.2772	21 	11 	1.69518
31 	83.2752	[ 0.24659796  0.95964701]	[ 0.31111111  0.96571566]	[ 0.04026846  0.94920245]	[ 0.07175084  0.00249819]	16.5446	22 	11 	1.91153
32 	83.2306	[ 0.24313256  0.96016205]	[ 0.31111111  0.96693819]	[ 0.          0.94834761]	[ 0.07777222  0.00268062]	16.6832	26 	6  	2.95823
33 	85.41  	[ 0.23338421  0.95944999]	[ 0.31111111  0.96396614]	[ 0.          0.95086776]	[ 0.07696004  0.00275806]	16.9703	26 	8  	3.01303
34 	84.472 	[ 0.25016929  0.96028799]	[ 0.31111111  0.96624372]	[ 0.01398601  0.9525208 ]	[ 0.0764979   0.00235885]	17.2475	27 	10 	2.95647
35 	84.3709	[ 0.25569936  0.959904  ]	[ 0.31111111  0.96415684]	[ 0.03592814  0.95137525]	[ 0.06691641  0.00249662]	16.8416	26 	6  	3.47475
36 	86.7034	[ 0.25588398  0.96011604]	[ 0.3125      0.96586538]	[ 0.02649007  0.95133284]	[ 0.06713522  0.00264758]	16.6238	28 	8  	2.84536
37 	87.4127	[ 0.24114575  0.96027405]	[ 0.3125      0.96690647]	[ 0.02758621  0.94692668]	[ 0.07692931  0.0027197 ]	16.9703	23 	12 	2.13623
38 	87.4002	[ 0.24443123  0.95990239]	[ 0.3125     0.9657649]  	[ 0.          0.95086776]	[ 0.07836098  0.00259212]	17.099 	27 	6  	3.04587
39 	88.1826	[ 0.26638668  0.96040705]	[ 0.3125      0.96616271]	[ 0.          0.95263672]	[ 0.06641538  0.00239959]	17.0495	24 	8  	2.81923
40 	85.7009	[ 0.26734532  0.96038098]	[ 0.3125      0.96450839]	[ 0.01333333  0.94765432]	[ 0.06560987  0.00271826]	16.5446	24 	8  	2.1458 
41 	86.8154	[ 0.26130411  0.9605931 ]	[ 0.3125      0.96650718]	[ 0.          0.95349976]	[ 0.0702704   0.00236641]	16.7129	25 	6  	2.41011
42 	84.8374	[ 0.2498212   0.96034393]	[ 0.3125      0.96795791]	[ 0.02580645  0.95207824]	[ 0.08051117  0.00271441]	16.495 	26 	6  	2.45201
43 	84.6943	[ 0.2630195   0.96097761]	[ 0.3125      0.96465497]	[ 0.03703704  0.95466797]	[ 0.07276066  0.00200916]	16.5149	24 	9  	1.8964 
44 	85.2058	[ 0.26145798  0.96085923]	[ 0.3125      0.96540125]	[ 0.0625      0.94977843]	[ 0.07216102  0.00255144]	16.505 	31 	8  	2.73454
45 	84.7004	[ 0.26215522  0.96109568]	[ 0.3125      0.96642686]	[ 0.03636364  0.95402578]	[ 0.07494882  0.00226028]	16.2178	27 	6  	2.18729
46 	83.0531	[ 0.2639577   0.96109479]	[ 0.31390135  0.96991404]	[ 0.01333333  0.95231108]	[ 0.07048442  0.00252611]	16.1287	21 	11 	1.55852
47 	83.8318	[ 0.24715105  0.9609176 ]	[ 0.31390135  0.96760259]	[ 0.03846154  0.95121951]	[ 0.08376813  0.00274296]	16.1089	24 	6  	2.44909
48 	82.5056	[ 0.25567763  0.96091907]	[ 0.31390135  0.96473975]	[ 0.02649007  0.95482295]	[ 0.08028203  0.00214237]	16.1287	26 	6  	2.27193
49 	80.6823	[ 0.2656858   0.96079439]	[ 0.31390135  0.96670659]	[ 0.04137931  0.95037888]	[ 0.06980671  0.0025435 ]	16.505 	21 	7  	1.61444
