   	       	                                                     fitness                                                     	               size              
   	       	-----------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                      	max                      	min                    	std                      	avg    	max	min	std      
0  	8.74623	[0.03817277 3.23762376]  	[ 0.10526316 11.        ]	[0. 0.]                	[0.0258897  2.45008998]  	2.49505	9  	1  	2.10903  
1  	10.8958	[0.04617939 3.98019802]  	[ 0.13095238 11.        ]	[0. 0.]                	[0.02657936 2.56009049]  	3.57426	14 	1  	2.95627  
2  	11.6116	[0.05394628 4.72277228]  	[ 0.13095238 11.        ]	[0. 0.]                	[0.02939104 2.76512514]  	4.09901	18 	1  	3.4741   
3  	16.7997	[0.0615431  5.55445545]  	[ 0.16504854 17.        ]	[0. 0.]                	[0.03235688 3.25021019]  	5.84158	18 	1  	3.98446  
4  	19.652 	[0.06890615 6.41584158]  	[ 0.17840376 19.        ]	[0. 0.]                	[0.03856404 4.00560826]  	7.24752	22 	1  	4.03795  
5  	21.2756	[0.0738905  7.00990099]  	[ 0.17840376 19.        ]	[0. 0.]                	[0.04145763 4.33154455]  	8.27723	19 	1  	3.38347  
6  	21.81  	[0.09050954 8.75247525]  	[ 0.20320856 19.        ]	[0.01265823 1.        ]	[0.03711144 4.07699642]  	8.9703 	19 	1  	3.29853  
7  	21.5968	[0.09438508 9.22772277]  	[ 0.21100917 23.        ]	[0. 0.]                	[0.04635059 4.88051529]  	8.89109	21 	1  	3.06336  
8  	21.8826	[ 0.11301288 11.24752475]	[ 0.21100917 23.        ]	[0.01169591 1.        ]	[0.04439847 4.83879934]  	9.0198 	20 	1  	3.27904  
9  	30.7294	[ 0.11525118 11.34653465]	[ 0.21100917 23.        ]	[0. 0.]                	[0.05506937 5.8180934 ]  	10.2475	20 	1  	3.82903  
10 	42.7859	[ 0.12519364 12.3960396 ]	[ 0.23423423 26.        ]	[0.01197605 1.        ]	[0.0593167 6.3885405]    	11.5743	30 	1  	4.63595  
11 	58.1821	[ 0.13916098 13.77227723]	[ 0.24215247 27.        ]	[0.01219512 1.        ]	[0.05924452 6.51104346]  	13.4257	30 	2  	5.46519  
12 	64.0804	[ 0.1516172  15.37623762]	[ 0.24215247 27.        ]	[0. 0.]                	[0.06310189 7.05122907]  	14.2178	30 	2  	5.70323  
13 	62.0488	[ 0.17040538 17.58415842]	[ 0.25327511 29.        ]	[0.01234568 1.        ]	[0.0600185  6.98409413]  	14.1584	30 	7  	4.5874   
14 	48.5536	[ 0.17951846 18.76237624]	[ 0.26008969 29.        ]	[0.01282051 1.        ]	[0.06161473 7.32032098]  	12.7723	30 	1  	3.94738  
15 	45.3811	[ 0.19098703 20.52475248]	[ 0.27927928 31.        ]	[0. 0.]                	[0.0681265  8.02544722]  	12.4851	22 	2  	3.20462  
