   	       	                                                                fitness                                                                 	              size              
   	       	----------------------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                                        	max                	min                	std                                     	avg    	max	min	std     
0  	7.58858	[   8.81188119  232.36633663    2.63366337]	[  58.  235.   31.]	[   0.  204.   -0.]	[ 7.64912843  4.43372041  4.43372041]   	2.56436	8  	1  	2.12209 
1  	10.7771	[  13.1980198   229.52475248    5.47524752]	[  58.  235.   35.]	[   0.  200.   -0.]	[ 11.51066643   7.82936091   7.82936091]	4.17822	12 	1  	2.8193  
2  	10.4203	[  19.17821782  225.8019802     9.1980198 ]	[ 145.  235.   33.]	[   0.  202.   -0.]	[ 18.74022308   9.23726825   9.23726825]	4.75248	13 	1  	2.88529 
3  	12.2965	[  26.33663366  222.18811881   12.81188119]	[ 145.  235.   34.]	[   1.  201.   -0.]	[ 20.56685656  10.06780269  10.06780269]	6.15842	15 	1  	3.12046 
4  	16.8585	[  34.04950495  218.36633663   16.63366337]	[ 161.  235.   52.]	[   1.  183.   -0.]	[ 28.41641425  12.2649971   12.2649971 ]	7.71287	18 	1  	3.50766 
5  	31.257 	[  39.17821782  215.03960396   19.96039604]	[ 161.  235.   70.]	[   1.  165.   -0.]	[ 25.87953664  13.6671325   13.6671325 ]	9.48515	20 	1  	3.77751 
6  	32.3706	[  48.93069307  212.03960396   22.96039604]	[ 161.  235.   70.]	[   0.  165.   -0.]	[ 33.14691492  15.50849067  15.50849067]	10.2871	18 	4  	3.56367 
7  	38.114 	[  57.99009901  211.20792079   23.79207921]	[ 161.  235.   71.]	[   1.  164.   -0.]	[ 38.65165452  15.57563268  15.57563268]	11.6832	22 	1  	4.02942 
8  	49.4015	[  75.46534653  210.03960396   24.96039604]	[ 167.  235.   71.]	[   4.  164.   -0.]	[ 46.18163974  14.09087957  14.09087957]	13.1287	26 	3  	3.76977 
9  	55.8466	[  94.07920792  211.86138614   23.13861386]	[ 167.  235.   71.]	[   4.  164.   -0.]	[ 49.5925344   10.26001535  10.26001535]	12.7822	26 	3  	3.55885 
10 	51.5394	[ 114.1980198   212.43564356   22.56435644]	[ 167.  235.   40.]	[   1.  195.   -0.]	[ 53.87591534   7.97944865   7.97944865]	11.4257	18 	4  	2.50286 
11 	50.9994	[ 114.01980198  213.32673267   21.67326733]	[ 168.  235.   32.]	[   2.  203.   -0.]	[ 52.7853828    7.98650955   7.98650955]	11.0297	18 	6  	2.10354 
12 	57.0168	[ 127.32673267  212.15841584   22.84158416]	[ 176.  234.   37.]	[   5.  198.    1.]	[ 50.09735253   7.94128537   7.94128537]	11.3564	19 	6  	2.39878 
13 	62.0888	[ 131.04950495  211.01980198   23.98019802]	[ 176.  234.   41.]	[   5.  194.    1.]	[ 48.35437999   7.72033473   7.72033473]	11.4356	22 	4  	2.7229  
14 	65.2416	[ 132.59405941  212.03960396   22.96039604]	[ 177.  235.   39.]	[   2.  196.   -0.]	[ 49.15648446   7.84367159   7.84367159]	12.1188	24 	6  	2.77288 
15 	75.7152	[ 131.57425743  212.16831683   22.83168317]	[ 183.  234.   44.]	[   1.  191.    1.]	[ 55.64123881   8.64030311   8.64030311]	12.6733	25 	4  	3.40968 
16 	78.3386	[ 136.55445545  211.65346535   23.34653465]	[ 183.  235.   39.]	[   3.  196.   -0.]	[ 53.37323749   8.30058526   8.30058526]	13.4752	25 	5  	3.75116 
17 	81.013 	[ 135.83168317  210.86138614   24.13861386]	[ 183.  235.   45.]	[   3.  190.   -0.]	[ 56.27444583   9.26510509   9.26510509]	13.9208	26 	4  	3.98185 
18 	73.108 	[ 132.53465347  210.67326733   24.32673267]	[ 183.  235.   47.]	[   0.  188.   -0.]	[ 59.51463159  10.47969173  10.47969173]	13.3267	26 	4  	3.31247 
19 	68.023 	[ 144.23762376  208.53465347   26.46534653]	[ 183.  235.   52.]	[   0.  183.   -0.]	[ 52.85064862   9.36346847   9.36346847]	13.3366	26 	4  	2.95939 
20 	74.44  	[ 133.00990099  211.65346535   23.34653465]	[ 183.  235.   53.]	[   3.  182.   -0.]	[ 60.9823047    9.90193065   9.90193065]	13.8218	29 	4  	3.86248 
21 	71.5901	[ 139.37623762  211.74257426   23.25742574]	[ 185.  234.   55.]	[   8.  180.    1.]	[ 58.51289973   9.51252792   9.51252792]	13.6139	21 	8  	2.71399 
22 	78.8249	[ 144.91089109  210.37623762   24.62376238]	[ 194.  235.   55.]	[   1.  180.   -0.]	[ 54.55111129   8.28675609   8.28675609]	14.1782	28 	4  	3.74535 
23 	79.155 	[ 145.45544554  210.41584158   24.58415842]	[ 195.  235.   55.]	[   0.  180.   -0.]	[ 60.54153713  10.32565518  10.32565518]	14.6535	28 	6  	3.44816 
24 	85.0633	[ 145.65346535  210.51485149   24.48514851]	[ 200.  235.   37.]	[   1.  198.   -0.]	[ 57.65782226   8.40039351   8.40039351]	15.6436	28 	9  	4.384   
25 	89.2856	[ 152.92079208  209.35643564   25.64356436]	[ 200.  234.   51.]	[  11.  184.    1.]	[ 55.29160915   8.98026897   8.98026897]	16.505 	28 	5  	4.6044  
