   	       	                                                         fitness                                                         	               size              
   	       	-------------------------------------------------------------------------------------------------------------------------	---------------------------------
gen	time   	avg                        	max                        	min                        	std                      	avg    	max	min	std      
0  	1.40769	[ 0.54730975 81.44554455]  	[  0.72413793 146.        ]	[ 0.40148699 54.        ]  	[ 0.05897139 14.35509724]	2.41584	9  	1  	2.05502  
1  	1.66371	[ 0.56762651 85.23762376]  	[  0.72413793 146.        ]	[ 0.45890411 61.        ]  	[ 0.06659505 13.82073956]	3.37624	14 	1  	2.63957  
2  	2.13049	[ 0.59854715 91.25742574]  	[  0.72413793 121.        ]	[ 0.46341463 57.        ]  	[ 0.0659352  12.84612163]	4.47525	15 	1  	3.11685  
3  	3.04493	[ 0.62567391 93.51485149]  	[  0.72413793 122.        ]	[ 0.42911877 56.        ]  	[ 0.07535784 12.334941  ]	6.60396	18 	1  	3.69929  
4  	4.0763 	[ 0.63759393 94.67326733]  	[  0.72413793 116.        ]	[ 0.41666667 55.        ]  	[ 0.07157119 11.54852775]	8.50495	21 	1  	3.71943  
5  	4.91261	[ 0.66683737 98.75247525]  	[  0.73648649 112.        ]	[ 0.41860465 54.        ]  	[0.05999567 9.8497685 ]  	9.53465	21 	1  	3.8475   
6  	5.03761	[  0.67922528 100.41584158]	[  0.73648649 112.        ]	[ 0.48201439 67.        ]  	[0.05331986 8.73851985]  	9.9802 	21 	1  	3.79416  
7  	5.07611	[  0.68294583 101.25742574]	[  0.73648649 146.        ]	[ 0.48504983 73.        ]  	[0.04890527 8.73102295]  	9.87129	21 	1  	3.45168  
8  	5.10274	[  0.68174259 100.30693069]	[  0.73648649 112.        ]	[ 0.4742268 66.       ]    	[0.05878743 9.44367626]  	10.3861	22 	1  	3.92497  
9  	5.8122 	[  0.68981857 102.36633663]	[  0.74914089 115.        ]	[ 0.52054795 76.        ]  	[0.05020698 7.6814329 ]  	11.198 	24 	6  	4.03946  
10 	6.43295	[  0.68400325 101.28712871]	[  0.75 119.  ]            	[ 0.4469697 59.       ]    	[ 0.06786242 11.28508753]	11.8317	31 	1  	5.31031  
11 	7.20502	[  0.69355669 102.96039604]	[  0.75 119.  ]            	[ 0.53424658 78.        ]  	[0.05354827 8.6767252 ]  	13.495 	26 	1  	5.55374  
12 	7.81671	[  0.70622253 104.63366337]	[  0.75352113 119.        ]	[ 0.46096654 62.        ]  	[0.04618266 8.12857418]  	14.2574	24 	5  	5.09057  
13 	9.37492	[  0.70727374 104.69306931]	[  0.75601375 119.        ]	[ 0.51340996 67.        ]  	[0.05467737 9.61716964]  	16.198 	29 	6  	5.66039  
14 	11.002 	[  0.72327322 107.56435644]	[  0.77027027 120.        ]	[ 0.46268657 62.        ]  	[0.04219118 8.16466165]  	17.8218	30 	3  	5.66105  
15 	11.6915	[  0.73187771 108.72277228]	[  0.77591973 123.        ]	[ 0.5229682 74.       ]    	[0.03770171 7.4821488 ]  	18.9208	33 	8  	5.73453  
16 	13.1318	[  0.7294251  109.13861386]	[  0.78231293 123.        ]	[ 0.3740458 49.       ]    	[ 0.06261985 11.04718028]	19.4356	37 	2  	6.92165  
17 	16.6551	[  0.74221953 111.85148515]	[  0.78594249 123.        ]	[ 0.50331126 75.        ]  	[0.04452598 8.6280525 ]  	22     	40 	1  	6.7604   
18 	18.7691	[  0.73193018 110.18811881]	[  0.78594249 123.        ]	[ 0.49462366 69.        ]  	[ 0.05930834 11.4906013 ]	23.7624	40 	5  	7.10341  
19 	23.266 	[  0.7504598  114.64356436]	[  0.78594249 123.        ]	[ 0.47222222 68.        ]  	[0.04003624 8.03653065]  	26.5842	39 	3  	5.89221  
20 	24.9176	[  0.75424363 115.59405941]	[  0.79487179 124.        ]	[ 0.55218855 81.        ]  	[0.03576073 7.45969794]  	27.1485	39 	7  	5.14615  
21 	24.5423	[  0.75747384 116.78217822]	[  0.79487179 124.        ]	[ 0.51470588 70.        ]  	[0.03541547 7.30197852]  	26.198 	38 	3  	5.27092  
22 	23.7535	[  0.75643529 116.55445545]	[  0.79487179 125.        ]	[ 0.56375839 84.        ]  	[0.03903547 7.37063379]  	25.6436	39 	7  	4.95641  
23 	23.3392	[  0.74972034 116.06930693]	[  0.79872204 125.        ]	[0. 0.]                    	[ 0.08551064 13.87872325]	25.3663	40 	1  	5.41308  
24 	22.9661	[  0.752603  116.3960396]  	[  0.80511182 126.        ]	[ 0.49084249 67.        ]  	[0.05014775 9.35131611]  	25.6337	39 	6  	5.50378  
25 	21.7326	[  0.74998106 115.86138614]	[  0.8089172 127.       ]  	[ 0.5 69. ]                	[ 0.06171531 11.43646219]	25.0297	38 	1  	5.91935  
26 	22.5495	[  0.76895708 119.21782178]	[  0.8089172 127.       ]  	[ 0.64052288 97.        ]  	[0.03328828 6.24199124]  	26.1782	38 	11 	4.37906  
27 	22.6805	[  0.7598415  117.26732673]	[  0.8089172 127.       ]  	[ 0.47908745 63.        ]  	[ 0.05694108 10.59225487]	25.3366	38 	5  	5.49217  
28 	24.1663	[  0.76850621 119.18811881]	[  0.8089172 127.       ]  	[ 0.5 70. ]                	[0.05442589 9.69915059]  	26.5743	40 	7  	5.13259  
29 	24.7108	[  0.78157256 121.59405941]	[  0.81433225 128.        ]	[ 0.43010753 60.        ]  	[0.04447708 7.81617796]  	26.5347	38 	18 	3.94408  
30 	23.7504	[  0.7803926  121.61386139]	[  0.81904762 129.        ]	[ 0.57446809 81.        ]  	[0.03761307 6.95810703]  	25.8218	36 	15 	3.48518  
31 	24.7535	[  0.77395351 120.7029703 ]	[  0.81904762 129.        ]	[ 0.44912281 64.        ]  	[0.05563315 9.9399629 ]  	25.7624	37 	9  	3.86697  
32 	25.8548	[  0.77106032 120.10891089]	[  0.81904762 129.        ]	[ 0.48051948 73.        ]  	[ 0.05993239 10.51345295]	25.5941	34 	8  	3.58539  
33 	25.795 	[  0.77624572 120.92079208]	[  0.81904762 129.        ]	[ 0.55944056 80.        ]  	[0.04506887 8.37095777]  	25.4257	36 	8  	3.89299  
34 	23.7607	[  0.78430542 121.83168317]	[  0.82051282 129.        ]	[ 0.51903114 75.        ]  	[0.04301488 7.68960892]  	24.9505	38 	9  	4.18951  
35 	24.5268	[  0.78144535 121.72277228]	[  0.82051282 129.        ]	[ 0.46808511 66.        ]  	[ 0.06023765 10.63351586]	24.3069	39 	5  	5.02418  
36 	24.8224	[  0.77591505 120.44554455]	[  0.82051282 129.        ]	[ 0.46037736 61.        ]  	[ 0.07068496 12.74383971]	24.3267	38 	9  	3.50702  
37 	24.4355	[  0.77984711 121.01980198]	[  0.82051282 129.        ]	[ 0.47794118 65.        ]  	[ 0.06219621 12.05103027]	23.9703	39 	6  	5.09408  
38 	25.0026	[  0.78448736 121.78217822]	[  0.82051282 129.        ]	[ 0.46332046 60.        ]  	[ 0.05707954 10.86333096]	24.4356	37 	3  	4.29002  
39 	24.4132	[  0.78053933 121.05940594]	[  0.82051282 129.        ]	[ 0.49315068 72.        ]  	[0.05346402 9.74712121]  	24.1386	36 	6  	4.13397  
40 	25.6813	[  0.77667833 120.51485149]	[  0.82165605 131.        ]	[ 0.44599303 64.        ]  	[ 0.06397978 11.39012414]	24.6337	36 	8  	3.66337  
41 	23.9058	[  0.7810295  121.20792079]	[  0.82315113 131.        ]	[ 0.51677852 77.        ]  	[ 0.0659255  11.35155316]	24.0297	36 	8  	3.53891  
42 	25.0819	[  0.77716893 120.35643564]	[  0.82802548 130.        ]	[ 0.50847458 70.        ]  	[ 0.06252465 11.34131513]	24.7525	36 	2  	4.37229  
43 	25.0029	[  0.78201103 121.23762376]	[  0.83067093 130.        ]	[ 0.47811448 66.        ]  	[ 0.06467188 11.48149481]	24.7525	37 	6  	4.68282  
44 	23.4573	[  0.77561431 120.01980198]	[  0.83067093 130.        ]	[ 0.50533808 70.        ]  	[ 0.06756434 12.34566521]	24.3069	36 	5  	4.06322  
45 	22.6012	[  0.76964886 119.14851485]	[  0.83067093 130.        ]	[ 0.41538462 54.        ]  	[ 0.08673685 15.47939297]	23.9406	31 	6  	4.10704  
46 	23.1371	[  0.7836546 121.7029703]  	[  0.83067093 130.        ]	[ 0.54421769 80.        ]  	[0.05351544 9.5911929 ]  	24.4257	36 	3  	3.48504  
47 	23.4497	[  0.78270913 121.44554455]	[  0.83067093 130.        ]	[ 0.48028674 67.        ]  	[ 0.06266014 11.21568496]	24.8317	40 	8  	4.34427  
48 	23.1177	[  0.76712941 118.4950495 ]	[  0.83067093 130.        ]	[ 0.44776119 60.        ]  	[ 0.08525208 15.10007787]	24.6436	35 	6  	4.83507  
